[00:00:04.997 --> 00:00:06.218]  There is a war.
[00:00:06.658 --> 00:00:07.679]  It's happening now.
[00:00:08.520 --> 00:00:10.341]  It will decide the fate of humanity.
[00:00:10.922 --> 00:00:12.683]  The time to choose sides has come.
[00:00:13.484 --> 00:00:14.965]  We are the resistance.
[00:00:15.406 --> 00:00:23.032]  We are the InfoWars.
[00:00:23.052 --> 00:00:24.753]  Welcome to the InfoWars Nightly News.
[00:00:24.793 --> 00:00:28.977]  It is Tuesday, October 7th, 2014, and I'm Leanne McAdoo.
[00:00:29.017 --> 00:00:30.038]  Here's what's coming up tonight.
[00:00:32.998 --> 00:00:38.921]  Tonight, as Ebola spreads in Spain, there's anger that protective measures for medical personnel were not sufficient.
[00:00:39.161 --> 00:00:48.285]  Meanwhile, in the U.S., the CDC gives the all clear for an Ebola caregiver to return to work as a nurse only seven days after unprotected contact.
[00:00:48.766 --> 00:00:53.828]  And if a cop would do this over refusing to show ID, what would he do in a pandemic?
[00:00:54.368 --> 00:00:57.270]  All that and more on tonight's InfoWars Nightly News.
[00:01:02.941 --> 00:01:03.241]  I think?
[00:01:19.156 --> 00:01:19.596]  The facts.
[00:01:20.237 --> 00:01:36.886]  And that is that because of the measures that we've put in place, as well as our world-class health system, and the nature of the Ebola virus itself, which is difficult to transmit, the chances of an Ebola outbreak in the United States is extremely low.
[00:01:37.537 --> 00:01:39.759]  So that was El Presidente.
[00:01:39.839 --> 00:01:49.767]  He wants everyone to know that this is a very, very serious situation, but there's an extraordinarily low chance that it's going to actually be a problem here in the U.S.
[00:01:50.227 --> 00:02:06.279]  So a lot of mixed messages going on coming out of the government, and of course they're saying, you know, they want to stop this epidemic at the source, yet they are refusing to implement a travel ban so that the infection can't actually leave from the source and go to other areas.
[00:02:06.960 --> 00:02:13.623]  But don't worry, the President is going to increase passenger screening techniques here in the United States.
[00:02:13.663 --> 00:02:17.464]  Of course, their TSA is going to work extra hard on those of us here.
[00:02:17.864 --> 00:02:31.330]  Now, the President and the White House has not elaborated on exactly what those new screenings will entail, but possibilities include taking the temperature of travelers from affected countries once they arrive in the U.S.
[00:02:31.450 --> 00:02:34.831]  and, of course, more closely track the travel histories
[00:02:35.231 --> 00:02:35.831]  We're good to go.
[00:02:59.502 --> 00:03:06.346]  He lied on one of these questionnaires when asked if he had been in contact with anyone who had Ebola.
[00:03:06.366 --> 00:03:13.930]  So of course he just lied his way in on that questionnaire and at the time he was not showing any symptoms of this disease.
[00:03:13.990 --> 00:03:18.673]  So this is clearly not a foolproof plan that we're working with here.
[00:03:19.273 --> 00:03:24.816]  Now the agencies are saying that implementing a flight ban would be bad for the economy.
[00:03:24.856 --> 00:03:26.257]  Of course it'll hinder aid.
[00:03:26.937 --> 00:03:29.680]  But what happens if hundreds of thousands of people become sick?
[00:03:30.241 --> 00:03:37.449]  Now, even though Obama and the CDC are saying, don't worry about it, don't worry about this, people are worrying about it.
[00:03:37.850 --> 00:03:47.180]  Five Dallas schools so far have installed fever scanners, and the company that makes these fever scanners donated these to these five schools.
[00:03:47.921 --> 00:03:50.082]  They'll be able to monitor any fevers there.
[00:03:50.582 --> 00:03:59.107]  It's often the first symptom of Ebola, and it'll allow nurses to take the temperatures of these students without actually touching them.
[00:03:59.187 --> 00:04:01.968]  It'll read their temperature from a few inches away.
[00:04:02.489 --> 00:04:04.249]  So far, so good on that front.
[00:04:04.289 --> 00:04:08.712]  We don't have any more reported cases of any of these children who had been in contact
[00:04:09.632 --> 00:04:12.154]  To varying degrees with patient zero.
[00:04:12.654 --> 00:04:15.716]  But then of course we have the governor of Connecticut.
[00:04:16.136 --> 00:04:20.779]  He has declared a state of emergency over Ebola just as a precaution.
[00:04:21.160 --> 00:04:22.460]  He doesn't want to worry anyone.
[00:04:22.520 --> 00:04:28.544]  There is no actual patients there in his state that actually have this infection.
[00:04:29.004 --> 00:04:33.968]  But he wants the authority to quarantine and isolate people who may have been exposed.
[00:04:34.888 --> 00:04:43.319]  He just wants, you know, he says it's essential that we be prepared and we need to have the authorities in place to allow us to move quickly to protect public health.
[00:04:43.739 --> 00:04:51.629]  So while the governor is here, these other schools are here to actively monitor and track any potential new cases of this virus.
[00:04:52.017 --> 00:05:00.806]  Epidemic, the governor of Connecticut is saying he just wants to be able to quarantine people that have a reasonable suspicion of coming in contact with this virus.
[00:05:01.226 --> 00:05:07.052]  Well, now we have the nurse's assistant who actually came in contact with patient zero.
[00:05:07.112 --> 00:05:07.573]  She called 911.
[00:05:09.134 --> 00:05:11.056]  She rode in the ambulance with him.
[00:05:11.517 --> 00:05:15.561]  She was there helping him when he was violently vomiting.
[00:05:16.141 --> 00:05:17.462]  She rides in the ambulance with him.
[00:05:17.843 --> 00:05:22.587]  It's only been about seven days since we first heard about patient zero being diagnosed.
[00:05:22.987 --> 00:05:27.331]  Well, the CDC has given her the thumbs up to return to work.
[00:05:27.671 --> 00:05:28.932]  Her and her husband.
[00:05:29.333 --> 00:05:33.176]  Now I'm talking about the stepdaughter of Thomas Duncan.
[00:05:33.276 --> 00:05:39.802]  She works as a nurse's assistant and she has been in quarantine in her house with her husband and their four children.
[00:05:41.138 --> 00:05:48.520]  But it's only been seven days, and they're giving her the all clear to go back to her job as a nurse's assistant.
[00:05:48.960 --> 00:05:49.740]  Just go on ahead.
[00:05:50.160 --> 00:05:59.803]  We know you haven't waited the 21-day incubation period, but just get on out there and go ahead and keep on rolling out that Ebola false flag.
