[00:00:00.049 --> 00:00:01.372]  Direct from Austin.
[00:00:02.094 --> 00:00:05.301]  You're listening to the Alex Jones Broadcasting Network.
[00:00:11.840 --> 00:00:16.004]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:16.684 --> 00:00:17.485]  You want answers?
[00:00:18.265 --> 00:00:19.146]  Well, so does he.
[00:00:19.807 --> 00:00:23.450]  He's Alex Jones on the GCN Radio Network.
[00:00:24.010 --> 00:00:28.054]  And now, live from Austin, Texas, Alex Jones.
[00:00:45.743 --> 00:00:52.485]  Oh man, I feel not even so much exhausted as I feel completely overwhelmed right now.
[00:00:53.185 --> 00:00:59.087]  We have got so many big developments from Bilderberg.
[00:00:59.107 --> 00:01:05.549]  2014 with global leaders going outside the compound, being confronted by journalists, journalists being roughed up, new video.
[00:01:06.961 --> 00:01:10.402]  We've got mainstream media being forced to cover it for the first time.
[00:01:10.462 --> 00:01:19.225]  Even the London Independent saying, hey, it does violate a lot of laws to have world leaders meeting in secret with politicians, elected officials setting policy.
[00:01:20.625 --> 00:01:23.666]  Public servants meeting in secret setting policy.
[00:01:25.087 --> 00:01:32.689]  And I even, I guess we got a video from CNBC where some of the guests and people are going, well, the public's got a point.
[00:01:35.347 --> 00:01:39.209]  I mean there are a bunch of powerful elites meeting in secret and we have a right to know what they're talking about.
[00:01:41.249 --> 00:01:43.370]  This is an official governmental meeting.
[00:01:43.930 --> 00:01:59.917]  The Bilderberg Group bragged a few weeks ago, one of their major members, to the German press that they created the Euro and they set up most of the world's architecture currently and that they are controlling the planet to a great extent.
[00:02:01.297 --> 00:02:02.478]  And so they admit
[00:02:04.209 --> 00:02:06.232]  That they are setting policy.
[00:02:06.672 --> 00:02:21.691]  Yes, if 145 or so royalty, banking heads, heads of industry and government are all friends and they want to say, hey, next year, let's all put in our calendars, we're going to go to British Virgin Islands for two weeks and play golf.
[00:02:22.808 --> 00:02:25.450]  Undoubtedly, business is going to be conducted at night and stuff.
[00:02:25.470 --> 00:02:26.471]  There'll be some breakaway meetings.
[00:02:26.511 --> 00:02:37.558]  But it's not helicopters and fences and secret police and Ed Balls, the Deputy Prime Minister of England, who I confronted last year inside BBC Studios.
[00:02:38.258 --> 00:02:41.140]  I was on television right after him, so I was able to talk to him in the studio.
[00:02:41.741 --> 00:02:46.864]  We have that video where I bring up Bilderberg with the fact that they're setting policy and I name the British law he's violating.
[00:02:48.105 --> 00:02:52.448]  Watson also confronts him in the hall as he leaves and mentions the law that he's violating.
[00:02:53.689 --> 00:02:55.510]  They really are violating these laws.
[00:02:57.571 --> 00:03:08.739]  And just because the federal laws here and the federal laws in England and others are being ignored, doesn't mean that they're not still laws.
[00:03:11.344 --> 00:03:18.747]  And I personally am getting tired of it because these are the guys pushing gun control worldwide.
[00:03:19.407 --> 00:03:22.909]  These are the people pushing forced inoculation worldwide and population reduction.
[00:03:24.669 --> 00:03:27.170]  These are the people that are pushing everybody around.
[00:03:31.092 --> 00:03:36.194]  And these are the people trying to put in the smart grid that taxes and tracks and controls us.
[00:03:36.654 --> 00:03:38.895]  They're moving us into total authoritarianism.
[00:03:41.582 --> 00:03:43.103]  And that's why I've got a big beef with him.
[00:03:44.724 --> 00:03:52.889]  And then I'm always on the air with other shows, TV shows, and they ask the question, well, Alex, you know, how do we know they're setting up world government?
[00:03:52.909 --> 00:03:54.030]  Well, they've bragged about it.
[00:03:56.491 --> 00:03:57.512]  But I thought it's secret.
[00:03:57.532 --> 00:03:58.232]  Why are they bragging?
[00:03:58.552 --> 00:04:02.655]  Well, criminals love to brag, and stuff they did 30 years ago, 40 years ago, 60 years ago,
[00:04:05.222 --> 00:04:06.543]  They will toot their horn about now.
[00:04:07.283 --> 00:04:11.666]  But they didn't do it till we exposed it and made their lying obsolete.
[00:04:11.966 --> 00:04:13.928]  So now they're just trying to act all confident about it.
[00:04:13.948 --> 00:04:16.309]  Well, of course we're building a private corporate world government.
[00:04:16.349 --> 00:04:17.250]  I mean, who wouldn't?
[00:04:17.310 --> 00:04:19.231]  I mean, we know how to run stuff better than you.
[00:04:19.251 --> 00:04:22.513]  And plus we're not racist and, uh, you know, political correctness.
[00:04:23.814 --> 00:04:28.517]  You go debate transgender issues while we put cancer viruses in your vaccines or, uh, yeah.
[00:04:29.468 --> 00:04:35.291]  We put so many chemicals in the water that the fish and frogs, the aquatic life is going sterile.
[00:04:39.232 --> 00:04:40.673]  Don't be sexist and bring that up.
[00:04:42.620 --> 00:04:43.961]  I mean, these people are out of control.
[00:04:44.762 --> 00:04:54.568]  And, I mean, one thing that they're running our lives and building space bases, and, you know, we already launched our seventh, you know, colony mission to Alpha Centauri, and that they were trying to get people to have brain boosts and stuff.
[00:04:54.608 --> 00:04:56.470]  I'd be like, whoa, these people are really the elite.
[00:04:56.930 --> 00:04:57.851]  We should probably listen to them.
[00:04:58.151 --> 00:05:01.853]  These people are a bunch of scum, narcissists, who hate humanity.
[00:05:02.614 --> 00:05:04.055]  And they are a major problem.
[00:05:07.074 --> 00:05:11.075]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:05:11.115 --> 00:05:15.256]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:05:15.356 --> 00:05:18.877]  What are the health effects of having these drugs in our drinking water?
[00:05:19.137 --> 00:05:22.018]  It's forced medical treatment without the consent of residents.
[00:05:22.178 --> 00:05:29.540]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:05:29.720 --> 00:05:33.381]  On average, the county says it sprays with the glyphosate at least once a week.
[00:05:33.661 --> 00:05:37.903]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[00:05:38.063 --> 00:05:44.007]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[00:05:44.047 --> 00:05:47.829]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:05:47.969 --> 00:05:50.530]  It is our responsibility to protect our families.
[00:05:50.730 --> 00:05:52.071]  The establishment's not going to do it.
[00:05:52.231 --> 00:05:53.452]  It's time to take action.
[00:05:53.592 --> 00:05:55.313]  It's time to filter our water.
[00:05:55.413 --> 00:06:02.557]  Visit Infowarsstore.com and use promo code WATER to get 10% off their entire family of incredible products.
[00:06:02.797 --> 00:06:03.679]  Or call toll free 888-253-3139.
[00:06:06.974 --> 00:06:17.341]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:06:17.661 --> 00:06:19.522]  Guess what else is in the halogen family?
[00:06:19.723 --> 00:06:20.403]  Fluoride!
[00:06:20.603 --> 00:06:22.184]  Ladies and gentlemen, Alex Jones here.
[00:06:22.524 --> 00:06:28.849]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:06:29.109 --> 00:06:33.912]  It's the good halogen on the periodic table, and the results are on record.
[00:06:34.032 --> 00:06:36.734]  Reports documented a 15-point IQ increase.
[00:06:37.054 --> 00:06:37.534]  We're good.
[00:07:07.020 --> 00:07:14.085]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:07:14.185 --> 00:07:16.347]  But it's not just the air outside that's toxic.
[00:07:16.527 --> 00:07:21.630]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:07:21.810 --> 00:07:26.754]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:07:26.974 --> 00:07:30.035]  There are more than 42 million smokers in the United States.
[00:07:30.295 --> 00:07:34.156]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:07:34.376 --> 00:07:38.617]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[00:07:38.677 --> 00:07:48.700]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:07:48.920 --> 00:07:51.441]  Made with organic and wild cultivated herbs,
[00:07:51.581 --> 00:07:53.102]  There's a need for a new world order.
[00:07:53.122 --> 00:07:55.743]  But it has different characteristics in different parts of the world.
[00:08:20.396 --> 00:08:26.645]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:08:47.731 --> 00:08:52.015]  It is the 30th day of May 2014.
[00:08:52.055 --> 00:08:58.660]  I am your host, Alex Jones, and we're going to have big updates.
[00:08:58.680 --> 00:09:04.665]  There's been a lot of big developments, but I'm just going to save it until David Knight joins us in about 23 minutes from now.
[00:09:06.198 --> 00:09:09.220]  At 33 after, from Copenhagen, Denmark, the site of Bilderberg 2014.
[00:09:09.260 --> 00:09:15.726]  Then Paul Joseph Watson, who's in a whole other area covering other developments with Bilderberg.
[00:09:16.586 --> 00:09:17.607]  They're on two different missions.
[00:09:17.667 --> 00:09:27.695]  He's going to be joining us at 12.30 central, or about an hour and twenty-something minutes from now, depending on what time zone you're listening to us or we broadcast.
[00:09:28.556 --> 00:09:29.516]  So that is coming up.
[00:09:29.556 --> 00:09:31.138]  We will have totally open phones.
[00:09:32.697 --> 00:09:33.757]  I pledge to take a lot of calls.
[00:09:33.797 --> 00:09:35.418]  I'm getting pretty good at that when I do open the phones up.
[00:09:35.878 --> 00:09:46.180]  In the third hour, on a Friday, free-for-all, wildcard Friday, whatever issue you want to raise, agree, disagree, yell at me, tell me how great I am.
[00:09:46.340 --> 00:09:47.100]  We don't want to hear that.
[00:09:47.420 --> 00:09:49.160]  You're allowed to yell at me, no saying how great I am.
[00:09:50.040 --> 00:09:52.301]  Anyways, it's just not thought-provoking.
[00:09:53.601 --> 00:09:56.641]  Any issue you want to cover, we're going to do it in the third hour today.
[00:09:56.661 --> 00:09:57.502]  I'm being a little bit silly.
[00:09:58.682 --> 00:09:59.202]  Where to start?
[00:10:00.851 --> 00:10:15.956]  Let me cover other big breaking news, because it's a big news day on this Friday, 30th day of May, and walk through some of what's coming up and then get into embattled Veterans Affairs Secretary General Eric Shinseki.
[00:10:17.168 --> 00:10:21.974]  Resigning, and before he went live, I was in the coffee room.
[00:10:21.994 --> 00:10:30.424]  I don't usually do this anymore, because it's so hard to listen to him and look at him, and just to hear the endless deception that comes out of his mouth.
