[00:00:19.710 --> 00:00:21.730]  Welcome to tonight's InfoWars Nightly News.
[00:00:21.790 --> 00:00:24.391]  Today's date is Wednesday, September 10th, 2014.
[00:00:25.491 --> 00:00:30.612]  We're on the eve of exactly 13 years before the worst false flag attack in America's history.
[00:00:30.872 --> 00:00:39.854]  This attack was used to create the Department of Homeland Security, the TSA, and systematically dismantle any privacy rights that you may have thought that you had in this once great republic.
[00:00:40.614 --> 00:00:43.674]  I'm your host, Rob Due, and here's a look at our top stories.
[00:00:44.294 --> 00:00:46.375]  Tonight.
[00:00:48.303 --> 00:00:52.606]  An anti-gun group takes control of the 9-11 ceremony.
[00:00:53.507 --> 00:00:58.110]  Then, a new model shows the potential of an Ebola outbreak.
[00:00:58.710 --> 00:01:02.953]  And actor James Woods issues a challenge to the Attorney General.
[00:01:03.353 --> 00:01:07.216]  That's next on the InfoWars Nightly News.
[00:01:07.676 --> 00:01:15.302]  Insanely, Eric Holder has come out and said it's basically racism that people are treating him with, quote, disrespect when he's ignored congressional subpoenas for four years.
[00:01:16.041 --> 00:01:19.422]  Our top story tonight is out of Infowars.com from Paul Joseph Watson.
[00:01:20.203 --> 00:01:23.464]  It is Obama set to ignore Congress and announce Syria strikes tonight.
[00:01:23.984 --> 00:01:30.327]  But before we get to what Paul Joseph Watson had to write, I want to read to you what the Washington Post said based on his article.
[00:01:30.567 --> 00:01:30.947]  Here it is.
[00:01:31.707 --> 00:01:33.888]  President Obama is prepared to use U.S.
[00:01:33.928 --> 00:01:44.613]  military airstrikes in Syria as part of an expanded campaign to defeat the Islamic State and does not believe he needs formal congressional approval to take that action, according to people who have spoken with the President in recent days.
[00:01:45.433 --> 00:01:57.823]  So that's when you have the Washington Post, the mouthpiece of the political establishment, spewing the establishment's talking points for it in a nice way, letting you know it's all okay and the president really doesn't need approval.
[00:01:58.407 --> 00:01:59.868]  Here's what Paul Joseph Watson had to write.
[00:02:00.929 --> 00:02:17.500]  President Barack Obama is set to ignore Congress once again by launching military strikes inside Syria without consulting lawmakers, a move that threatens to inflame the entire region given that the Assad government has repeatedly insisted it will consider any military activity inside Syrian territory as an act of war.
[00:02:18.041 --> 00:02:22.164]  He continues, and citing ISIS, which was armed and funded by the United States,
[00:02:22.944 --> 00:02:24.664]  The United States' biggest allies in the region.
[00:02:24.725 --> 00:02:41.149]  As a justification for the military campaign inside Syria, Obama is set to accomplish what the administration failed to achieve last year after the chemical weapons attack in Ghouta was blamed on the Assad government, despite a subsequent MIT report which concluded the incident was more likely the work of U.S.-backed rebels.
[00:02:41.869 --> 00:02:43.289]  Now, what does that mean?
[00:02:44.130 --> 00:02:54.033]  That means that you're going to hear a bunch of talking points from the media that we're going to be backing Syrian, moderate Syrian rebels who actually fund ISIS and give ISIS the weapons that we give them.
[00:02:55.073 --> 00:02:58.454]  And you're also going to see this ramp up of, oh, it's chemical attacks.
[00:02:58.494 --> 00:03:01.735]  We got to go in because the Assad regime has chemical weapons.
[00:03:02.055 --> 00:03:05.436]  It's the same story that we see over and over again.
[00:03:06.076 --> 00:03:18.021]  And our reporter, our reporting team we have up in New York right now, Joe Biggs, Leanne McAdoo and Josh Owens is up there and they filed this report last night from Times Square concerning the recent ISIS so-called attacks.
[00:03:19.442 --> 00:03:23.824]  I'm Joe Biggs with InfoWars.com in New York City's Times Square.
[00:03:24.264 --> 00:03:27.465]  Right now we know that there is an imminent threat by ISIS.
[00:03:27.986 --> 00:03:35.469]  You've seen our reports at the southern borders, you've seen what O'Keefe did in Canada crossing over into America, so we know it's very easy
[00:03:35.809 --> 00:03:36.309]  We're good to go.
[00:03:56.621 --> 00:04:02.745]  We also know there are 28 pages that are classified still in the 9-11 report.
[00:04:03.326 --> 00:04:10.111]  Right now I want to encourage you, the Info Warrior, the person watching this, to help support Ron Paul and the Info War.
[00:04:11.047 --> 00:04:18.534]  Make a video, put it on social media, send it to us, so we can let the people know that we want these 28 pages declassified.
[00:04:18.994 --> 00:04:28.783]  We've heard from Ron Paul that based off seeing this stuff and the people he's talked to, that he knows that President Bush had prior knowledge to the attacks before they happened.
[00:04:29.403 --> 00:04:31.645]  What makes you think that this could not happen again?
[00:04:32.045 --> 00:04:34.047]  We have this huge ISIS threat going on.
[00:04:34.247 --> 00:04:36.609]  They are the most well-funded group in the world.
[00:04:37.310 --> 00:04:43.560]  We're here right now where millions of people come every year to see the lights, to see what's going on.
[00:04:43.921 --> 00:04:51.453]  The world's eyes are on Times Square because the ISIS Jihadi magazine says that this is one of their number one spots to hit.
[00:04:52.386 --> 00:04:53.307]  This is serious.
[00:04:53.547 --> 00:04:56.971]  This is a crazy time in American history, and you better keep watching.
[00:04:57.011 --> 00:05:02.417]  You better see what's going on, because I tell you right now that this is not a mistake.
[00:05:02.497 --> 00:05:03.538]  This is by design.
[00:05:04.018 --> 00:05:10.966]  We know, with World Trade 7 falling out of nowhere, it looked like a demolition.
[00:05:11.226 --> 00:05:11.526]  Really?
[00:05:12.438 --> 00:05:14.899]  And you're going to sit there and say, no, that just happened out of nowhere.
[00:05:15.519 --> 00:05:17.760]  It was a complete and total plan collapse.
[00:05:18.140 --> 00:05:19.480]  The building's falling like that.
[00:05:19.600 --> 00:05:20.280]  Come on.
[00:05:20.561 --> 00:05:25.442]  There's so many truths out there for you to turn your eye and not pay attention to what's going on.
[00:05:25.842 --> 00:05:29.383]  So I encourage you please so much from the bottom of my heart.
[00:05:29.603 --> 00:05:34.465]  The only reason I joined the military is because the attacks that happened here and to wake up and find out.
[00:05:34.865 --> 00:05:37.728]  That this was an inside job breaks my heart.
[00:05:38.068 --> 00:05:40.210]  Every time I come to New York City, I literally tear up.
[00:05:40.430 --> 00:05:55.282]  The cab ride here choked me up because I know when I go out there Thursday, I'm going to break down like I always do because I lost some of my best friends I've ever had in my entire life because of the attacks that happened, the wars we started, the millions of people who have died all over this world.
[00:05:56.246 --> 00:06:01.730]  It makes me sick to my stomach to see people still sleeping and not awake to what really happened.
[00:06:02.151 --> 00:06:05.894]  You need to wake up because the stuff going on out here isn't fake.
[00:06:06.134 --> 00:06:11.258]  Our government's behind it and I'm Joe Biggs with InfoWars.com bringing you updates out here right now.
[00:06:15.543 --> 00:06:22.344]  So Joe Biggs and others are asking the question, will Times Square or other parts of New York be part of an anniversary attack?
