[00:00:03.888 --> 00:00:04.129]  Yeah.
[00:00:07.662 --> 00:00:15.144]  On Saturday, September 27, 2014, at noon local time in Japan, Mount Ontake suddenly exploded without warning.
[00:00:15.384 --> 00:00:17.805]  Many hikers and tourists were on the mountain at the time.
[00:00:18.225 --> 00:00:22.087]  One person tweeted a picture of the top of the volcano moments before it erupted.
[00:00:22.267 --> 00:00:24.167]  Over 30 people are now feared dead.
[00:00:24.527 --> 00:00:27.528]  Japan is a very active area for earthquakes and volcanoes.
[00:00:27.628 --> 00:00:35.491]  It's closely monitored, continuously monitored, yet it underscores that scientists still don't understand volcanoes well enough to predict them accurately.
[00:00:35.851 --> 00:00:40.476]  Mount Ontake shows that we won't always get months of warning like we did with Mount St.
[00:00:40.496 --> 00:00:42.498]  Helens before a volcano explodes.
[00:00:42.839 --> 00:00:51.789]  And if recent research papers are correct, supervolcanoes like Yellowstone could explode suddenly, without warning, without seismic movement signaled as earthquakes.
[00:00:52.389 --> 00:00:54.612]  When we think of an explosive volcanic eruption,
[00:00:55.092 --> 00:01:02.355]  We imagine it being preceded by earthquakes, by ground swelling, by the mountain venting some hot gas, perhaps even some lava.
[00:01:02.955 --> 00:01:07.076]  These are the signs we look for in the inexact science of volcanic predictions.
[00:01:07.656 --> 00:01:18.300]  But two research papers, published on the very same day this year, say that predicting supervolcano eruptions is even more difficult than predicting the eruptions of regular volcanoes.
[00:01:18.880 --> 00:01:27.550]  More on that in a moment, but first, do the events in Yellowstone earlier this year demonstrate changes that may be building toward an eruption?
[00:01:28.393 --> 00:01:31.175]  We did have an earthquake of 4.8 magnitude.
[00:01:31.435 --> 00:01:35.057]  Now that is the largest we've had in Yellowstone in over 30 years.
[00:01:35.357 --> 00:01:42.942]  And a couple of months later shuts down a road that's melted because of increased ground temperature, people start to get edgy about an impending eruption.
[00:01:43.543 --> 00:01:47.305]  I went to Yellowstone recently and geothermal activity is everywhere.
[00:01:47.325 --> 00:01:53.529]  A reminder that you're on top of a super caldera and magma dome, the largest on earth.
[00:01:54.062 --> 00:01:59.228]  Frankly, we are just a few miles above some really hot magma.
[00:01:59.728 --> 00:02:05.394]  That magma serves as the heat that fuels the geysers and hot springs and fumaroles in the park.
[00:02:06.135 --> 00:02:11.121]  It's that engine that allows for the unique things that we see here in Yellowstone.
[00:02:11.661 --> 00:02:14.082]  This is what the melted road looks like two months later.
[00:02:14.102 --> 00:02:20.283]  Yellowstone spokesman at the time said the road had turned to soup, and that was widely reported even in the mainstream media.
[00:02:20.724 --> 00:02:25.565]  But when I spoke to a ranger there, she dismissed it as simply a bad asphalt job.
[00:02:25.945 --> 00:02:28.906]  That was closed due to melting, the heat?
[00:02:29.106 --> 00:02:31.127]  No, no, it has nothing to do with that.
[00:02:31.427 --> 00:02:33.007]  That was just a couple of days.
[00:02:33.067 --> 00:02:35.228]  It was the asphalt was soft.
[00:02:35.648 --> 00:02:39.849]  It was actually a bad asphalt job that they had done the summer previous to that.
[00:02:40.169 --> 00:02:40.369]  Okay.
[00:02:40.409 --> 00:02:48.574]  And that combined with the intensity of the sun in the middle of the summer, and that it wasn't a hydrothermal area, that it just got soft.
[00:02:48.774 --> 00:02:49.194]  Oh, okay.
[00:02:49.254 --> 00:02:50.755]  And they just had to replace it.
[00:02:50.875 --> 00:02:54.357]  So it had nothing to do with an increase in geothermal activity in that area?
