[00:00:00.129 --> 00:00:01.434]  Direct from Austin.
[00:00:02.177 --> 00:00:05.389]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.639 --> 00:00:18.824]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.485 --> 00:00:20.265]  You want answers?
[00:00:21.046 --> 00:00:22.007]  Well, so does he.
[00:00:22.608 --> 00:00:26.232]  He's Alex Jones on the GCN Radio Network.
[00:00:26.793 --> 00:00:30.877]  And now, live from Austin, Texas, Alex Jones.
[00:00:47.419 --> 00:00:48.119]  Insane!
[00:00:48.179 --> 00:00:51.020]  A new poll out up on InfoWars.com.
[00:00:51.640 --> 00:00:56.781]  One in ten Americans wants war with Russia over downed airliner.
[00:00:56.821 --> 00:01:00.882]  They must think it'll be like Iraq or some other country that doesn't have any high-tech weapons.
[00:01:01.582 --> 00:01:09.264]  Islamic State, ISIS, now calls itself IS the last few weeks, now got a hold of a large-scale cache of US
[00:01:10.785 --> 00:01:18.207]  Heavy arms, like large artillery, so they can shell and bomb and destroy major cities.
[00:01:18.947 --> 00:01:22.528]  But don't worry, your baby's diaper will be checked when you're flying.
[00:01:22.948 --> 00:01:25.609]  But ISIS will be armed by the globalists.
[00:01:26.269 --> 00:01:28.290]  Also, the MH17 cover-up.
[00:01:29.210 --> 00:01:32.291]  Paul Watson did an in-depth interview with Michael Savage yesterday.
[00:01:32.311 --> 00:01:34.912]  That interview is up on InfoWars.com.
[00:01:34.932 --> 00:01:35.612]  Very informative.
[00:01:36.775 --> 00:01:38.215]  Guilt by insinuation.
[00:01:38.615 --> 00:01:40.236]  How American propaganda works.
[00:01:40.316 --> 00:01:41.116]  I want to get into that.
[00:01:41.456 --> 00:01:43.056]  I wouldn't call it American propaganda, though.
[00:01:43.416 --> 00:01:45.757]  I'd call it globalist propaganda.
[00:01:46.237 --> 00:01:49.838]  The same propaganda the globalists used to capture this country.
[00:01:50.378 --> 00:01:51.298]  And some good news.
[00:01:51.478 --> 00:01:54.939]  You know, I was harping on this a few weeks ago when Obama was in Austin, Texas.
[00:01:54.959 --> 00:01:59.679]  The city refuses to pay for Obama's visit.
[00:02:00.280 --> 00:02:01.740]  It would cost the town
[00:02:02.952 --> 00:02:05.214]  In Washington State, $35,000.
[00:02:05.754 --> 00:02:09.196]  And they said, listen, let him do it.
[00:02:10.337 --> 00:02:11.418]  We're going bankrupt.
[00:02:12.839 --> 00:02:13.879]  He's opened the borders.
[00:02:14.920 --> 00:02:16.221]  The cities are collapsing.
[00:02:16.721 --> 00:02:23.606]  Hey, why didn't he go to Detroit and have them pay hundreds of thousands a day like it was in Austin?
[00:02:24.346 --> 00:02:26.668]  Millions of dollars total with all his visits combined.
[00:02:27.308 --> 00:02:28.629]  But that's not even the true cost.
[00:02:28.669 --> 00:02:32.492]  The true cost is shutting down large parts of cities for hours.
[00:02:34.076 --> 00:02:35.676]  Instead of flying around in a helicopter.
[00:02:35.756 --> 00:02:36.677]  It's just disgusting.
