[00:00:05.131 --> 00:00:05.551]  That's right.
[00:00:06.192 --> 00:00:10.514]  Speaking of feuds, you have this contentious debate with this gentleman, Alex Jones.
[00:00:10.594 --> 00:00:10.834]  Yes.
[00:00:10.994 --> 00:00:12.275]  I saw this on your show.
[00:00:13.376 --> 00:00:14.216]  Tell people who he is.
[00:00:15.497 --> 00:00:19.259]  Well, Piers Morgan is back in the news again, desperately trying to get attention.
[00:00:19.720 --> 00:00:24.002]  He's challenging Jeremy Clarkson of Top Gear to a fight for charity.
[00:00:24.042 --> 00:00:29.966]  Back when Piers Morgan and Buzz Bissinger were talking about how they'd like to invite Alex to a boxing match and then shoot him.
[00:00:31.215 --> 00:00:33.235]  I got serious news to get to in your phone calls.
[00:01:01.158 --> 00:01:04.469]  But first off, I want to get into
[00:01:09.932 --> 00:01:36.415]  This and I'm going to have the Nightly News do a piece on this because it is interesting and then they can get where Buzz Bissinger on the show said he wanted to kill me and that Piers Morgan should kill me and Piers Morgan said yes I want to kill him so at that point just like I challenged him to a boxing match on the show before I said I challenge you and Buzz Bissinger who likes to wear females clothes that's fine he can dress as a woman and we both of them can actually because that's about what they are I'm not knocking women but as men they're not very manly and they can both get in the ring against me
[00:01:38.755 --> 00:01:40.196]  Either bare knuckle or with gloves.
[00:01:40.376 --> 00:01:50.060]  We can do it in Vegas, I guarantee you pay-per-view, as big as that story was, it would get picked up, it would have millions that would pay on pay-per-view, and we could give the proceeds to charity.
[00:01:51.880 --> 00:01:57.503]  You notice they never took the challenge up, and I know he tweeted back at me and stuff about it, basically saying, no thanks.
[00:01:58.383 --> 00:02:00.664]  You need to accept the challenge, coward.
[00:02:01.004 --> 00:02:07.307]  You're washed up, you're out of the United States, everybody hates you, you're gonna do a once a month magazine show for CNN, as I predicted they would give you.
[00:02:08.379 --> 00:02:13.602]  Hiding their mistakes, you know, acting like you're not a total failure, taking a show from two million viewers at three hundred and something thousand.
[00:02:14.023 --> 00:02:18.966]  You know, Morgan, I will literally beat the hell out of you and Buzz Bissinger.
[00:02:19.526 --> 00:02:20.847]  I tell you what, let's go further.
[00:02:22.870 --> 00:02:23.991]  Andy Kaufman would do this.
[00:02:24.171 --> 00:02:27.853]  I'll fight the ambassador's daughter who said she wants to kill me too on the show.
[00:02:28.454 --> 00:02:29.294]  Buzz Bissinger.
[00:02:29.555 --> 00:02:30.235]  So two women.
[00:02:30.455 --> 00:02:32.937]  I'll fight her, Buzz Bissinger, and you, Morgan.
[00:02:33.237 --> 00:02:33.737]  I'm serious.
[00:02:33.837 --> 00:02:38.821]  I will go in that ring and I will demolish all three of you within three rounds.
[00:02:39.201 --> 00:02:40.002]  I guarantee you.
[00:02:40.562 --> 00:02:42.603]  I will annihilate you within three rounds.
[00:02:43.384 --> 00:02:44.404]  Guaranteed, cowards.
[00:02:44.945 --> 00:02:45.685]  All three of you.
[00:02:45.865 --> 00:02:46.346]  I'm serious.
[00:02:46.606 --> 00:02:50.949]  In the ring, I will come in there and stomp the hell out of all of you, including your tart.
[00:02:52.995 --> 00:02:55.236]  Because she wants to talk about how she wants to be dead and everything.
[00:02:55.276 --> 00:02:56.717]  Well, get in the ring with me, you wench!
[00:02:57.937 --> 00:02:59.418]  I will take all three of you on.
[00:03:00.858 --> 00:03:03.659]  First thing I'll do is punch her in the solar plexus, taking her out.
[00:03:04.380 --> 00:03:12.163]  Then I'll go over to Morgan, and I will absolutely start just battering his head with both gloves, and then I'm going to turn on Bissinger.
[00:03:14.524 --> 00:03:15.364]  All three of you.
[00:03:15.644 --> 00:03:16.505]  All three of you.
[00:03:16.565 --> 00:03:17.065]  Come on!
[00:03:17.965 --> 00:03:19.766]  Quite a man, but I will take on that little brunette.
[00:03:21.220 --> 00:03:22.921]  They don't call me McGarrett for nothing, folks.
[00:03:23.641 --> 00:03:29.403]  The point is, ladies and gentlemen, is that this guy's a coward.
[00:03:29.443 --> 00:03:32.384]  So, everybody knows I challenged him to that.
[00:03:32.684 --> 00:03:39.746]  Well, now the host of Top Gear, that looks just like him in the UK, this is probably a staged publicity stunt, he said, if he dies, he dies.
[00:03:39.846 --> 00:03:46.669]  Piers Drago Morgan challenges Jeremy Clarkson, after he challenged him, to a fight for charity in the ring.
