[00:00:19.423 --> 00:00:20.285]  Good evening, everyone.
[00:00:20.345 --> 00:00:22.629]  Welcome to the InfoWars Nightly News.
[00:00:22.769 --> 00:00:23.791]  I'm Darren McBreen.
[00:00:23.871 --> 00:00:25.293]  It is Wednesday, January 8, 2014.
[00:00:25.995 --> 00:00:29.441]  Here's a quick look at what's coming up.
[00:00:32.039 --> 00:00:38.747]  Tonight, as radiation readings soar on the West Coast, InfoWars sends a team to report what the mainstream media won't.
[00:00:39.388 --> 00:00:43.373]  Regardless of the source, what does it mean for you and your family's health?
[00:00:44.174 --> 00:00:49.461]  All that and more in live reports from the West Coast on tonight's InfoWars Nightly News.
[00:00:55.902 --> 00:01:10.141]  Well by now I'm sure you've all seen the viral video on YouTube where a citizen journalist took his Geiger counter to a beach in San Francisco and recorded background radiation over five times the safe level.
[00:01:10.862 --> 00:01:17.544]  Days after the YouTube video emerged, health officials in San Mateo County confirmed the spike.
[00:01:17.904 --> 00:01:26.046]  However, they dismissed the possibility that the high levels of radiation are linked to Fukushima radiation reaching the West Coast.
[00:01:26.586 --> 00:01:35.489]  Don't forget that experts have concluded that the radioactive plume from the nuclear accident in March 2011 will reach the U.S.
[00:01:35.589 --> 00:01:37.009]  coast by early 2014.
[00:01:39.790 --> 00:01:45.712]  So the question is, has Fukushima's radioactive wave already hit California?
[00:01:46.052 --> 00:02:03.739]  Now, in a new development, an electrical engineer who's designed Geiger counters over the past 40 years, well, he took his own measurements in San Francisco and found hotspots that are a staggering 14 times the normal background radiation.
[00:02:04.319 --> 00:02:15.428]  And for more on this, we go to InfoWars reporter Jakari Jackson and crew who are live on the scene in San Francisco, equipped with their very own Geiger counters.
[00:02:16.068 --> 00:02:17.489]  And Jakari, what do you make of all this?
[00:02:17.569 --> 00:02:33.341]  I mean, we don't know whether or not the radiation hotspots are because of Fukushima, but we do know that the radiation levels are up, and that is indeed a fact, and that would pose a significant health risk, don't you think?
[00:02:34.238 --> 00:02:35.018]  Oh, definitely so.
[00:02:35.078 --> 00:02:37.098]  And you said it so beautifully, so poignantly.
[00:02:37.379 --> 00:02:43.860]  Because even if we don't know this is from Fukushima, if it's naturally occurring, it's still way higher than what it normally should be.
[00:02:44.080 --> 00:02:49.881]  And Darren, I just want to direct your attention briefly to the beautiful Golden Gate Bridge standing right here behind me.
[00:02:49.981 --> 00:02:51.601]  It is absolutely beautiful.
[00:02:51.621 --> 00:02:53.081]  We have our crew down there on the rocks.
[00:02:53.441 --> 00:02:55.442]  They're doing their various readings at this moment.
[00:02:55.782 --> 00:02:59.842]  And from what I'm told, Don, we still have 15 microrins.
[00:02:59.902 --> 00:03:01.383]  Is that correct?
[00:03:01.403 --> 00:03:02.043]  15 microrins.
[00:03:02.363 --> 00:03:03.563]  And also, what's the CPMs?
[00:03:05.486 --> 00:03:08.087]  The crew is checking out our equipment here on the Geiger count.
[00:03:08.627 --> 00:03:10.107]  About 42 CPM.
[00:03:10.487 --> 00:03:14.268]  And you guys can go to Paul Joseph Watson's article for what all those facts and figures mean.
[00:03:14.508 --> 00:03:16.889]  But Darren, yes, this is something that people need to know about.
[00:03:16.929 --> 00:03:22.290]  As beautiful as this day is, there's definitely a health risk associated that's going on on these various beaches.
[00:03:22.350 --> 00:03:27.411]  Not so much here, but in the other area that we were at earlier today, we definitely saw some high numbers there.
[00:03:28.268 --> 00:03:38.312]  Now I want to talk about the guy who designed his own Geiger counters over the past 40 years because he says he's never seen anything quite like this.
[00:03:38.332 --> 00:03:42.954]  You know, he's very alarmed by the measurements that were recently taken.
[00:03:43.194 --> 00:03:46.995]  He's even warned everybody to stay away from the beach.
[00:03:47.615 --> 00:03:56.078]  Meanwhile, authorities are telling people that, you know, it's completely harmless and, you know, we've been lied to before.
[00:03:56.098 --> 00:03:57.039]  I just want to know
[00:03:58.130 --> 00:04:02.433]  Do you trust the authorities, Jakari, when they say that there's nothing to worry about right now?
[00:04:03.094 --> 00:04:06.917]  Well, if you think back, Darren, on 9-11, they said the dust was safe to breathe.
[00:04:06.937 --> 00:04:08.278]  That was the EPA, then it came out.
[00:04:08.298 --> 00:04:09.379]  Obviously, that was not the case.
[00:04:09.679 --> 00:04:12.842]  Many people came down with many illnesses from the 9-11 dust.
[00:04:13.162 --> 00:04:15.904]  And I can't say that's exactly what's going on here, but you know,
[00:04:16.638 --> 00:04:17.539]  Take it with a grain of salt.
[00:04:17.559 --> 00:04:18.520]  They say it's okay.
[00:04:18.660 --> 00:04:20.282]  Well, maybe it's okay for a little bit.
[00:04:20.322 --> 00:04:23.244]  You don't want to spend all your time out here swimming in it.
[00:04:23.505 --> 00:04:24.185]  Definitely not.
[00:04:24.486 --> 00:04:29.831]  And I definitely want anybody who's in this area to take that into account before they go jump in these waters.
[00:04:30.882 --> 00:04:42.510]  Well, I tell you what really got my attention recently, and that is the fact that the federal government, they're acting like they're preparing for some sort of nuclear emergency right now.
[00:04:42.950 --> 00:04:58.300]  Because we now know that the Department of Health and Human Services, for example, they just ordered an unprecedented 14 million doses of potassium iodide, which, you know, protects the body in the event of radioactive poisoning.
[00:04:58.740 --> 00:05:06.047]  So the federal government, they are already acting as if there's been a severe nuclear accident.
[00:05:06.247 --> 00:05:08.690]  Does that concern you as much as it does me?
[00:05:09.463 --> 00:05:13.244]  Oh yes, it concerns me not only as a journalist, but as a just general citizen.
[00:05:13.264 --> 00:05:16.206]  Now, of course, I don't live here in this beautiful state of California.
[00:05:16.246 --> 00:05:17.706]  We are in Austin, Texas.
[00:05:17.946 --> 00:05:19.967]  But regardless of where you are, this stuff spreads.
[00:05:20.027 --> 00:05:23.608]  It's not just going to stay here on the California coast, whatever this radiation is.
[00:05:23.848 --> 00:05:27.230]  Whether it's Fukushima, whether it's other types of radiation, these things spread.
[00:05:27.250 --> 00:05:28.570]  So you definitely need to be aware of that.
[00:05:28.830 --> 00:05:36.113]  And on that note that you made, Anthony Gucciardi called those guys up and they hung up on him because they didn't want to talk about why they're ordering so much of this, of these materials.
[00:05:37.130 --> 00:05:39.891]  Well, tell us about, you took your own Geiger counters out there.
[00:05:39.931 --> 00:05:42.733]  What have you guys found out thus far on your trip?
[00:05:43.793 --> 00:05:55.259]  Well, the first place we went where the YouTube was, the viral YouTube video, that was the highest, the highest levels when we have a video out or it will be out shortly on InfoWars.com and also on the Alex Jones YouTube page.
[00:05:55.799 --> 00:06:00.682]  But here, they're not as high, but it's still things to be concerned about and we'll continue moving there.
[00:06:00.702 --> 00:06:02.523]  And I want to tell you a little bit about what we have planned.
[00:06:02.783 --> 00:06:04.464]  We're going to move completely up the coast.
[00:06:05.084 --> 00:06:17.373]  We're gonna move pretty far here tonight, and we'll see you guys tomorrow and also all the way up into Washington So we're gonna be going to various power plants various beaches and different locations to give you guys the best readings What's your final destination?
[00:06:17.413 --> 00:06:18.634]  Where does the road trip end?
[00:06:19.655 --> 00:06:28.401]  We're gonna go up to Seattle then fly back down to Southern, California I think we're gonna hit LA and a few other spots around there and end at San Diego then come back
[00:06:29.571 --> 00:06:44.854]  And we will continue to get updates from Jakari Jackson and the crew as they continue to travel up the Pacific Coast and investigate what's really going on with the alarming radiation spikes that are occurring all throughout that area.
[00:06:45.154 --> 00:06:52.236]  Now be sure to check in with InfoWars.com and listen to the Alex Jones Show this week and next for continued updates.
[00:06:52.576 --> 00:06:57.257]  By the way, just got word from the Japanese Ministry of the Environment
[00:06:57.757 --> 00:07:10.341]  They are actually considering a city-wide evacuation near Fukushima as thyroid cancer rates among Japanese children in the area have finally reached epidemic levels.
[00:07:11.061 --> 00:07:12.281]  We're going to take a quick break.
[00:07:12.581 --> 00:07:14.942]  The InfoWars Nightly News will be right back.
[00:07:23.686 --> 00:07:29.271]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:07:29.491 --> 00:07:36.698]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:07:36.858 --> 00:07:40.121]  Radioactive contamination is now in most of the food supply.
[00:07:40.221 --> 00:07:42.023]  There's only two ways to avoid this.
[00:07:42.263 --> 00:07:46.827]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:07:46.927 --> 00:07:49.650]  Looking to protect my family, I've done deep research.
[00:07:49.810 --> 00:07:55.596]  Nascent Iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:07:55.777 --> 00:07:59.261]  It's made right here in the USA, completely non-GMO.
[00:07:59.441 --> 00:08:04.486]  I searched out the best quality and now have developed a double strength form of Nascent Iodine.
[00:08:04.707 --> 00:08:07.650]  Exclusively available at Infowarslife.com
[00:08:07.910 --> 00:08:13.773]  Nascent Iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:08:13.893 --> 00:08:15.894]  Survival Shield Nascent Iodine.
[00:08:16.054 --> 00:08:21.496]  Secure your super high quality Nascent Iodine today at InfoWarsLife.com.
[00:08:21.576 --> 00:08:22.937]  That's InfoWarsLife.com.
[00:08:27.719 --> 00:08:29.360]  Introducing Pro-1.
[00:08:29.600 --> 00:08:33.123]  All of your filtration in one system, portable, on-the-go.
[00:08:33.263 --> 00:08:37.646]  No more do you have two or three filters to just reduce sodium fluoride.
[00:08:37.786 --> 00:08:43.770]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:08:43.890 --> 00:08:54.637]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:08:54.917 --> 00:08:57.519]  It is the only one that does it and out of the gate.
[00:08:57.739 --> 00:09:01.181]  Yes, we have it discounted at 10% off with promo code WATER.
[00:09:01.381 --> 00:09:18.352]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:09:18.692 --> 00:09:24.015]  Get your ProPure with the new Pro1 filter today at InfoWarstore.com or by calling 888-253-3139.
[00:09:35.100 --> 00:09:39.441]  Welcome back to the Teleprompter Free Info Wars Nightly News.
[00:09:39.861 --> 00:09:51.285]  Up next we have a special report from David Knight who wants to know who is really in control of the presidential puppet who is Barack Hussein Obama.
[00:09:55.106 --> 00:09:58.367]  Everyone's talking about Michael Bay's meltdown at the Consumer Electronics Show.
[00:09:58.747 --> 00:10:01.268]  He abruptly walked off stage when his teleprompter failed.
[00:10:01.328 --> 00:10:03.629]  Hollywood is a place that creates
[00:10:05.256 --> 00:10:06.777]  A viewer escape.
[00:10:07.657 --> 00:10:17.502]  And, um, what I try to do is I, as a director, I try to... The type is all off, sorry, but I'll just wing this.
[00:10:18.242 --> 00:10:18.863]  Tell us what you think.
[00:10:19.263 --> 00:10:20.243]  Yeah, excuse me, I'm sorry.
[00:10:20.824 --> 00:10:21.184]  I'm sorry.
[00:10:22.372 --> 00:10:33.760]  Now, he's a director, he's not a professional presenter or an actor, and it doesn't really matter to anybody other than Samsung that that failed, but it matters very much if our political leaders are reading off of a script.
[00:10:34.101 --> 00:10:43.508]  All politicians have used teleprompters from time to time, but Obama has become so dependent on them that when there's a failure like there was with Michael Bay, Obama becomes speechless.
[00:10:44.088 --> 00:10:46.370]  Oh, goodness.
[00:10:47.780 --> 00:10:53.784]  The president needs, I don't know if he has it, he always needs the script in his hands or in front of him.
[00:10:53.804 --> 00:10:54.865]  Like what we have right here.
[00:10:55.265 --> 00:11:00.428]  Obama's speeches are controlled events and that control flows through the teleprompter.
[00:11:00.669 --> 00:11:09.654]  Well I think a lot of the problem he had today was the late afternoon sun in Berlin I think ruined his use of the teleprompters and so his usual dramatic wind-up was ruined.
[00:11:09.714 --> 00:11:11.376]  I think he was really struggling with the text there.
[00:11:12.421 --> 00:11:18.424]  Obama's public persona is so controlled that he won't even address a group of elementary students without a teleprompter.
[00:11:23.246 --> 00:11:27.768]  I am pleased to be joined today by my outstanding education
[00:11:28.780 --> 00:11:32.482]  Secretary Arne Duncan at Graham Road Elementary School.
[00:11:32.782 --> 00:11:38.185]  What's troubling about teleprompters and Obama is that it shows he's a tightly controlled actor.
[00:11:38.565 --> 00:11:45.188]  We know that Michael Bay was reading a script to sell Samsung products, but who are the corporate sponsors who are writing Obama's teleprompter script?
[00:11:45.548 --> 00:11:47.989]  Who's really in control of this puppet?
[00:11:49.710 --> 00:11:54.032]  It is wonderful to see all of you, and I want to thank everybody who's here.
[00:11:54.132 --> 00:11:57.794]  I think there's only one problem, and that is that my remarks are not sitting here.
[00:11:58.683 --> 00:11:59.043]  People?
[00:12:02.585 --> 00:12:09.089]  You know, things, by Friday afternoon, things get a little challenged.
[00:12:10.510 --> 00:12:14.713]  I'm going to have a, I'm going to... We don't use teleprompters here at InfoWars.
[00:12:15.013 --> 00:12:18.875]  My take is going to be different from other reporters, even from Alex's take on some issues.
[00:12:19.216 --> 00:12:23.598]  And we want to be honest and transparent with you, unlike our teleprompter president.
[00:12:24.299 --> 00:12:26.680]  I know that uninsured Americans,
[00:12:30.672 --> 00:12:49.950]  Alright, we're going to take a quick break, but when we come back, Jakari Jackson sits down and talks with Fast and Furious victim Ian Garland, and he tells his amazing story about his abuse at the hands of the federal government.
[00:12:50.410 --> 00:12:51.932]  Trust me, you don't want to miss this one.
[00:12:51.972 --> 00:12:56.196]  The InfoWars Nightly News will return right after this, so stick around.
[00:13:05.117 --> 00:13:06.139]  I'll be honest with you.
[00:13:06.359 --> 00:13:07.801]  We're at a major crossroads.
[00:13:08.442 --> 00:13:11.467]  My radio show has almost become passé for many.
[00:13:12.229 --> 00:13:16.075]  Because all of the incredibly radical sounding things that we've talked about
[00:13:16.428 --> 00:13:20.009]  The last 18 years on air are now public knowledge.
[00:13:20.229 --> 00:13:22.889]  Almost everything we've discussed is now being reported by mainstream.
