[00:00:04.946 --> 00:00:06.187]  There is a war.
[00:00:06.627 --> 00:00:07.608]  It's happening now.
[00:00:08.508 --> 00:00:10.349]  It will decide the fate of humanity.
[00:00:10.890 --> 00:00:12.711]  The time to choose sides has come.
[00:00:13.451 --> 00:00:14.912]  We are the resistance.
[00:00:15.352 --> 00:00:22.877]  We are the InfoWars.
[00:00:22.957 --> 00:00:24.438]  Welcome to the InfoWars Nightly News.
[00:00:24.518 --> 00:00:26.499]  I'm David Knight and it's Thursday, September 18th, 2014.
[00:00:26.639 --> 00:00:27.540]  Here are our top stories.
[00:00:27.560 --> 00:00:27.780]  Tonight,
[00:00:34.204 --> 00:00:37.086]  What Britain really thinks about Scottish independence.
[00:00:38.166 --> 00:00:41.188]  Then, how secure are Apple products?
[00:00:41.989 --> 00:00:46.071]  And the campaign to declassify the censored 9-11 pages.
[00:00:46.751 --> 00:00:50.393]  That's next, on the InfoWars Nightly News.
[00:00:51.834 --> 00:01:00.039]  Now it's going to come out in the 28-page report that I've talked to congressmen who have seen it, Walter Jones and others, clearly says Saudi Arabia involved, stand down was ordered.
[00:01:00.865 --> 00:01:07.712]  Today, September 18th, is the day that Scots go to the poll to decide if they're going to become independent of the United Kingdom.
[00:01:08.292 --> 00:01:12.737]  This is a major decision, not only for Scotland, but for the world.
[00:01:13.037 --> 00:01:15.339]  Because it's a question of what you value.
[00:01:15.659 --> 00:01:17.301]  Do you value your independence?
[00:01:17.421 --> 00:01:19.904]  Do you value that over your security?
[00:01:20.544 --> 00:01:24.128]  Do you value self-determination and liberty over comfort?
[00:01:24.388 --> 00:01:27.591]  That is the question before the Scottish people, in my opinion.
[00:01:27.991 --> 00:01:28.932]  Take a look at this picture.
[00:01:28.992 --> 00:01:31.455]  This is how it's being posed to the people in Scotland.
[00:01:31.475 --> 00:01:38.161]  This Reuters picture that shows the Scottish yes vote says, Scotland's future in Scotland's hands.
[00:01:38.682 --> 00:01:40.564]  On the other side, you have vote no.
[00:01:40.584 --> 00:01:42.385]  It's just not worth the risk.
[00:01:43.442 --> 00:01:44.302]  Let me tell you something.
[00:01:44.343 --> 00:01:48.305]  This is always about liberty versus the promise of security.
[00:01:48.925 --> 00:01:52.767]  People who are slaves will never have any security.
[00:01:53.107 --> 00:01:59.931]  If you don't have control over your life, if you don't have control over your government, you do not have any security or any comfort.
[00:02:00.231 --> 00:02:01.432]  But that's what's being sold to them.
[00:02:01.792 --> 00:02:08.376]  Consider the fact that the conservatives in England, the Tories, are putting this out as, say, Scotland is very socialist.
[00:02:08.656 --> 00:02:08.916]  True.
[00:02:09.016 --> 00:02:10.297]  It's not a perfect country.
[00:02:10.657 --> 00:02:11.958]  There is no perfect country.
[00:02:12.498 --> 00:02:13.839]  The UK has its problems.
[00:02:13.919 --> 00:02:15.720]  The United States certainly has its problems.
[00:02:15.800 --> 00:02:17.501]  Scotland has its own internal problems.
[00:02:17.821 --> 00:02:24.025]  They have minders assigned to children at birth, following them through decades.
[00:02:24.546 --> 00:02:28.668]  Now, the Tories, the Conservatives are saying that Scotland is too socialist.
[00:02:29.208 --> 00:02:30.629]  That may very well be true.
[00:02:31.290 --> 00:02:39.595]  Yet, why would the English, why would the Conservatives want to have a country that they consider to be too socialist, too dependent?
[00:02:40.055 --> 00:02:40.276]  Thank you.
[00:03:00.038 --> 00:03:02.519]  Look at who is really getting heartburn over this.
[00:03:02.559 --> 00:03:03.860]  Of course, it's the bankers.
