[00:00:01.430 --> 00:00:02.591]  Coast to coast.
[00:00:02.971 --> 00:00:04.292]  Direct from Austin.
[00:00:05.032 --> 00:00:08.235]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.468 --> 00:00:18.633]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.313 --> 00:00:20.114]  You want answers?
[00:00:20.895 --> 00:00:21.796]  Well, so does he.
[00:00:22.437 --> 00:00:26.081]  He's Alex Jones on the GCN Radio Network.
[00:00:26.621 --> 00:00:30.685]  And now, live from Austin, Texas, Alex Jones.
[00:00:40.481 --> 00:01:00.245]  Ladies and gentlemen, all hell is breaking loose in Ukraine as pro-Russian forces battle in cities across the eastern area of that nation with the NATO-EU backed government forces who were freedom fighters a few months ago when they were overthrowing the elected government.
[00:01:01.165 --> 00:01:08.047]  Now, anyone not rolling over and being enslaved by them is being called a terrorist by the U.S.
[00:01:08.507 --> 00:01:09.507]  and European media.
[00:01:11.499 --> 00:01:33.244]  And I've weighed things very judiciously here, looking at it, and I have to say the West started the conflict because they wouldn't join the EU, and now they're purposely trying to manipulate Russia into invading eastern Ukraine to protect their interests there, and it is a very dangerous, dangerous game.
[00:01:33.744 --> 00:01:35.925]  There's a whole other facet to this I haven't talked a lot about.
[00:01:36.834 --> 00:01:41.176]  They're talking about Putin having secret slush funds, which undoubtedly I'm sure he does.
[00:01:42.776 --> 00:01:49.619]  And when they go after Swiss bank accounts in the last decade or so, they're usually going after nouveau riche people with 5, 10, 20 million dollars.
[00:01:49.659 --> 00:01:50.599]  Sounds like a lot, it's not.
[00:01:51.079 --> 00:01:54.200]  They're leaving alone the billionaires and the globalists.
[00:01:54.240 --> 00:01:56.241]  You know, it came out last year that the French
[00:01:59.767 --> 00:02:01.588]  Socialist across the board.
[00:02:01.988 --> 00:02:06.370]  Most of the government got caught with giant Swiss and Luxembourg and Bahamas accounts.
[00:02:07.270 --> 00:02:10.171]  And that they're the ones pushing a 100 plus percent tax.
[00:02:10.251 --> 00:02:10.972]  I'm not joking.
[00:02:11.532 --> 00:02:15.213]  On the middle class to destroy any savings they had accrued over the years.
[00:02:18.074 --> 00:02:19.715]  But of course they support 100 percent tax.
[00:02:20.455 --> 00:02:21.376]  Like 101 percent.
[00:02:21.716 --> 00:02:26.038]  Because they are above the law and don't pay those taxes.
[00:02:26.778 --> 00:02:29.079]  EU bureaucrats under law don't pay EU tax.
[00:02:30.174 --> 00:02:34.535]  It is incredible, the level of open evil and hypocrisy they get away with.
[00:02:35.636 --> 00:02:49.120]  And so now that they're so above the law, they're going to go after basically other countries' leaders who've been funneling some of the state-run company money into themselves.
[00:02:49.760 --> 00:02:57.543]  And Putin has reportedly, from back when he was vice president under Yeltsin, owns a share of this particular energy company.
[00:02:58.376 --> 00:03:00.837]  And the media tries to say, you know, we bet it's 40 billion.
[00:03:00.857 --> 00:03:01.818]  It might be a billion.
[00:03:01.838 --> 00:03:02.638]  It might be a hundred million.
[00:03:02.898 --> 00:03:03.339]  Who knows?
[00:03:03.639 --> 00:03:11.163]  They're using it as propaganda against him, going, we're going to take your private money, your getaway money.
