[00:00:00.229 --> 00:00:01.650]  What's his name?
[00:00:01.810 --> 00:00:03.191]  This is an emergency transmission.
[00:00:03.531 --> 00:00:06.073]  This is an emergency transmission.
[00:00:06.093 --> 00:00:09.816]  From FEMA Region 6 in Occupy.
[00:00:24.229 --> 00:00:25.410]  There is a war.
[00:00:25.911 --> 00:00:26.892]  It's happening now.
[00:00:27.772 --> 00:00:29.594]  It will decide the fate of humanity.
[00:00:30.155 --> 00:00:31.957]  The time to choose sides has come.
[00:00:32.717 --> 00:00:34.179]  We are the Resistance.
[00:00:34.639 --> 00:00:36.321]  We are the Infowar.
[00:00:43.055 --> 00:00:44.696]  I'm Joe Biggs with Infowars.com.
[00:01:00.347 --> 00:01:19.204]  Department of Homeland Security committee meeting where he asked Jed Johnson if he was aware of any known Suspected tears being captured at all during his tenure as the Secretary of Homeland Security His response was sitting here right now No specific case comes to mind
[00:01:20.302 --> 00:01:27.805]  This is our Secretary of DHS, the man who's supposed to know about the security of our homeland.
[00:01:28.305 --> 00:01:35.448]  And he has no clue that four known terrorists were captured and detained at our southern borders.
[00:01:37.162 --> 00:01:47.071]  You know, we've shown you multiple times, myself, James O'Keefe, that crossing the river, the Rio Grande, the Rio Bravo, this is an easy task for terrorists to do it.
[00:01:47.411 --> 00:01:48.652]  I've done it multiple times.
[00:01:49.393 --> 00:01:53.316]  In Texas, in Arizona, it's not a hard thing to do.
[00:01:54.477 --> 00:02:02.385]  Harry Reid, Feinstein, they all want to come on TV and lie to the American people daily and say that our American borders are secure.
[00:02:03.065 --> 00:02:12.014]  Now, what the Congressman went on to say, though, was out of the 460-something thousand people that come through, only a small percentage of them are actually captured.
[00:02:12.455 --> 00:02:14.316]  So, for those four that were caught,
[00:02:15.148 --> 00:02:17.610]  Probably quadruple that, actually get through.
[00:02:18.090 --> 00:02:30.361]  And we're continuing to find Korans, prayer rugs, Iranian to English translation books, money from all these different countries with known terrorist ties, people with connections to Hezbollah.
[00:02:30.901 --> 00:02:36.386]  This is a serious thing that needs to be looked at, and yet our country, our government does nothing about it.
[00:02:36.966 --> 00:02:43.531]  But they want to demonize the militias when they go out there that move from the middle of the states to come down to help protect the border.
[00:02:43.851 --> 00:02:49.274]  They want to call them domestic terrorists, say that they're not part of the solution but part of the problem.
[00:02:49.835 --> 00:02:52.257]  And then the Border Patrol wants to shoot at them.
[00:02:52.777 --> 00:02:55.279]  They're just trying to do their job because they're not doing it.
[00:02:56.039 --> 00:03:05.672]  Luckily, we got these four guys on September 10th, the day before, when we had intel that the 13th anniversary of September 11th could be a terrorist attack.
[00:03:06.233 --> 00:03:08.876]  So, thank God these guys were able to capture them!
[00:03:10.120 --> 00:03:23.250]  So what I'm going to do is I'm going to show you again the video of myself crossing as an ISIS terrorist, and then I'm going to show you the video of James O'Keefe coming across the lake from Canada into America with Ebola and ricin.
[00:03:23.870 --> 00:03:32.717]  So continue watching our updates of this because I don't know how many times we have to keep reminding you that this is not secure, that the terrorist can come through.
[00:03:32.957 --> 00:03:35.279]  We're not saying it will happen, we're just informing you
[00:03:35.959 --> 00:03:37.660]  That it is easy for this to happen.
[00:03:38.380 --> 00:03:39.080]  How did you get here?
[00:03:39.120 --> 00:03:42.242]  Did you cross in a boat or something?
[00:03:42.442 --> 00:03:45.083]  Well, I used my British passport to get to Canada.
[00:03:45.763 --> 00:03:46.844]  And then, yes, I took a boat.
[00:03:47.664 --> 00:03:48.785]  No border patrol stop you?
[00:03:49.425 --> 00:03:50.645]  Do you see any border patrol?
[00:03:50.825 --> 00:03:52.166]  Do you see any coast guard?
[00:03:52.806 --> 00:03:53.647]  What's in that other bag?
[00:03:54.087 --> 00:03:54.787]  This is ricin.
[00:03:56.168 --> 00:03:57.968]  As you can see, Cleveland's water supply is over there.
[00:03:57.988 --> 00:04:01.130]  If we pour it in there, it'll kill a lot of Americans.
[00:04:48.254 --> 00:04:54.600]  Thank you, Obama, for leaving your southern borders open so ISIS can terrorize America.
[00:04:54.620 --> 00:04:57.723]  ISIS thanks you, President Obama.
[00:04:58.484 --> 00:05:01.207]  We claim this land for Sharia law.
[00:05:22.000 --> 00:05:27.584]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:05:27.785 --> 00:05:35.010]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:05:35.170 --> 00:05:38.373]  Radioactive contamination is now in most of the food supply.
[00:05:38.513 --> 00:05:40.315]  There's only two ways to avoid this.
[00:05:40.555 --> 00:05:45.139]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:05:45.220 --> 00:05:47.982]  Looking to protect my family, I've done deep research.
[00:05:48.122 --> 00:05:53.908]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:05:54.068 --> 00:05:57.552]  It's made right here in the USA completely non-GMO.
[00:05:57.752 --> 00:06:06.041]  I searched out the best quality and now have developed a double strength form of nascent iodine exclusively available at InfoWarsLife.com.
[00:06:06.241 --> 00:06:12.107]  Nascent iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:06:12.227 --> 00:06:14.209]  Survival Shield Nascent Iodine.
[00:06:14.389 --> 00:06:19.194]  Secure your super high quality nascent iodine today at InfoWarsLife.com.
[00:06:19.494 --> 00:06:21.276]  That's InfoWarsLife.com.
