[00:00:04.977 --> 00:00:06.178]  There is a war.
[00:00:06.679 --> 00:00:07.660]  It's happening now.
[00:00:08.540 --> 00:00:10.342]  It will decide the fate of humanity.
[00:00:10.923 --> 00:00:12.725]  The time to choose sides has come.
[00:00:13.485 --> 00:00:14.927]  We are the Resistance.
[00:00:15.407 --> 00:00:17.069]  We are the Infowar.
[00:00:23.078 --> 00:00:25.100]  Welcome to the Infowars Nightly News.
[00:00:25.180 --> 00:00:26.481]  I'm your host, Jakari Jackson.
[00:00:26.821 --> 00:00:30.044]  It's October 8th, 2014, and let's get straight into our news tonight.
[00:00:30.584 --> 00:00:38.531]  By now, you've probably heard that Thomas Eric Duncan has died in the Dallas hospital, a very unfortunate situation, and our thoughts and prayers do go out to his family.
[00:00:38.591 --> 00:00:40.912]  He died earlier this morning, so we were told.
[00:00:41.753 --> 00:00:48.437]  And the thing about this is, is now that we have a confirmed victim here in the United States of America, what are we going to do to combat this?
[00:00:48.537 --> 00:00:56.523]  Because we see travel sanctions in the African continent, we see parts of Europe putting out travel sanctions as well, but we refuse to do that here at home.
[00:00:56.923 --> 00:01:04.208]  But something that people are talking about and something that is a possible, I won't say a remedy, but some type of reaction to this, is temperature screenings.
[00:01:04.268 --> 00:01:10.552]  Now we have this article, Feds announce airport fever screenings for Ebola, which can be beaten with ibuprofen.
[00:01:11.132 --> 00:01:25.406]  Temperature screenings of passengers arriving from West Africa will soon begin at O'Hare International, Kennedy International, Doles International, Hartsfield-Jackson International, and Newark Liberty International, federal officials announced today.
[00:01:25.906 --> 00:01:36.016]  But Sean Coffman, who previously worked with the Centers for Disease Control and Prevention during the SARS outbreak, said the fever screening instruments run low and aren't that accurate, he said.
[00:01:36.556 --> 00:01:41.262]  People can take ibuprofen to reduce their fever enough to pass the screening, and why wouldn't they?
[00:01:41.563 --> 00:01:42.143]  Exactly right.
[00:01:42.223 --> 00:01:43.004]  Why wouldn't they?
[00:01:43.385 --> 00:01:49.733]  Now when it comes to airport security, especially with this Ebola thing, I don't really fault the airport personnel.
[00:01:49.813 --> 00:01:51.195]  What do they really have to work with?
[00:01:52.236 --> 00:01:52.756]  We're good to go.
[00:02:08.903 --> 00:02:10.965]  But let's talk about something a little closer to home.
[00:02:11.465 --> 00:02:13.026]  We talked about the situation in Africa.
[00:02:13.307 --> 00:02:17.350]  Let's talk about the Ebola cases happening right now in the state of Texas.
[00:02:17.690 --> 00:02:28.138]  We've seen a Dallas deputy who went to the home of Mr. Duncan, his home here in the U.S., and he is now being quarantined under a possible Ebola concern.
[00:02:28.158 --> 00:02:32.622]  And the headline reads, could take 48 hours to confirm if deputy has Ebola.
[00:02:33.082 --> 00:02:35.785]  And this is Sergeant Michael Monning.
[00:02:36.531 --> 00:02:44.156]  And he accompanied health officials into the home of Duncan, and now people are very concerned that he may in fact have Ebola himself.
[00:02:44.496 --> 00:02:50.059]  And this is the situation, because you send these guys in, you know, an officer, you know, he's just following the commands he gets over the radio.
[00:02:50.359 --> 00:02:51.760]  Hey, we need you to go to this guy's house.
[00:02:51.780 --> 00:02:52.861]  He said, OK, I'll go in there.
[00:02:53.161 --> 00:02:54.942]  And now he could potentially have Ebola.
[00:02:55.262 --> 00:02:59.264]  But we had a chance to speak to our own police chief here today in the city of Austin, Art Acevedo.
[00:02:59.625 --> 00:03:01.626]  This is what the InfoWars crew had to ask him.
[00:03:02.065 --> 00:03:08.908]  Listen, what we're going to do here is we're going to be a security team to make sure that we secure a perimeter.
[00:03:09.708 --> 00:03:20.773]  We have processes in place where health professionals will be taking the lead in terms of doing those type of things.
[00:03:21.134 --> 00:03:22.254]  Our protocols are in place.
[00:03:22.334 --> 00:03:28.137]  We have a multidisciplinary plan in place where the health department
[00:03:29.218 --> 00:03:35.989]  So that was the response from the Austin Police Chief.
[00:03:36.330 --> 00:03:42.240]  Now some White House reporters commented on this issue as well, and their comments weren't exactly as eloquent.
[00:03:44.195 --> 00:03:49.179]  Yeah, we're screwed.
[00:03:49.720 --> 00:03:50.441]  I'm feeling fluish.
[00:03:50.681 --> 00:03:53.143]  Just so you know, so I'm going to give you a big kiss.
[00:03:53.183 --> 00:03:53.683]  This what?
[00:03:53.764 --> 00:03:54.344]  Oh, that's right.
[00:03:54.424 --> 00:03:54.925]  Stupid mic.
[00:03:55.085 --> 00:03:56.406]  Yeah, did you hear that everyone?
[00:04:11.104 --> 00:04:13.186]  We go now to some ISIS news with a U.S.
[00:04:13.246 --> 00:04:16.409]  representative claiming that ISIS has been caught crossing the border.
[00:04:16.429 --> 00:04:26.717]  Because you remember this summer when InfoWars was talking about this, when we were going down to the border, we were talking to the emergency managers, Joe Biggs was running across the border with Al-Qaeda flags and all that stuff.
[00:04:27.178 --> 00:04:29.640]  You guys are fear mongers, you're doing this, you're doing that.
[00:04:29.900 --> 00:04:30.721]  There's no real threat.
[00:04:30.741 --> 00:04:32.362]  You've got to leave the borders open for the kids.
[00:04:32.602 --> 00:04:33.823]  And I do feel sorry for the kids.
