[00:00:02.012 --> 00:00:03.174]  Coast to Coast.
[00:00:03.555 --> 00:00:04.857]  Direct from Austin.
[00:00:05.598 --> 00:00:08.523]  You're listening to the Alex Jones Broadcasting Network.
[00:00:15.475 --> 00:00:16.116]  Big Brother.
[00:00:16.776 --> 00:00:17.817]  Mainstream media.
[00:00:18.558 --> 00:00:19.639]  Government cover-ups.
[00:00:20.320 --> 00:00:21.121]  You want answers?
[00:00:21.901 --> 00:00:22.802]  Well, so does he.
[00:00:23.443 --> 00:00:27.087]  He's Alex Jones on the GCN Radio Network.
[00:00:27.647 --> 00:00:31.691]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.219 --> 00:00:42.381]  Somehow, someway, I've got to cover all this news today.
[00:00:42.401 --> 00:00:46.102]  There is just so much of it, that I can't even decide where to start.
[00:00:46.122 --> 00:00:48.083]  I mean, look at this headline.
[00:00:48.103 --> 00:01:02.528]  Pentagon and CIA want to keep ISIS tweeting, endless stream of brutal imagery required for war on terror propaganda, and that's ISIS executing men, women, and children, killing Christians en masse, you name it.
[00:01:04.735 --> 00:01:14.697]  I've just got hundreds of off-the-charts news articles like this, and I don't even know where to start on this Monday, 14th day of July, 2014, worldwide transmission.
[00:01:17.418 --> 00:01:25.300]  That headline says it all, and then there's all these quotes by the Pentagon and others openly admitting this.
[00:01:26.100 --> 00:01:27.040]  But it's worse than that.
[00:01:27.340 --> 00:01:34.282]  They've created and fostered and supported and aided and abetted and funded and shepherded
[00:01:36.838 --> 00:01:43.440]  ISIS has come out in the London Guardian that British SAS is at the forefront of training and commanding them.
[00:01:46.522 --> 00:01:48.622]  They've got satellite imagery, they've got everything.
[00:01:49.743 --> 00:01:51.583]  They've got heat-seeking missiles, they've got it all.
[00:01:55.465 --> 00:02:01.267]  And then it comes out, oh yeah, the Pentagon says don't turn off their tweet,
[00:02:02.671 --> 00:02:08.975]  See, because everybody goes, hey, why do you let ISIS operate on YouTube and Twitter and Facebook, but you're always banning Alex Jones and other people?
[00:02:11.237 --> 00:02:12.738]  You're always censoring WorldNetDaily.
[00:02:12.758 --> 00:02:18.222]  You're always censoring Navy SEALs that just put out memes on Benghazi against Obama.
[00:02:18.262 --> 00:02:20.624]  You know, just an image criticizing Obama.
[00:02:21.324 --> 00:02:22.685]  But ISIS can operate?
[00:02:22.705 --> 00:02:24.606]  So they go, oh, well, we need that.
[00:02:24.666 --> 00:02:27.328]  You know, it's good to demonize them.
[00:02:28.429 --> 00:02:29.570]  Which is actually true.
[00:02:31.371 --> 00:02:37.277]  They help create them, then they use the threat of them to scare the public into the police state to take over.
[00:02:38.778 --> 00:02:41.260]  The story's up on DrudgeReport.com on the left-hand side.
[00:02:41.320 --> 00:02:43.222]  It's from Infowars.com.
[00:02:43.742 --> 00:02:44.983]  And I meant to get to it yesterday.
[00:02:45.023 --> 00:02:48.286]  It broke up at the weekend, but I never got to it on the Sunday show.
[00:02:48.306 --> 00:02:49.367]  I'm going to cover it today.
[00:02:49.868 --> 00:02:54.011]  Homeland Security feds swarm small town in bazaar.
[00:02:55.143 --> 00:02:56.463]  Unannounced show of force.
[00:02:57.264 --> 00:02:59.304]  And then the feds, of course, won't say why they did it.
[00:02:59.344 --> 00:03:08.166]  This is back to the old black helicopter days, in the mid and late 90s, where they would just deny they'd been in San Antonio, or they'd deny they'd been in Houston.
[00:03:09.826 --> 00:03:16.908]  Sometimes they'd crash into skyscrapers, helicopters blowing up in the city streets, and they would go on the news and say nothing crashed.
[00:03:17.348 --> 00:03:20.849]  Conspiracy theorists, like Alex Jones, are making it up.
[00:03:22.734 --> 00:03:25.796]  Soldier of Fortune would cover it and others, but they would not admit it was real.
[00:03:25.816 --> 00:03:26.437]  Remember all that?
[00:03:27.237 --> 00:03:28.618]  Well, that's what this is now.
[00:03:30.780 --> 00:03:49.973]  Is just pure preparation, basically, for martial law, but instead of having the Army or the Marine Corps, or a bunch of Air Force MPs in your town, now it's just militarized scores of armored vehicles, multiple helicopters, armored trucks, vans,
[00:03:51.004 --> 00:03:53.826]  And the public going, we appreciate them!
[00:03:54.306 --> 00:03:57.188]  They let the kids go on the helicopters!
[00:03:58.689 --> 00:04:01.131]  Yes, they're there acclimating the natives.
[00:04:02.312 --> 00:04:03.113]  That's how they see it.
[00:04:04.954 --> 00:04:07.195]  Charlton Heston narrated a Panama invasion.
[00:04:09.237 --> 00:04:13.900]  Three hour documentary on History Channel that aired back in the 90s.
[00:04:15.721 --> 00:04:17.443]  I forget the name of it, but somebody could find it.
[00:04:18.237 --> 00:04:22.839]  Maybe just search Charlton Heston Panama documentary history channel.
[00:04:22.859 --> 00:04:23.780]  It might have been Discovery Channel.
[00:04:24.240 --> 00:04:36.887]  But in it, I remember seeing this documentary when all the black helicopters were descending in every major city and many small towns across the country.
[00:04:37.687 --> 00:04:42.270]  And then I tuned in to see a replay of Charlton Heston in this documentary.
[00:04:43.190 --> 00:04:46.272]  And he was singing in his great voiceover voice.
[00:04:47.366 --> 00:04:52.930]  To acclimate and prepare the Panamanians so they wouldn't resist when the actual invasion came.
[00:04:53.290 --> 00:05:01.875]  For months, helicopters and troops did touch and goes around the Panamanian military to acclimate them to the presence of U.S.
[00:05:01.916 --> 00:05:02.456]  forces.
[00:05:02.496 --> 00:05:08.520]  So that when the strike came, they would stand down and hesitate long enough to be completely destroyed.
[00:05:09.787 --> 00:05:15.755]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:05:15.955 --> 00:05:20.160]  Most people know that iodine deficiency has been a crisis around the world.
[00:05:20.521 --> 00:05:25.087]  Iodine is key to so many of the body's functions, especially the thyroid.
[00:05:25.487 --> 00:05:28.109]  I discovered a product being developed by Dr. Group.
[00:05:28.409 --> 00:05:33.593]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[00:05:33.874 --> 00:05:40.739]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[00:05:41.259 --> 00:05:45.022]  And the results that I personally have had have been life-changing.
[00:05:45.382 --> 00:05:50.186]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:05:50.506 --> 00:05:51.347]  This is innovating.
[00:05:51.627 --> 00:05:58.914]  And the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[00:05:59.114 --> 00:06:03.178]  For a limited time, experience the ancient power of Survival Shield X2.
[00:06:03.378 --> 00:06:08.543]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLive.com.
[00:06:09.244 --> 00:06:11.125]  I've always believed in nutrition and herbs.
[00:06:11.465 --> 00:06:19.390]  Super Male Vitality was developed to activate your body's own natural processes, instead of using synthetic chemicals.
[00:06:19.490 --> 00:06:26.573]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[00:06:27.054 --> 00:06:31.316]  I just received my Male Vitality about three days ago, and I must say, that is good stuff.
[00:06:31.636 --> 00:06:41.827]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:06:42.287 --> 00:06:48.453]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:06:48.774 --> 00:06:50.996]  I jump out of bed ready to fight these criminals every day.
[00:06:51.016 --> 00:06:55.000]  I look forward to waking up and taking my super male vitality and getting the day started.
[00:06:55.140 --> 00:06:56.741]  It's not just the super male vitality.
[00:06:57.101 --> 00:07:01.023]  All the products in InfoWarsLife.com are simply amazing.
[00:07:01.263 --> 00:07:08.207]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWarsLife.
[00:07:09.267 --> 00:07:11.809]  Alex Jones here for InfoWars.com.
[00:07:12.049 --> 00:07:16.691]  In the month of July, we have got giant specials on everything at Madein1776.com.
[00:07:16.711 --> 00:07:18.732]  The already discounted Made in 1776 t-shirts are only $17.76.
[00:07:24.155 --> 00:07:24.935]  We're good to go.
[00:07:44.383 --> 00:07:51.669]  Five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[00:07:51.969 --> 00:07:55.492]  That's more than five months free off the regular price.
[00:07:55.852 --> 00:08:02.077]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[00:08:02.477 --> 00:08:07.541]  Molon Labe, you can take my gun from my cold, dead hands.
[00:08:26.562 --> 00:08:33.046]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:33.066 --> 00:08:34.568]  It's Alex Jones!
[00:08:49.241 --> 00:08:54.944]  Globalist think tank says a North American community will be forged in the fires of conflict.
[00:08:55.765 --> 00:09:00.487]  And Obama is accelerating his plan to completely collapse our border.
[00:09:00.507 --> 00:09:02.188]  The crisis has only begun.
[00:09:02.208 --> 00:09:09.793]  There's a report small lifeless dead children found washed up along the riverbank of the Rio Grande.
[00:09:11.311 --> 00:09:19.956]  Continuing, border control agent says diseases coming in we haven't seen in decades, like leprosy.
[00:09:21.156 --> 00:09:21.456]  U.S.
[00:09:21.496 --> 00:09:25.999]  propaganda song discouraging death train tops the charts.
[00:09:27.339 --> 00:09:28.840]  In Central America.
[00:09:29.380 --> 00:09:33.703]  And that's just like they go in with the drug programs against drugs for kids in school, like the DARE program.
[00:09:34.123 --> 00:09:35.924]  Every study shows it increases drug use.
[00:09:36.344 --> 00:09:37.084]  It's the same thing.
[00:09:37.545 --> 00:09:39.205]  You know, don't hop the death train.
[00:09:39.786 --> 00:09:45.309]  And so people then who are desperate go and hop the death trains that Mexico has already signed a deal with the U.S.
[00:09:45.329 --> 00:09:50.452]  and Guatemala on record, we're going to be covering that, to ship these people in here.
[00:09:52.092 --> 00:09:54.334]  And they only charge a few dollars to do it.
[00:09:55.177 --> 00:09:58.279]  It's organized, ladies and gentlemen, on record.
[00:10:01.381 --> 00:10:02.122]  Here's the headline.
[00:10:02.162 --> 00:10:05.404]  Mexico-Guatemala fast-track delivery of illegals into the United States.
[00:10:05.424 --> 00:10:06.424]  That's from World Net Daily.
[00:10:07.925 --> 00:10:15.050]  Border Patrol agents, 70% of agents being pulled off patrols for paperwork to legalize the illegals and to release them.
[00:10:17.366 --> 00:10:21.290]  That is just some of what is coming up today on that front.
[00:10:21.671 --> 00:10:31.541]  Border Patrol has captured over 27,000 illegal aliens this year alone in non-border Texas County.
[00:10:33.423 --> 00:10:33.984]  Think about that.
[00:10:35.774 --> 00:10:39.217]  A sign at the entrance to the checkpoint of the U.S.
[00:10:39.237 --> 00:10:44.881]  Border Patrol proudly states the capture of 27,260 illegal aliens this year.
[00:10:45.422 --> 00:10:51.747]  It is interesting to note that the checkpoint is located in Brooks County, Texas, which is not a border county.
[00:10:52.527 --> 00:11:01.995]  It is located 80 miles from the Texas-Mexico border, and that Border Patrol agents managed to apprehend over 27,000 immigrants who have entered the country illegally.
[00:11:03.046 --> 00:11:08.490]  That represents nearly 150 people every day this year.
[00:11:09.210 --> 00:11:13.213]  I mean, that's how wild all of this is, ladies and gentlemen.
[00:11:13.894 --> 00:11:21.399]  And now you drive through those checkpoints, and I've driven through that particular one, and I've driven through the Alpine checkpoint.
[00:11:21.999 --> 00:11:28.904]  Instead of there being 50 border patrols standing around there, there was one, both times, in the last year.
[00:11:29.644 --> 00:11:29.765]  One!
[00:11:30.725 --> 00:11:31.746]  And they just wave you through.
[00:11:34.642 --> 00:11:40.387]  And again, it's not like we have some heavenly constellation of nations to our south.
[00:11:42.348 --> 00:11:46.391]  Central and South America and Southern North America run from bad to worse.
[00:11:48.873 --> 00:11:54.718]  And you need to think about the political elite and how out of control they are, ladies and gentlemen, that they would do something like this.
[00:11:57.901 --> 00:11:59.082]  You think about that long and hard.
[00:12:00.484 --> 00:12:25.991]  Now, separately, while we're looking at this crisis, when you enter one of these zones, one of these end-of-a-cycle periods in history, and then you overlay the coming singularity, the acceleration of technological development of information, the overall entertainment decadent society that the general public is basically under mind control, basically victims of,
[00:12:27.731 --> 00:12:40.697]  You add all of these different factors together, and what you basically come to is a flashpoint.
[00:12:41.357 --> 00:12:50.522]  And that's why you see ISIS running rampant all over North Africa, Central Africa, and all over the Middle East, into Asia, and the stands around Russia.
[00:12:52.076 --> 00:13:00.039]  That's why you see the overthrow of Ukraine by the West and Russia openly preparing for air campaigns into Ukraine.
[00:13:00.079 --> 00:13:01.319]  That's the huge announcement today.
[00:13:01.759 --> 00:13:02.659]  Off the chart huge.
[00:13:05.340 --> 00:13:10.302]  And we've got Al-Arabia and the rest of the Middle Eastern news basically saying how great it all is.
[00:13:11.342 --> 00:13:13.643]  That's why you've got the border imploding right now.
[00:13:13.683 --> 00:13:16.224]  That's why you've got the move away from the dollar right now.
[00:13:17.383 --> 00:13:22.226]  That's why you've got Homeland Security openly announcing, hey, we're not for Al Qaeda, we're for the Tea Party.
[00:13:22.706 --> 00:13:24.488]  Because this is the strange days.
[00:13:25.688 --> 00:13:27.009]  Strange days have found us.
[00:13:27.810 --> 00:13:28.931]  Strange days have come.
[00:13:29.371 --> 00:13:31.252]  They're going to destroy us.
[00:13:32.253 --> 00:13:32.893]  Strange days.
