[00:00:19.702 --> 00:00:21.864]  Welcome to the InfoWars Nightly News.
[00:00:21.964 --> 00:00:23.265]  I'm your host, Jakari Jackson.
[00:00:23.585 --> 00:00:25.186]  It's October 29th, 2014.
[00:00:26.107 --> 00:00:27.388]  Let's get straight into our news tonight.
[00:00:27.828 --> 00:00:34.754]  The CDC has finally got around to admitting what we've all suspected from the beginning, that Ebola can in fact be transmitted through the air.
[00:00:35.494 --> 00:00:37.596]  Kit, describe for radio listeners what we're looking at here.
[00:00:37.756 --> 00:00:41.758]  Well the document on the left is from the CDC on October 16th.
[00:00:41.898 --> 00:00:43.799]  It's about the transmission of Ebola.
[00:00:44.099 --> 00:00:46.260]  It says nothing about droplet spread of Ebola.
[00:00:46.720 --> 00:00:58.867]  But now the CDC released another flyer on the right on Monday, the 27th, which does admit that yes, Ebola can spread through droplets in the air.
[00:00:59.347 --> 00:01:03.149]  Now we were attacked by, no exaggeration, hundreds of publications.
[00:01:04.189 --> 00:01:11.275]  Two and a half months ago for saying this, we were just linking to the CDC's internal documents that were public but not really widely circulated.
[00:01:11.916 --> 00:01:12.577]  Saying this too.
[00:01:13.740 --> 00:01:17.624]  So why do you think they're now, Kit, coming out and quietly admitting this?
[00:01:17.824 --> 00:01:23.829]  Because now even the mainstream media is forced to admit that yes, Ebola can spread through droplets in the air.
[00:01:24.189 --> 00:01:30.935]  So now they're just slowly admitting, trying not to bring too much attention to themselves, by quietly releasing this document, this new revelation.
[00:01:31.436 --> 00:01:36.761]  Well, this is what concerns me, is that it doesn't die right away in cold weather and spreads according to the Army.
[00:01:36.781 --> 00:01:38.442]  I know you have links to that in your article.
[00:01:38.482 --> 00:01:39.163]  Thank you, Kit Daniels.
[00:01:39.403 --> 00:01:54.633]  And I guess it was hard for them to get the official story straight because when myself and Joe Biggs went to a hearing at the Texas State Capitol a few weeks ago, the Texas Health Commissioner, he jumps up there and he says, yeah, if you're sitting next to somebody on a bus or an emergency room and they cough or they sneeze on you, yeah, you can catch Ebola that way.
[00:01:54.653 --> 00:01:55.874]  We're like, well, that's airborne.
[00:01:55.914 --> 00:01:58.836]  And now the CDC is finally getting around to admitting that.
[00:01:58.876 --> 00:02:02.739]  So I guess right now they've finally got somewhat of a coherent story.
[00:02:03.119 --> 00:02:04.360]  Let's move on to some other news.
[00:02:04.740 --> 00:02:08.783]  The Razor promotes Washington Post guide on where people can vote without ID.
[00:02:09.563 --> 00:02:11.825]  Explain the Washington Post's Aaron Blake.
[00:02:11.985 --> 00:02:15.148]  Most states request some form of ID, but do not require it.
[00:02:15.588 --> 00:02:20.553]  Another 20 states don't require identification, and they do have a graphic if you want to see those states.
[00:02:21.053 --> 00:02:33.184]  The Chicago chapter of Asian Americans Advancing Justice tweeted Blake's article with the message, reminder, Illinois does not require voter ID to cast a ballot, along with a pro-Democrat hashtag, turnout for what?
[00:02:33.664 --> 00:02:36.907]  The tweet was helpfully retweeted by the National Council of La Raza.
[00:02:37.227 --> 00:02:42.491]  La Raza, of course, being one of the country's foremost pro-amnesty Hispanic immigrant organizations.
[00:02:43.031 --> 00:02:50.838]  But even Obama is acknowledging how easy or how ripe the system is for voter fraud when he came out and said, you can only vote once.
[00:02:50.858 --> 00:02:54.761]  So, one week, Wisconsin.
[00:02:56.362 --> 00:02:56.742]  One week.
[00:02:59.725 --> 00:03:02.667]  One week from today, you get to choose a new governor.
[00:03:07.995 --> 00:03:13.781]  And because early voting runs through this Friday, you don't have to wait until Election Day.
[00:03:15.082 --> 00:03:16.043]  You can vote all week!
[00:03:17.664 --> 00:03:18.906]  I mean, you can only vote once.
[00:03:21.228 --> 00:03:22.289]  This isn't Chicago now.
[00:03:25.919 --> 00:03:33.263]  And we see how easy the system is to game, because there's Project Veritas, who went out and got the voting ballot for Attorney General Eric Holder.
[00:03:33.723 --> 00:03:36.885]  And all they need to do is say, hey, I'm Eric Holder, I live at such and such address.
[00:03:37.125 --> 00:03:38.445]  Oh, here you go, Mr. Eric Holder.
[00:03:38.726 --> 00:03:44.028]  And this is a man who's a public figure, a political figure, well-known within the United States, and it's that easy.
[00:03:44.088 --> 00:03:48.931]  So, how hard would it be to say, hey, I'm Bob Brown from down the street, and oh, here you go, Mr. Brown.
[00:03:49.251 --> 00:03:50.452]  It's just another example of how
[00:03:51.272 --> 00:03:52.352]  Silly the system is.
[00:03:52.812 --> 00:03:59.674]  And another silly example, the retaliation being brought against Clive and Bundy, the Nevada rancher who we documented earlier this year.
