[00:00:08.120 --> 00:00:12.582]  Well, with flu season in full effect, the push for vaccination is really intense.
[00:00:12.983 --> 00:00:16.985]  But what they might not be telling you is you could be trading one danger for another.
[00:00:17.445 --> 00:00:25.810]  So we went undercover at two of the nation's top walk-in flu shot pharmacies to see what they had to say about the vaccine's safety and effectiveness.
[00:00:26.230 --> 00:00:28.812]  Hello, how can I help you?
[00:00:28.832 --> 00:00:31.113]  Hi, where do you guys get flu shots?
[00:00:32.225 --> 00:00:34.966]  Do you think it's safe and effective?
[00:00:36.887 --> 00:00:39.548]  It's 50-70% effective against it.
[00:00:39.968 --> 00:00:43.369]  If you do get the flu, it'll be a lot less severe.
[00:00:43.649 --> 00:00:50.132]  We had a tech that did get a shot, did come down with it, but it only took her like two days to bounce back.
[00:00:50.632 --> 00:00:52.334]  As you can tell, things are deteriorating.
[00:00:52.454 --> 00:00:53.755]  Is there any advice you can give me?
[00:00:53.915 --> 00:00:55.536]  Don't ever take a flu shot again.
[00:00:55.556 --> 00:01:03.523]  Now, I watched that night with Dr. Oz, and I... We both saw him put that thing in my arm, and within 10 days, I was struck down.
[00:01:03.643 --> 00:01:04.884]  Have you had a flu shot this year?
[00:01:05.085 --> 00:01:05.965]  No, I don't do that.
[00:01:06.085 --> 00:01:06.926]  I'm not gonna get sick.
[00:01:07.487 --> 00:01:11.850]  Well, see, the thing is, I got a flu shot and said I was not gonna get sick, and I got sick.
[00:01:12.031 --> 00:01:13.232]  That's why I don't need to get a flu shot.
[00:01:13.996 --> 00:01:17.960]  So it's not 100% effective and may even cause the flu.
[00:01:18.300 --> 00:01:24.406]  But what do the pharmacists have to say about thimerosal, which you'll find they were very careful to avoid calling it mercury.
[00:01:24.866 --> 00:01:26.248]  It's a preservative.
[00:01:26.268 --> 00:01:29.370]  Is there mercury in that flu shot?
[00:01:30.031 --> 00:01:32.333]  There is an extremely small amount.
[00:01:32.533 --> 00:01:33.935]  Not anything that's dangerous.
[00:01:34.816 --> 00:01:36.037]  And it is preservative free.
[00:01:37.192 --> 00:01:38.713]  Why do they put that in there?
[00:01:39.033 --> 00:01:41.234]  I don't understand the preservative.
[00:01:41.274 --> 00:01:48.218]  The vials, the preservative-free are drawn up individually, so it's more expensive.
[00:01:48.558 --> 00:01:53.641]  The vials, they can do one vial, so you can buy it at a cheaper price.
[00:01:53.881 --> 00:01:56.443]  The amount of preservative is less than a can of tuna.
[00:01:57.242 --> 00:02:01.504]  So if you look at it that way, it's really not significant.
[00:02:01.784 --> 00:02:03.464]  So as long as you're not getting a bunch of shots?
[00:02:03.484 --> 00:02:04.845]  Yes, at one time.
[00:02:06.326 --> 00:02:13.228]  Studies show that most pregnant women should avoid eating canned tuna though, so this really wasn't sitting easy with me.
[00:02:13.288 --> 00:02:17.870]  So I wanted to see what she would say if I introduced pregnancy into the equation.
[00:02:17.970 --> 00:02:19.991]  Would she warn me of potential dangers?
[00:02:21.351 --> 00:02:24.273]  I'm not pregnant at all, but I'm like trying to be.
[00:02:24.533 --> 00:02:27.715]  They recommend that the pregnant women get the flu shot.
[00:02:28.275 --> 00:02:32.957]  They actually had one death of a pregnant woman last week, and she hadn't had the shot.
[00:02:36.184 --> 00:02:37.505]  Oh, yeah.
[00:02:37.745 --> 00:02:41.106]  Every OB to get it.
[00:02:41.866 --> 00:02:46.128]  If they come down with a foot, they can hardly treat them.
[00:02:47.188 --> 00:02:52.750]  So this shot with the... So they're extremely propelling right now in Texas.
[00:02:52.770 --> 00:02:56.312]  We're trying to get them to get the shot right now.
[00:02:56.332 --> 00:02:56.392]  Wow.
[00:02:56.512 --> 00:02:58.072]  Even the one with mercury in it?
[00:03:00.984 --> 00:03:08.731]  Both places administer Fluzone, which contains three influenza strains recommended for this flu season, including the 2009 H1N1.
[00:03:09.652 --> 00:03:16.438]  Surprisingly, Fluzone's own patient information sheet says that animal studies haven't been conducted with Fluzone.
[00:03:16.718 --> 00:03:24.706]  In fact, it says it is not known whether Fluzone can cause fetal harm when given to a pregnant woman or if it can affect reproduction capacity.
[00:03:24.906 --> 00:03:30.968]  So, an untested flu vaccine is being recommended for pregnant women and those who are trying to get pregnant.
[00:03:31.128 --> 00:03:35.389]  Flu zones should be given to a pregnant woman only if clearly needed.
[00:03:35.929 --> 00:03:41.331]  According to the Vaccine Adverse Events Reporting System, reports of fetal demise during the 2009 H1N1 season increased by 4,250%.
[00:03:41.391 --> 00:03:45.112]  And a study published in 2012 exposes an insane failed experiment on pregnant women during the 2009 flu season.
[00:03:54.935 --> 00:04:04.284]  Dr. Gary Goldman's study published in the Human and Environmental Toxicology Journal points out an astounding fact that no one saw until the publishing of the Goldman study.
[00:04:04.444 --> 00:04:15.113]  The CDC had recommended the double dosing of the pregnant population with the seasonal flu vaccine with mercury and the untested H1N1 vaccine with mercury.
[00:04:15.774 --> 00:04:28.882]  He highlights the fact that the safety and effectiveness of the AH1N1 had never been established in pregnant women, and that the combination of two different influenza vaccines had never been tested on pregnant women at all.
[00:04:29.422 --> 00:04:35.186]  And if you ask for the vaccination package insert like we recommend, you'll find that the warning is still there.
[00:04:35.286 --> 00:04:38.648]  It hasn't been tested on fetal development or reproduction.
[00:04:38.668 --> 00:04:42.090]  The only thing that pregnant women can't get is the live virus.
[00:04:42.910 --> 00:04:44.051]  Is the misdemeanor.
