[00:00:19.605 --> 00:00:20.425]  Good evening, everyone.
[00:00:20.465 --> 00:00:22.486]  Welcome to the InfoWars Nightly News.
[00:00:22.607 --> 00:00:23.507]  I'm Darren McBreen.
[00:00:23.587 --> 00:00:26.489]  It is December 15th, 2014.
[00:00:26.829 --> 00:00:28.350]  Here's a quick look at what's coming up.
[00:00:30.551 --> 00:00:30.931]  Tonight...
[00:00:32.918 --> 00:00:37.581]  So I'm thinking that is totally appropriate in Iraq, but what kind of a situation in the U.S.
[00:00:37.601 --> 00:00:38.602]  would you see that happening?
[00:00:38.662 --> 00:00:42.664]  I mean, we've got a lot of Constitutionalists and a lot of people that stockpile weapons.
[00:00:43.225 --> 00:00:48.108]  A Washington State Sheriff's Department says that clip was taken out of context.
[00:00:48.688 --> 00:00:52.431]  That's next on the Info Wars Nightly News.
[00:00:53.391 --> 00:00:58.875]  Cobra says the veterans and the gun owners, they're saying that we're the bad guys.
[00:00:59.955 --> 00:01:16.795]  As the federal government prepares for war with gun owners, preppers, and constitutionalists, government agencies across the board will they continue to adopt military tactics to fight against anything that represents traditional America.
[00:01:17.115 --> 00:01:19.879]  Now, we begin this evening with a shocking video
[00:01:20.279 --> 00:01:32.266]  From Washington State, where a deputy sheriff admits that the police departments need armored military vehicles because of constitutionalists with firearms.
[00:01:32.966 --> 00:01:43.933]  Well, the nice thing about this piece of equipment is that if somebody is directing fire toward a team that's trying to get in, they can pull right up to a friend.
[00:01:43.973 --> 00:01:49.396]  I don't take enemy fire and still try to address a threat without being afraid of getting shot.
[00:01:49.676 --> 00:01:54.359]  So I'm thinking that is totally appropriate in Iraq, but what kind of a situation in the U.S.
[00:01:54.379 --> 00:01:55.359]  would you see that happening?
[00:01:55.419 --> 00:01:59.442]  I mean, we've got a lot of Constitutionalists and a lot of people that stockpile weapons.
[00:01:59.462 --> 00:02:00.863]  A lot of ammunition.
[00:02:02.423 --> 00:02:06.446]  I mean, we've got a lot of Constitutionalists and a lot of people that stockpile weapons.
[00:02:06.466 --> 00:02:08.147]  A lot of ammunition.
[00:02:08.167 --> 00:02:09.788]  They have weapons here locally.
[00:02:11.989 --> 00:02:20.876]  So there you go, more proof that the police are receiving military equipment and training to target conservative Americans.
[00:02:21.797 --> 00:02:38.790]  This also illustrates the obvious training mindset that has been linked to the FBI and Homeland Security, two groups which have labeled liberty lovers as terror threats, including people who believe in, wait for it, conspiracy theories.
[00:02:39.941 --> 00:02:41.842]  That's right, Big Brother is watching you.
[00:02:42.062 --> 00:03:00.186]  And the talking points that were basically regurgitated by this deputy sheriff in that video, they're not really all that surprising when you learn that the Spokane County Sheriff's Department, well they received some of their training from the Southern Poverty Law Center.
[00:03:00.986 --> 00:03:02.347]  Truth is stranger than fiction.
[00:03:02.367 --> 00:03:03.468]  I'm not making this up.
[00:03:03.648 --> 00:03:14.976]  Remember, the SPLC, they're the ones who monitor so-called hate groups, and they're infamously known for comparing conservative Americans to violent racists.
[00:03:15.316 --> 00:03:28.705]  The SPLC is a George Soros-funded organization, and each year they publish a list of potential terrorists, basically a hit list of American patriots, including none other than Alex Jones.
[00:03:29.065 --> 00:03:35.374]  Who is routinely included in their list of potential domestic terrorists, if you can believe that.
[00:03:35.775 --> 00:03:38.018]  Once again, truth is stranger than fiction.
