[00:00:00.069 --> 00:00:00.450]  Free!
[00:00:01.854 --> 00:00:03.017]  Coast to Coast.
[00:00:03.398 --> 00:00:04.721]  Direct from Austin.
[00:00:05.443 --> 00:00:08.671]  You're listening to the Alex Jones Broadcasting Network.
[00:00:15.359 --> 00:00:16.000]  Big Brother.
[00:00:16.661 --> 00:00:17.682]  Mainstream media.
[00:00:18.424 --> 00:00:19.525]  Government cover-ups.
[00:00:20.206 --> 00:00:21.007]  You want answers?
[00:00:21.788 --> 00:00:22.670]  Well, so does he.
[00:00:23.331 --> 00:00:26.936]  He's Alex Jones on the GCN Radio Network.
[00:00:27.517 --> 00:00:31.583]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.007 --> 00:00:34.168]  Let's make this a year of action.
[00:00:34.468 --> 00:00:35.709]  That's what most Americans want.
[00:00:35.929 --> 00:00:38.371]  Raising the debt ceiling does not increase our debt.
[00:00:38.651 --> 00:00:40.612]  Nobody is listening to your telephone calls.
[00:00:40.692 --> 00:00:41.733]  The debate is settled.
[00:00:42.033 --> 00:00:43.414]  Climate change is a fact.
[00:00:43.434 --> 00:00:52.260]  And if people can't trust not only the executive branch, but also don't trust Congress and don't trust federal judges, then we're going to have some problems.
[00:00:52.280 --> 00:00:54.762]  What difference at this point does it make?
[00:01:00.891 --> 00:01:04.515]  Welcome to the Alex Jones Show on this Sunday, June 8, 2014.
[00:01:04.655 --> 00:01:07.158]  I guess everything is awesome, or maybe not.
[00:01:07.419 --> 00:01:08.340]  We're going to find out.
[00:01:08.360 --> 00:01:09.521]  There's a lot of breaking news.
[00:01:09.942 --> 00:01:12.124]  Alex is going to be joining us in the second hour.
[00:01:12.144 --> 00:01:16.269]  We're going to talk about the overwhelming of the borders.
[00:01:16.509 --> 00:01:20.374]  Is this something that is just incompetence, or is it a takedown of America?
[00:01:20.834 --> 00:01:23.656]  By design, we believe the latter is the case.
[00:01:23.876 --> 00:01:33.582]  When you look at the soaring unemployment numbers, and of course they like to play games with the unemployment figures, constantly reviving them every quarter, redefining what unemployment means.
[00:01:33.642 --> 00:01:38.886]  But when you look at the core numbers, when you look at how many people are working as a percentage of the population,
[00:01:39.426 --> 00:01:50.715]  That tells the story accurately and so we're gonna look at what's happening with that and of course there's a lot of news and drudge and elsewhere about the massive dumping of children into the U.S.
[00:01:50.755 --> 00:01:52.136]  from Central and South America.
[00:01:52.416 --> 00:01:55.499]  They're being told go to the United States, they will not refuse you.
[00:01:55.519 --> 00:02:00.482]  I remember when they opened up Hong Kong Disney World and they were so overwhelmed by people
[00:02:01.465 --> 00:02:03.266]  Trying to get their children into Disney World.
[00:02:03.306 --> 00:02:08.468]  But parents, Chinese parents, were going to Disney World even after it was completely full and closed.
[00:02:08.488 --> 00:02:09.588]  They weren't taking any more tickets.
[00:02:09.628 --> 00:02:14.890]  They would lift their children over the gates and drop them into Disney World.
[00:02:15.511 --> 00:02:18.712]  Well folks, America is no Disney World.
[00:02:19.312 --> 00:02:31.600]  If you're thinking about doing this for your children's benefit, we're going to talk about what is being exposed as far as ongoing information about child trafficking, human trafficking, the dangers of transporting these children.
[00:02:32.101 --> 00:02:35.823]  What's going to happen when they come to the United States and they're by themselves without any parents?
[00:02:35.843 --> 00:02:38.805]  Well, of course, Obama is going to be their parent.
[00:02:39.125 --> 00:02:41.467]  The United States government is going to be their parent.
[00:02:41.847 --> 00:02:48.692]  They are going to be raised from a very early age, seeing the government as their benefactors, having no idea
[00:02:49.372 --> 00:03:00.083]  About the foundations of liberty that we have all enjoyed and basically, essentially becoming wards of the state and devotees of the state.
[00:03:00.103 --> 00:03:11.054]  They're going to balkanize America with people who have no connection to an earlier culture, have no understanding of individual liberty and how human nature
[00:03:11.574 --> 00:03:11.874]  I think so.
[00:03:30.090 --> 00:03:35.814]  About what is necessary for a government to be controlled so that it doesn't control the people.
[00:03:35.834 --> 00:03:37.795]  And I said, well, of course, they've gotten around that.
[00:03:37.815 --> 00:03:52.564]  And they said, yeah, but the fact that you have that foundation, that legitimate foundation, that's a philosophical foundation, it's a legal foundation, all the rest of this stuff that's built on that foundation is just simply works of straw put on sand.
[00:03:52.924 --> 00:03:54.966]  When people understand the basis of that
[00:03:55.546 --> 00:03:57.627]  Foundation, that can be swept away.
[00:03:57.768 --> 00:04:07.314]  So of course the government, all governments since the time of Plato have wanted to get children at a very early age and raise them away from the family to become the dominant influence in their life.
[00:04:07.794 --> 00:04:13.398]  I believe that's what's really behind this open door policy on immigration, trying to get these anchor children.
[00:04:13.418 --> 00:04:16.040]  Of course we've had anchor babies in the past, now they have anchor children.
[00:04:16.480 --> 00:04:20.123]  But having these children come in and be wards of the state,
[00:04:20.903 --> 00:04:27.927]  It's not just something that's going to implode the economy, and Alex is going to talk about how it is part of a long-term globalist plan.
[00:04:28.467 --> 00:04:30.488]  They're not going to have jobs, neither are we.
[00:04:30.548 --> 00:04:36.671]  The service sector of the economy is going to be replaced by robots.
[00:04:36.691 --> 00:04:37.932]  They're already doing that.
[00:04:37.992 --> 00:04:41.354]  First they took the manufacturing base, they sent it to China.
[00:04:42.444 --> 00:04:46.505]  Next, they're taking the service space that's left here in the United States.
[00:04:46.525 --> 00:04:47.966]  That's going to be replaced with robots.
[00:04:47.986 --> 00:04:49.246]  So what are these people going to do?
[00:04:49.326 --> 00:04:58.649]  Well, they're going to use one group against the other as they take us down economically, as we can see that they have already taken down Central American companies.
[00:04:58.929 --> 00:04:59.349]  Stay with us.
[00:04:59.369 --> 00:05:00.610]  We're going to be right back with news.
[00:05:00.970 --> 00:05:03.431]  And we'll take your calls also in the second hour.
[00:05:03.571 --> 00:05:05.752]  Get your response to what Alex has to say.
[00:05:05.772 --> 00:05:06.792]  So stay with us.
[00:05:09.389 --> 00:05:15.495]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential forfeiture situation?
[00:05:15.515 --> 00:05:18.838]  The police are shoving people, shoving Alex, shoving the crowd.
[00:05:18.858 --> 00:05:20.560]  Here we go, folks, I'm being assaulted!
[00:05:20.600 --> 00:05:26.846]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:05:26.966 --> 00:05:30.890]  Is this another false flag stage attack to take our civil liberties and put more homeless in security?
[00:05:30.970 --> 00:05:32.832]  Are we sticking our hands down on the streets?
[00:05:32.992 --> 00:05:36.774]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:05:36.954 --> 00:05:39.855]  And that's what PrisonPlanet.TV is designed to do.
[00:05:39.875 --> 00:05:48.059]  If you watch, the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:05:48.319 --> 00:05:50.360]  What we see now is a war against reality.
[00:05:50.420 --> 00:05:51.461]  It's a war against the truth.
[00:05:51.821 --> 00:06:00.567]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:06:00.767 --> 00:06:03.209]  Visit InfoWarsNews.com today.
[00:06:03.429 --> 00:06:07.732]  Become a member, share your membership, and help take the info war to the next level.
