[00:00:00.993 --> 00:00:03.859]  Coast to Coast, direct from Austin.
[00:00:04.580 --> 00:00:07.786]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.332 --> 00:00:18.513]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.173 --> 00:00:19.974]  You want answers?
[00:00:20.754 --> 00:00:21.634]  Well, so does he.
[00:00:22.294 --> 00:00:25.915]  He's Alex Jones on the GCN Radio Network.
[00:00:26.495 --> 00:00:30.536]  And now, live from Austin, Texas, Alex Jones.
[00:01:07.565 --> 00:01:15.870]  The Guantanamo Five are top Taliban commanders and the group has tried to free them for more than a decade.
[00:01:16.190 --> 00:01:27.036]  According to a 2008 Pentagon dossier on Guantanamo Bay inmates, it was disclosed by WikiLeaks, all five men released were considered to be a high risk to launch attacks against the U.S.
[00:01:27.136 --> 00:01:29.458]  and its allies if they were liberated.
[00:01:29.778 --> 00:01:40.103]  Mullah Mohammad Fazl is Taliban's former Deputy Defense Minister and is wanted by the United Nations for his role in massacres targeting Afghan's Shiite Muslim population.
[00:01:40.563 --> 00:01:48.107]  Mullah Narula Noori was a senior Taliban military figure directly subordinate to Taliban Supreme Leader Mullah Ammar.
[00:01:48.447 --> 00:01:50.168]  Nori led troops against U.S.
[00:01:50.208 --> 00:01:53.469]  and coalition forces and is also wanted by the U.N.
[00:01:53.549 --> 00:01:57.110]  for possible war crimes, including the murder of thousands of Shiites.
[00:01:57.550 --> 00:02:01.412]  Abdul Haq Wasik is a former Deputy Minister of Intelligence.
[00:02:01.892 --> 00:02:04.113]  At one point, he tried to cooperate with U.S.
[00:02:04.153 --> 00:02:10.475]  forces in Afghanistan, asking for a GPS system as well as a special radio to communicate with the U.S.
[00:02:10.535 --> 00:02:13.396]  military after the invasion in 2001.
[00:02:13.737 --> 00:02:17.098]  His dossier says that while he was Deputy Intelligence Minister,
[00:02:17.458 --> 00:02:21.980]  He was a crucial liaison between the Taliban and other Islamic fundamentalist groups.
[00:02:22.420 --> 00:02:27.181]  Mohammed Nabi Omari held several military leadership posts for the Taliban.
[00:02:27.601 --> 00:02:32.123]  He helped organize the Al-Qaeda and Taliban militias that fought against U.S.
[00:02:32.183 --> 00:02:34.464]  and coalition troops in the first year of the war.
[00:02:34.824 --> 00:02:40.666]  Nabi maintained weapons caches and supported extremist activities by smuggling fighters and weapons.
[00:02:41.046 --> 00:02:44.447]  Nabi maintains strong ties to active networks.
