[00:00:05.014 --> 00:00:06.216]  There is a war.
[00:00:06.716 --> 00:00:07.697]  It's happening now.
[00:00:08.578 --> 00:00:10.401]  It will decide the fate of humanity.
[00:00:10.961 --> 00:00:12.743]  The time to choose sides has come.
[00:00:13.504 --> 00:00:14.966]  We are the Resistance.
[00:00:15.427 --> 00:00:17.089]  We are the Infowar.
[00:00:23.419 --> 00:00:25.440]  Welcome to the InfoWars Nightly News.
[00:00:25.520 --> 00:00:26.821]  I'm your host, Jakari Jackson.
[00:00:27.141 --> 00:00:30.923]  It's October 15th, 2014, and let's get straight into our news tonight.
[00:00:31.384 --> 00:00:38.368]  You've probably heard by now about the second nurse in Dallas contracting Ebola, which leads to many questions of the response to Ebola.
[00:00:38.728 --> 00:00:47.413]  The CDC's claims, Governor Rick Perry's claims, Obama's claims, saying that if you're sitting next to somebody on a bus and they sneeze and cough on you, you can't catch Ebola.
[00:00:47.753 --> 00:00:49.114]  Now he may be changing his tune.
[00:00:49.594 --> 00:01:01.524]  The CDC saying that there's nothing to worry about, that, you know, you have other health professionals from the state of Texas, these Texas commissioners and so forth, saying I can stick my hand in a ball of Ebola and I wouldn't transmit to anybody.
[00:01:02.004 --> 00:01:15.055]  Now people are very concerned about this and wondering what exactly can be done, because we see these health professionals, people who are supposedly trained to deal with these type of epidemics, and now they're coming under the scrutiny because they catch these viruses themselves.
[00:01:15.535 --> 00:01:18.797]  And as far as these two nurses who caught it, I don't so much blame them.
[00:01:18.817 --> 00:01:22.358]  I don't think they were as prepared as Governor Rick Perry would like you to believe.
[00:01:22.819 --> 00:01:27.001]  Which begs the question, are our troops as prepared as they would like you to believe?
[00:01:27.221 --> 00:01:27.541]  Memo.
[00:01:27.961 --> 00:01:29.002]  Ebola exposed U.S.
[00:01:29.022 --> 00:01:31.143]  troops to be quarantined near Washington, D.C.
[00:01:31.963 --> 00:01:37.366]  A Defense Department memo indicates that military commanders will be given the authority to quarantine U.S.
[00:01:37.386 --> 00:01:42.490]  troops returning from Ebola-ravaged nations in a secure DOD facility for 21 days.
[00:01:42.970 --> 00:01:44.771]  The memo was obtained by CNN.
[00:01:45.232 --> 00:01:46.732]  So yeah, we'll send the troops out there.
[00:01:47.093 --> 00:01:51.576]  We can't secure our own borders, but we'll send our troops to the other side of the world to secure theirs.
[00:01:51.656 --> 00:01:55.178]  And yes, they do have a very serious epidemic over in Africa.
[00:01:55.518 --> 00:01:59.961]  But we told you years ago, I believe it was the Obama deception, that we will send troops, the U.S.
[00:01:59.981 --> 00:02:03.383]  will send troops to Africa under the guise of humanitarian aid.
[00:02:03.703 --> 00:02:06.245]  And when the troops get sick, they'll bring them back, put them in quarantine.
[00:02:06.865 --> 00:02:08.746]  How many of the troops really signed up for that?
[00:02:08.766 --> 00:02:14.530]  You know, let me go to this Ebola hot zone and catch it and potentially threaten my own life or the lives of my family.
[00:02:14.830 --> 00:02:16.931]  Meanwhile, our own borders are wide open.
[00:02:17.371 --> 00:02:19.613]  So we're talking about the health effects of Ebola.
[00:02:19.893 --> 00:02:21.874]  What about the financial aspects of it?
[00:02:22.334 --> 00:02:23.155]  Dow tumbles 350 points.
[00:02:25.456 --> 00:02:35.752]  A tumble of more than 350 points on Wednesday was attributed to dismal retail sales data, Europe's inability to realize an economic recovery, and worries on Ebola.
[00:02:36.272 --> 00:02:41.060]  Ebola is in the background, said Peter Buchvar, chief market analyst at the Lindsay Group.
[00:02:41.460 --> 00:02:44.322]  So yeah, people are recognizing this, the financial aspects of it.
[00:02:44.703 --> 00:02:47.625]  And maybe people aren't as widely concerned about Ebola right now.
[00:02:48.025 --> 00:02:50.407]  But what about the people in the city of Dallas, Texas?
[00:02:50.467 --> 00:02:54.750]  You know, the people who may have been a little asleep on this at the beginning when patient zero first arrived.
[00:02:54.790 --> 00:02:56.251]  I bet they're starting to pay attention now.
[00:02:56.572 --> 00:02:58.233]  You have two nurses and one guy dead.
[00:02:58.593 --> 00:03:00.635]  Meanwhile, we're seeing Ebola pop up here and there.
[00:03:01.235 --> 00:03:02.236]  Around the rest of the world.
[00:03:02.276 --> 00:03:04.337]  So what's going to happen in Dallas, Texas?
[00:03:04.658 --> 00:03:09.041]  Are people going to stop going to the movie theaters, going to the sporting events, going to the shopping malls?
[00:03:09.081 --> 00:03:13.024]  And then what type of financial aspects are going to follow that type of situation?
[00:03:13.044 --> 00:03:17.748]  So let's talk about the finances of our youth in this country, our students in this country.
[00:03:18.188 --> 00:03:20.229]  You know, you have a lot of student loan debt going on.
[00:03:20.269 --> 00:03:23.271]  You know, it's the bubble that's going to burst at some point.
[00:03:23.291 --> 00:03:31.857]  You know, I myself, I was able to escape the clutches of the educational system with a little less than $6,000 in debt, but not everybody is that fortunate.
[00:03:32.358 --> 00:03:36.801]  College filed 631 lawsuits against students over unpaid tuition.
[00:03:37.381 --> 00:03:45.786]  New York's Westchester Community College is turning to the courts with far greater frequency to collect money owed by former students, the Journal-News reports.
[00:03:46.286 --> 00:03:55.492]  So far this year, the Valhalla-based WCC has won over $100,000 in judgments against 76 former students, the Daily Voice notes.
[00:03:55.952 --> 00:03:58.353]  All told, WCC is owed nearly $800,000.
[00:03:58.794 --> 00:04:04.117]  Rockland Community College has passed two notices totaling over $3 million.
[00:04:06.138 --> 00:04:10.279]  I think it's a shame in this country that education has become synonymous with debt.
[00:04:10.720 --> 00:04:18.862]  You know, because you think about how everybody wants to go to college and the college career counselors and all this, and just go, don't worry about it, you know, you'll make all that money back.
[00:04:18.942 --> 00:04:26.665]  This is what I tell young people, and I'm not saying education is bad, I think getting in massive amounts of debt is bad, but education itself is not inherently evil.
[00:04:27.446 --> 00:04:41.242]  If you're a young person out there, you're 17, 18 years old, you're about to go to college, you're trying to decide what to do with the rest of your life, whenever you meet a career counselor, a high school counselor, a teacher, a professor, and they're pressing you, just go to school and don't worry about the cost.
[00:04:41.302 --> 00:04:42.544]  Ask them these two simple questions.
[00:04:43.204 --> 00:04:45.125]  One, how much debt did you graduate with?
[00:04:45.245 --> 00:04:47.026]  And two, how much do you still owe?
[00:04:47.586 --> 00:04:54.349]  And you'll find, as I did, most of the time I asked that of a teacher, even, you know, as kind of like a professional talking about student loan debt.
[00:04:54.589 --> 00:04:55.410]  They don't want to talk about it.
[00:04:55.430 --> 00:04:56.150]  They get all offended.
