[00:00:01.892 --> 00:00:03.054]  Coast to coast.
[00:00:03.435 --> 00:00:04.757]  Direct from Austin.
[00:00:05.498 --> 00:00:08.703]  You're listening to the Alex Jones Broadcasting Network.
[00:00:16.311 --> 00:00:16.932]  Big Brother.
[00:00:17.612 --> 00:00:18.633]  Mainstream media.
[00:00:19.374 --> 00:00:20.515]  Government cover-ups.
[00:00:21.136 --> 00:00:21.937]  You want answers?
[00:00:22.717 --> 00:00:23.598]  Well, so does he.
[00:00:24.279 --> 00:00:27.922]  He's Alex Jones on the GCN Radio Network.
[00:00:28.463 --> 00:00:32.527]  And now, live from Austin, Texas, Alex Jones.
[00:00:51.255 --> 00:00:56.680]  Well, we are certainly engaging the globalist in the info war right now, ladies and gentlemen.
[00:00:56.700 --> 00:01:04.886]  Thank you for joining me on this Tuesday, June 10th, 2014, worldwide broadcast.
[00:01:05.927 --> 00:01:13.293]  And we are going to, obviously, be taking your phone calls and covering all of the incredibly important news that's transpiring.
[00:01:14.174 --> 00:01:17.277]  I've got to say that the immigration news
[00:01:18.780 --> 00:01:24.563]  is so huge, and it's not even getting a lot of what you call dinosaur media attention.
[00:01:25.163 --> 00:01:38.730]  Or they blandly report, oh yeah, a third US military base is filling up with the hundreds of thousands of illegal children who just get off airplanes, or who are brought across the border and dumped by their parents.
[00:01:40.242 --> 00:01:48.546]  Obama opens third military base to deal with flood of illegal children immigrants as officials insist they are being cared for despite abuse allegations.
[00:01:49.006 --> 00:01:51.467]  See in the Daily Mail it's about abuse allegations.
[00:01:53.728 --> 00:01:57.990]  Which is important but it comes after the crisis itself.
[00:01:58.471 --> 00:02:03.013]  The United States is being advertised that if you can get here
[00:02:04.619 --> 00:02:14.326]  With leprosy or double amputee or blind child, whatever the case is, we're going to pay for you as the country goes bankrupt.
[00:02:15.046 --> 00:02:25.214]  I mean, 30-40,000 Cubans in the 80s coming over in a couple of boat flotillas was a big issue because a bunch of them were criminals.
[00:02:25.954 --> 00:02:32.239]  They called it the Cuban crime wave because Castro was dumping a lot of his prisons
[00:02:33.582 --> 00:02:34.643]  On to the United States.
[00:02:34.663 --> 00:02:35.624]  Now, some of them were good people.
[00:02:35.664 --> 00:02:37.286]  They were political prisoners and people.
[00:02:37.726 --> 00:02:38.547]  That was a minority.
[00:02:39.087 --> 00:02:48.056]  Of course, they made the fictional Scarface, written by the great Oliver Stone, based on a five-year investigation of real characters he just changed the name of.
[00:02:48.096 --> 00:02:51.159]  It's basically a true story, and I've seen an interview he gave where he broke that down.
[00:02:51.519 --> 00:02:55.203]  He even spent years with the cartels in Latin America to write that script.
[00:02:56.604 --> 00:02:58.866]  He also wrote Conan the Barbarian, interestingly enough, side issue.
[00:02:58.886 --> 00:02:59.826]  It was his first big break.
[00:03:00.246 --> 00:03:03.849]  The point is, is that this is hundreds of thousands.
[00:03:03.929 --> 00:03:05.470]  It's estimated over 200,000 already.
[00:03:05.810 --> 00:03:06.050]  Another 260,000.
[00:03:06.110 --> 00:03:13.115]  The federal government came out yesterday in a memo and said they think are going to be coming in.
[00:03:15.116 --> 00:03:18.839]  I mean, ladies and gentlemen, this has never been done by anybody.
[00:03:20.240 --> 00:03:24.022]  Obama is literally taking a giant dump on the country.
[00:03:24.303 --> 00:03:26.164]  And I don't usually use scatological
[00:03:27.731 --> 00:03:32.495]  Verbiage I don't usually need to you, but I mean when it when a shoe fits wear it.
[00:03:32.555 --> 00:03:53.734]  I mean there's there's no other way to describe the way This country is being gutted our power plants turned off Obamacare meant to stall our country meanwhile you know the other shoes about to drop and they start arresting governors and filmmakers and pro-lifers all over the country for their speech and
[00:03:54.858 --> 00:04:09.027]  Persecuting people, and then coming out and saying... I mean, he had Ronald Reagan on his Facebook, he had Rand Paul on his Facebook, and they've attacked Rand Paul, and they've attacked Breitbart, but no, no, Alex Jones.
[00:04:10.167 --> 00:04:14.410]  We are swamped with the CNN, MSNBC clips.
[00:04:14.490 --> 00:04:17.492]  I mean, there's got to be six or seven of them, we've already been sent by listeners.
[00:04:18.857 --> 00:04:21.299]  And there's no way to air all of this or even digest it all.
[00:04:21.319 --> 00:04:22.340]  We're going to try to play some of it.
[00:04:22.761 --> 00:04:25.343]  Where they are basically saying he did it because of me.
[00:04:26.604 --> 00:04:32.469]  When everyone knows that I say do not offensively attack anybody and it's the worst thing we could do.
[00:04:35.392 --> 00:04:36.593]  And it's cold-blooded murder.
[00:04:38.714 --> 00:04:42.137]  Just like killing the kids at Waco because they wanted to kill the parents to teach them a lesson.
[00:04:42.878 --> 00:04:43.699]  It's a horrible crime.
[00:04:45.011 --> 00:04:50.213]  Just because the police represent a corrupt system doesn't mean they're corrupt.
[00:04:51.234 --> 00:04:55.495]  I mean, by that extension, if you pay income taxes, are you going to get shot in the back of the head in a restaurant?
[00:04:55.515 --> 00:04:56.816]  Because you're funding this.
[00:04:57.496 --> 00:04:58.116]  I mean, I pay them.
[00:04:58.837 --> 00:05:00.657]  It's a fraudulent tax to a private bank.
[00:05:00.678 --> 00:05:02.018]  They'll break your legs if you don't do it.
[00:05:03.179 --> 00:05:03.779]  See what I'm saying?
[00:05:04.499 --> 00:05:08.381]  I mean, it's like shooting a bank teller because you're mad at JPMorgan Chase or something.
[00:05:08.401 --> 00:05:08.781]  Be right back.
[00:05:10.287 --> 00:05:12.688]  This is Scottish John for InfoWars.com.
[00:05:12.788 --> 00:05:19.292]  I know that most of you here in this commercial already know about the New World Order, eugenics, and all the other issues covered here at InfoWars.
[00:05:19.472 --> 00:05:22.094]  The question is, do your friends and family know?
[00:05:22.274 --> 00:05:24.015]  If not, then I want to know why.
[00:05:24.215 --> 00:05:26.436]  Oh, I know it's tough to talk about this with some people.
[00:05:26.516 --> 00:05:30.719]  They might call you names, or they just want to talk about sports or soap operas.
[00:05:30.979 --> 00:05:32.000]  I say, so what?
[00:05:32.140 --> 00:05:34.141]  There's a battle going on out there right now.
[00:05:34.361 --> 00:05:37.463]  The ammunition is information, and the soldiers are you.
[00:05:37.724 --> 00:05:41.846]  It's time to transform your game from passive listener to active participant.
[00:05:41.986 --> 00:05:47.670]  We from Scotland have had our skin in this game for the greater part of the last thousand years, and I'm still fighting.
[00:05:47.830 --> 00:05:50.852]  If we don't all stand up right now, we're gonna lose everything.
[00:05:51.072 --> 00:05:52.754]  The Info War is worldwide.
[00:05:52.874 --> 00:05:57.016]  Tell your friends about Info Wars and let them know that Info Wars doesn't print bull.
[00:05:57.217 --> 00:06:00.839]  It's real journalism and news backed up by documented facts.
[00:06:00.899 --> 00:06:07.984]  Step up and take your friends and family to InfoWars.com, PrisonPlanet.tv and PlanetInfoWars.com.
[00:06:08.165 --> 00:06:09.706]  The truth will set them free!
[00:06:10.359 --> 00:06:11.159]  I don't know what it is.
