[00:00:00.089 --> 00:00:00.550]  I don't know.
[00:00:13.058 --> 00:00:18.802]  The Genesis Communications Network is one of America's premier broadcasters of captivating talk radio.
[00:00:19.022 --> 00:00:20.163]  We thank you for listening.
[00:00:20.403 --> 00:00:25.647]  Now, just imagine, there are thousands of people who are just as passionate about radio as you are.
[00:00:25.767 --> 00:00:29.930]  But what you may not realize is how easy and affordable it is to advertise with us.
[00:00:30.170 --> 00:00:34.513]  Radio commercials for your business could be heard on hundreds of radio stations across the U.S.
[00:00:34.693 --> 00:00:35.273]  every day.
[00:00:35.754 --> 00:00:40.357]  We can help you by creating an effective radio advertising campaign for your company.
[00:00:40.797 --> 00:00:43.318]  From script writing to producing your commercial.
[00:00:43.598 --> 00:00:45.698]  Just like the one you're listening to right now.
[00:00:45.998 --> 00:00:49.339]  No other network provides the level of customer service we do.
[00:00:49.579 --> 00:00:53.280]  When it comes to radio advertising, we are your one-stop shop.
[00:00:53.500 --> 00:00:56.901]  And no matter how big or small your business is, we can help.
[00:00:57.441 --> 00:01:07.243]  Email us at advertise at gcnlive.com and an experienced advertising executive will help you take the first step towards driving more customers to your business or website.
[00:01:07.503 --> 00:01:09.727]  Advertise at GCNLive.com.
[00:01:09.888 --> 00:01:10.228]  Easy.
[00:01:10.409 --> 00:01:11.030]  Affordable.
[00:01:11.190 --> 00:01:11.951]  Effective.
[00:01:11.972 --> 00:01:13.554]  Hi there.
[00:01:14.176 --> 00:01:15.258]  My name is Frank Bates.
[00:01:15.698 --> 00:01:18.924]  What I'm about to tell you in the next 60 seconds could get me in a lot of trouble.
[00:01:19.545 --> 00:01:20.267]  I just created...
[00:01:38.206 --> 00:01:42.390]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:01:43.051 --> 00:01:43.852]  You want answers?
[00:01:44.633 --> 00:01:45.553]  Well, so does he.
[00:01:46.174 --> 00:01:49.778]  He's Alex Jones on the GCN Radio Network.
[00:01:50.378 --> 00:01:54.422]  And now, live from Austin, Texas, Alex Jones.
[00:01:56.359 --> 00:02:17.597]  Lieutenant General Mark Milley, commanding general of Fort Hood, told our reporters, Sha'Carri Jackson and Kit Daniels, last night, during a press conference, that the reported Fort Hood shooter, who killed three people and then himself, injuring 16 others, was on psychotropic drugs, ladies and gentlemen.
[00:02:18.317 --> 00:02:24.159]  And I'm not tooting our horn, I'm pointing out that the mainstream corporate horror media was not asking those questions.
[00:02:24.759 --> 00:02:36.984]  Our reporters drove the hour and a half to the base command from Austin, Texas in Fort Hood, the largest army base in the world, and asked the real questions.
[00:02:37.924 --> 00:02:41.326]  We're going to air that press conference or clips of it coming up.
[00:02:42.187 --> 00:02:45.629]  But we're also going to have extended clips of it coming up later in the broadcast.
[00:02:45.669 --> 00:02:55.316]  Former Congressman Ron Paul will also be joining us today to talk about a host of issues from the economy to what's happening with the new Cold War with Russia.
[00:02:55.696 --> 00:02:58.678]  So he'll be on with us in the first 20 minutes of the second hour today.
[00:02:58.738 --> 00:03:03.081]  But I've got to say that I came out of NOAA last night, which
[00:03:04.494 --> 00:03:09.881]  It's a pretty good science fiction movie, and to a certain extent biblically based.
[00:03:10.502 --> 00:03:20.977]  I'm not saying it's all accurate, but if you actually read the Bible, it's got fallen angels giving man technology and breeding with women and genetic engineering and kind of an Atlantis story.
[00:03:22.099 --> 00:03:26.666]  And so if you believe the Bible, it's some pretty heavy stuff.
[00:03:26.966 --> 00:03:37.822]  The mainline preachers, the last 200 years that can't deal with it, will tell you all that that's a false interpretation of it.
[00:03:39.906 --> 00:03:45.751]  You know, the Nephilim coming down to Earth, the Giants having sex with the women, destroying the genetics.
[00:03:46.392 --> 00:03:50.896]  In the movie Noah, though, it's clearly eugenics, depopulation, propaganda film overall.
[00:03:50.916 --> 00:03:51.937]  It has some positive aspects.
[00:03:51.977 --> 00:03:53.819]  I'll give my review later in the third hour.
