[00:00:01.170 --> 00:00:02.311]  Coast to Coast.
[00:00:02.711 --> 00:00:04.032]  Direct from Austin.
[00:00:04.772 --> 00:00:08.795]  You're listening to the Alex Jones Broadcasting Network.
[00:00:16.480 --> 00:00:20.983]  July 4th!
[00:00:21.043 --> 00:00:21.983]  You want answers?
[00:00:22.624 --> 00:00:23.645]  Well, so does he.
[00:00:23.925 --> 00:00:27.887]  Live, from the Infowars.com studios, it's Alex Jones.
[00:00:31.676 --> 00:00:33.236]  How dare that guy be angry?
[00:00:34.617 --> 00:00:43.499]  Totally wide open borders, government stealing pension funds worldwide, banker bailouts in the hundreds of trillions, total authoritarianism being publicly set up.
[00:00:44.719 --> 00:00:51.061]  Boy, it's bizarre to get upset about all that and have our whole future destiny destroyed by a bunch of anti-human eugenicists.
[00:00:51.661 --> 00:00:54.142]  Who would want to politically blow up something like that?
[00:00:55.560 --> 00:01:00.504]  Why, Paul Revere, he said to arms to arms, get ready to kill people that are trying to enslave us.
[00:01:01.085 --> 00:01:06.129]  But when I got up and told Piers Morgan a year and a half ago to go to Hades, we knew he was there for gun confiscation.
[00:01:06.169 --> 00:01:07.170]  Why, it was radical.
[00:01:07.550 --> 00:01:08.211]  It was evil.
[00:01:08.271 --> 00:01:09.112]  It was outrageous.
[00:01:09.332 --> 00:01:13.756]  Because if you let one ant stand up, they might all stand up.
[00:01:13.816 --> 00:01:16.198]  And then there goes our way of life.
[00:01:16.438 --> 00:01:18.420]  We ought to play that clip coming into the next segment.
[00:01:19.537 --> 00:01:25.365]  Well, I'm sitting here, ladies and gentlemen, listening to the show over at my folks' house with the family.
[00:01:27.067 --> 00:01:28.369]  You're saying, oh, you're on the radio.
[00:01:28.610 --> 00:01:29.030]  No, I'm not.
[00:01:29.331 --> 00:01:35.980]  This is an original first hour of the July 4th, 2014 transmission that I'm taping Thursday afternoon.
[00:01:38.430 --> 00:01:44.393]  And then we've got a retransmission of a very powerful interview we did with David Icke, I think one of the best ones ever, coming up in the second and third hour.
[00:01:44.433 --> 00:01:46.774]  We've had a lot of requests to rebroadcast that.
[00:01:47.274 --> 00:01:49.435]  And then I'll be back Sunday, 4 to 6 p.m.
[00:01:49.455 --> 00:01:50.616]  with a Sunday transmission.
[00:01:52.172 --> 00:02:04.550]  I got in here with a copy of the Declaration of Independence, and I got in here with a bunch of news articles, and what I think I want to get into is just how America has changed, and what a police state we are, versus where we should be going.
[00:02:05.352 --> 00:02:08.035]  And while the police state is pointed at the American people,
[00:02:09.400 --> 00:02:19.308]  The border is wide open and illegal aliens are being given free welfare and bust in anywhere they want to go in the country, showing the whole war on terror and the, quote, Al Qaeda threat is a giant joke.
[00:02:19.348 --> 00:02:19.928]  We know it is.
[00:02:20.449 --> 00:02:23.171]  We're not saying there aren't radical Muslim terrorists out there.
[00:02:23.931 --> 00:02:31.077]  What we are saying and proving is criminal globalist interest in NATO, Saudi Arabia, our government, you name it.
[00:02:33.029 --> 00:02:33.609]  Maybe Israel.
[00:02:34.209 --> 00:02:40.491]  Netanyahu came out last week or week and a half ago and said, oh yeah, we need to help ISIS, you know, take over Iraq.
[00:02:40.531 --> 00:02:41.911]  It'll destabilize the Muslims.
[00:02:41.931 --> 00:02:42.791]  Destabilize them?
[00:02:43.151 --> 00:02:51.973]  Putting one of the worst groups, if not the worst Al Qaeda group, in charge of Iraq that we went and overthrew to put an elected government in that's been pro-America?
[00:02:52.433 --> 00:02:53.633]  Compared to ISIS they are.
[00:02:53.653 --> 00:02:56.774]  I mean, that's an evil policy.
[00:02:57.334 --> 00:03:02.035]  And when I came back through customs this week from a vacation,
[00:03:03.837 --> 00:03:09.240]  I mean, I ran into the customs guy because they put this big cross on the computer printout I got in the first kiosk I went through.
[00:03:10.480 --> 00:03:12.661]  Basically like a harassment no-fly list.
[00:03:13.462 --> 00:03:18.084]  And the guy knew who I was, was a listener, and said, this is outrageous, and literally started cussing.
[00:03:20.505 --> 00:03:25.427]  And he was a veteran, and then had come back into customs after 9-11 as a family member got killed.
[00:03:26.448 --> 00:03:29.029]  And he was a listener, and he was shaking with anger.
[00:03:31.272 --> 00:03:32.012]  Shaking in anger.
[00:03:32.233 --> 00:03:33.113]  And here's the other good news.
[00:03:33.193 --> 00:03:34.113]  I'm not tooting my horn.
[00:03:34.173 --> 00:03:36.194]  I didn't tell this the other day when I got back, Wednesday.
[00:03:38.035 --> 00:03:49.321]  The customs guy I talked to in Grand Cayman, where your bags come up, the head customs guy, he was the boss there, said, oh Alex Jones, I was listening to your show yesterday.
[00:03:52.122 --> 00:03:54.884]  And, uh, you know, said he really appreciates what I say and what I do.
[00:03:54.904 --> 00:03:57.685]  And then I ran into two cops that were listeners.
[00:03:58.265 --> 00:03:59.406]  And I got mobbed.
[00:04:00.447 --> 00:04:03.149]  I mean, I've never been mobbed like this in Austin.
[00:04:03.909 --> 00:04:05.090]  That's the closest other place.
[00:04:06.150 --> 00:04:07.631]  In the middle of the Caribbean?
[00:04:08.652 --> 00:04:09.713]  South of Cuba?
[00:04:11.373 --> 00:04:12.954]  Again, I'm not saying I'm a big shot.
[00:04:14.315 --> 00:04:22.080]  What I'm saying is, freedom is incredibly popular, so on July 4th, 2014, I want to give you the good message.
[00:04:23.180 --> 00:04:27.103]  Yesterday, we had Professor Daryl Hamamoto on.
[00:04:28.143 --> 00:04:28.924]  Incredible!
[00:04:30.206 --> 00:04:32.087]  He contacted us and said, I've heard that name before.
[00:04:32.127 --> 00:04:33.207]  I've seen him all over TV.
[00:04:33.227 --> 00:04:39.329]  He's a sociologist, I guess you call it anthropologist, political scientist.
[00:04:39.990 --> 00:04:44.551]  And he's just basically Rockefeller Foundation originally, you know, awarded.
[00:04:45.412 --> 00:04:50.694]  And he's an insider blowing the whistle and just conferring and augmenting with data everything we already know.
[00:04:51.014 --> 00:04:54.075]  And he said a bunch of the other professors know the truth and are about to go public.
[00:04:54.335 --> 00:04:56.736]  They're threatening his job right now, but he doesn't care.
[00:04:56.756 --> 00:04:57.376]  He was happy!
[00:04:57.856 --> 00:04:59.177]  Because that's the spirit of liberty.
[00:05:00.757 --> 00:05:02.500]  That's the spirit that can't be stopped.
[00:05:03.181 --> 00:05:04.924]  That's the spirit that gets me fired up.
[00:05:05.685 --> 00:05:07.949]  Because nothing makes me more angry than a bunch of bullies.
[00:05:10.069 --> 00:05:16.093]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential forfeiture situation?
[00:05:16.173 --> 00:05:19.536]  The police are shoving people, shoving Alex, shoving the crowd.
[00:05:19.636 --> 00:05:21.237]  Here we go, folks, I'm being a sergeant!
[00:05:21.277 --> 00:05:27.542]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:05:27.642 --> 00:05:33.546]  Is this another false flag stage attack to take our civil liberties and put more homeless in security by sticking our hands down on the streets?
[00:05:33.686 --> 00:05:37.449]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:05:37.629 --> 00:05:40.552]  And that's what PrisonPlanet.TV is designed to do.
[00:05:40.712 --> 00:05:48.738]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:05:48.998 --> 00:05:51.040]  What we see now is a war against reality.
[00:05:51.100 --> 00:05:52.161]  It's a war against the truth.
[00:05:52.501 --> 00:06:01.245]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:06:01.445 --> 00:06:03.887]  Visit InfoWarsNews.com today.
[00:06:04.107 --> 00:06:08.409]  Become a member, share your membership, and help take the info war to the next level.
[00:06:10.523 --> 00:06:12.284]  Hi, I'm Dr. Edward Group.
[00:06:12.805 --> 00:06:19.789]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:06:20.249 --> 00:06:30.636]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:06:31.077 --> 00:06:40.303]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:06:41.043 --> 00:06:44.464]  It's the strongest nascent iodine on the market today.
[00:06:45.105 --> 00:06:48.526]  It delivers 650 micrograms per drop.
[00:06:48.846 --> 00:06:50.446]  Experience the new formula.
[00:06:50.906 --> 00:06:52.907]  Experience the ancient purity.
[00:06:53.487 --> 00:06:54.508]  Shield your family.
[00:06:54.828 --> 00:06:56.228]  Survival Shield X2.
[00:06:56.648 --> 00:06:59.229]  Available now at Infowarslife.com.
[00:06:59.789 --> 00:07:03.771]  X2 from Infowarslife.com or call toll free 888-253-3139.
[00:07:09.033 --> 00:07:11.597]  Alex Jones here for InfoWars.com.
[00:07:11.817 --> 00:07:16.463]  In the month of July, we have got giant specials on everything at Madein1776.com.
[00:07:16.483 --> 00:07:18.506]  The already discounted Made in 1776 t-shirts are only $17.76.
[00:07:24.013 --> 00:07:24.253]  I think?
[00:07:44.164 --> 00:07:51.451]  Five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[00:07:51.732 --> 00:07:55.275]  That's more than five months free off the regular price.
[00:07:55.616 --> 00:08:01.862]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[00:08:02.242 --> 00:08:07.308]  Molon Labe, you can take my gun from my cold, dead hands.
[00:08:20.919 --> 00:08:26.141]  If you let one ant stand up to us, then they all might stand up.
[00:08:26.881 --> 00:08:31.343]  Those puny little ants outnumber us a hundred to one.
[00:08:31.863 --> 00:08:35.905]  And if they ever figure that out, there goes our way of life.
[00:08:36.725 --> 00:08:38.006]  It's not about food.
[00:08:38.726 --> 00:08:41.267]  It's about keeping those ants in line.
[00:08:47.975 --> 00:08:49.676]  The Alex Jones Show.
[00:08:50.117 --> 00:08:53.159]  Because there is a war on for your mind.
[00:08:54.861 --> 00:08:57.763]  And we are waging war on corruption.
[00:08:58.304 --> 00:09:05.610]  We are crashing through the lies and disinformation on this July 4th, 2014 worldwide transmission.
[00:09:06.730 --> 00:09:08.092]  Calls are coming up at the bottom of the hour.
[00:09:09.087 --> 00:09:13.071]  We're going to go into the archive in the second and third hour and have David Icke retransmitted.
[00:09:13.091 --> 00:09:15.593]  A few weeks ago he was on, I think it was the best interview ever.
[00:09:15.854 --> 00:09:18.796]  I keep saying each new interview is the best ever, but they just get better and better.
[00:09:19.577 --> 00:09:23.000]  So, that's coming up, and I'll be back this Sunday, 4 to 6 p.m.
[00:09:23.020 --> 00:09:28.926]  You know, I want to read a little bit from the Declaration of Independence, and I forgot to get it out of the printer out there.
[00:09:28.946 --> 00:09:30.067]  They'll bring it to me in a few minutes.
[00:09:31.048 --> 00:09:32.490]  But, there's a part in there
[00:09:34.258 --> 00:09:42.041]  We tend to forget the Declaration of Independence exists, but it's as important or more important than the Bill of Rights, and way more important than the Constitution.
[00:09:43.322 --> 00:09:57.388]  I mean, we think of the Constitution as all those documents, but the Constitution isn't as good as the Declaration of Independence or Bill of Rights, because it had all the states involved, the former colonies, in 1798, and there was some lawyer stuff snuck into there.
[00:09:58.068 --> 00:10:00.229]  It's still diametrically opposed to tyranny.
[00:10:00.469 --> 00:10:01.970]  The globalists hate it and demonize it 24-7.
[00:10:04.463 --> 00:10:10.748]  It's just not a fount of goodness like the Bill of Rights or the Declaration of Independence.
[00:10:12.089 --> 00:10:12.690]  And here it is.
[00:10:14.111 --> 00:10:22.597]  Down in the second paragraph it says, Prudence indeed will dictate that governments long established should not be changed for lighter transient causes.
[00:10:25.159 --> 00:10:25.960]  And then they go on.
[00:10:26.701 --> 00:10:31.685]  And that's if you really studied history, most revolutions turn into something worse.
[00:10:33.493 --> 00:10:36.015]  Hell, they have, you know, revolutions all the time in African countries.
[00:10:36.035 --> 00:10:36.815]  It generally gets worse.
[00:10:37.376 --> 00:10:37.996]  Disability.
[00:10:38.617 --> 00:10:40.458]  They have them in, you know, Latin America all the time.
