[00:00:00.069 --> 00:00:01.609]  Threat to America.
[00:00:01.870 --> 00:00:03.370]  It's not ISIS at the border.
[00:00:03.410 --> 00:00:06.491]  It's not the drug cartels coming through the wide-open border.
[00:00:06.851 --> 00:00:12.553]  No, it's all of you people who care about your liberty and Puerto Rican nationalists for whatever reason.
[00:00:13.013 --> 00:00:17.274]  And on Sunday, whistleblower... By the military industrial commons.
[00:00:18.286 --> 00:00:23.650]  In Dallas, Texas, three shots were fired at President Kennedy's motorcade in downtown Dallas.
[00:00:24.171 --> 00:00:29.395]  The first reports say that President Kennedy has been seriously wounded by the shooting.
[00:00:30.256 --> 00:00:31.717]  It is a big idea.
[00:00:32.778 --> 00:00:37.101]  A new world order.
[00:00:37.121 --> 00:00:39.743]  It was almost as if it were a planned implosion.
[00:00:40.484 --> 00:00:42.025]  It's just pancakes.
[00:00:44.407 --> 00:00:45.488]  Either you're with us,
[00:00:46.909 --> 00:00:59.575]  When you were with the terrorists.
[00:00:59.595 --> 00:01:06.918]  But I also believe that a lot of gun owners would agree that AK-47s belong in the hands of soldiers, not in the hands of criminals.
[00:01:11.363 --> 00:01:12.063]  Guns will be taken.
[00:01:12.083 --> 00:01:13.184]  No one will be able to be armed.
[00:01:13.424 --> 00:01:15.125]  We're going to take all guns.
[00:01:15.165 --> 00:01:19.948]  For many of the police and guard troops, it is an uncomfortable job to do this in an American city.
[00:01:20.008 --> 00:01:21.468]  Global governance at last.
[00:01:21.569 --> 00:01:22.509]  Is it one world?
[00:01:22.549 --> 00:01:24.190]  The central bank is in charge.
[00:01:24.230 --> 00:01:27.712]  But aren't we all just living and dying for what the central banks do?
[00:01:27.812 --> 00:01:31.814]  As for me, give me liberty or give me death!
[00:01:34.115 --> 00:01:38.818]  Live from the InfoWars.com studios, it's Alex Jones.
[00:01:40.689 --> 00:01:57.074]  I'm Joe Biggs with InfoWars.com in El Paso, Texas, right across the border from Juarez, where there are reports of an imminent threat and attack by the ISIS terrorist group, which we all know is funded by the CIA.
[00:01:58.354 --> 00:02:05.778]  Now, there are reports that they've heard some chatter over the radio that the threat could be a VBIED.
[00:02:06.038 --> 00:02:09.600]  And what that is, is a vehicle-borne improvised explosive device.
[00:02:09.960 --> 00:02:16.064]  A driver gets in the vehicle, drives it into his target, and it flattens the place out completely.
[00:02:16.084 --> 00:02:18.345]  Now, is this a false flag?
[00:02:18.945 --> 00:02:22.066]  To stage a reason to take our liberties away?
[00:02:22.086 --> 00:02:28.389]  I mean, we saw how quickly things went to hell and a martial law status was in place in Ferguson.
[00:02:28.749 --> 00:02:29.790]  Don't forget about that.
[00:02:30.310 --> 00:02:32.651]  Or, is this an actual threat?
[00:02:32.951 --> 00:02:37.233]  A legitimate threat by ISIS on our southern borders?
[00:02:37.913 --> 00:02:44.777]  So this is something you need to think about and I encourage the people watching this to comment on this at the bottom of the video on YouTube.
[00:02:45.337 --> 00:02:46.818]  But let me get back to another thing.
[00:02:47.058 --> 00:03:04.008]  If this is an actual legitimate threat, and it can be because one of the reasons El Paso Fort Bliss this weekend shut down a lot of its main gates and only left them open for personnel with DOD CAT cards, that is a white army
[00:03:05.530 --> 00:03:32.827]  uh... idea that has a chip in it has all their information on that and then also all the vehicles were subject to be in search by the mps at the gates dogs uh... slicking for stuff like that explosive things of that nature so they were they've definitely taken that threat to be a serious threat and they've heightened their security so that that that kind of as a little bit legitimacy to the threat now another thing as well though if this is a real threat
[00:03:33.487 --> 00:03:39.673]  Well, the Democrats take the blame because they have done nothing to help secure our borders whatsoever.
[00:03:40.074 --> 00:03:45.399]  You know, we're spending $30 million on getting these huge Border Patrol facilities built.
[00:03:45.740 --> 00:03:49.944]  Meanwhile, behind me is a gate that's been left open.
[00:03:50.064 --> 00:03:50.605]  We've seen it.
[00:03:50.645 --> 00:03:51.425]  You've seen the video.
[00:03:51.445 --> 00:03:52.487]  It's a viral video.
[00:03:53.484 --> 00:04:01.247]  Now this is a main gate right off of I-10, but literally just around the corner over here is a small place that I'm going to take us to tomorrow.
[00:04:01.607 --> 00:04:03.808]  And you can see, you can walk right across the river.
[00:04:04.108 --> 00:04:06.569]  It's right on the US-Mexico border right there.
[00:04:06.849 --> 00:04:07.749]  It's not that hard.
[00:04:08.009 --> 00:04:10.510]  People watch these videos like, oh, it'd be so hard.
[00:04:10.530 --> 00:04:11.371]  No, it's not.
[00:04:12.051 --> 00:04:13.892]  Stop playing around with yourself.
[00:04:14.252 --> 00:04:16.553]  This is a serious, serious issue.
[00:04:17.093 --> 00:04:19.474]  And it's funny, the borders are weak.
