[00:00:04.966 --> 00:00:06.186]  There is a war.
[00:00:06.627 --> 00:00:07.607]  It's happening now.
[00:00:08.507 --> 00:00:10.308]  It will decide the fate of humanity.
[00:00:10.888 --> 00:00:12.688]  The time to choose sides has come.
[00:00:13.449 --> 00:00:14.889]  We are the resistance.
[00:00:15.349 --> 00:00:17.230]  We are the Infowar.
[00:00:22.952 --> 00:00:24.652]  Welcome to the Infowar's nightly news.
[00:00:24.812 --> 00:00:25.513]  I'm David Knight.
[00:00:25.553 --> 00:00:27.753]  It's Monday, September 22nd, 2014, and here are our top stories.
[00:00:27.773 --> 00:00:27.993]  Tonight,
[00:00:34.554 --> 00:00:38.596]  Big Pharma Giants GSK is found guilty of bribery.
[00:00:39.336 --> 00:00:42.978]  And climate change activists leave garbage on city streets.
[00:00:43.658 --> 00:00:47.220]  That's next on the Info Wars Nightly News.
[00:00:49.941 --> 00:00:59.006]  Now NASA is coming out and saying, a NASA-funded university, and saying that we've got to pay the carbon tax or aliens are going to kill us.
[00:00:59.986 --> 00:01:01.427]  Ladies and gentlemen, I'm not joking.
[00:01:02.264 --> 00:01:04.486]  Well, there's a huge scandal breaking in the UK.
[00:01:04.646 --> 00:01:17.159]  Of course, GlaxoSmithKline is headquartered there, but they are a multinational pharmaceutical company, and this concerns their business practices in China, but of course, it sheds light on the ethics of the company.
[00:01:17.559 --> 00:01:21.263]  GlaxoSmithKline is now going to pay a £297 million fine over a Chinese bribery network
[00:01:25.327 --> 00:01:26.168]  Translated into U.S.
[00:01:26.188 --> 00:01:28.091]  dollars, that's about 485 million.
[00:01:28.111 --> 00:01:30.273]  In other words, about a half a billion dollars.
[00:01:30.754 --> 00:01:39.465]  GlaxoSmithKline has been found guilty of bribery by a Chinese court and has agreed to pay a fine of 297 million pounds.
[00:01:39.785 --> 00:01:44.070]  Now, that's about the amount of money that they bribed doctors with.
[00:01:44.671 --> 00:01:54.859]  They said that it was a massive bribery network that was uncovered and of course the CEO and others were threatened with jail terms as well as large fines.
[00:01:54.899 --> 00:01:56.500]  It looks like that is not going to happen.
[00:01:57.160 --> 00:02:05.506]  We also had revelations of a sex tape of the CEO in China, the GSK CEO in China, a man named Riley and his girlfriend.
[00:02:05.847 --> 00:02:08.909]  It was mailed to 13 company executives last year.
[00:02:09.329 --> 00:02:24.577]  The Guardian also points out that a detective that was hired by GlaxoSmithKline to investigate who made that sex tape, who mailed it to the executives at GSK, that detective and his wife now are going to jail.
[00:02:24.677 --> 00:02:27.278]  Another reminder that although the CEOs and the
[00:02:27.278 --> 00:02:35.126]  The executives may go scot-free, the minions are going to pay for it just as they did in the Piers Morgan snooping cases.
[00:02:35.527 --> 00:02:47.679]  Now, this particular case, the sentence that they're getting is two and a half years in jail and about 20,000 pounds for the husband and slightly less for his wife, both sentenced to jail.
[00:02:48.280 --> 00:02:58.353]  GSK had hired them to investigate why the company's then head of Chinese operations, Mark Reilly, had been filmed surreptitiously having sex with his Chinese girlfriend in his guarded luxury home.
[00:02:58.874 --> 00:03:06.284]  Now the interesting thing about this is that they came back and in their defense they said the majority of their work was done using public information.
[00:03:06.904 --> 00:03:10.788]  They said that they use internet searches, interviews, and site inspections.
[00:03:10.948 --> 00:03:23.321]  In other words, it sounds very much like what Google does to you and I. But the Chinese prosecutor said, do you think it would infringe upon your privacy if your husband or your son's private information was bought and sold?
[00:03:23.941 --> 00:03:25.703]  Well, quite frankly, I think it does.
[00:03:26.103 --> 00:03:29.185]  And I think that Google does that all the time.
[00:03:29.525 --> 00:03:34.349]  But, of course, there's one set of rules for Google and the people at the top, and there's another one for those at the bottom.
[00:03:34.889 --> 00:03:40.353]  Now, the GlaxoSmithKline ex-boss, Riley, was not given a jail term.
[00:03:40.413 --> 00:03:42.674]  He was given a three-year suspended sentence.
[00:03:43.795 --> 00:03:53.461]  Now remember that it was just last week that we learned that GSK had actually dumped live polio into the water supply into a Belgian river.
[00:03:54.383 --> 00:04:01.148]  Forty-five liters of concentrated live polio were dumped in the water at a Belgian treatment plant earlier this month.
[00:04:01.348 --> 00:04:08.093]  And at the beginning of September, we learned that their Ebola vaccine was going to be given a fast track.
[00:04:08.273 --> 00:04:12.956]  And in fact, they began testing it on humans at the end of last week in the UK.
[00:04:13.917 --> 00:04:15.919]  But they're not the only ones who are bribing.
[00:04:16.119 --> 00:04:20.162]  Look at what is going on at the lowly 7-Eleven.
[00:04:20.663 --> 00:04:29.210]  You have 7-Eleven essentially bribing their managers to get their employees vaccinated with a flu shot.
[00:04:29.870 --> 00:04:30.651]  And look at what they're doing.
[00:04:30.671 --> 00:04:47.792]  They're not bribing them with hundreds of millions of dollars as they did in China, GlaxoSmithKline, but 7-Eleven is offering their managers to get three days off with pay if they can get 50% of their employees to get vaccinated, and of course, vaccinate themselves.
[00:04:48.453 --> 00:04:52.518]  What kind of bribery, what kind of payback are they hoping to get out of this?
[00:04:52.578 --> 00:04:54.901]  Do they think that this is going to reduce their downtime?
[00:04:55.202 --> 00:05:02.210]  Do they not realize that people who are vaccinated with a flu shot are far more likely to get the flu than those who are not vaccinated?
[00:05:02.511 --> 00:05:06.155]  Something that was pointed out last year for us by Piers Morgan.
[00:05:06.656 --> 00:05:17.459]  When he got his flu vaccine, actually, he came down with the flu right away, which caused Alex Jones to offer a million-dollar reward if he would get a thousand vaccinations.
[00:05:17.780 --> 00:05:18.860]  And, of course, he broke it down.
[00:05:18.920 --> 00:05:20.460]  It wasn't just the flu vaccine.
[00:05:20.721 --> 00:05:27.643]  He said, get 500 flu vaccines, 100 anthrax vaccines, 100 polio vaccines, Gardasil, hepatitis, meningitis.
[00:05:27.883 --> 00:05:28.683]  We'll break that down.
[00:05:28.783 --> 00:05:31.124]  I'll pay you a million dollars because
[00:05:31.584 --> 00:05:35.669]  Piers Morgan was saying vaccines are not only effective, but they're safe.
[00:05:35.729 --> 00:05:44.439]  Yes, they gave him the flu, and so now we see that 7-Eleven is bribing their managers to try to get their employees to take vaccines.
[00:05:45.040 --> 00:05:46.982]  Doesn't this strike you as strange?
[00:05:47.603 --> 00:05:50.163]  There's a lot of profit to be made is the point.
[00:05:50.904 --> 00:06:06.746]  GlaxoSmithKline can pay doctors in China half a billion dollars in bribes because they're going to make so much money if they can sell their vaccines, if they can sell their drugs to people who may or may not need those for whom it may not be the best solution.
[00:06:07.387 --> 00:06:08.607]  Stay with us right after the break.
[00:06:08.627 --> 00:06:09.967]  We've got more news from the UK.
