[00:00:01.312 --> 00:00:02.495]  Coast to Coast.
[00:00:02.856 --> 00:00:04.199]  Direct from Austin.
[00:00:04.920 --> 00:00:08.128]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.810 --> 00:00:15.450]  Big Brother.
[00:00:16.110 --> 00:00:17.131]  Mainstream media.
[00:00:17.871 --> 00:00:18.971]  Government cover-ups.
[00:00:19.632 --> 00:00:20.432]  You want answers?
[00:00:21.212 --> 00:00:22.132]  Well, so does he.
[00:00:22.773 --> 00:00:26.374]  He's Alex Jones on the GCN Radio Network.
[00:00:26.954 --> 00:00:31.055]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.136 --> 00:00:33.616]  What's his name?
[00:00:56.545 --> 00:00:57.826]  There is a war.
[00:00:58.247 --> 00:00:59.228]  It's happening now.
[00:00:59.248 --> 00:01:01.910]  It will decide the fate of humanity.
[00:01:02.470 --> 00:01:04.352]  The time to choose sides has come.
[00:01:05.053 --> 00:01:06.554]  We are the resistance.
[00:01:06.974 --> 00:01:08.556]  We are the Infowar.
[00:01:15.532 --> 00:01:23.521]  On the face of this globe there are more than a hundred and eighty nations and less than six of them allow their citizens to keep their arms.
[00:01:24.002 --> 00:01:26.245]  Places like the United States and Switzerland.
[00:01:27.446 --> 00:01:33.833]  There is a planetary move by the UN and powerful corporate interest to disarm populations.
[00:01:35.114 --> 00:01:48.532]  The Attorney General famously told a meeting of media executives that they need to brainwash the public against the Second Amendment and create irrational fears that guns are this incredible danger in the hands of citizens.
[00:01:50.014 --> 00:01:55.015]  It's clear with young people and with adults as well is that we just have to be repetitive about this.
[00:01:55.075 --> 00:01:59.696]  It's not enough to simply have a catchy ad on a Monday and then only do it every Monday.
[00:01:59.757 --> 00:02:06.678]  We need to do this every day of the week and just really brainwash people into thinking about guns in a vastly different way.
[00:02:07.238 --> 00:02:17.001]  The LA Times even had to admit that gun crime is down 51% in the last 20 years, but that the public has the perception that there's more gun crime than ever.
[00:02:18.342 --> 00:02:20.763]  But the people are starting to wake up.
[00:02:21.003 --> 00:02:33.708]  All over the United States there are open carry rallies where the people are going out and retaking their liberties and openly carrying firearms that is still legal, but that the media had made taboo.
[00:02:34.328 --> 00:02:37.650]  A right that is not exercised is basically destroyed.
[00:02:38.230 --> 00:02:42.792]  Mayor Bloomberg, financed by the World Bank, sponsoring South by Southwest here in Austin,
[00:02:43.732 --> 00:02:52.120]  ...has come into town and financed multiple anti-gun events, where they're even talking about how to censor free speech on Facebook to shut down the argument.
[00:02:52.800 --> 00:03:01.969]  So, over a hundred Texans marched today in an open carry march, and the good news is, out of hundreds of people that our reporters talked to,
[00:03:02.609 --> 00:03:10.235]  Of attendees from California who visited Austin, only two people didn't think citizens should be able to openly carry and keep firearms.
[00:03:10.555 --> 00:03:12.277]  We are winning the fight.
[00:03:12.817 --> 00:03:14.979]  Congress only has a 6% approval rating.
[00:03:15.339 --> 00:03:22.565]  Of course the power structure wants to disarm us, because they're scared that the public might someday, under a tyranny, defend themselves.
[00:03:23.105 --> 00:03:26.227]  But what's really winning the Second Amendment fight is this.
[00:03:27.448 --> 00:03:31.630]  Yesterday, I took out a bunch of Hollywood people shooting out at a friend's ranch.
[00:03:32.211 --> 00:03:35.452]  And a lot of them had never shot guns and hadn't even been pro-gun previously.
[00:03:35.772 --> 00:03:39.234]  And they totally got it and said, I'm a good person.
[00:03:39.394 --> 00:03:40.735]  Why do the police just have guns?
[00:03:40.995 --> 00:03:43.196]  I just shot all these guns, including 50 cals.
[00:03:43.476 --> 00:03:44.056]  It was fun.
[00:03:44.316 --> 00:03:44.917]  It was safe.
[00:03:45.677 --> 00:03:49.519]  There was one actress there who was shooting bullseye at 200 yards the first time she shot.
[00:03:49.799 --> 00:03:53.061]  She's like, wow, I could be a person with guns and protect myself.
[00:03:53.341 --> 00:03:54.281]  True feminism.
[00:03:54.541 --> 00:03:55.482]  Empowering women.
[00:03:57.008 --> 00:04:01.071]  The fake feminists want men out of the picture to make the state the husband.
[00:04:02.292 --> 00:04:04.073]  That's what the system admits they're doing.
[00:04:04.433 --> 00:04:14.800]  And so we took these women and men out, they shot firearms, and were converted in the matter of hours over to fully understanding the spirit of 1776 and individual freedom.
[00:04:16.161 --> 00:04:26.768]  And in closing, we have a clip of some young geisha girls today down in South by Southwest in downtown Austin, when they were handed an M4, M16 variant, their eyes just lit up.
[00:04:32.048 --> 00:04:35.304]  I don't think so.
[00:04:47.460 --> 00:04:49.582]  This is the same thing I've seen in every case.
[00:04:49.962 --> 00:05:00.568]  If you can get a progressive, government, statist, slave of the system out to fire firearms, they will convert to a real liberal, Thomas Jefferson style.
[00:05:01.149 --> 00:05:02.750]  Liberals become real liberals.
[00:05:03.150 --> 00:05:04.311]  Join the libertarians.
[00:05:04.691 --> 00:05:06.512]  Join the human empowerment movement.
[00:05:10.216 --> 00:05:20.600]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:05:20.900 --> 00:05:22.741]  Guess what else is in the halogen family?
[00:05:22.941 --> 00:05:23.642]  Fluoride!
[00:05:23.842 --> 00:05:25.622]  Ladies and gentlemen, Alex Jones here.
[00:05:25.762 --> 00:05:32.065]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:05:32.325 --> 00:05:37.109]  It's the good halogen on the periodic table, and the results are on record.
[00:05:37.250 --> 00:05:43.335]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:05:43.575 --> 00:05:45.737]  Bottom line, iodine is important.
[00:05:45.997 --> 00:05:48.620]  Unbound, clean, in a glycerin base.
[00:05:48.920 --> 00:05:52.323]  Nascent iodine was the answer for myself and my family.
[00:05:52.423 --> 00:05:57.646]  You will find Survival Shield Nascent Iodine exclusively at InfoWarsLife.com.
[00:05:57.846 --> 00:06:02.669]  InfoWars Life Survival Shield Nascent Iodine isn't just for emergencies.
[00:06:02.950 --> 00:06:03.990]  I take it every day.
[00:06:04.150 --> 00:06:06.052]  That's InfoWarsLife.com.
[00:06:06.172 --> 00:06:07.012]  Or call toll-free 888-255-7000.
[00:06:10.111 --> 00:06:11.753]  Introducing Pro-1.
[00:06:11.993 --> 00:06:15.496]  All of your filtration in one system, portable, on-the-go.
[00:06:15.656 --> 00:06:20.060]  No more do you have two or three filters to just reduce sodium fluoride.
[00:06:20.220 --> 00:06:24.284]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:06:25.885 --> 00:06:30.866]  It is the only one that does it and out of the gates we have it discounted at 10% off with promo code water.
[00:06:30.886 --> 00:06:34.547]  This is the only system that in one unit helps reduce or remove pesticides, herbicides,
