[00:00:11.206 --> 00:00:15.089]  The Army is very proud of the new American city they've built to practice martial law.
[00:00:16.030 --> 00:00:18.172]  The government really can do something quickly.
[00:00:18.552 --> 00:00:21.835]  They built this 300 acre city in just two years.
[00:00:22.435 --> 00:00:25.998]  Compare that to how long they take in your city just to build a road.
[00:00:26.499 --> 00:00:31.002]  But then they did have 96 million dollars of your tax money to play with.
[00:00:31.263 --> 00:00:38.829]  To transition from an army of execution, doing what we've got to do, to an army of preparation to be ready for what comes next.
[00:00:39.209 --> 00:00:40.170]  This is a place
[00:00:40.790 --> 00:00:46.269]  Uh, where we can be creative and you can come up with solutions for problems that we don't even know we have yet.
[00:00:46.786 --> 00:00:53.149]  The public may not know the problem yet, because they haven't yet executed the false flag event that they'll use to openly activate martial law.
[00:00:53.189 --> 00:00:59.992]  But the military has been creating scenarios where they can justify a move against small-town America for quite some time.
[00:01:00.673 --> 00:01:07.496]  And they've made it clear that their enemy is gun owners, veterans, those who want a small limited government, and Christians.
[00:01:08.176 --> 00:01:14.059]  The UK Telegraph reported that the town was complete with a subway, railroad, football field, and mosque.
[00:01:14.900 --> 00:01:15.380]  Mosque?
[00:01:16.414 --> 00:01:17.634]  That's not a mosque.
[00:01:18.374 --> 00:01:23.035]  That's a small-town Christian church with a steeple and gothic windows.
[00:01:23.615 --> 00:01:26.256]  Mosques have minarets, rounded arches, etc.
[00:01:26.636 --> 00:01:31.077]  It's not that they've kept the current military's attitude toward Christians a secret, either.
[00:01:31.497 --> 00:01:32.057]  It was the U.S.
[00:01:32.117 --> 00:01:43.419]  Army that conflated the Ku Klux Klan with mainstream Christian groups like the American Family Association or the Family Research Council, calling these mainstream evangelical groups hate groups.
[00:01:44.039 --> 00:01:54.906]  In just the last year, an official Army email and briefings at both Fort Hood, Texas and Camp Shelby, Mississippi attacked Christian groups and said they don't share Army values.
[00:01:55.447 --> 00:02:04.853]  Most recently, we've seen a FOIA request that showed last year's training scenario in Ohio identified gun owners and people who believe in limited government as the enemy.
[00:02:05.173 --> 00:02:12.278]  And then there's retired Colonel Kevin Benson, currently teaching at Fort Leavenworth, who spelled it out clearly in his Vision of the Future.
[00:02:13.118 --> 00:02:18.039]  When the leaders of the group hold a press conference to announce their goals, they invoke the Declaration of Independence.
[00:02:18.119 --> 00:02:26.242]  And they argue that the current form of the federal government is not deriving its just powers from the consent of the governed, but is actually destructive to these ends.
[00:02:26.782 --> 00:02:31.043]  Therefore, they say the people can alter or abolish the existing government and replace it with another.
[00:02:31.183 --> 00:02:34.864]  And while mainstream politicians and citizens react with alarm... Right.
[00:02:35.264 --> 00:02:38.645]  ...with alarm to the words of the Declaration of Independence,
[00:02:39.653 --> 00:02:49.562]  The Tea Party insurrectionists in South Carolina enjoy groundswell of support from other Tea Party groups, militias, racist organizations like the Ku Klux Klan.
[00:02:49.982 --> 00:02:52.704]  And as we've shown you many times in the past, U.S.
[00:02:52.784 --> 00:03:07.097]  military documents describing CONUS operations, that's the Continental United States, where rules regarding the use of deadly force in confronting dissidents are made disturbingly clear with the directive that a warning shot will not be fired.
[00:03:07.757 --> 00:03:11.582]  Or this document that talks about policies that would be applied within U.S.
[00:03:11.682 --> 00:03:12.322]  territory.
