[00:00:04.946 --> 00:00:06.127]  There is a war.
[00:00:06.648 --> 00:00:07.629]  It's happening now.
[00:00:08.509 --> 00:00:10.311]  It will decide the fate of humanity.
[00:00:10.892 --> 00:00:12.694]  The time to choose sides has come.
[00:00:13.454 --> 00:00:14.896]  We are the Resistance.
[00:00:15.376 --> 00:00:17.038]  We are the Infowar.
[00:00:23.135 --> 00:00:25.356]  Welcome to the InfoWars Nightly News.
[00:00:25.436 --> 00:00:26.697]  I'm your host, Jakari Jackson.
[00:00:27.017 --> 00:00:30.759]  It's September 15, 2014, and let's get straight into our news tonight.
[00:00:31.419 --> 00:00:34.961]  Obama admits ISIS beheading videos helped the White House agenda.
[00:00:35.021 --> 00:00:35.841]  And of course they did.
[00:00:36.301 --> 00:00:46.066]  Because as you recall, just about a week or so ago, a member, a representative of the Steve Sotloff family, came out and said that the Obama administration is using these journalists as pawns.
[00:00:46.406 --> 00:00:50.308]  Of course, Steve Sotloff is one of the journalists you saw in the ISIS beheading videos.
[00:00:50.888 --> 00:01:01.197]  The article, The Paths to War, Then and Now, Haunt Obama, explains how the President noted that gruesome videos released by ISIS had helped galvanize public support for action.
[00:01:01.778 --> 00:01:11.606]  Obama's comments are attributed to 10 people who spoke with him with the days leading up to his speech Wednesday night, who quoted his private remarks to the New York Times' Peter Baker.
[00:01:12.307 --> 00:01:26.111]  Because as you recall, about a year or so ago, Obama wanted to have intervention in Syria, reciting the supposed attacks by Assad and his own people with chemical weapons, even though there's video evidence of the Syrian rebels carrying out at least one attack.
[00:01:26.151 --> 00:01:35.874]  He said, we have to go in because Assad's out here doing all these horrible things to his own people, completely ignoring the things going on to the people in this country, just like we saw with Ferguson, Missouri.
[00:01:36.414 --> 00:01:42.277]  Russia, China, all these other countries said, hey, you want to come over here and tell us how to do our business, learn how to do your own business at home.
[00:01:42.357 --> 00:01:44.338]  But getting back to Syria, you know, the U.S.
[00:01:44.378 --> 00:01:46.720]  is not happy that China and Russia are teaming up.
[00:01:47.060 --> 00:01:49.781]  They have a pipeline that goes, you know, in the Syria area.
