[00:00:19.597 --> 00:00:21.539]  Welcome to the Info Wars Nightly News.
[00:00:21.659 --> 00:00:22.940]  I'm your host, Jakari Jackson.
[00:00:23.321 --> 00:00:27.105]  It's May 14, 2014, and let's get straight into our top story tonight.
[00:00:27.545 --> 00:00:30.989]  Russian Foreign Minister demands Obama reply to claims that U.S.
[00:00:31.049 --> 00:00:33.051]  mercenaries are operating in the Ukraine.
[00:00:33.431 --> 00:00:37.595]  Academy denies its mercs are helping Junta in Kiev eliminate opposition.
[00:00:38.596 --> 00:00:47.826]  Bild am Sonntag, the largest selling Sunday newspaper in Germany, reported last Sunday the presence of 400 mercenaries from the company were operating in Ukraine.
[00:00:48.167 --> 00:00:54.634]  The report followed an announcement in early May that the CIA and FBI are in the country assisting the regime.
[00:00:55.214 --> 00:00:58.076]  Now, this is Academy, which was formerly Blackwater.
[00:00:58.096 --> 00:01:00.518]  You know, they changed their name every time they get a new scandal.
[00:01:00.818 --> 00:01:03.220]  And now we have the reports that they're operating in the Ukraine.
[00:01:03.581 --> 00:01:04.962]  Now, the reports are contradictory.
[00:01:05.002 --> 00:01:06.783]  Some people say, yeah, this is an absolute fact.
[00:01:06.803 --> 00:01:08.905]  There are other people saying that, no, it's not happening.
[00:01:09.245 --> 00:01:18.952]  Regardless, if it was Academy, Blackwater, some other group, I wouldn't be surprised at all if we found out there were mercenaries there, had boots on the ground, because people definitely want control of the situation.
[00:01:19.333 --> 00:01:21.254]  It's just they're more prodding to
[00:01:22.575 --> 00:01:28.181]  Antagonized the Russian people over there, and I'm not saying you know I'm not a cheerleader for Putin I say this every week.
[00:01:28.522 --> 00:01:29.583]  I'm not pro Russia.
[00:01:29.603 --> 00:01:30.344]  I'm not whatever.
[00:01:30.724 --> 00:01:40.635]  I'm anti-war That's what I'm about so when I see things like this it very much concerns me and hopefully we can figure out what's going on there So we won't have a situation that escalates any more than it already has
[00:01:41.596 --> 00:01:45.679]  Feds released hundreds of immigrant murderers, drunk drivers, sex crime convicts.
[00:01:46.219 --> 00:01:49.021]  Among the 36,000 immigrants whom the U.S.
[00:01:49.101 --> 00:01:57.906]  Immigration and Customs Enforcement released from custody last year, there were 116 with conviction for homicide, 43 for negligent manslaughter,
[00:01:58.606 --> 00:02:06.010]  14 for voluntary manslaughter and one with a conviction classified by ICE as, quote, homicide, willful, kill public, official gun.
[00:02:06.150 --> 00:02:07.131]  Their words, not mine.
[00:02:07.511 --> 00:02:19.518]  The article goes on to point out this would be considered the worst prison break in American history, except it was sanctioned by the president and perpetrated by our own immigration officials, said Lamar Smith, Texas Republican.
[00:02:19.918 --> 00:02:20.598]  And I do agree.
[00:02:20.618 --> 00:02:23.559]  It very much concerns me that these guys are now out on the street.
[00:02:24.119 --> 00:02:40.545]  And, you know, regardless of how you feel about the immigration issue, if you think it's best to send these offenders back to where they came from, if you think it's worth the American taxpayer dollars to jail these guys here in the States, regardless of how you feel these guys should be dealt with, I don't think releasing these dangerous people to the street
[00:02:41.185 --> 00:02:45.846]  Is the best way for anybody, whether it's Mexico, the United States, or anybody.
[00:02:45.886 --> 00:02:57.568]  You have these violent people, these sex offenders, these drunk drivers, even people who have just straight up murdered other people, and you're going to say, well, we don't want to be racist and send these guys back to Mexico, so we're just going to let them go on the street.
[00:02:57.849 --> 00:03:01.829]  Or we don't want to try them in the American court system, so we're just going to let them go back out on the street.
[00:03:02.209 --> 00:03:03.430]  What kind of sense does this make?
[00:03:03.530 --> 00:03:07.270]  It's completely ridiculous, and now you have these violent offenders back out on the streets.
[00:03:07.691 --> 00:03:09.291]  And I'll tell this brief story.
