[00:00:00.830 --> 00:00:02.011]  Coast to Coast.
[00:00:02.371 --> 00:00:03.692]  Direct from Austin.
[00:00:04.433 --> 00:00:07.736]  You're listening to the Alex Jones Broadcasting Network.
[00:00:15.704 --> 00:00:16.344]  Big Brother.
[00:00:17.005 --> 00:00:18.046]  Mainstream media.
[00:00:18.787 --> 00:00:19.868]  Government cover-ups.
[00:00:20.528 --> 00:00:21.349]  You want answers?
[00:00:22.130 --> 00:00:22.891]  Well, so does he.
[00:00:23.499 --> 00:00:27.281]  He's Alex Jones on the GCN Radio Network.
[00:00:27.821 --> 00:00:31.943]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.684 --> 00:00:36.586]  Welcome to the Alex Jones Show.
[00:00:36.626 --> 00:00:37.266]  I'm David Knight.
[00:00:37.386 --> 00:00:42.109]  I'll be your host today on this Wednesday, June 25th, 2014.
[00:00:42.189 --> 00:00:43.869]  Going very quickly.
[00:00:43.889 --> 00:00:44.910]  We're about halfway through 2014.
[00:00:44.950 --> 00:00:50.373]  Today we've had a landmark decision, I think, from the Supreme Court.
[00:00:51.093 --> 00:00:53.314]  They actually endorsed the Fourth Amendment.
[00:00:53.774 --> 00:00:56.775]  Who would have thought that the Supreme Court would endorse the Fourth Amendment?
[00:00:57.135 --> 00:01:00.276]  We're going to be talking about that, and we're going to be talking about the police state.
[00:01:00.316 --> 00:01:03.357]  We're going to have Paul Joseph Watson joining us at the bottom of this hour.
[00:01:03.377 --> 00:01:10.659]  In the third hour, we're going to be joined by Cheryl Chumley, and we'll talk about the book that she wrote, Police State USA.
[00:01:11.419 --> 00:01:16.121]  And Alex Jones is going to be joining us in the second hour with a report about the
[00:01:17.481 --> 00:01:19.523]  America being destroyed by design.
[00:01:19.543 --> 00:01:21.524]  This is all connected.
[00:01:21.604 --> 00:01:26.788]  It's not that we have Homeland Security that is pushing this police state on local police departments.
[00:01:27.830 --> 00:01:33.351]  The Defense Department equipping them with mine-ready vehicles that we see everywhere.
[00:01:33.871 --> 00:01:35.672]  It's not just that kind of militarization.
[00:01:35.732 --> 00:01:39.373]  It's also Homeland Security has the control of the borders.
[00:01:40.073 --> 00:01:42.753]  They're the ones who are standing down at the border.
[00:01:42.813 --> 00:01:45.014]  They have control of border patrols.
[00:01:45.034 --> 00:01:46.294]  They have control of ICE.
[00:01:46.894 --> 00:01:49.075]  And they also have control of the TSA.
[00:01:49.861 --> 00:01:51.683]  Where they are not standing down.
[00:01:52.463 --> 00:01:53.624]  So what is this all about?
[00:01:54.044 --> 00:01:56.326]  This is a planned design.
[00:01:56.386 --> 00:01:57.487]  This is treason.
[00:01:57.507 --> 00:02:02.031]  And that's what Alex Jones is going to be talking about in the second hour as he joins us.
[00:02:02.551 --> 00:02:06.575]  And of course, we're going to have updates on what's going on with the collapsing borders.
[00:02:06.615 --> 00:02:11.979]  But today, primarily, we're going to be talking with Paul Joseph Watson and Cheryl Chumley about the other aspect of it.
[00:02:12.019 --> 00:02:15.342]  And that is, how do they treat us within the borders?
[00:02:15.902 --> 00:02:17.424]  Well, it's a police state.
[00:02:18.064 --> 00:02:23.770]  Just yesterday evening we had an article from Infowars.com that Paul Joseph Watson wrote.
[00:02:23.790 --> 00:02:24.691]  We're going to talk to him about it.
[00:02:24.751 --> 00:02:25.792]  It was picked up on Drudge.
[00:02:26.332 --> 00:02:32.979]  Woman says DHS forced her to strip naked at gunpoint during a terrifying dawn raid.
[00:02:33.719 --> 00:02:34.840]  Yeah, see the problem is...
[00:02:35.942 --> 00:02:42.790]  Is that our police state is essentially stripping us all naked in our person, places, effects, our data.
[00:02:43.090 --> 00:02:46.113]  They are constantly watching everything we do.
[00:02:47.014 --> 00:02:51.059]  And we are not allowed to even look them in the eye, just like this lady.
[00:02:51.099 --> 00:02:54.242]  They handcuff us, put us on the floor and tell us to shut up and don't look at them.
[00:02:55.083 --> 00:02:56.364]  We're tired of this.
[00:02:57.125 --> 00:02:58.547]  We're not going to put up with this.
