[00:00:00.109 --> 00:00:00.550]  Big Brother!
[00:00:16.335 --> 00:00:17.356]  Mainstream media.
[00:00:18.097 --> 00:00:19.218]  Government cover-ups.
[00:00:19.859 --> 00:00:20.680]  You want answers?
[00:00:21.440 --> 00:00:22.321]  Well, so does he.
[00:00:23.002 --> 00:00:26.586]  He's Alex Jones on the GCN Radio Network.
[00:00:27.186 --> 00:00:31.271]  And now, live from Austin, Texas, Alex Jones.
[00:00:50.200 --> 00:00:55.125]  Ladies and gentlemen, thank you so much for joining us on this Tuesday, the 7th day of January 2000.
[00:00:59.429 --> 00:01:01.591]  And 14 worldwide transmission.
[00:01:02.291 --> 00:01:03.612]  Again, I'm your host Alex Jones.
[00:01:03.653 --> 00:01:09.317]  There is so much insane news that we're going to be covering and breaking down today, obviously.
[00:01:09.717 --> 00:01:13.481]  Chicago has smashed all records for the cold.
[00:01:13.681 --> 00:01:17.224]  New York City breaks 118-year-old record.
[00:01:17.664 --> 00:01:22.268]  Chill map across the United States and Europe as well is just incredibly cold.
[00:01:23.611 --> 00:01:26.493]  Also, coldest air in 20 years.
[00:01:26.573 --> 00:01:28.554]  It's other parts of the United States.
[00:01:28.714 --> 00:01:31.576]  Solar pole is warmer.
[00:01:32.036 --> 00:01:35.938]  Hundreds stranded overnight on snowbound Amtrak trains.
[00:01:36.058 --> 00:01:38.119]  Power demand soars.
[00:01:38.239 --> 00:01:44.843]  Texas grid pushes to the edge because they've shut down a large portion of our power plants under Agenda 21.
[00:01:45.503 --> 00:01:49.385]  Indianapolis mayor, in 10 minutes you could be dead from the cold.
[00:01:49.525 --> 00:01:49.906]  Escape
[00:01:50.866 --> 00:01:53.027]  Inmate turns himself in, it was so cold.
[00:01:53.727 --> 00:01:57.308]  Climate change groups seek new leadership as movement loses steam.
[00:01:58.069 --> 00:02:01.830]  Meteorologist ghost is closing coal plants.
[00:02:02.450 --> 00:02:05.991]  Also MIT climate scientist takes on the warmest.
[00:02:06.412 --> 00:02:10.033]  Time Magazine blamed polar vortex on global cooling in 1974.
[00:02:10.113 --> 00:02:10.533]  Al Sharpton
[00:02:14.352 --> 00:02:15.796]  ...is donning a white lab coat.
[00:02:15.816 --> 00:02:19.787]  That's some of the news I see up on Drudge.
[00:02:19.807 --> 00:02:22.313]  90% of the United States is frozen.
[00:02:23.715 --> 00:02:26.096]  That is just some of the news on that front.
[00:02:26.596 --> 00:02:31.897]  All over the United States, the police are intimidating people into giving blood and saliva samples.
[00:02:32.818 --> 00:02:35.258]  Voluntary government checkpoints spark backlash.
[00:02:35.738 --> 00:02:37.719]  There should be a massive backlash.
[00:02:38.859 --> 00:02:42.200]  Also, we've got huge Obamacare news.
[00:02:42.620 --> 00:02:51.163]  We've got news on the economic front, huge news on the Fukushima front, and several guests that are coming up today.
[00:02:52.216 --> 00:02:52.837]  I don't think so.
[00:03:08.072 --> 00:03:18.743]  Where there are groups down there on a hunger strike to force the city to remove hydrofluorosilic acid and other poisons from the water supply.
[00:03:18.763 --> 00:03:22.387]  We're going to check in with her for about 10 minutes at the bottom of the hour.
[00:03:22.427 --> 00:03:29.034]  If you're out there driving, listening to us on the local AM or FM stations, it's important to go down there in the next 30 minutes and park.
[00:03:29.634 --> 00:03:36.240]  Or to drive by honking, to drive by with your radio turned up, so that everyone knows that we are aware of what's happening.
[00:03:36.460 --> 00:03:43.046]  So that hunger strikes and other protests against fluoride, GMOs, you name it, can only intensify.
[00:03:43.367 --> 00:03:45.148]  Will we save the world with this one protest?
[00:03:45.208 --> 00:03:45.409]  No.
[00:03:45.889 --> 00:03:50.593]  But we will engage in the act of education, enlightenment, and resistance
[00:03:51.570 --> 00:03:56.677]  That will end up bringing the globalists down in the final equation.
[00:03:57.297 --> 00:04:00.061]  And that's what we're talking about here today.
[00:04:00.161 --> 00:04:02.644]  So it's now time to get down there.
[00:04:02.684 --> 00:04:09.012]  You can also meet some of the M4's crew, John Bowne and Leanne McAdoo, who are now making their way down there right now.
[00:04:09.873 --> 00:04:14.758]  There's a ton of insanely important bizarro news up on Infowars.com.
[00:04:15.559 --> 00:04:19.242]  MSNBC pundit calls on Obama to govern by decree.
[00:04:19.722 --> 00:04:23.566]  Decree means by dictate, or in the Latin, dictatorship.
[00:04:24.467 --> 00:04:26.409]  So, to rule by dictatorship.
[00:04:27.170 --> 00:04:34.336]  Scientists discovered conjoined gray whales dying near West Coast as other animals die en masse from the radiation.
[00:04:35.057 --> 00:04:40.621]  Meanwhile, they have professors in the news denying West Coast radiation linked to Fukushima, saying it must be red silverware.
[00:04:41.202 --> 00:04:44.464]  Yes, and elves, too, or maybe pixie dust.
[00:04:44.644 --> 00:04:47.707]  500% radiation increase from red-painted disposable eating utensils.
[00:04:48.107 --> 00:04:48.687]  Seriously?
[00:04:49.348 --> 00:04:52.971]  Retired Air Force colonel with three graduate degrees is homeless and sleeps in a van.
[00:04:53.311 --> 00:04:54.612]  Well, there's laws against that, colonel.
[00:04:54.632 --> 00:04:55.713]  We're going to put you in a FEMA camp.
[00:04:56.153 --> 00:05:00.837]  JPMorgan pays $2 billion to avoid prosecution for its involvement in Madoff Ponzi scheme.
[00:05:01.880 --> 00:05:06.131]  New York declares state of emergency ahead of polar vortex winter storm.
[00:05:06.172 --> 00:05:07.595]  They ought to name the storm Storm Gore.
[00:05:09.235 --> 00:05:11.736]  Alex Jones here, introducing Pro-1.
[00:05:11.996 --> 00:05:15.497]  All of your filtration in one system, portable, on-the-go.
[00:05:15.657 --> 00:05:20.039]  No more do you have two or three filters to just reduce sodium fluoride.
[00:05:20.199 --> 00:05:26.181]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:05:26.301 --> 00:05:37.065]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:05:37.285 --> 00:05:43.589]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:05:43.769 --> 00:06:00.760]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:06:01.100 --> 00:06:05.463]  Get your Pro-Pure with the new Pro-1 filters today at infowarestore.com.
[00:06:05.683 --> 00:06:07.604]  We're by calling 888-253-3139.
