[00:00:00.293 --> 00:00:05.795]  Last night on my orders, America's armed forces began strikes against ISIL targets in Syria.
[00:00:46.324 --> 00:00:48.986]  The people we are fighting today, we funded.
[00:00:49.557 --> 00:00:52.159]  Waging war on corruption.
[00:00:52.179 --> 00:00:57.444]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:01:00.006 --> 00:01:07.292]  ISIS has grabbed up from the US, from the Saudis, from the Qataris, weapons by the truckload.
[00:01:08.133 --> 00:01:14.318]  And we are now forced to fight against our own weapons, and this body wants to throw more weapons into the mix.
[00:01:27.575 --> 00:01:29.635]  Welcome to the Info Wars Nightly News.
[00:01:29.735 --> 00:01:30.935]  I'm your host, Jakari Jackson.
[00:01:31.255 --> 00:01:35.396]  It's December 18th, 2014, and that's exactly right, America!
[00:01:35.596 --> 00:01:38.797]  Yeah, where we let other countries tell us how to make our movies.
[00:01:39.177 --> 00:01:46.958]  And not only do we let them tell us how to make our movies like Iron Man 3 or Red Dawn, now if they say, we don't want you to air this movie, we just won't air it.
[00:01:47.278 --> 00:01:51.619]  And now we have the article, Paramount Cancels Alamo Draft House's Team America Screening.
[00:01:52.625 --> 00:01:56.728]  Reportedly, Paramount Pictures has decided not to let the theater chain show the movie at all.
[00:01:57.228 --> 00:02:03.173]  Alamo Draft House sent a message telling their customers that the screening would not take place due to circumstances beyond their control.
[00:02:03.833 --> 00:02:13.661]  See, what had happened was, is Seth Rogen and Jane Franco, they made this little movie called The Interview, in which they go in to assassinate Ken Jeong-un, and it's my understanding there's some type of orgy scene in it.
[00:02:14.181 --> 00:02:16.543]  I wouldn't know because the movie's not supposed to be released.
[00:02:16.843 --> 00:02:18.203]  Because that's what happens here in America.
[00:02:18.223 --> 00:02:19.104]  We have so much freedom.
[00:02:19.384 --> 00:02:24.265]  We let foreign entities show us how to make our movies and also how to promote them or play them at all.
[00:02:24.585 --> 00:02:27.026]  You guys recall Iron Man 3 and also Red Dawn.
[00:02:27.406 --> 00:02:31.827]  They got censored and remade because the Chinese audience didn't like them as they are.
[00:02:32.248 --> 00:02:40.050]  Now Kim Jong Un and his camp supposedly are threatening hack attacks, or I guess already had hack attacks, here in the States because of a movie.
[00:02:40.670 --> 00:02:42.171]  It doesn't make a whole lot of sense to me.
[00:02:42.211 --> 00:02:45.812]  That's like saying the innocence of Muslims caused the Benghazi attacks.
[00:02:45.892 --> 00:02:47.033]  I don't buy that one bit.
[00:02:47.353 --> 00:02:51.455]  But for more on how this hack attack may not be all that it seems, here's Paul Joseph Watson.
