[00:00:00.029 --> 00:00:01.410]  Direct from Austin.
[00:00:02.070 --> 00:00:05.373]  You're listening to the Alex Jones Broadcasting Network.
[00:00:13.058 --> 00:00:13.699]  Big Brother.
[00:00:14.359 --> 00:00:15.380]  Mainstream media.
[00:00:16.120 --> 00:00:17.261]  Government cover-ups.
[00:00:17.882 --> 00:00:18.702]  You want answers?
[00:00:19.463 --> 00:00:20.403]  Well, so does he.
[00:00:21.024 --> 00:00:24.967]  He's Alex Jones on the GCN Radio Network.
[00:00:25.207 --> 00:00:29.270]  And now, live from Austin, Texas, Alex Jones.
[00:00:49.966 --> 00:00:56.230]  Oh man, I've been sitting here ready to go live, but as we were going live,
[00:00:58.197 --> 00:01:05.020]  I was just fumbling through all these stacks of incredible news, trying to think, what is the top story?
[00:01:05.380 --> 00:01:06.421]  What is most important?
[00:01:07.781 --> 00:01:10.703]  And I really come to the same conclusion every time I have that thought.
[00:01:11.343 --> 00:01:23.989]  It's the entire mass of news together that really shows us how truly insane society and civilization is going.
[00:01:26.038 --> 00:01:26.838]  Here's one thing.
[00:01:27.058 --> 00:01:34.640]  I thought it was pretty incredible yesterday when we broke the story with the video from McAllen, Texas on the Mexican border.
[00:01:35.241 --> 00:01:50.825]  But the head of emergency management said that over 90% of the illegals that show up bust in by the Border Patrol to McAllen to be staged at churches, already have tickets provided to them to go wherever they want in the United States, quote, in the interior.
[00:01:52.478 --> 00:01:53.880]  And that nothing is being done.
[00:01:53.900 --> 00:01:56.843]  They're just being paid to get into the U.S.
[00:01:57.404 --> 00:02:03.851]  When they could take them in a bus and drive them back over and throw them back into Mexico, they don't even do that.
[00:02:04.271 --> 00:02:05.753]  They drive them into the U.S.
[00:02:05.773 --> 00:02:07.735]  and that video is up on Infowars.com.
[00:02:09.437 --> 00:02:10.479]  No one picked it up.
[00:02:11.610 --> 00:02:12.430]  No one covered it.
[00:02:13.311 --> 00:02:21.615]  As of my search, about an hour before broadcast time today, and then I had missed it in the stack as I was going through it.
[00:02:22.015 --> 00:02:26.617]  Caught red-handed, Border Patrol paying to ship illegals deeper into the U.S.
[00:02:27.057 --> 00:02:32.199]  The Daily Mail that I know follows Infoworks.com closely and they actually give us credit a lot of times.
[00:02:32.239 --> 00:02:33.140]  I got to give them credit.
[00:02:34.260 --> 00:02:36.461]  Every week or so they give us credit for stories we've broken.
[00:02:37.182 --> 00:02:39.743]  I was reading through this one and didn't see us credited but
[00:02:41.244 --> 00:02:42.665]  They broke this yesterday evening.
[00:02:43.506 --> 00:02:48.471]  We broke this really in the evening before yesterday, but I broke it big time here on the air.
[00:02:48.531 --> 00:02:50.072]  And I'm not into who breaks things first.
[00:02:50.092 --> 00:02:52.314]  It's just, I'm trying to get this story out.
[00:02:52.955 --> 00:02:54.817]  So it's interesting to track it and learn how the media works.
[00:02:55.377 --> 00:03:01.743]  Hundreds of illegal immigrant children are being handed to relatives who are in the U.S.
[00:03:01.943 --> 00:03:02.584]  illegally too.
[00:03:03.865 --> 00:03:05.586]  Well yeah, that's what the DREAM Act does.
[00:03:06.407 --> 00:03:11.150]  As HHS admits, it makes no effort to find out their immigration status.
[00:03:12.631 --> 00:03:18.234]  Now when they say handed to, you mean paid to get to, whether it's Chicago, Illinois or Austin, Texas.
[00:03:19.635 --> 00:03:24.178]  Whether it's Seattle, Washington or Minneapolis, St.
[00:03:24.198 --> 00:03:24.858]  Paul, Minnesota.
[00:03:26.699 --> 00:03:29.061]  So, at least the Daily Mail covered it.
[00:03:31.400 --> 00:03:35.861]  And they made some phone calls and talked to all the human services people who admitted that's going on.
[00:03:38.082 --> 00:03:40.722]  They don't even try to check that they have, quote, verified sponsors.
[00:03:41.642 --> 00:03:48.344]  It's just, you get here, you're legal, the government's going to pay for it, and then you're going to get put on welfare as soon as you get to the, quote, immigrant, illegal immigrant family.
[00:03:49.844 --> 00:03:51.085]  And then they bring in the next wave.
[00:03:51.325 --> 00:03:51.765]  I mean, this is...
[00:03:53.936 --> 00:04:13.213]  This is mind-boggling, and folks, when you look at who's coming here, it is the poorest of the slums of Mexico, of Guatemala, of Nicaragua, El Salvador, Paraguay, Uruguay, Honduras, Belize,
[00:04:14.999 --> 00:04:21.503]  The Caribbean nations, by the way, the Caribbean, you can look this up, has descended into total bedlam the last few years.
[00:04:21.563 --> 00:04:23.223]  Most areas are just war zones now.
[00:04:23.624 --> 00:04:26.485]  The Bahamas is the most dangerous place other than Mexico.
[00:04:27.126 --> 00:04:28.466]  People still go there constantly.
[00:04:29.487 --> 00:04:37.271]  But the issue here is that the United States in these pockets
[00:04:38.709 --> 00:04:41.091]  Areas of Arizona, you name it, are becoming lawless as well.
[00:04:42.071 --> 00:04:46.574]  And you look at the truly poor, destitute people with no education.
[00:04:46.594 --> 00:04:49.757]  I mean, they're going to be wards of the state for generations now.
[00:04:50.417 --> 00:04:52.799]  You think government's taking the black community and wrecked people?
[00:04:52.819 --> 00:04:58.743]  My God, they're going to have a heyday with the poorest people in Latin America who will never work another day in their lives now.
[00:04:59.123 --> 00:05:03.466]  They're going directly on the Democratic Party's mammoth land, which is your money, to the Dutch.
[00:05:06.992 --> 00:05:10.993]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:05:11.013 --> 00:05:15.154]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:05:15.414 --> 00:05:18.795]  What are the health effects of having these drugs in our drinking water?
[00:05:19.055 --> 00:05:21.935]  It's forced medical treatment without the consent of residents.
[00:05:22.095 --> 00:05:29.437]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:05:29.657 --> 00:05:33.318]  On average, the county says it sprays with the glyphosate at least once a week.
[00:05:33.578 --> 00:05:37.819]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[00:05:37.979 --> 00:05:43.920]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[00:05:43.960 --> 00:05:47.741]  You're right, it's in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:05:47.921 --> 00:05:50.441]  It is our responsibility to protect our families.
