[00:00:00.009 --> 00:00:02.093]  Host, direct from Austin.
[00:00:02.815 --> 00:00:06.021]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.793 --> 00:00:15.434]  Big Brother.
[00:00:16.094 --> 00:00:17.115]  Mainstream media.
[00:00:17.856 --> 00:00:18.957]  Government cover-ups.
[00:00:19.638 --> 00:00:20.418]  You want answers?
[00:00:21.219 --> 00:00:22.100]  Well, so does he.
[00:00:22.761 --> 00:00:26.364]  He's Alex Jones on the GCN Radio Network.
[00:00:26.944 --> 00:00:31.008]  And now, live from Austin, Texas, Alex Jones.
[00:00:50.465 --> 00:01:00.696]  Ladies and gentlemen, thank you so much for joining us on this live Friday worldwide edition of the Alex Jones Show, or what I call InfoWars Live.
[00:01:00.716 --> 00:01:10.707]  We're going to be here live for the next three hours and we have joining us coming up Skull & Bones whistleblower,
[00:01:11.807 --> 00:01:23.711]  And of course, former head of policy at the Department of Education, Charlotte Isserby, to break down Common Core and how that ties into the deliberate dumbing down of this country and the world.
[00:01:23.891 --> 00:01:32.134]  And she is going to be joining us, coming up today in the second hour, for part of the second hour.
[00:01:32.154 --> 00:01:39.217]  And then I'm going to get Reverend Childress on blackgenocide.org, who's an author and filmmaker and researcher.
[00:01:40.663 --> 00:01:48.289]  Dealing with the extermination of black people in this country, targeted via abortion and other systems.
[00:01:48.309 --> 00:02:01.759]  And now the Democratic Party, on record, this has been their mission since about 1900, when the Klan couldn't basically annihilate black people by openly trying to kill them.
[00:02:03.320 --> 00:02:05.961]  They then just posed as their friends.
[00:02:06.281 --> 00:02:07.462]  And that's actually on record.
[00:02:08.142 --> 00:02:09.823]  So you should know that.
[00:02:10.643 --> 00:02:18.486]  And with the culture they've sold through MTV and the rest of it, they've done an incredibly good job in damaging the culture.
[00:02:19.726 --> 00:02:25.171]  Across the board, not just so-called urban or black culture, weaponized culture.
[00:02:25.952 --> 00:02:33.018]  So if they can't kill you in the womb, they're going to get you with the chemicals, the biologicals, the thug gangster culture, so they can put you in a prison.
[00:02:33.478 --> 00:02:43.767]  So we're going to be talking to Reverend Childress, Leonard Childress, coming up in the third hour as well, and we will open the phones up during both those guests today.
[00:02:45.205 --> 00:02:48.706]  My uncle did pass today at about 3.30 a.m.
[00:02:48.986 --> 00:02:51.787]  and the reason I mention it is a lot of you prayed for him and I appreciate it.
[00:02:51.807 --> 00:02:57.209]  He was a great guy, one of the people who was instrumental in helping wake me up to how the world really worked.
[00:02:58.309 --> 00:03:05.671]  68 years old, a Vietnam helicopter pilot veteran, just a great patriot and one of the best men I've ever known.
[00:03:06.151 --> 00:03:10.313]  You say he's a good guy, he's a sweet person, he's a smart person.
[00:03:11.693 --> 00:03:16.457]  You literally, that's the only thing that comes to mind when you talk about my uncle, William Forrest Hammond.
[00:03:17.258 --> 00:03:22.763]  So he's gone now, and you got Barbara Bush in a hospital fighting basically the same thing.
[00:03:23.363 --> 00:03:34.152]  It is a bacterial pneumonia that grows in the space made by the mutated flu virus, according to Dr. Sherry Tinpenny, medical doctor who has clinics in the U.S.
[00:03:34.172 --> 00:03:34.773]  and other countries.
[00:03:35.753 --> 00:03:46.097]  And it was incredible because I hadn't talked to her until she was on air yesterday and she was saying the same names the doctors in Texas were saying to me of the bacteria and of what they thought had happened.
[00:03:46.157 --> 00:03:52.700]  So this is directly correlated and linked to vaccines causing viral mutations.
[00:03:54.040 --> 00:03:59.522]  And then the antibiotics causing mutations and drug-resistant bacteria.
[00:04:02.569 --> 00:04:05.691]  Most people I know that have died haven't even died in the last 20 years.
[00:04:05.731 --> 00:04:07.593]  Friends and family in car wrecks.
[00:04:07.613 --> 00:04:08.914]  That used to be the number one cause of death.
[00:04:09.834 --> 00:04:11.195]  And then heart attacks and cancer.
[00:04:11.776 --> 00:04:14.337]  Everybody's dying from hospital infections.
[00:04:15.078 --> 00:04:21.402]  And he was sick when he finally went to the hospital with a mutation that developed basically out of the medical system.
[00:04:21.462 --> 00:04:22.643]  All the evidence points towards it.
[00:04:23.384 --> 00:04:25.065]  But the doctors said point blank in there.
[00:04:25.125 --> 00:04:27.486]  They said if he can survive any hospital
[00:04:29.338 --> 00:04:38.946]  Hospital, uh, pathogens, you know, he may live, um, because, but because he was there about a week and a half ago, but, uh, my, uh, uncle
[00:04:41.556 --> 00:04:46.637]  My uncle, after he was taken off the sedation and the ventilator and all the rest of it, passed on his own in about a day.
[00:04:47.177 --> 00:04:48.758]  So, he's in a better place.
[00:04:48.798 --> 00:04:50.158]  He's moved on to the next level.
[00:04:50.678 --> 00:04:52.979]  And believe me, many of us have seen it.
[00:04:53.659 --> 00:04:54.859]  There is the next level.
[00:04:55.600 --> 00:05:06.442]  And I just feel sorry for all those out there who, well, as the major studies show, do not have the brain tissue density and neuron density to pick up on the other world.
[00:05:09.784 --> 00:05:18.791]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:05:18.871 --> 00:05:27.117]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:05:27.278 --> 00:05:32.001]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:05:32.161 --> 00:05:35.824]  Discover and try a bag of the Patriot Blend 100% Organic Coffee.
[00:05:37.025 --> 00:05:37.825]  We're good to go.
[00:06:00.999 --> 00:06:07.145]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:06:07.305 --> 00:06:09.548]  Available at Infowarslife.com.
[00:06:09.728 --> 00:06:11.370]  Introducing Pro-Wine.
[00:06:11.630 --> 00:06:15.133]  All of your filtration in one system, portable, on the go.
[00:06:15.274 --> 00:06:19.658]  No more do you have two or three filters to just reduce sodium fluoride.
[00:06:19.838 --> 00:06:25.781]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilic acid.
[00:06:25.901 --> 00:06:36.747]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:06:36.907 --> 00:06:43.190]  It is the only one that does it and out of the gates we have it discounted at 10% off with promo code water.
[00:06:43.390 --> 00:06:48.853]  This is the only system that in one unit helps reduce or remove pesticides.
[00:06:49.133 --> 00:07:00.356]  Herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:07:00.696 --> 00:07:05.997]  Get your Pro-Pure with the new Pro-1 filters today at infowarestore.com or by calling 888-253-3139.
[00:07:09.378 --> 00:07:10.219]  The facts are in.
[00:07:10.399 --> 00:07:11.540]  The studies are legion.
[00:07:11.801 --> 00:07:19.168]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:07:19.328 --> 00:07:22.792]  So why are the social engineers adding it to the water?
[00:07:23.152 --> 00:07:23.532]  Simple.
[00:07:23.733 --> 00:07:28.077]  Dumb down the host population that the parasitic technocracy is feeding on.
[00:07:28.437 --> 00:07:33.903]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[00:07:34.143 --> 00:07:50.199]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield Formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:07:50.479 --> 00:07:52.341]  Let's take a stand against the globalists.
[00:07:52.441 --> 00:07:55.024]  By blocking their poisons with Fluoride Shield.
[00:07:55.044 --> 00:07:56.886]  I use Fluoride Shield every day.
[00:07:57.207 --> 00:08:02.513]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[00:08:02.773 --> 00:08:07.018]  Let's start cleansing our bodies now and support the Info War at the same time.
[00:08:07.179 --> 00:08:08.981]  That's InfoWarsLife.com
[00:08:27.364 --> 00:08:30.891]  Resistance to tyrants is obedience to God.
[00:08:31.132 --> 00:08:33.256]  It's Alex Jones.
[00:08:40.004 --> 00:08:46.586]  Ladies and gentlemen, thank you so much for joining us on this live third day of January 2014.
[00:08:46.646 --> 00:08:50.668]  We're going to be here, Lord willing, for the next three hours.
[00:08:51.028 --> 00:09:03.212]  I'm just going to finish up talking about my uncle, and then I'm going to get into all of the incredibly important geopolitical, economic, Obamacare news, police state news, you name it, it is all extremely important.
[00:09:03.232 --> 00:09:06.453]  The record cold hitting much of the world right now.
[00:09:07.373 --> 00:09:16.960]  And of course, the UN and other organizations respond by claiming the Earth just saw record heat, which actually isn't even true, but they don't care.
[00:09:17.460 --> 00:09:35.933]  The sun, folks, is the reason the ice caps on the Martian landscape were melting until about five years ago, and then the sun began to cool dramatically and is now in a record low level of emissions of all types.
[00:09:37.250 --> 00:09:43.133]  Not just visible light that heats the Earth, and so that's why we're plunging into cold.
[00:09:44.234 --> 00:10:02.684]  I don't need to be a rocket scientist to know the sun is the main driver of climate on the planet, but I have had top climatologists, top physicists, top astrophysicists, top meteorologists, and others on the broadcast many, many times from Russia, from England, from the United States to break that down.
[00:10:03.144 --> 00:10:04.665]  And they have the ice core samples,
[00:10:05.525 --> 00:10:13.130]  That they can then reflect with the sun cycles that they have registered in the last 200 years, and they know what's going on with the sun.
[00:10:14.111 --> 00:10:16.392]  On Monday, the sun flipped polarity.
[00:10:16.953 --> 00:10:18.474]  They believe, obviously, it's happened before.
[00:10:18.514 --> 00:10:21.676]  This is the first time it was observed by radio telescopes.
[00:10:22.537 --> 00:10:25.418]  And polarity didn't just flip, the sun flipped.
[00:10:27.420 --> 00:10:29.021]  The sun flipped.
[00:10:30.885 --> 00:10:44.552]  And it sent a whole bunch of different types of particles at the earth that come into the atmosphere and then water gathers around them as they come into the atmosphere, the nuclei, and then that forms haze, then clouds, then rain.
[00:10:45.132 --> 00:10:54.897]  That's why when they have big solar flares, real astrophysicists, folks that actually done the research have known for a hundred plus years that when you have
[00:10:56.115 --> 00:11:07.385]  A bunch of solar flares and sunspots that they know, even if there's clear blue skies, look for haze to form, then thunderheads, then rain.
[00:11:07.745 --> 00:11:12.530]  Because that's the main driver also of what goes on in our atmosphere, is the sun.
[00:11:13.751 --> 00:11:17.094]  But Minnesota, worst deep freeze in 20 years.
[00:11:17.434 --> 00:11:19.476]  That's saying a lot where it routinely gets 40 below.
[00:11:19.936 --> 00:11:21.497]  Wind chills may hit 50 below.
[00:11:21.858 --> 00:11:22.478]  Blast up to 30.
[00:11:25.157 --> 00:11:26.859]  Inches of snow in New England.
[00:11:27.460 --> 00:11:27.961]  Totals.
[00:11:29.543 --> 00:11:31.706]  Exposed skin freezes in 15 minutes.
[00:11:31.866 --> 00:11:36.052]  Worker crushed to death by 100-foot salt pile.
[00:11:37.395 --> 00:11:38.256]  Fighting the snow.
[00:11:38.376 --> 00:11:39.496]  Killer, chiller map.
[00:11:39.536 --> 00:11:41.457]  DrudgeReport.com has that.
[00:11:41.497 --> 00:11:42.578]  We can punch it up and click it.
[00:11:42.838 --> 00:11:43.799]  New York City mayor.
[00:11:43.859 --> 00:11:45.159]  Too cold for school.
[00:11:45.800 --> 00:11:47.661]  Sun played role in cancellation.
