[00:00:00.009 --> 00:00:00.972]  Coast to coast.
[00:00:01.333 --> 00:00:02.697]  Direct from Austin.
[00:00:03.399 --> 00:00:06.608]  You're listening to the Alex Jones Broadcasting Network.
[00:00:13.905 --> 00:00:14.546]  Big Brother.
[00:00:15.206 --> 00:00:16.247]  Mainstream media.
[00:00:16.987 --> 00:00:18.068]  Government cover-ups.
[00:00:18.749 --> 00:00:19.550]  You want answers?
[00:00:20.310 --> 00:00:21.251]  Well, so does he.
[00:00:21.871 --> 00:00:25.514]  He's Alex Jones on the GCN Radio Network.
[00:00:26.055 --> 00:00:30.178]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.860 --> 00:00:41.467]  Makes you realize that if there's even one thing we can do to keep our children and our community safe, there's just one step we can take to prevent more families from feeling what they
[00:00:46.264 --> 00:00:50.867]  In 2012, there were more blacks aborted in New York City than born.
[00:00:51.327 --> 00:01:04.295]  Which is to say, while people will march up and down the streets for high profile slayings, many of those same people don't seem to care that the biggest scourge to their communities isn't gangs or drugs, but the right to choose.
[00:01:05.035 --> 00:01:09.880]  Equally chilling is that over 50% of aborted babies in Georgia are black.
[00:01:10.421 --> 00:01:18.469]  One of the most visible processors of abortion is Planned Parenthood, which was once known as the Birth Control League, a Margaret Sanger organization.
[00:01:19.190 --> 00:01:24.035]  Eugenics movement was once again used by the American Birth Control League.
[00:01:24.495 --> 00:01:29.578]  The Margaret Sangers of those days did not come out and say they were trying to eliminate black people.
[00:01:29.618 --> 00:01:37.522]  What they did say, they were trying to rid society of the feeble-minded, they were trying to rid the society of the criminal.
[00:01:38.142 --> 00:01:44.485]  Well, she was successful simply because of her eugenics friends for the past 50 years.
[00:01:45.826 --> 00:01:53.868]  Whether you're pro-choice or not, please be aware that the reason Planned Parenthood buildings are so prevalent in minority neighborhoods is to kill minorities.
[00:02:11.479 --> 00:02:13.300]  Don't put it on the taxpayer.
[00:02:13.320 --> 00:02:14.821]  You understand?
[00:02:14.841 --> 00:02:16.803]  Don't put it on the taxpayer, okay?
[00:02:17.043 --> 00:02:20.585]  I don't wish to pay for the baby with my money.
[00:02:20.765 --> 00:02:21.786]  Okay?
[00:02:21.806 --> 00:02:23.287]  You get it?
[00:02:23.347 --> 00:02:24.408]  No, no, no.
[00:02:24.548 --> 00:02:25.549]  I'm not profiting.
[00:02:25.929 --> 00:02:32.133]  I, as a taxpayer, do not wish to pay for those babies to be born and brought up and kill those people in Colorado.
[00:02:32.193 --> 00:02:33.714]  Go ahead and pay for that.
[00:02:33.914 --> 00:02:36.816]  Let me see you adopt one of those ugly black babies.
[00:02:37.777 --> 00:02:41.480]  In Mississippi, 72% of aborted babies are black.
[00:02:41.840 --> 00:02:45.823]  The numbers also show that more than a few white children are regularly aborted.
[00:02:46.344 --> 00:02:51.127]  It's a shame when anyone is murdered, even when the murderer happens to be your own mother.
[00:02:51.588 --> 00:02:56.191]  Many women are led to believe that their child isn't a person until it's actually born.
[00:02:56.211 --> 00:02:57.913]  When do you think life starts?
[00:02:58.453 --> 00:02:58.633]  Yeah.
[00:02:59.093 --> 00:03:00.634]  Well, I don't know if it's controversial.
[00:03:00.674 --> 00:03:03.957]  I don't know that it's really relevant to the conversation.
[00:03:04.037 --> 00:03:06.538]  But, I mean, for me, I'm a mother of three children.
[00:03:07.459 --> 00:03:10.240]  For me, life began when I delivered them.
[00:03:10.681 --> 00:03:16.344]  Many naysayers will tell you that the majority of Planned Parenthood's operation doesn't involve abortion.
[00:03:17.005 --> 00:03:20.267]  Well, can we get rid of the percent that does involve abortion?
[00:03:20.807 --> 00:03:26.551]  The work of Sanger is still alive and well today, with the likes of Mrs. Clinton singing her praises.
[00:03:27.443 --> 00:03:28.964]  I admire Thomas Jefferson.
[00:03:29.384 --> 00:03:31.444]  I admire his words and his leadership.
[00:03:31.785 --> 00:03:34.646]  And I deplore his unrepentant slaveholding.
[00:03:36.086 --> 00:03:43.409]  I admire Margaret Sanger being a pioneer in trying to empower women to have some control over their bodies.
[00:03:43.769 --> 00:03:46.170]  And I deplore statements that you have referenced.
[00:03:47.230 --> 00:03:51.532]  That is the way we often are when we look at flawed human beings.
[00:03:51.772 --> 00:03:54.393]  There are things that we admire and things we deplore.
[00:03:55.026 --> 00:04:02.571]  I rarely agree with Mrs. Clinton on anything, but she's right to point out that President Jefferson also treated blacks in a less than human fashion.
[00:04:03.071 --> 00:04:08.394]  He should also be known for the 1807 Act prohibiting importation of slaves.
[00:04:08.814 --> 00:04:19.461]  Yes, Jefferson was a slaveholder, but he included bold anti-slavery language in the original draft of the Declaration of Independence that was removed.
[00:04:19.901 --> 00:04:25.886]  As president on March 2nd, 1807, Jefferson signed the act prohibiting importation of slaves.
[00:04:26.487 --> 00:04:31.351]  This act took effect in 1808 and was the earliest allowed under the Constitution.
[00:04:31.591 --> 00:04:42.099]  So the next time someone demands that you give up your rights to save just one child, remind them that their pro-choice stance has killed millions since Roe v. Wade.
[00:04:42.460 --> 00:04:45.622]  You can find more reports at InfoWars.com.
[00:04:46.043 --> 00:04:46.363]  You have 43%!
