[00:00:05.014 --> 00:00:06.255]  There is a war.
[00:00:06.695 --> 00:00:07.676]  It's happening now.
[00:00:08.557 --> 00:00:10.378]  It will decide the fate of humanity.
[00:00:10.939 --> 00:00:12.740]  The time to choose sides has come.
[00:00:13.521 --> 00:00:15.002]  We are the resistance.
[00:00:15.422 --> 00:00:17.204]  We are the InfoWars.
[00:00:23.568 --> 00:00:25.330]  Welcome to the InfoWars Nightly News.
[00:00:25.390 --> 00:00:29.613]  It is Friday, October 10th, 2014, and I'm Leanne McAdoo.
[00:00:29.853 --> 00:00:31.234]  Here are tonight's top stories.
[00:00:33.816 --> 00:00:34.197]  Tonight.
[00:00:36.127 --> 00:00:39.929]  What's happening to potential Ebola victims on America's border?
[00:00:40.330 --> 00:00:43.892]  Then, recent shootings stoke conflict in Ferguson.
[00:00:44.572 --> 00:00:47.554]  And, the NSA's monopoly on information.
[00:00:48.074 --> 00:00:51.756]  That's next on the InfoWars Nightly News.
[00:00:52.757 --> 00:00:56.639]  The NSA is there to kill freedom.
[00:00:57.360 --> 00:00:59.721]  The NSA is there to bring in Agenda 21.
[00:01:00.201 --> 00:01:03.023]  The NSA is there with these giant computer programs.
[00:01:03.874 --> 00:01:18.540]  A former Border Patrol agent has come forward to say that the CDC is working with Border Patrol authorities as well as the DHS to disappear potential Ebola victims who are attempting to cross the border into the United States.
[00:01:19.100 --> 00:01:25.303]  The Center for Disease Control and Prevention is in charge of the screening with the U.S.
[00:01:25.343 --> 00:01:26.243]  Public Health Service.
[00:01:26.683 --> 00:01:29.064]  I've never seen the CDC or U.S.
[00:01:29.124 --> 00:01:32.966]  Public Health Service work together with the Border Patrol at the border, ever.
[00:01:34.565 --> 00:01:48.549]  The agents are telling us that they're seeing some people that are obviously sick, with shivering type illnesses, with possibly dehydrating illnesses like diarrhea and vomiting.
[00:01:49.530 --> 00:01:50.870]  Those people are disappearing.
[00:01:51.130 --> 00:01:54.031]  We don't know what they have, where they're going, where they're taking them.
[00:01:54.711 --> 00:01:58.052]  Surely they're being quarantined somewhere, we just don't know where.
[00:01:58.732 --> 00:02:03.474]  And even the agents don't know what the diagnosis is of these illnesses.
[00:02:04.315 --> 00:02:20.860]  Now that interview with Taylor, who is a 27-year Border Patrol veteran, actually took place in July, but coming up in the extended overdrive version of the show tonight for all of you Prison Planet subscribers, Paul Joseph Watson sits down and interviews Zach Taylor for an extended interview.
[00:02:21.301 --> 00:02:28.303]  But InfoWars has separately confirmed through additional sources that this process was ongoing even up until
[00:02:28.723 --> 00:02:35.149]  And through the aftermath of America's first case of Ebola which occurred in Dallas just last week.
[00:02:35.509 --> 00:02:48.161]  Now Dr. Edward Group spoke to senior border patrol sources at a recent medical conference who told him that teams of officials in hazmat suits and vans were involved in the operation.
[00:02:48.442 --> 00:02:52.966]  And here is Dr. Group speaking with Alex Jones on the Alex Jones Show today.
[00:02:53.406 --> 00:02:58.709]  Go through what the Border Patrol told you first, what these senior agents told you, and then get into the whole list.
[00:02:59.789 --> 00:03:13.536]  Well, I was shown a video of the guy that was talking about what's going on down at the border, and these guys know and have connections down there, and what they're saying is that people are being... that anybody with Ebola-like symptoms... They were confirming, Taylor.
[00:03:13.636 --> 00:03:21.200]  They were confirming that never before has the CDC and the National Institute of Health worked so closely with Border Patrol.
[00:03:22.020 --> 00:03:28.966]  And that they were down there grabbing individuals and putting them in vans and taking them to a quarantine location.
[00:03:29.286 --> 00:03:33.610]  And at that location, basically nobody knows where they were taking them to.
[00:03:34.071 --> 00:03:35.472]  Nobody knows what they're doing with them.
[00:03:35.512 --> 00:03:38.855]  I mean, are they trying experimental vaccines on them?
[00:03:38.955 --> 00:03:41.697]  Are they, you know, taking their blood?
[00:03:41.777 --> 00:03:43.579]  I mean, who knows what's going on?
[00:03:44.059 --> 00:03:48.720]  And we were initially called fear mongers for saying this, but now, yes, U.S.
[00:03:48.780 --> 00:03:53.261]  officials are warning that indeed Ebola could come into the U.S.
[00:03:53.341 --> 00:03:55.081]  through the open southern border.
[00:03:55.461 --> 00:03:56.561]  This is the head of the U.S.
[00:03:56.681 --> 00:03:59.362]  Southern Command, and it's the branch of the U.S.
[00:03:59.402 --> 00:04:01.962]  military that's responsible for all U.S.
[00:04:02.022 --> 00:04:09.944]  military activities in South America and Central America, and he says there is no way that we can keep Ebola in West Africa.
[00:04:10.598 --> 00:04:23.667]  If Ebola breaks out in Haiti or in Central America, I think it is literally Katy bar the door in terms of the mass migration of Central Americans into the United States.
[00:04:23.687 --> 00:04:26.789]  68,000 children essentially wandered across our border this year.
[00:04:27.509 --> 00:04:29.751]  They get into the country pretty much unimpeded.
[00:04:31.292 --> 00:04:35.795]  So these populations will move to either run away from Ebola
[00:04:36.995 --> 00:04:43.219]  Or if they have been or are in the fear of having been infected to get to the United States will be taken care of.
[00:04:43.659 --> 00:04:45.340]  So that was the head of the U.S.
[00:04:45.460 --> 00:04:49.062]  Southern Command saying this is indeed a very serious issue.
[00:04:49.362 --> 00:04:52.984]  But now we've got a CDC that refuses to shut down flights.
[00:04:53.044 --> 00:04:54.946]  It doesn't recommend securing the border.
[00:04:55.326 --> 00:04:57.847]  Meanwhile, a man was pulled off a U.S.
