[00:00:01.270 --> 00:00:02.431]  Coast to Coast.
[00:00:02.791 --> 00:00:04.092]  Direct from Austin.
[00:00:04.853 --> 00:00:08.055]  You're listening to the Alex Jones Broadcasting Network.
[00:00:16.055 --> 00:00:20.239]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.900 --> 00:00:21.701]  You want answers?
[00:00:22.482 --> 00:00:23.383]  Well, so does he.
[00:00:24.023 --> 00:00:27.627]  He's Alex Jones on the GCN Radio Network.
[00:00:28.227 --> 00:00:32.292]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.997 --> 00:00:48.058]  You know, I talked about this two weeks ago when Obama was in town.
[00:00:50.259 --> 00:00:54.960]  And I talked about it again yesterday because it's a pretty big city in Washington State.
[00:00:54.980 --> 00:01:02.121]  It's a shame I'm not going to pay the 30-plus thousand dollars per leg of Obama's fundraising trips up there.
[00:01:02.801 --> 00:01:07.082]  Well, now the headline at DrugsReport.com, Hollywood Horror!
[00:01:07.302 --> 00:01:10.163]  Obama Motorcade Traps Pregnant Woman in Labor.
[00:01:11.584 --> 00:01:18.648]  Now look, Obama can openly fund Al Qaeda and ISIS and IS, Islamic State, to run around and murder 300,000 Christians.
[00:01:20.029 --> 00:01:20.670]  Nobody cares.
[00:01:22.110 --> 00:01:25.593]  And Obama can shut down most our power plants and double electricity prices.
[00:01:25.613 --> 00:01:26.253]  People don't care.
[00:01:27.194 --> 00:01:30.075]  And Obama can sign laws that bankrupt almost all U.S.
[00:01:30.095 --> 00:01:34.158]  businesses that aren't exempt from Obamacare, and the general public just can't really see it.
[00:01:35.058 --> 00:01:38.981]  But, you keep a woman having a baby
[00:01:41.510 --> 00:01:42.991]  For being able to go to the hospital?
[00:01:44.071 --> 00:01:46.012]  Oh my goodness, it's for the children.
[00:01:47.713 --> 00:01:53.617]  Just like they're using a bunch of teenagers as the face of the border being dissolved, the North American Union.
[00:01:55.037 --> 00:01:59.460]  Well, it's children, I mean, we've gotta let millions more in.
[00:01:59.480 --> 00:02:02.181]  It's for the children, we'll wait.
[00:02:02.281 --> 00:02:08.645]  Obama and the motorcade, NBC News local, woman in labor, unable to cross street,
[00:02:09.735 --> 00:02:11.676]  To hospital because of Obama motorcade.
[00:02:12.677 --> 00:02:13.777]  And listen, here's the issue.
[00:02:14.258 --> 00:02:22.042]  When he came to Austin a few weeks ago, I was watching it when his motorcade began at like 7.45 in the morning, he was downtown.
[00:02:22.222 --> 00:02:27.585]  I was watching the live news feeds, had all the traffic cams tied into it, so they were showing it.
[00:02:28.686 --> 00:02:38.052]  And they shut down most of downtown, and then he drives down I-35, and they shut the thing down in North Austin all the way to South Austin for two hours!
[00:02:39.926 --> 00:02:51.092]  For close to two hours, like an hour and 45 minutes, because I was driving to work and watched the tail end at like 9.45 and this started before 8.
[00:02:52.673 --> 00:02:59.097]  And the last motorcycles were there and they still had cops blocking entrance ramps and I had to drive around it to get to work.
[00:03:00.418 --> 00:03:02.379]  So maybe it was more than two hours, I'm being conservative.
[00:03:02.699 --> 00:03:03.760]  That is crazy!
[00:03:04.760 --> 00:03:05.761]  That is crazy!
[00:03:08.334 --> 00:03:15.440]  I-35 is already, from 7 in the morning till 9.30 in the morning, 2 mile an hour traffic on average.
[00:03:15.460 --> 00:03:16.901]  I mean, it's just a nightmare when you're downtown.
[00:03:18.402 --> 00:03:20.704]  As far north as Georgetown sometimes, it just snurls.
[00:03:24.582 --> 00:03:28.743]  Same thing in the afternoon, 3.30 to about 6.30, you just better avoid it.
[00:03:29.444 --> 00:03:34.485]  And it caused traffic shutdowns all over the place, cars overheating, things breaking down.
