[00:00:05.014 --> 00:00:06.235]  There is a war.
[00:00:06.675 --> 00:00:07.656]  It's happening now.
[00:00:08.557 --> 00:00:10.378]  It will decide the fate of humanity.
[00:00:10.939 --> 00:00:12.700]  The time to choose sides has come.
[00:00:13.501 --> 00:00:14.962]  We are the resistance.
[00:00:15.402 --> 00:00:17.264]  We are the Infowar.
[00:00:22.949 --> 00:00:24.530]  Welcome to the Infowar's Nightly News.
[00:00:24.630 --> 00:00:25.311]  I'm David Knight.
[00:00:25.411 --> 00:00:27.172]  It's Thursday, October 9th, 2014, and here are our top stories.
[00:00:27.212 --> 00:00:27.432]  Tonight,
[00:00:33.502 --> 00:00:36.944]  The executive order to detain sick Americans.
[00:00:37.525 --> 00:00:41.367]  Then, cops who burned a baby won't face indictments.
[00:00:41.907 --> 00:00:44.869]  And why Democrats are bailing on Harry Reid.
[00:00:45.309 --> 00:00:48.972]  That's next on the InfoWars Nightly News.
[00:00:49.492 --> 00:00:53.334]  The globalists are intelligent, they're smart, but they're also very arrogant.
[00:00:53.434 --> 00:00:57.557]  And super hyper humorous filled, overconfident with bravado.
[00:00:57.757 --> 00:00:59.138]  Arrogance, whatever you want to call it.
[00:01:00.387 --> 00:01:07.013]  Well sadly, yesterday the first case of Ebola in the United States came to a close with the death of Mr. Duncan.
[00:01:07.593 --> 00:01:10.376]  But a lot of us believe that this is not the end of it.
[00:01:10.416 --> 00:01:17.282]  And of course, one of those people is the Director of Health and Human Services, the Secretary of Health and Human Services, Sylvia Burwell.
[00:01:17.642 --> 00:01:20.425]  She said that despite the best efforts of health officials,
[00:01:20.945 --> 00:01:25.068]  Americans have to prepare for the reality that there may be more cases of Ebola in the U.S.
[00:01:25.108 --> 00:01:28.270]  We had one case, she said, and I think there may be other cases.
[00:01:28.671 --> 00:01:31.313]  And I think we have to recognize that as a nation.
[00:01:31.753 --> 00:01:39.438]  Now, she went on to say that the most important place with regard to taking care of screening is actually at the point of departure.
[00:01:40.159 --> 00:01:42.561]  Well, that didn't work out very well for us, did it?
[00:01:43.959 --> 00:01:58.673]  If they're not going to shut down flights, if they're going to instead shut down the precautions that were put in place, recommended by the CDC and that was quietly taken away by Obama in 2010, if they're not going to track
[00:01:59.273 --> 00:02:04.876]  Flyers, and keep a history of that because supposedly that violates our privacy?
[00:02:05.457 --> 00:02:09.259]  Since when has the federal government ever cared about violating our privacy?
[00:02:09.799 --> 00:02:24.208]  When it serves their purposes, and it serves their purposes in every respect except this, they will keep track of records, keep track of who's flying where, and certainly in this situation, out of people who are flying out of certain countries, they should keep those records.
[00:02:24.768 --> 00:02:33.290]  But the one thing that they look for, and this is what you see Health and Human Services and the federal government, they see this all through the lens of open borders.
[00:02:33.530 --> 00:02:37.031]  Now, of course, Jesse Jackson went to the area and he has a different filter.
[00:02:37.511 --> 00:02:39.751]  He sees everything in terms of racism.
[00:02:40.091 --> 00:02:45.873]  The story from Infowars.com, Jesse Jackson says the Dallas patient's Ebola death was due to racism.
[00:02:45.893 --> 00:02:51.094]  He said, what role did his lack of privilege play in the treatment he received?
[00:02:51.773 --> 00:02:52.113]  Really?
[00:02:52.574 --> 00:02:59.458]  Well, as one person put it, and we quoted this in the article, one Dallas resident said, how is this a race issue?
[00:03:00.098 --> 00:03:00.959]  The man lied.
[00:03:01.019 --> 00:03:01.899]  He's a health risk.
[00:03:01.939 --> 00:03:04.581]  And they point out that he went through four different airports.
[00:03:04.621 --> 00:03:06.182]  He brought it to Dallas County.
[00:03:06.582 --> 00:03:13.907]  He brought this to the United States, to a new continent, based on the fact that he lied about this, that he covered it up.
[00:03:14.446 --> 00:03:23.128]  And of course, the government, with its preoccupation with open borders, and Jesse Jackson, with his preoccupation with racism, are missing the key points.
[00:03:23.209 --> 00:03:31.711]  And the key point is that there's incompetence here, there's a level of idiocracy, and there are different agendas that are helping this to spread.
[00:03:31.751 --> 00:03:35.332]  Now, to her credit, his stepdaughter, Mrs. Jala,
[00:03:36.084 --> 00:03:44.954]  Was given the all-clear by the CDC amazingly only seven days after she was in close intimate contact with him as a caregiver.
[00:03:45.434 --> 00:03:48.478]  And we know that the minimum time is eight to ten days.
[00:03:48.518 --> 00:03:52.262]  They told her she could return to her job as a nurse even though
[00:03:52.822 --> 00:04:02.769]  Symptoms could manifest themselves up to 21 days later, and according to their current prognosis, people can only catch it when others are symptomatic.
[00:04:03.069 --> 00:04:12.516]  There's a lot of question that many people have raised that that's not the case, that people can express the virus, especially as an aerosol, before they're showing symptoms.
[00:04:13.136 --> 00:04:17.159]  But it's not just in America where there were cases of incompetence.
