[00:00:01.472 --> 00:00:02.635]  Coast to coast.
[00:00:03.016 --> 00:00:04.339]  Direct from Austin.
[00:00:05.081 --> 00:00:08.288]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.574 --> 00:00:15.215]  Big Brother.
[00:00:15.876 --> 00:00:16.897]  Mainstream media.
[00:00:17.639 --> 00:00:18.740]  Government cover-ups.
[00:00:19.401 --> 00:00:20.222]  You want answers?
[00:00:21.003 --> 00:00:21.885]  Well, so does he.
[00:00:22.546 --> 00:00:26.151]  He's Alex Jones on the GCN Radio Network.
[00:00:26.732 --> 00:00:30.798]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.682 --> 00:00:33.863]  Welcome to the Alex Jones Show.
[00:00:33.923 --> 00:00:44.588]  I'm David Knight filling in for Alex today, but he's going to be joining us at noon to talk about some amazing developments in the war between authentic media and mainstream phony media.
[00:00:44.608 --> 00:00:49.571]  We're also going to be joined by Paul Joseph Watson and Gerald Salenti and Anthony Gucciardi.
[00:00:49.591 --> 00:00:50.831]  We've got a heavy show today.
[00:00:50.871 --> 00:00:51.972]  There's a lot of news.
[00:00:52.592 --> 00:00:57.235]  Now, Paul Joseph Watson is going to be talking to us about what happened with this Turkish
[00:00:58.055 --> 00:00:58.355]  You think?
[00:01:13.860 --> 00:01:19.942]  The Turkish government's approach to that was the same as it was about a week ago when they took down all of Twitter access to Turkey.
[00:01:20.002 --> 00:01:22.363]  They censored YouTube access to Turkey.
[00:01:22.783 --> 00:01:24.664]  That was all the mainstream media talked about.
[00:01:24.944 --> 00:01:28.065]  What they didn't talk about was the false flag.
[00:01:28.365 --> 00:01:31.866]  They want to avoid talking about false flags at all costs.
[00:01:32.386 --> 00:01:35.387]  And anybody who talks about a false flag is demonized.
[00:01:35.867 --> 00:01:37.568]  But it's the way they operate.
[00:01:37.988 --> 00:01:40.489]  It's the same way they operate when they come up with a Patriot Act.
[00:01:40.629 --> 00:01:43.670]  That is, anything but Patriot, that spies on everyone.
[00:01:43.890 --> 00:01:46.331]  Or the Affordable Care Act, which is anything but affordable.
[00:01:46.932 --> 00:01:50.453]  It's one of their methods that they use over and over again.
[00:01:50.513 --> 00:01:53.314]  And it's about time people started waking up and looking at this.
[00:01:53.334 --> 00:01:58.296]  And of course, Turkey has a long history of being involved in NATO false flags.
[00:01:58.356 --> 00:02:04.039]  As Cybill Edmonds pointed out, they were very much involved with Operation Gladio, even though that took place in Italy.
[00:02:04.759 --> 00:02:06.962]  They used gangsters from Turkey.
[00:02:07.002 --> 00:02:09.985]  People that she said were referred to in Turkey as Babas.
[00:02:10.065 --> 00:02:11.567]  In other words, Godfathers.
[00:02:11.607 --> 00:02:14.610]  You know, that's kind of the term for a paternal father there.
[00:02:15.191 --> 00:02:17.473]  We've also got information about the Hobby Lobby case.
[00:02:17.553 --> 00:02:19.896]  That is coming up for arguments in the Supreme Court.
[00:02:20.056 --> 00:02:21.518]  They heard arguments a couple of days ago.
[00:02:21.558 --> 00:02:22.619]  They're now considering that.
[00:02:23.220 --> 00:02:25.722]  There were some amazing developments in that.
[00:02:26.443 --> 00:02:33.492]  Amazing comments by some of the Supreme Court justices and we want to also take a look at some of the comments of people like Jon Stewart.
[00:02:33.973 --> 00:02:34.934]  Where are they coming from?
[00:02:34.954 --> 00:02:38.558]  And we want to look at what Hobby Lobby says themselves about that.
[00:02:38.999 --> 00:02:40.701]  Also the Ukraine and the IMF.
[00:02:41.422 --> 00:02:43.404]  The deal is now on the table.
[00:02:44.298 --> 00:02:45.818]  But the Ukraine is not taking it.
[00:02:45.858 --> 00:02:57.621]  Of course, the guy they put in charge, Yats, as Victoria Nuland likes to call him, Yatsenyuk, the guy that was the hand-picked guy for the IMF, for the globalists, for the moneyed bankers, he took the deal.
[00:02:58.201 --> 00:03:03.743]  But the Parliament took a look at it and said, I don't know that we'd like an austerity program like Greece and like Spain.
[00:03:03.823 --> 00:03:08.904]  So, maybe there's some hope there for self-government in the Ukraine as these people struggle like we all do.
[00:03:09.404 --> 00:03:13.988]  Between these two rapacious gangs that are attacking us from each side.
[00:03:14.048 --> 00:03:15.209]  But we're going to be talking about that.
[00:03:15.829 --> 00:03:22.534]  Gerald Cilenti is going to have information about banker suicides, as well as he'll be wanting to talk to us about Russia and the Ukraine, the IMF.
[00:03:22.894 --> 00:03:29.540]  We have Anthony Gucciardi covering some breaking health news, nuclear issues, as well as information about GMO.
[00:03:29.560 --> 00:03:34.944]  You know, they like to demonize Vladimir Putin, but he came out and said, we're not going to let
[00:03:35.990 --> 00:03:37.431]  GMO get to the Russian people.
[00:03:38.291 --> 00:03:41.112]  The same day we saw the same thing coming from Brazil.
[00:03:41.152 --> 00:03:43.013]  They're shutting down GMO for their people.
