[00:00:04.966 --> 00:00:06.186]  There is a war.
[00:00:06.626 --> 00:00:07.587]  It's happening now.
[00:00:08.507 --> 00:00:10.307]  It will decide the fate of humanity.
[00:00:10.887 --> 00:00:12.688]  The time to choose sides has come.
[00:00:13.448 --> 00:00:14.908]  We are the resistance.
[00:00:15.368 --> 00:00:22.930]  We are the InfoWars.
[00:00:22.970 --> 00:00:24.490]  Welcome to the InfoWars Nightly News.
[00:00:24.570 --> 00:00:25.210]  I'm David Knight.
[00:00:25.290 --> 00:00:26.231]  It's Thursday, October 2nd, 2014.
[00:00:26.271 --> 00:00:26.991]  Here are our top stories.
[00:00:27.011 --> 00:00:27.151]  Tonight.
[00:00:33.570 --> 00:00:37.574]  The CDC predicts a massive increase in Ebola by New Year's.
[00:00:38.375 --> 00:00:42.859]  Then, a sheriff's deputy gets 12 years for millions in laundered money.
[00:00:43.519 --> 00:00:46.102]  And the security theater of the Secret Service.
[00:00:46.662 --> 00:00:50.406]  That's next, on the InfoWars Nightly News.
[00:00:50.946 --> 00:00:55.170]  What you're spewing is conspiratorial hatred!
[00:00:55.831 --> 00:00:57.132]  It's racist!
[00:00:57.212 --> 00:00:57.812]  Racist!
[00:00:59.633 --> 00:01:06.417]  Well, a new study released by the CDC on September 26th, that's four days before we learned of patient zero in Dallas.
[00:01:06.897 --> 00:01:15.362]  That new study posits that the number of cases in Liberia and Sierra Leone are growing at a much faster rate than previously thought.
[00:01:15.402 --> 00:01:19.004]  And of course, it is not under control, it is ever expanding.
[00:01:19.344 --> 00:01:22.726]  It was just six months ago that we learned of the first Ebola cases in Guinea.
[00:01:23.226 --> 00:01:26.489]  But of course, it's been Liberia and Sierra Leone where they've grown the fastest.
[00:01:26.509 --> 00:01:32.914]  And the CDC points out that the number of cases in Liberia is doubling every 15 to 20 days.
[00:01:33.315 --> 00:01:36.577]  Those in Sierra Leone are doubling every 30 to 40 days.
[00:01:37.098 --> 00:01:38.039]  Well, what does this look like?
[00:01:38.079 --> 00:01:41.782]  Remember that the population of Liberia is only just over 4 million people.
[00:01:42.182 --> 00:01:51.285]  About the size of the number of people that live in North Carolina, yet they've had 3,000 cases of Ebola in just that one country, and about 2,000 of those people have died.
[00:01:51.345 --> 00:01:58.707]  If you normalize that to the United States, you'd be looking at numbers that were around 300,000 people getting Ebola and about 200,000 dying.
[00:01:59.167 --> 00:02:04.409]  So the assurances that we're getting from the leaders of our country that we have a robust
[00:02:05.129 --> 00:02:05.810]  I don't know.
[00:02:20.029 --> 00:02:24.631]  And up to 1.4 million in those two countries, in Liberia and Sierra Leone.
[00:02:24.771 --> 00:02:30.834]  Again, normalizing that to the population of those two countries, the combined population is about 10 million people.
[00:02:30.874 --> 00:02:35.095]  So we're looking at about 5% to 14% of the people in the country being sick with Ebola.
[00:02:38.817 --> 00:02:42.159]  Now, the first casualty of the pandemic has been the truth.
[00:02:42.699 --> 00:02:51.084]  It was just a couple of weeks ago, before we learned of patient zero, that Obama visited the CDC in Atlanta, the Centers for Disease Control and Prevention.
[00:02:51.144 --> 00:02:55.127]  That's a very unusual thing for a president to do, but then he made these pronouncements.
[00:02:55.167 --> 00:03:01.170]  He said, our experts here at the CDC and across our government agree that the chances of an Ebola outbreak here in the U.S.
[00:03:01.250 --> 00:03:02.551]  are extremely low.
[00:03:02.871 --> 00:03:05.613]  In the unlikely event someone with Ebola does reach our shores,
[00:03:06.053 --> 00:03:09.197]  We've taken new measures so that we're prepared here at home.
[00:03:09.277 --> 00:03:14.904]  Our nurses and medical staff are trained, are ready, and are able to deal with a possible case safely.
[00:03:15.304 --> 00:03:18.949]  And we saw just a few days later what happened when we had that case appear.
[00:03:19.470 --> 00:03:21.112]  They completely dropped the ball.
[00:03:21.172 --> 00:03:22.774]  Now, it's also interesting.
[00:03:23.314 --> 00:03:30.520]  That the very day before he made these pronouncements, Paul Joseph Watson carried the story here at Infowars.com that the U.S.
[00:03:30.560 --> 00:03:34.863]  State Department had ordered 160,000 Ebola hazmat suits.
[00:03:35.284 --> 00:03:37.285]  So they weren't that confident, perhaps.
