[00:00:19.602 --> 00:00:20.423]  Good evening, everyone.
[00:00:20.463 --> 00:00:22.484]  Welcome to the InfoWars Nightly News.
[00:00:22.624 --> 00:00:23.505]  I'm Darren McBreen.
[00:00:23.585 --> 00:00:24.906]  It is December 15th, 2014.
[00:00:25.286 --> 00:00:30.931]  Here's a quick look at what's coming up tonight.
[00:00:32.909 --> 00:00:37.573]  So I'm thinking that is totally appropriate in Iraq, but what kind of a situation in the U.S.
[00:00:37.613 --> 00:00:38.594]  would you see that happening?
[00:00:38.654 --> 00:00:42.677]  I mean, we've got a lot of constitutionalists and a lot of people that stockpile weapons.
[00:00:43.237 --> 00:00:48.121]  A Washington State Sheriff's Department says that clip was taken out of context.
[00:00:48.681 --> 00:00:52.424]  That's next on the Info Wars Nightly News.
[00:00:53.405 --> 00:00:58.889]  Cobra says the veterans and the gun owners, they're saying that we're the bad guys.
[00:00:59.955 --> 00:01:16.742]  As the federal government prepares for war with gun owners, preppers, and constitutionalists, government agencies across the board will they continue to adopt military tactics to fight against anything that represents traditional America.
[00:01:17.102 --> 00:01:32.217]  Now we begin this evening with a shocking video from Washington State where a deputy sheriff admits that the police departments need armored military vehicles because of constitutionalists with firearms.
[00:01:32.978 --> 00:01:44.007]  Well, the nice thing about this piece of equipment is that if somebody is directing fire toward a team that's trying to get in, they can pull right up to a fire line.
[00:01:44.107 --> 00:01:49.431]  They can take enemy fire and still try to address a threat without being afraid of getting shot.
[00:01:49.691 --> 00:01:54.355]  So I'm thinking that is totally appropriate in Iraq, but what kind of a situation in the U.S.
[00:01:54.395 --> 00:01:55.376]  would you see that happening?
[00:01:55.396 --> 00:01:56.177]  Well, it's like you said.
[00:01:56.197 --> 00:02:00.800]  I mean, we've got a lot of Constitutionalists and a lot of people that stockpile weapons, a lot of ammunition.
[00:02:02.422 --> 00:02:08.166]  I mean, we've got a lot of Constitutionalists and a lot of people that stockpile weapons, a lot of ammunition.
[00:02:08.226 --> 00:02:11.508]  They have weapons here locally.
[00:02:11.989 --> 00:02:12.689]  So there you go.
[00:02:12.930 --> 00:02:20.856]  More proof that the police are receiving military equipment and training to target conservative Americans.
[00:02:21.803 --> 00:02:28.367]  This also illustrates the obvious training mindset that has been linked to the FBI and Homeland Security.
[00:02:28.867 --> 00:02:38.794]  Two groups which have labeled liberty lovers as terror threats, including people who believe in, wait for it, conspiracy theories.
[00:02:39.941 --> 00:02:41.842]  That's right, Big Brother is watching you.
[00:02:42.062 --> 00:03:00.186]  And the talking points that were basically regurgitated by this deputy sheriff in that video, they're not really all that surprising when you learn that the Spokane County Sheriff's Department, well they received some of their training from the Southern Poverty Law Center.
[00:03:00.986 --> 00:03:02.347]  Truth is stranger than fiction.
[00:03:02.367 --> 00:03:03.468]  I'm not making this up.
[00:03:03.648 --> 00:03:14.976]  Remember, the SPLC, they're the ones who monitor so-called hate groups, and they're infamously known for comparing conservative Americans to violent racists.
[00:03:15.316 --> 00:03:28.705]  The SPLC is a George Soros-funded organization, and each year they publish a list of potential terrorists, basically a hit list of American patriots, including none other than Alex Jones.
[00:03:29.065 --> 00:03:35.369]  Who is routinely included in their list of potential domestic terrorists, if you can believe that.
[00:03:35.769 --> 00:03:38.010]  Once again, truth is stranger than fiction.
[00:03:38.551 --> 00:03:45.375]  And if the SPLC says you're dangerous, well you can count on the mainstream media to echo that thought.
[00:03:45.748 --> 00:03:48.911]  Challenge Alex Jones to a boxing match, show up with a semi-automatic that you got legally, and pop him!
[00:03:48.931 --> 00:03:49.571]  I'd love to see that!
[00:03:49.611 --> 00:03:50.092]  In uniform!
[00:04:10.808 --> 00:04:18.735]  And it's not just MSNBC and SPLC who are trying to convince the public that constitutionalists are dangerous.
[00:04:19.055 --> 00:04:27.862]  Remember that police departments across the country, well they are being militarized and trained to deal with the homegrown threat.
[00:04:28.163 --> 00:04:32.987]  You know, returning veterans and people who support the Constitution and Bill of Rights.
[00:04:33.447 --> 00:04:37.610]  And we all know about the massive arms buildup by the Department of Homeland Security.
[00:04:38.050 --> 00:04:55.422]  And in an interview earlier this year with Fox News in Morgan County, the Indiana police sergeant admitted that the increasing militarization of domestic police departments is to deal with returning veterans who are now seen as a homegrown threat.
[00:04:56.004 --> 00:04:59.546]  We really didn't have the violence that we see today.
[00:04:59.566 --> 00:05:05.230]  The weaponry is totally different now than it was in the beginning of my career.
[00:05:06.011 --> 00:05:14.176]  Plus you have a lot of people that are coming out of the military that have the ability and the knowledge to build IEDs and to defeat law enforcement techniques.
