[00:00:11.576 --> 00:00:17.704]  I'm Joe Biggs with InfoWars.com here at the Presbyterian Hospital in Dallas, Texas.
[00:00:18.005 --> 00:00:22.571]  We just got out of the press conference about the Ebola situation happening here.
[00:00:22.851 --> 00:00:23.993]  Governor Perry spoke.
[00:00:24.523 --> 00:00:29.824]  A superintendent, a judge, and a couple other local people that worked at the hospital as well.
[00:00:30.244 --> 00:00:32.285]  Governor Perry didn't have a whole lot to say.
[00:00:32.385 --> 00:00:33.765]  He dodged questions.
[00:00:34.045 --> 00:00:37.006]  He was your typical politician when it came down to things.
[00:00:37.146 --> 00:00:46.788]  There is no place in the world, I would suggest to you, that has better professionals, better ability to address this than in Texas.
[00:00:47.830 --> 00:00:49.070]  We wish it were somewhere else.
[00:00:50.010 --> 00:01:00.572]  I was able to shout out a question, though, and ask, why aren't flights from West Africa into the USA being stopped, like other countries have done, in Europe, France?
[00:01:00.932 --> 00:01:08.934]  Why haven't flights from West Africa been shut down from West Africa into America, like other countries have done?
[00:01:08.954 --> 00:01:10.134]  Repeat the question, please.
[00:01:10.254 --> 00:01:15.675]  Why haven't the flights from West Africa been stopped from coming into America, like Europe and France have done?
[00:01:17.057 --> 00:01:20.039]  That's a question that's really not in my domain.
[00:01:20.219 --> 00:01:30.507]  One of the other interesting things as well though, the superintendent for Dallas got out and spoke and he said that there had been five students who had been in contact with the affected patient.
[00:01:31.107 --> 00:01:43.917]  We were informed this morning by the Dallas County Health, Health and Human Services, that these five students could possibly have been in contact with the patient.
[00:01:45.144 --> 00:01:46.866]  At the home over the weekend.
[00:01:47.006 --> 00:01:56.593]  We're told that the patient developed symptoms on the 24th, which means that those children could potentially have had contact with him and been at the school.
[00:01:56.613 --> 00:01:59.376]  Does that look right?
[00:01:59.516 --> 00:02:08.143]  They had contact with, possibly had contact with the patient over the weekend, and they have been in school since then.
[00:02:08.743 --> 00:02:17.768]  Now these five students are able to move freely because right now they aren't exhibiting any kind of symptoms of the Ebola virus.
[00:02:18.128 --> 00:02:26.272]  Now it's not to say that in the next day or so they won't, but who knows where that child or children will be when those side effects start to kick in.
[00:02:26.732 --> 00:02:27.793]  Are they going to be at a mall?
[00:02:27.873 --> 00:02:29.253]  Are they going to be at Chuck E. Cheese?
[00:02:29.453 --> 00:02:36.337]  Are they going to be at an airport where all of a sudden they start coughing or throwing up and that gets on other people and we have more people affected?
[00:02:36.897 --> 00:02:39.503]  The people here are not taking this crisis serious.
[00:02:39.844 --> 00:02:42.830]  One of the guys got up to judge and said that there is zero chance.
[00:02:43.997 --> 00:02:49.319]  Zero chance that anyone that they've already seen or talked to could spread this right now.
[00:02:49.379 --> 00:02:56.541]  We're not afraid if we're going to talk to the next door neighbor of this person that we're going to get Ebola because we understand what science is.
[00:02:56.561 --> 00:03:00.162]  We understand we have zero chance of getting that from that next door neighbor.
[00:03:00.603 --> 00:03:07.365]  And there's absolutely zero chance that you can be infected by Ebola.
[00:03:08.241 --> 00:03:12.467]  By simply going into a building where a person is under isolation.
[00:03:12.827 --> 00:03:21.178]  There's zero chance that you can get this unless someone just spits on you because we all know viruses never mutate.
[00:03:21.679 --> 00:03:22.980]  Things like that never happen.
[00:03:23.721 --> 00:03:30.226]  Mother Nature doesn't find a way to move on and do something else and break outside the box because that never happens.
[00:03:30.606 --> 00:03:34.569]  These guys want you to believe that there's nothing that can possibly happen.
[00:03:34.929 --> 00:03:40.493]  And I can understand one of the reasons why they don't want people to go into a panic fear and run around crazy.
[00:03:40.673 --> 00:03:44.776]  But at the same time, people need to know the real risk involved.
[00:03:45.396 --> 00:03:51.297]  You know, I would rather stay at home for the next week or so than go out in public and possibly get something that could kill me.
[00:03:51.677 --> 00:03:54.758]  If I have to stay or do something like that, I'll take that risk.
[00:03:55.198 --> 00:04:02.100]  But I don't want to send my children to school when there's five students who are allowed to go run it freely that have been in contact.
[00:04:02.400 --> 00:04:11.162]  And they're saying right now that there's a possibility that there's 18 people so far that they know of that have been in contact with Patient Zero that are being monitored.
[00:04:11.462 --> 00:04:11.682]  So...
[00:04:12.282 --> 00:04:15.104]  First responders, they're being able, they're allowed to be here.
[00:04:15.124 --> 00:04:20.146]  The guys who initially went and picked up the patient, they're allowed to be here right now because they aren't exhibiting any
[00:04:39.360 --> 00:04:43.002]  We don't need people, we need people to remain calm and do what Dallas County people are good at.
[00:04:43.042 --> 00:04:43.362]  We are good.
[00:04:43.382 --> 00:04:46.244]  Mayor Rawlings, Zach, frankly President Obama's team and the CDC's team and Dr. Friedman,
[00:05:05.168 --> 00:05:09.169]  We're good at keeping you safe, and you're good at staying calm.
[00:05:09.969 --> 00:05:10.969]  This is ridiculous.
[00:05:11.249 --> 00:05:18.070]  They're saying they're taking every step, every measure, and they're being as smart as possible about it, but they're not really doing it.
[00:05:18.350 --> 00:05:21.931]  They're being very unprofessional, and they're not handling this the way they should.
[00:05:22.331 --> 00:05:27.992]  CDC is saying they're warning funeral homes to be ready for a large number of bodies.
