[00:00:00.069 --> 00:00:00.509]  3-9.
[00:00:02.571 --> 00:00:03.731]  Coast to Coast.
[00:00:04.112 --> 00:00:05.452]  Direct from Austin.
[00:00:06.173 --> 00:00:09.375]  You're listening to the Alex Jones Broadcasting Network.
[00:00:16.704 --> 00:00:17.345]  Big Brother.
[00:00:18.026 --> 00:00:19.047]  Mainstream media.
[00:00:19.788 --> 00:00:20.889]  Government cover-ups.
[00:00:21.550 --> 00:00:22.371]  You want answers?
[00:00:23.132 --> 00:00:24.033]  Well, so does he.
[00:00:24.674 --> 00:00:28.298]  He's Alex Jones on the GCN Radio Network.
[00:00:28.879 --> 00:00:32.944]  And now, live from Austin, Texas, Alex Jones.
[00:00:42.481 --> 00:00:46.223]  Well, today is another head spinner as we kick off the new week.
[00:00:46.963 --> 00:00:49.104]  It's already the 8th day of September 2014.
[00:00:49.304 --> 00:00:55.487]  Hard to believe the 13th anniversary will soon be upon us on Thursday.
[00:00:57.071 --> 00:01:03.553]  On Thursday, I'm going to do a fourth hour live out of the new TV radio studio.
[00:01:03.593 --> 00:01:09.315]  We will be moving in there full-time very, very soon, but also using the studio some as well.
[00:01:10.075 --> 00:01:12.696]  Won't really be able to tell any difference if you're a radio listener.
[00:01:13.096 --> 00:01:17.958]  We do simulcast at infowars.com forward slash show with a free video feed.
[00:01:17.978 --> 00:01:21.439]  And the nightly news, of course, for subscribers, prisonplanet.tv.
[00:01:23.214 --> 00:01:33.258]  As we've grown our base of reporters and researchers, investigative journalists, thanks to all of you out there supporting us and spreading the word in a team effort.
[00:01:35.039 --> 00:01:35.679]  Where to start?
[00:01:35.759 --> 00:01:37.640]  I've just got to go over all this news today.
[00:01:37.760 --> 00:01:40.641]  So much of it is just incredibly important.
[00:01:42.141 --> 00:01:45.463]  The filmmaker and researcher has done it again.
[00:01:47.544 --> 00:01:50.865]  Mr. O'Keefe, who I want to work on getting on the broadcast, James O'Keefe,
[00:01:52.048 --> 00:02:02.194]  Dresses an Ebola-infected ISIS terrorist to sneak across Lake Erie from Canada to Cleveland and into the Rock and Roll Hall of Fame without being challenged once.
[00:02:04.195 --> 00:02:16.862]  Just showing that the hundreds of billions spent a year, hundreds of billions, hundreds of billions of dollars on quote intelligence is all a giant joke, ladies and gentlemen.
[00:02:18.063 --> 00:02:20.064]  And the entire homeland security system
[00:02:21.803 --> 00:02:44.677]  He was dressed up in an Al Qaeda outfit, in a frog boat, in a navy boat, an inflatable, drove in and simulated basically smuggling in riots in Ebola, you name it, to draw attention to the fact
[00:02:48.254 --> 00:02:49.355]  That our border's wide open.
