[00:00:05.014 --> 00:00:06.255]  There is a war.
[00:00:06.675 --> 00:00:07.695]  It's happening now.
[00:00:08.556 --> 00:00:10.397]  It will decide the fate of humanity.
[00:00:10.937 --> 00:00:12.738]  The time to choose sides has come.
[00:00:13.518 --> 00:00:14.999]  We are the resistance.
[00:00:15.419 --> 00:00:17.280]  We are the InfoWar.
[00:00:23.083 --> 00:00:24.904]  Welcome to the InfoWar's nightly news.
[00:00:24.944 --> 00:00:29.367]  It is Tuesday, October 14th, 2014, and I'm Leanne McAdoo.
[00:00:29.627 --> 00:00:30.887]  Here are tonight's top stories.
[00:00:33.429 --> 00:00:33.829]  Tonight,
[00:00:35.481 --> 00:00:39.023]  The CDC's new consideration to stop Ebola.
[00:00:39.683 --> 00:00:44.806]  Then, Obamacare costs won't be revealed until after the election.
[00:00:45.506 --> 00:00:50.608]  And GMO labeling is deemed unscientific by the Scientific American.
[00:00:50.949 --> 00:00:54.870]  That's next on the InfoWars Nightly News.
[00:00:55.491 --> 00:00:57.952]  If you just consciously faced it, there would be
[00:01:02.954 --> 00:01:08.036]  Well, first an update on the 26-year-old Dallas nurse who's being treated for Ebola.
[00:01:08.417 --> 00:01:17.601]  Nina Pham is being given a decades-old, possibly life-saving treatment that academics and health officials agree could be one of the best means to fight Ebola.
[00:01:18.142 --> 00:01:28.167]  It's not an experimental vaccine, but a blood transfusion from Dr. Brantley, who was the doctor who survived and has since recovered from Ebola after he contracted it in Liberia.
[00:01:28.887 --> 00:01:29.047]  Yeah.
[00:01:58.907 --> 00:02:11.856]  Nearly as old as Ebola, the discovery of Ebola itself, but of course there are complications because they can't do blood transfusions with tainted blood, as well as the fact that Ebola outbreaks are very rare.
[00:02:12.037 --> 00:02:14.058]  They kind of flare up and then they disappear.
[00:02:14.538 --> 00:02:18.861]  That's of course what you hope will happen if it can be contained.
[00:02:19.262 --> 00:02:23.485]  So that's the big issue here facing the United States is how to contain it.
[00:02:24.045 --> 00:02:31.267]  Now we've got some reports coming out today that possibly the boyfriend of this Dallas nurse is also being isolated.
[00:02:31.727 --> 00:02:37.469]  Now up to 70 hospital staffers came into close contact with Thomas Duncan.
[00:02:37.829 --> 00:02:47.352]  They drew his blood, put tubes down his throat, wiped up diarrhea, analyzed his urine and wiped saliva from his lips even after he had lost consciousness.
[00:02:47.892 --> 00:03:02.401]  Now they say that the size of this medical team reflects how their intense efforts to save Duncan's life, but it also suggests that many other people could have been exposed to the virus during Duncan's time in an isolation unit.
[00:03:02.801 --> 00:03:09.866]  Now of course it's a 21 day incubation period so we just need to see, but this is what's happening is that we aren't closely monitoring
[00:03:10.286 --> 00:03:13.369]  Now 70 people and all the people that they've come in contact with.
[00:03:13.890 --> 00:03:20.716]  A nurse at Dallas Presbyterian Hospital told a local television station she fears Ebola may be airborne.
[00:03:21.297 --> 00:03:23.659]  We are wondering is it really contact?
[00:03:23.759 --> 00:03:28.884]  Is it contact in airborne or is it just really contact and there may have been a breach of protocol?
[00:03:28.924 --> 00:03:29.845]  We really don't know.
[00:03:30.445 --> 00:03:39.171]  Now, on Monday, the CDC said that Pham had contracted Ebola due to a breach in protocol, saying that she had removed some of her protective equipment.
[00:03:39.531 --> 00:03:43.834]  However, other nurses are also concerned that this disease is now airborne.
[00:03:44.114 --> 00:03:52.180]  They're joined by national experts on respiratory protection and infectious disease, who too believe that Ebola may now, in fact, be airborne.
[00:03:52.740 --> 00:04:00.523]  Doctors with Center for Infectious Disease Research and Policy say nurses should be wearing respirators, not face masks.
[00:04:00.903 --> 00:04:13.328]  The chief scientist of the National Institute of Allergy and Infectious Diseases believes this current strain of Ebola is more virulent than others, and he argues that any time the virus replicates, it will mutate.
[00:04:13.908 --> 00:04:19.952]  Now, a doctor at the border fears that this has already happened, that the Ebola virus has already mutated.
[00:04:20.252 --> 00:04:32.300]  This is the infectious disease specialist, Dr. Michael Jelinek, and he says that his biggest concern is that we don't have enough knowledge about the virus and this outbreak and whether it's mutated or not.
[00:04:32.640 --> 00:04:37.263]  The doctor says that from an infectious disease standpoint, Ebola is still a bit of a mystery.
[00:04:37.283 --> 00:04:40.325]  It's known how to stop the transmission of HIV or the flu,
[00:04:40.905 --> 00:04:45.447]  But he says it hasn't been fully defined how to stop the transmission of Ebola.
