[00:00:00.349 --> 00:00:07.595]  Bill Moyers with his show NOW, which is more of an intellectual pursuit program.
[00:00:07.716 --> 00:00:08.837]  I watch it routinely.
[00:00:08.877 --> 00:00:10.398]  It does have more in-depth information.
[00:00:10.958 --> 00:00:14.561]  Broke a massive story that was actually broken by the Center for Public Integrity.
[00:00:14.602 --> 00:00:20.146]  We have a link to it on InfoWars.com, on PrisonPlanet.com as well.
[00:00:20.166 --> 00:00:21.808]  You can go there right now.
[00:00:21.828 --> 00:00:25.531]  A Justice Department draft sweeping expansion of the Anti-Terrorism Act.
[00:00:26.318 --> 00:00:28.140]  And it is in bill format.
[00:00:28.220 --> 00:00:29.701]  I have read the whole thing twice.
[00:00:29.901 --> 00:00:34.325]  It is bone-chilling, much more draconian than the first Patriot Act.
[00:00:34.885 --> 00:00:42.071]  And joining us for the next 10-15 minutes to go over this is Bill Allison, managing editor of the Center for Public Integrity.
[00:00:42.571 --> 00:00:45.654]  Mr. Allison, thanks for taking time out to join us here on the show today, sir.
[00:00:49.258 --> 00:00:50.319]  It's a pleasure to be here.
[00:00:50.619 --> 00:00:51.139]  You bet.
[00:00:51.880 --> 00:01:03.606]  First off, tell us about the Center for Public Integrity, and then your analysis, your organization's analysis of Patriot Act II, and now the White House is pretty upset that this has gone public.
[00:01:04.367 --> 00:01:11.571]  Well, the Center is a non-partisan, non-profit, government ethics watchdog located in Washington, D.C.
[00:01:13.184 --> 00:01:20.390]  We look at everything from state, legislator, financial disclosure forms to campaign contributions.
[00:01:21.111 --> 00:01:28.318]  We have international journalists who look into everything from water privatization to the privatization of combat.
[00:01:29.759 --> 00:01:35.524]  We've been around for about a dozen years and we're funded by foundations.
[00:01:35.564 --> 00:01:37.246]  All of our donors are on our website.
[00:01:38.192 --> 00:01:42.334]  Since we believe in disclosure, we feel like we should disclose where we get our money from, too.
[00:01:42.854 --> 00:01:45.435]  Well, you know, you just raised some massive issues.
[00:01:45.535 --> 00:01:55.718]  We've got private corporations, this is big news now, paying off leaders all over the world to grab water supplies, jack up prices, quality plunges in many cases.
[00:01:56.238 --> 00:01:58.939]  We've had BBC reporters on talking about this.
[00:01:59.039 --> 00:02:01.000]  That really, when I watched Governor Ridge,
[00:02:01.520 --> 00:02:17.986]  On a Homeland Security meeting, he bragged, this is a merger of government and the top corporations, and really he's a big money maker, but this new thing with Patriot Act II, I have read it, obviously you've read it, and it makes my head spin.
[00:02:18.006 --> 00:02:20.707]  I mean, this is something right out of the Soviet Union.
[00:02:22.007 --> 00:02:26.649]  What response are you getting now that you've broken the story, and how did you get the document number one?
[00:02:27.453 --> 00:02:29.615]  Well, the response has been overwhelming.
[00:02:29.675 --> 00:02:42.782]  Our website has barely been able to keep up with it, and as far as how we got the document, we had a source who gave it to us, and of course, you know, we honor our sources and protect them, so I can't say much else about that.
[00:02:43.883 --> 00:02:45.144]  We did some groundwork.
[00:02:45.204 --> 00:02:51.808]  We talked to people in Congress, and we talked to various people in the administration, and were able to, you know,
[00:02:52.375 --> 00:02:55.819]  To our satisfaction, the document was genuine.
[00:02:56.199 --> 00:02:57.921]  Oh, they've responded to it?
[00:02:58.001 --> 00:02:59.222]  Oh yeah, sure.
[00:02:59.523 --> 00:03:09.593]  Actually, within 45 minutes of our putting the document up on the web, we got a call from the Justice Department to tell us they'd released a statement about it.
[00:03:09.653 --> 00:03:15.159]  Some of the people who told us they didn't know anything about it suddenly knew all kinds of things about it and were calling to tell us.
[00:03:17.471 --> 00:03:19.752]  It's marked confidential, not for distribution.
[00:03:19.772 --> 00:03:22.452]  33 pages of it is analysis and synopsis.
[00:03:23.153 --> 00:03:26.533]  The other 80 plus pages is in bill form.
[00:03:27.073 --> 00:03:29.154]  And we saw this with Patriot Act 1.
[00:03:29.274 --> 00:03:31.014]  Members of Congress were not allowed to read it.
[00:03:31.074 --> 00:03:33.195]  Ron Paul has said that here on the air, the Congressman.
[00:03:33.775 --> 00:03:38.296]  And then suddenly they get a call from Dick Cheney, you better pass this or we'll blame you with the next attack.
[00:03:39.236 --> 00:03:43.397]  And now they've got Patriot Act 2 that I can't believe what's in this, sir.
[00:03:44.389 --> 00:04:12.280]  There are all kinds of things in it that are just shocking and I think that you know part of the thing about this administration and the way that they've handled this I mean Congress has been asking for quite literally for months going back as far as July of last year and there was again asking in October whether justice was drafting anything and they were very coy about what their intentions were and would only give vague statements that you know that you know while we continue to look at everything and we care about protecting the American people
[00:04:13.058 --> 00:04:13.479]  I don't know.
[00:04:32.427 --> 00:04:34.448]  And, you know, the question is, were they going to drop it?
[00:04:34.468 --> 00:04:41.393]  You know, were they waiting until a propitious moment like, for example, war in Iraq or, God forbid, another terrorist attack to come out with it?
[00:04:41.413 --> 00:04:44.615]  Well, that's exactly what I said Saturday in my post at fullwars.com.
[00:04:44.655 --> 00:04:50.758]  I said, they're waiting with us in the wings, just like the first Patriot Act, which most of it had already been written up by these people.
[00:04:50.819 --> 00:04:51.759]  It's a wish list.
[00:04:51.919 --> 00:04:54.041]  I was reading the 120 pages.
[00:04:54.421 --> 00:04:56.582]  Most of this has nothing to do with terrorism.
[00:04:58.303 --> 00:05:02.488]  It'll also say domestic, international, and other crimes.
[00:05:02.568 --> 00:05:09.094]  So, it also expands enemy combatant designation, the way I've read it, into other crimes.
[00:05:09.134 --> 00:05:11.557]  I mean, this is the total takeover of our society.
[00:05:12.758 --> 00:05:21.267]  It's a pretty chilling document, and again, you know, I'm kind of, you know, one of the reactions here was, you know,
[00:05:21.792 --> 00:05:22.252]  Yeah, I think so.
[00:05:33.268 --> 00:05:39.575]  If you wanted to write a bill that would convince everybody that you represent a danger to civil liberties, this is the bill you'd draft.
[00:05:39.855 --> 00:05:50.085]  Well, even professors that were pro-Ashcroft and pro-Bush, Turley, said that they should all be impeached and removed in the LA Times.
[00:05:50.906 --> 00:05:52.227]  This is martial law.
[00:05:52.368 --> 00:05:54.390]  Camps for Citizens was the headline.
[00:05:55.330 --> 00:05:57.551]  Ashcroft's Hellish Camps was the actual headline.
[00:05:57.571 --> 00:05:58.591]  You probably saw that.
[00:05:58.611 --> 00:06:00.932]  I know Moyers put a link to that.
[00:06:00.952 --> 00:06:07.474]  I mean, look, sir, I, years ago, went and videotaped the Marines training to put Americans in camps.
[00:06:07.494 --> 00:06:11.415]  They had role players screaming, I'm an American, not to camp, and now it's in the L.A.
[00:06:11.455 --> 00:06:13.735]  Times, and now you get a hold of this document.
[00:06:14.156 --> 00:06:17.476]  Does this show... I mean, people say, well, maybe they leaked this to get us ready for it.
[00:06:17.657 --> 00:06:18.557]  I really don't think so.
[00:06:18.597 --> 00:06:20.737]  This is so bad and so damning.
[00:06:20.757 --> 00:06:22.578]  They would want to do this after another attack.
[00:06:23.278 --> 00:06:27.299]  I think that a lot of people in government, as I've talked to them, are really getting sick of this.
[00:06:28.060 --> 00:06:35.502]  And I would guess you got it from the military, or the IRS, or the INS, because I know that they were given secret copies as well.
[00:06:35.722 --> 00:06:38.303]  I know you can't tell us where the document came from.
[00:06:38.323 --> 00:06:44.485]  Can you tell us judicial, or from the bureaucracy, or from the executive, or from the legislative?
[00:06:46.425 --> 00:06:47.966]  What branch did this come to you from?
[00:06:49.070 --> 00:07:03.436]  Well, you know, I really don't feel comfortable saying which branch of the government it came from, but I will say, though, that our reading of the intention of the person that gave it to us was that they were concerned about it.
[00:07:03.476 --> 00:07:14.421]  Somebody on the inside, who's involved in some of these processes of coming up with legislation, who got wind of it, was very concerned when they saw the draft.
[00:07:15.441 --> 00:07:16.982]  I don't think this was a question of
[00:07:17.785 --> 00:07:22.126]  Floating this as a trial balloon and the first steps.
[00:07:22.146 --> 00:07:29.389]  I mean, I think this was much more a question of somebody being a whistleblower and trying to alert the American people.
[00:07:29.469 --> 00:07:32.029]  Well, I agree with you, because this is only going to hurt them.
[00:07:32.049 --> 00:07:35.190]  I mean, they passed it secretly last time.
[00:07:35.230 --> 00:07:36.911]  That's on the record, New York Times.
[00:07:37.611 --> 00:07:43.733]  They passed it secretly last time, wouldn't let people read it, so they certainly don't want us having months out the actual bill.
[00:07:45.297 --> 00:07:47.619]  I would say that's a fair characterization.
[00:07:48.219 --> 00:07:51.602]  And you know, with the first Patriot, I mean, there wasn't even a hearing in the Senate.
[00:07:51.682 --> 00:08:05.233]  I mean, you know, this very controversial bill went through, and you know, and the fact that this was held so close to the vest so long, and you know, if it weren't for our source, you know, we wouldn't know about it at all.
[00:08:05.253 --> 00:08:09.117]  I mean, I think that's a fairly troubling, you know, I mean,
[00:08:10.246 --> 00:08:21.709]  I think there are people in various branches of the government who do care about the rule of law and protecting our civil liberties, but the question is, does the administration feel the same way?
[00:08:22.009 --> 00:08:31.611]  Bill Allison, Managing Editor of the Center for Public Integrity website, publicintegrity.org, link to it on infowars.com or on PBS's website, Drudge also has a link.
[00:08:32.791 --> 00:08:43.313]  Also, I noticed in Homeland Security Act that just passed last year that it says no whistleblower protection for even sexual harassment, embezzlement, corruption, government information.
[00:08:43.813 --> 00:08:45.734]  They're trying to head this off at the pass.
[00:08:46.094 --> 00:08:48.114]  Whoever leaked this is at great risk.
[00:08:48.414 --> 00:08:54.436]  They can be designated as a terrorist and are Homeland Security for simply blowing the whistle here.
[00:08:55.256 --> 00:08:56.336]  Had you thought about that?
[00:08:57.583 --> 00:09:06.470]  Well, I mean, I'm not sure if I mean, I'm not sure they can be designated a terrorist, but you know, but you're right, there are efforts to weaken whistleblower protections.
[00:09:07.671 --> 00:09:19.081]  Beyond that, just the whole freedom of information, which is kind of the lifeblood of an organization like ours, or, you know, reporters for the New York Times, Washington Post, or, you know, any paper out there.
[00:09:19.101 --> 00:09:25.466]  You know, being able to get access to information from the government is crucial.
[00:09:26.729 --> 00:09:33.154]  Especially in our system where we have an open, consensual government, but the only way to grade the government is if you know what they're doing.
[00:09:34.035 --> 00:09:43.261]  And this administration, I think there were something like 300 attempts to curtail Freedom of Information Act requests after September 11th.
[00:09:43.461 --> 00:09:45.083]  Are they mad at your organization?
[00:09:45.103 --> 00:09:49.726]  Have you gotten their feedback on what their view of this release is?
