[00:00:05.218 --> 00:00:06.519]  Big Brother.
[00:00:06.519 --> 00:00:08.301]  Mainstream media.
[00:00:08.301 --> 00:00:09.382]  Government cover-ups.
[00:00:09.382 --> 00:00:10.944]  You want answers?
[00:00:10.944 --> 00:00:13.186]  Well, so does he.
[00:00:13.186 --> 00:00:17.390]  He's Alex Jones on the GCN Radio Network.
[00:00:17.390 --> 00:00:21.474]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.666 --> 00:00:32.090]  Welcome, ladies and gentlemen, to the second hour of this live, Friday, worldwide edition.
[00:00:32.090 --> 00:00:45.698]  Blasting out on the AM and FM dial, simulcasting at InfoWars.com and Net, and on Global Shortwave at 12.172 and 93.20 during the day and 5.085 and 68.90 at night.
[00:00:45.698 --> 00:00:50.440]  Coming up in the third hour, we'll get into how they're imploding the borders, creating a Pan-American U.S.
[00:00:50.440 --> 00:00:50.700]  Union.
[00:00:52.327 --> 00:00:58.349]  We'll also get into how they're now arresting Americans for defending themselves in their own homes against intruders.
[00:00:58.349 --> 00:01:05.432]  We'll get into the staged war with Iraq and much, much more in the third hour.
[00:01:05.432 --> 00:01:11.094]  In the second hour, and that's right now, I am honored to be joined by
[00:01:12.549 --> 00:01:15.991]  Hudson Gibson, and he's almost 85 years old.
[00:01:15.991 --> 00:01:19.453]  He's been well aware of the New World Order for 50 years.
[00:01:19.453 --> 00:01:25.497]  I've seen his son, Mel Gibson, on national news, on live shows, talk about how his father taught him about the New World Order.
[00:01:25.497 --> 00:01:32.522]  And I always love to talk to folks who have been aware of the New World Order longer than most of us have been alive.
[00:01:32.522 --> 00:01:35.984]  In many cases, longer than our parents have been alive.
[00:01:35.984 --> 00:01:38.425]  And Hudson Gibson, of course, was a railroad worker.
[00:01:38.425 --> 00:01:40.046]  He volunteered for World War II.
[00:01:42.283 --> 00:01:46.767]  He came back from the war and worked on the railroad.
[00:01:46.767 --> 00:01:49.069]  He then got into organic farming.
[00:01:49.069 --> 00:01:57.896]  He then moved to Australia and now has come back to the United States and lives in Texas, my state, where I hail from.
[00:01:57.896 --> 00:01:59.877]  He's going to be with us for the next 58 minutes.
