[00:00:00.823 --> 00:00:10.784]  4438.
[00:00:00.924 --> 00:00:10.784]  This is the Genesis Communications Radio Network.
[00:00:18.343 --> 00:00:18.983]  Big Brother.
[00:00:19.643 --> 00:00:20.723]  Mainstream media.
[00:00:21.404 --> 00:00:22.544]  Government cover-ups.
[00:00:23.164 --> 00:00:24.004]  You want answers?
[00:00:24.764 --> 00:00:25.644]  Well, so does he.
[00:00:25.664 --> 00:00:29.925]  He's Alex Jones on the GCN Radio Network.
[00:00:30.505 --> 00:00:34.606]  And now, live from Austin, Texas, Alex Jones.
[00:00:38.447 --> 00:00:46.128]  The Globalist, the New World Order, the syndicated crime bridge known as the New World Order,
[00:00:47.643 --> 00:01:02.829]  Have set up, they're not setting up, they have set up a system where everything you do including using the bathroom or dressing will be scanned by the government with their new high-tech radar systems mounted to cameras.
[00:01:03.929 --> 00:01:10.551]  They will inject you with hundreds of vaccines that will be put in all the foods you eat just like the fluoride is in the water.
[00:01:10.572 --> 00:01:14.373]  You will not own any private property.
[00:01:15.589 --> 00:01:21.631]  You will work for the government with the profits of your work being taxed going directly to private corporations.
[00:01:22.932 --> 00:01:24.933]  It is the day before the 4th of July.
[00:01:25.213 --> 00:01:29.474]  It is the 3rd of July 2003.
[00:01:29.574 --> 00:01:39.698]  We have the founder of the Fully Informed Jury Association, the grandfather of it, Red Beckman, joining us to talk about the Bill of Rights, the Constitution, and the tyranny we face.
[00:01:39.718 --> 00:01:41.819]  And we'll go over some of the news with Red Beckman.
[00:01:42.279 --> 00:01:43.720]  That's coming up in about 30 minutes.
[00:01:45.279 --> 00:01:48.660]  In the meantime, I'm going to race through the news.
[00:01:48.800 --> 00:01:50.940]  Now, this is the news we have for you today.
[00:01:51.680 --> 00:01:54.041]  School sued over hidden cameras.
[00:01:54.981 --> 00:01:58.262]  This is from Reuters.
[00:02:00.142 --> 00:02:05.563]  And in Tennessee, they have hidden cameras in the girls' and boys' dressing rooms.
[00:02:06.403 --> 00:02:11.764]  And they were being put, the photos were being put on the internet by the official school policy.
[00:02:11.804 --> 00:02:14.405]  So the school basically trafficked in child porn.
[00:02:15.934 --> 00:02:17.916]  This is the New America in Michigan.
[00:02:18.396 --> 00:02:23.039]  These state parks have put cameras in the toilets in these stalls themselves.
[00:02:24.240 --> 00:02:25.962]  It's for your safety.
[00:02:26.122 --> 00:02:29.745]  So in 1984 there were cameras in the bathrooms.
[00:02:30.645 --> 00:02:34.568]  No one could believe that book written in 1947, 48, 49.
[00:02:35.369 --> 00:02:36.149]  Written in 47, 48.
[00:02:36.950 --> 00:02:38.031]  Released in 49.
[00:02:38.371 --> 00:02:43.575]  And now it's just mainstream news in your face and the Pentagon says every breath you take
[00:02:44.366 --> 00:02:50.952]  Every word you say, every purchase you make, every email, fax, phone call you send will be watched by the Pentagon.
[00:02:51.072 --> 00:02:52.413]  They put the system in.
[00:02:52.793 --> 00:02:54.594]  Microphones on every street corner.
[00:02:56.096 --> 00:03:00.960]  And now your children in the public schools and they're going to put this in nationwide.
[00:03:02.501 --> 00:03:06.424]  So students may soon receive mandatory meningitis vaccine.
[00:03:06.925 --> 00:03:12.029]  They want to make the vaccines mandatory now for adults as well as children or to go to college.
