[00:00:00.487 --> 00:00:05.871]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:00:05.871 --> 00:00:10.814]  Because there's a war on for your mind.
[00:00:10.814 --> 00:00:13.176]  Waging war on corruption.
[00:00:13.176 --> 00:00:15.717]  Crushing the lies and disinformation.
[00:00:15.717 --> 00:00:17.879]  We're going to have open phones this hour.
[00:00:17.879 --> 00:00:20.961]  I know we've got folks patiently holding and I'm up in about 22 minutes.
[00:00:20.961 --> 00:00:28.586]  We're going to be joined by a bar owner where the police is coming in Virginia now and arrest most of the people in the bar even if they haven't been drinking.
[00:00:29.535 --> 00:00:32.758]  This is the new system where we're all criminals.
[00:00:32.758 --> 00:00:37.022]  The criminals take control of the society and basically put us in reservations.
[00:00:37.022 --> 00:00:43.367]  Plantations is what the cities have been turned into for the New World Order.
[00:00:43.367 --> 00:00:48.852]  In the last segment I was reading about trial for 11 Miami officers accused of planting guns and cover-ups.
[00:00:48.852 --> 00:00:52.115]  There's also been convictions for police drug dealing.
[00:00:53.112 --> 00:00:58.216]  I'll tell you that elements of the APD control narcotics and prostitution here in the city of Austin.
[00:00:58.216 --> 00:01:07.623]  That's been in the news in the back of the paper once or twice, but it's not as important as how to mow your yard or how to report on your neighbor for watering on the wrong day, but you know how it is.
[00:01:07.623 --> 00:01:08.804]  The government loves you.
[00:01:08.804 --> 00:01:13.828]  And we're joined by Bess McElroy, who helped nominate the new Civilian Review Board.
[00:01:13.828 --> 00:01:18.532]  We'll see what happens with that Review Board and what type of powers this Review Board has.
[00:01:18.532 --> 00:01:21.114]  First off, Bess, tell us about yourself.
[00:01:22.581 --> 00:01:30.305]  I am the immediate past president of PULSE, P-U-L-S-E, which stands for People United to Lead the Struggle for Equality.
[00:01:30.305 --> 00:01:40.430]  This is a grassroots civil rights organization here in Miami, Florida, and we address concerns of the citizens.
[00:01:40.430 --> 00:01:46.953]  And because there were so many shootings, as well as other misconduct by police officers,
[00:01:47.825 --> 00:01:56.288]  And these police officers were not being, in our opinion, in the citizens' opinion, were not being held accountable for their actions.
[00:01:56.288 --> 00:01:58.609]  We felt something needed to be done.
[00:01:58.609 --> 00:02:00.969]  There were a lot of questionable shootings.
[00:02:00.969 --> 00:02:15.394]  For example, there was a shooting of a man, some 122 times, the man allegedly was selling drugs from his home, and when the cops went there, there was no drug found.
[00:02:16.364 --> 00:02:27.942]  Um, the cop said that the man pushed something out of the window and when the window was investigated, there was no way that he could push anything out of the window because the window did not open.
[00:02:27.942 --> 00:02:30.165]  It only had a little tiny hole in it.
[00:02:31.969 --> 00:02:44.459]  Also, there have been cases, I guess Texas is an example, and Austin and Houston, where it's the wrong house, and they shoot somebody 12 times in the back, and then they get caught planting a gun when the person didn't even own a gun.
