[00:00:00.429 --> 00:00:06.254]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:00:06.254 --> 00:00:08.396]  Because there's a war on for your mind.
[00:00:17.054 --> 00:00:33.060]  My friends, I'm Alex Jones, your host, coming to you live from Austin, Texas, and we're joined by award-winning investigative journalist Greg Pallast of the BBC, who has just been named by a major publication in England as the greatest investigative journalist of all time.
[00:00:33.060 --> 00:00:44.344]  He's been doing it for decades, and he exposes the Republicans and the Democrats for their criminal activities, and he's going to break some major news stories here on the show today.
[00:00:45.044 --> 00:00:53.011]  And I assure you, we'll get a transcript of it and post it by the end of the week on InfoWars.com.
[00:00:53.011 --> 00:00:59.597]  Joining us from the radio studios there in Houston is Greg Pallas, joining us for a full hour.
[00:00:59.597 --> 00:01:00.958]  Greg, great to have you back on the show.
[00:01:01.438 --> 00:01:03.460]  Alex, it is a real privilege.
[00:01:03.460 --> 00:01:08.663]  You are the bit of light that's breaking through the electronic Berlin Wall.
[00:01:08.663 --> 00:01:16.949]  For those who don't know me, I report for BBC Television, which is the major news outlet of the world, except it doesn't come into the U.S., my reports.
[00:01:16.949 --> 00:01:18.770]  They're basically blacked out.
[00:01:18.770 --> 00:01:25.895]  And so the only way I can kind of get through is if you hear me on Alex Jones and a few courageous radio stations.
[00:01:26.916 --> 00:01:29.540]  You've done tremendous work, Alex, and you're right.
[00:01:29.540 --> 00:01:37.190]  I'm considered a real annoyance, a pain in the bottom to both the Republicans and Democrats, because I'm an investigative reporter.
[00:01:37.190 --> 00:01:38.892]  I have to go after both.
[00:01:38.892 --> 00:01:42.457]  And today, the reason I wanted to come out today was to break a bit of news.
[00:01:43.274 --> 00:01:49.002]  And especially because today my book is coming out from Penguin Press, The Best Democracy Money Can Buy.
[00:01:49.002 --> 00:01:57.213]  It comes out just today, and I asked Alex if I could launch the book on his program, not on the usual suspects on the big networks.
[00:01:57.213 --> 00:01:58.736]  I think that this is where I want to be.
[00:01:59.216 --> 00:02:01.538]  So, it's coming out today, Best Democracy Money Can Buy.
[00:02:01.538 --> 00:02:05.060]  It's the real story of the Bush family, Democrats, Republicans.
[00:02:05.060 --> 00:02:13.044]  It has everything from 9-11, to theft of the election in Florida, to the World Bank, and IMF secret documents that I've uncovered.
[00:02:13.044 --> 00:02:14.425]  I've got brand new stuff.
[00:02:14.425 --> 00:02:17.007]  Those of you who had the hard down, this is completely rewritten.
[00:02:17.007 --> 00:02:17.947]  It's twice as long.
[00:02:18.848 --> 00:02:25.670]  And Greg, I'm not trying to toot my horn or your horn, but the example of what one person can do, people say, well, what can I do?
[00:02:25.670 --> 00:02:30.411]  Whoever leaked the Patriot Act to the Justice Department is causing them big problems.
[00:02:30.411 --> 00:02:40.174]  The person that, one of our listeners that made a transcript, when you were on the show back on March 4th, that was published in hundreds of newspapers, translated into all these languages.
[00:02:40.174 --> 00:02:43.335]  It shows what the alternative media can do.
[00:02:43.335 --> 00:02:44.115]  Can you speak to that?
[00:02:44.415 --> 00:02:44.936]  That's right.
[00:02:44.936 --> 00:02:47.080]  Well, I have to say I was back in March.
[00:02:47.080 --> 00:02:55.554]  I was on your program and I broke the fact that I had obtained a series of documents marked secret and confidential from inside the IMF.
[00:02:56.386 --> 00:03:03.493]  And the World Bank, which basically, nation by nation, laid out plans for reorganizing these nations' economies.
[00:03:03.493 --> 00:03:18.529]  They are basically plans for financial coup d'etat in places like Argentina, Bolivia, Tanzania, and needless to say, those are plans which benefited a few New York financiers and a few corporations to their benefit.
