[00:00:01.181 --> 00:00:07.824]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:00:07.824 --> 00:00:14.126]  It's Alex Jones and the GCN Radio Network.
[00:00:14.126 --> 00:00:23.470]  Alright, my friends, we are now 8 minutes and 20 seconds into the second hour of this worldwide edition of the Alex Jones Show.
[00:00:23.470 --> 00:00:27.392]  The websites are InfoWars.com, InfoWars.net,
[00:00:29.011 --> 00:00:34.533]  And we are joined by Dr. Ed McCulloch.
[00:00:34.533 --> 00:00:39.734]  He is the head of the Daedalus Project.
[00:00:39.734 --> 00:00:42.655]  Daedalus was the father of Icarus.
[00:00:42.655 --> 00:00:44.375]  Remember Icarus?
[00:00:44.375 --> 00:00:52.757]  He basically used the hot wax to put the feathers on his shoulders and arms and flew up to the sun.
[00:00:52.757 --> 00:00:54.578]  Thought he could be like the gods, but
[00:00:55.322 --> 00:01:02.028]  The feathers, the wax got hot and he fell back to earth.
[00:01:02.028 --> 00:01:02.988]  Interesting name.
[00:01:02.988 --> 00:01:09.354]  A lot of listeners are concerned about Homeland Security, page 76 of the package.
[00:01:09.354 --> 00:01:16.319]  Forced inoculation, forced internment during a smallpox or other biological release.
[00:01:16.319 --> 00:01:19.162]  The Council on Foreign Relations in their last report
[00:01:22.654 --> 00:01:30.757]  I don't know how they could say will be hit, but Gary Hart also said that on Hannity and Combs.
[00:01:30.757 --> 00:01:33.098]  I have that on tape.
[00:01:33.098 --> 00:01:41.802]  And so now they're all over the country preparing for mass destruction attacks, building different FEMA centers and things, but specifically
[00:01:42.834 --> 00:01:49.176]  We're joined by Dr. Ed McCulloch and we've got a PR Newswire story here.
[00:01:49.176 --> 00:01:50.496]  I've got an AP article here.
[00:01:50.496 --> 00:02:00.979]  A SARS-BioTerra Fierce Grow prototype isolation and treatment facility to be built in Pittsburgh area beginning in mid-August.
[00:02:00.979 --> 00:02:10.201]  The three Northern Virginia companies today announced plans to assemble a prototype facility outside of Pittsburgh next month that could be used for isolating
[00:02:11.483 --> 00:02:20.687]  Patience in the event of a terrorist attack and it's a prototype of a larger 500 bed facility and to tell us all about it is Dr. McCulloch.
[00:02:20.687 --> 00:02:22.448]  Thanks for coming on the show, sir.
[00:02:22.448 --> 00:02:23.248]  Certainly my pleasure.
[00:02:23.248 --> 00:02:24.609]  Thank you.
[00:02:24.609 --> 00:02:36.754]  Tell us about Daedalus and about your company and about some of the projects it works on and about this new facility that you're going to be building in Pittsburgh.
[00:02:36.754 --> 00:02:37.194]  Thanks, Doug.
[00:02:37.194 --> 00:02:39.655]  I think the important point here is that
[00:02:40.174 --> 00:02:52.225]  Daedalus was principally focused upon the development of materials to create extremely low-cost housing in the emerging markets of the developing world.
[00:02:52.225 --> 00:03:06.277]  As it turns out, in our view, there are probably few materials available that provide the same structural integrity, the same projected longevity, and the same sense of dignity as the materials we have designed.
[00:03:07.202 --> 00:03:10.524]  So, we had never really intended to be in the U.S.
[00:03:10.524 --> 00:03:12.206]  domestic market.
[00:03:12.206 --> 00:03:28.157]  We simply recognized, through one of our associates, that a requirement existed to have a low-cost response capability that could put up a 500-bed facility within about 24 to 48 hours, and perhaps a 1,000-bed facility within 48 to 72 hours.
[00:03:36.673 --> 00:03:52.210]  Now, the different news articles, and correct them if they're wrong, they say that this 150-bet facility is a facility for the public and the government and the media to get a good look at.
[00:03:52.210 --> 00:03:58.537]  Hopefully, I guess, to sell the system out there competing with the others that are bidding on the government contracts.
[00:03:59.628 --> 00:04:02.050]  Well, I'm not sure if that's correct or not.
[00:04:02.050 --> 00:04:07.493]  I don't know of any potential government contract for this particular development.
[00:04:07.493 --> 00:04:25.964]  As it turns out, this particular facility is under a government-funded contract through Allegheny County in Pittsburgh, where they have one of the more advanced or perhaps leading-edge groups involved in both civil preparedness and disaster response.
[00:04:25.964 --> 00:04:26.725]  This particular
[00:04:27.327 --> 00:04:29.148]  Now the news calls it high-tech advanced system.
[00:04:29.148 --> 00:04:31.770]  What are the buildings made of?
[00:04:31.770 --> 00:04:33.691]  How do you put up a 500 bed facility in 24, 48 hours?
[00:04:56.983 --> 00:05:03.564]  The original intent of these was to make them from glass-reinforced recycled plastic.
[00:05:03.564 --> 00:05:08.485]  So the panels, as they were originally designed, contain about 20% recycled plastic.
[00:05:08.485 --> 00:05:13.106]  They're a very low-cost building material, and they will be assembled in sections.
[00:05:13.106 --> 00:05:15.087]  They're made in individual panels.
[00:05:15.087 --> 00:05:19.468]  The panels are assembled, and then the panel sections will be stood up.
[00:05:19.468 --> 00:05:20.768]  So this is a relatively
[00:05:21.838 --> 00:05:25.240]  A relatively fast system to assemble.
[00:05:25.240 --> 00:05:34.724]  But it's very strong, so it's a type of silicate compound with... More accurately defined, I think, as a glass-reinforced polymer.
[00:05:34.724 --> 00:05:45.109]  Essentially, the polyolefins, or the plastics that we're more familiar with, like polyethylene, polypropylene, and an amount of fiberglass reinforced.
[00:05:45.109 --> 00:05:50.292]  Now, they said that during a quarantine, people are going to be locked up in these things
[00:05:51.275 --> 00:06:00.521]  For everyone's safety, so they don't spread the pathogen, how does your facility provide that level of containment?
