[00:00:00.249 --> 00:00:00.910]  It protects your family.
[00:00:09.199 --> 00:00:10.499]  Big Brother.
[00:00:10.499 --> 00:00:12.280]  Mainstream media.
[00:00:12.280 --> 00:00:14.040]  Government cover-ups.
[00:00:14.040 --> 00:00:15.600]  You want answers?
[00:00:15.600 --> 00:00:17.161]  Well, so does he.
[00:00:17.161 --> 00:00:21.361]  He's Alex Jones on the GCN Radio Network.
[00:00:21.361 --> 00:00:27.343]  And now, live from Austin, Texas, Alex Jones.
[00:00:27.343 --> 00:00:31.543]  Monday through Friday from 11 to 2 Central, back from 9 to midnight, I'm here live.
[00:00:31.543 --> 00:00:33.644]  I'm Alex Jones, your host.
[00:00:33.644 --> 00:00:34.504]  Thank you for joining us.
[00:00:35.609 --> 00:00:50.960]  I know we have loaded phone lines to talk about the economy, Patriot Act 2 being passed quietly last weekend, signed by Lord Bush, the neocon leader, the gun-grabbing, open-border-promoting, China-worshipping, Taiwan-hating creature.
[00:00:52.771 --> 00:01:05.974]  We're going to go to your calls here, because no matter what issue you're bringing up, our guests will be able to comment on it, because this military-industrial complex control grid that we're all living under affects everything in our lives and is interconnected with the entire system.
[00:01:05.974 --> 00:01:13.256]  The biggest part of our economy is prisons, is surveillance, is the military-industrial complex taking control of our lives.
[00:01:13.256 --> 00:01:15.096]  And that's what's always happened throughout history.
[00:01:16.252 --> 00:01:25.355]  Because the military leadership, controlled by its financial interests, decide to go ahead and set themselves up as gods, as kings.
[00:01:25.355 --> 00:01:27.055]  That's the norm.
[00:01:27.055 --> 00:01:36.398]  And so when you have different generals, like the head of NORTHCOM, Eberhard, or General Franks, the outgoing head of CENTCOM, saying martial law is the next step, you better watch out.
[00:01:37.927 --> 00:01:46.254]  And a lot of people have commented in the administration that, yes, Project Phoenix, that is CIA hit teams surveillance control, is coming home to roost.
[00:01:46.254 --> 00:01:48.836]  And I had him on last week for an hour.
[00:01:48.836 --> 00:01:49.877]  He was an amazing guest.
[00:01:49.877 --> 00:01:52.559]  I want to have him on as a routine guest, and he'll do it.
[00:01:52.559 --> 00:02:00.425]  Because I found very few people that have the same breadth of knowledge on the New World Order control grid as Douglas Valentine.
[00:02:00.425 --> 00:02:02.066]  The website is douglasvalentine.com.
[00:02:02.066 --> 00:02:04.869]  They have a link to it at infowars.com.
[00:02:06.727 --> 00:02:10.130]  And Mr. Valentine, good to have you back on the show with us.
[00:02:10.130 --> 00:02:13.513]  Thank you very much for inviting me on your show, Alex.
[00:02:13.513 --> 00:02:21.301]  And for folks who don't know who you are, tell them a little bit about yourself and up front about some of the books you've written and how folks get those.
[00:02:21.301 --> 00:02:29.348]  My first book was about my father, who was a prisoner of war in World War II in a Japanese prison camp, and that book was published in 1984.
[00:02:32.611 --> 00:02:41.635]  Just incidentally, people can get my books by going to my website at www.douglasvalentine.com.
[00:02:41.635 --> 00:02:55.861]  Anyway, that first book I wrote about my father, and after that, in 1984, I started researching and writing my second book, which was about the Phoenix Program, and as probably your listeners are aware,
[00:02:57.642 --> 00:03:20.654]  Back on December 8th, Seymour Hersh announced that the CIA was going to be implementing a Phoenix-type program in Iraq, and since then there's just been a flood of news reports and commentary about what that means, and what's going to happen in Iraq as a result of the Phoenix program being implemented there.
[00:03:20.654 --> 00:03:24.396]  When I finished my Phoenix book in 1990, and it was published in 1990,
[00:03:25.872 --> 00:03:27.714]  I wrote an introduction for it.
[00:03:27.714 --> 00:03:40.964]  And in the introduction, I asked the question, how can Americans, who consider themselves a nation that's ruled by an ethic of fair play, suit to such tactics?
[00:03:40.964 --> 00:03:51.532]  And I said, it's destroying, if this kind of thinking and this kind of behavior is actually going to destroy our democracy.
[00:03:51.532 --> 00:03:53.033]  And, lo and behold,
[00:03:54.794 --> 00:03:57.995]  Thirteen years later, Phoenix has come home to roots.
[00:03:57.995 --> 00:04:02.997]  Only now, back in Vietnam, the CIA kept it a big secret.
[00:04:02.997 --> 00:04:22.303]  Only now it's become popular, and it's something that the major media laud, and they talk about it as if it's something fantastic, when it's actually the summary execution of thousands of people, many of whom are innocent.
[00:04:23.072 --> 00:04:24.933]  By American death squad.
[00:04:24.933 --> 00:04:27.873]  Now we know that went on in Afghanistan a year and a half ago.
[00:04:27.873 --> 00:04:31.074]  We know it's going on in Iraq now.
[00:04:31.074 --> 00:04:36.596]  It's the basis for fighting the phony war on terrorism.
[00:04:36.596 --> 00:04:40.517]  You go around to create enemies and then you knock them off.
[00:04:40.517 --> 00:04:42.477]  And you torture people.
[00:04:42.477 --> 00:04:52.220]  Now how come they sit there and talk about how Saddam is so evil when his Republican guard was trained at Fort Benning, Georgia in torture and oppression tactics when he was used as a CIA assassin
[00:04:53.323 --> 00:05:00.984]  As early as 54, when they helped put him into power in 79, when they told him to attack Iran, when they told him to go ahead and attack Kuwait.
[00:05:00.984 --> 00:05:17.947]  How can they sit there and list torture and death squad as bad, which they are, but then not talk about how our government created that there, and on top of it, is setting it up here now, today, and replacing Saddam's government with people who tortured for the Shah, like Mr. Chalibi.
[00:05:17.947 --> 00:05:18.547]  That's right.
[00:05:18.547 --> 00:05:19.668]  The CIA has no
[00:05:23.084 --> 00:05:23.784]  I don't know.
[00:05:45.259 --> 00:05:48.782]  The intelligence force that worked for Saddam Hussein.
[00:05:48.782 --> 00:05:49.943]  It's incredible.
[00:05:49.943 --> 00:05:57.490]  I mean, one day they're calling it a brutal regime, and the next day they're hiring the people from this brutal regime to go out and kill people.
[00:05:57.490 --> 00:06:04.057]  And they've quietly put about two-thirds of the Baptists back in power.
[00:06:04.057 --> 00:06:05.178]  But when people sit there...
[00:06:06.401 --> 00:06:09.582]  I know that they're knocking them off all over the country.
[00:06:09.582 --> 00:06:21.505]  There was a very good article, I know that sometimes you put up links, and it was by a guy named Robert Dreyfuss, and he called it Phoenix Rising.
[00:06:21.505 --> 00:06:35.628]  And he was talking about how there's been all over Iraq and Baghdad and Basra and a lot of smaller towns and cities, hundreds and hundreds of former members of the Ba'ath Party
