[00:00:00.605 --> 00:00:10.650]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[00:00:10.650 --> 00:00:21.294]  Waging war on corruption, crashing the lies and disinformation, Monday through Friday from 11 to 2 Central, and back from 9 to midnight as well.
[00:00:21.294 --> 00:00:28.818]  A couple weeks ago I covered the article, the shocking article, out of Harper's Magazine,
[00:00:30.457 --> 00:00:39.299]  And another interview that was done of the author by Guerrilla News Network, and the good folks over there, he's Jeffrey Charlotte.
[00:00:39.299 --> 00:00:42.960]  Now, I've talked a lot about neocons, neoconservatives.
[00:00:42.960 --> 00:00:50.941]  They're for open borders, gun control, supercomputers to communist China, nuclear reactors in North Korea.
[00:00:50.941 --> 00:00:54.542]  They're for draconian police state legislation like Patriot Act 1 and 2.
[00:00:55.845 --> 00:01:08.456]  They have bizarre Nazi connections, like the Bushes and Prescott Bush, running the largest Nazi bank in the United States, Brown Brother Harriman, that controlled over half of Nazi steel production.
[00:01:08.456 --> 00:01:15.682]  The Skull and Bones, with all of its bizarre activities at Yale, with all these CIA directors and three Bushes.
[00:01:15.682 --> 00:01:23.289]  I've infiltrated Bohemian Grove and videotaped the bizarre rituals that our world leaders do there, German chancellors.
[00:01:24.159 --> 00:01:28.042]  British Prime Ministers, American Presidents.
[00:01:28.042 --> 00:01:31.645]  And yeah, it all sounds crazy, but it's mainstream, ladies and gentlemen.
[00:01:31.645 --> 00:01:42.454]  The Grove admitted on Trio Network in that hour-long special that aired, Secret Rulers of the World, that indeed I did sneak in and get footage of that ritual, but they're just having fun.
[00:01:42.454 --> 00:01:45.096]  I guess they were just having fun in the movie Eyes Wide Shut.
[00:01:46.007 --> 00:01:53.078]  But you have all these so-called Christian leaders involved in these organizations calling themselves Christians, but doing the exact opposite.
[00:01:53.078 --> 00:01:56.083]  We were just talking to Jeffrey Charlotte.
[00:01:56.801 --> 00:02:04.506]  And he was getting into how they think that Hitler's model was good, the Mao's model was good, the Mafia's model is good.
[00:02:04.506 --> 00:02:05.887]  They don't call themselves Christians.
[00:02:05.887 --> 00:02:12.230]  No, it's all about Jesus, and Jesus wants a secret world government with a secret brotherhood running it.
[00:02:12.230 --> 00:02:16.633]  They call it the Brotherhood, the Family, all these different names, very shadowy.
[00:02:16.633 --> 00:02:18.294]  They've got a house in D.C.
[00:02:18.294 --> 00:02:19.435]  where we're on the radio right now.
[00:02:19.935 --> 00:02:27.539]  Where seven to eight congressmen live, Ash Cross connected to it, a lot of good Christian leaders are connected to it.
[00:02:27.539 --> 00:02:38.364]  Go over this in detail for us, Jeffrey Charlotte, please, because it's so important and I would also challenge folks to go to your website, killingthebuddha.com, about your upcoming book.
[00:02:38.364 --> 00:02:47.168]  Please break it down for us, what the Brotherhood is, or the family as they call it, how they operate, how it was founded, and all these shadowy connections.
[00:02:47.828 --> 00:02:59.656]  Okay, the family started in 1935 in Washington State, and it started as a union busing group, small scale, Norwegian immigrant named Abraham Brady, whose biggest fear was communism.
[00:02:59.656 --> 00:03:06.461]  He was a minister, but his main thing, he thought that God was calling him to fight communism, giving him a special commission.
[00:03:07.145 --> 00:03:11.987]  And everyone else, he thought, Christianity had always ministered to the down and out, the poor and the weak.
[00:03:11.987 --> 00:03:15.468]  And he said, well, what about the up and out, the powerful and strong?
[00:03:15.468 --> 00:03:19.169]  And he thought that's what Christ wanted him to do, was to go out and minister.
[00:03:19.169 --> 00:03:23.311]  And so he built that up, starting there and then spreading across the country.
[00:03:23.311 --> 00:03:26.632]  By the early 40s, he had a third of the Senate.
[00:03:27.172 --> 00:03:27.773]  We're good to go.
[00:03:51.669 --> 00:03:56.612]  General Crossy Silva, the horrible dictator in Brazil.
[00:03:56.612 --> 00:04:02.175]  General Sahardo, the murderous dictator who killed half a million of his own citizens in Indonesia.
[00:04:02.175 --> 00:04:04.897]  These were guys that they would get into prayer cells with U.S.
[00:04:04.897 --> 00:04:06.218]  Congressmen.
[00:04:06.218 --> 00:04:11.821]  And as the group has grown, it's never gotten too big, because they're not looking to convert everyone.
[00:04:11.821 --> 00:04:14.923]  And that's what makes them different than your standard Christian fundamentalists.
[00:04:15.822 --> 00:04:25.303]  Not to mention their view of Christ as essentially this very strong leader who should dictate every decision we make, not just moral questions.
[00:04:26.091 --> 00:04:41.900]  Now, you also say that they say Christ is more of a spirit guide, and that, of course, Christ's emissaries here on Earth, this secret global order, will administer his kingdom here in this part of this larger global system.
[00:04:41.900 --> 00:04:50.945]  Now, it's obvious from your writings and then what I've dug up since I've read your stories about this, and you were inside the group, of course, for a month, and then investigated it for months before and after,
[00:04:51.765 --> 00:04:58.632]  Uh, that it's just an envelope, an envelope, a way for them to use Christians as a cover from the evidence I see.
[00:04:58.632 --> 00:05:08.161]  They've done this in countless other organizations to put this, oh, this Christian mantle on covert activities and legitimize dictators and mass murderers.
[00:05:08.161 --> 00:05:12.766]  I mean, you get into how they sit around at these dinner tables and talk about how Hitler was good and
[00:05:13.286 --> 00:05:14.666]  Well, I can clarify that.
[00:05:14.666 --> 00:05:17.387]  They do admire what they call a Hitler model.
[00:05:17.387 --> 00:05:23.528]  That does not mean that they admire Hitler's policies, although they're unclear that there's not much of a distinction.
[00:05:23.528 --> 00:05:33.310]  They are not anti-Semitic, but they do say, Hitler, they say, look, here's what this guy, he worked with a group of five other, you know, brothers, friends, and look what he accomplished.
[00:05:33.310 --> 00:05:35.651]  Imagine if we could put that model to work for Christ.
[00:05:35.651 --> 00:05:40.352]  But also, you say, Jeffrey Charlotte, writer for Harper's Magazine,
[00:05:41.678 --> 00:05:51.263]  You also say in there that they, in an interview you did for Gorilla News Network, that Nietzsche, they talk a lot about Nietzsche.
