[00:00:05.646 --> 00:00:06.948]  Big Brother.
[00:00:06.948 --> 00:00:08.729]  Mainstream media.
[00:00:08.729 --> 00:00:10.511]  Government cover-ups.
[00:00:10.511 --> 00:00:12.072]  You want answers?
[00:00:12.072 --> 00:00:13.634]  Well, so does he.
[00:00:13.634 --> 00:00:17.818]  He's Alex Jones on the GCN Radio Network.
[00:00:17.818 --> 00:00:20.160]  And now, live from Austin, Texas,
[00:00:21.040 --> 00:00:21.981]  Alex Jones.
[00:00:21.981 --> 00:00:23.923]  That's right.
[00:00:23.923 --> 00:00:27.445]  The last thing on the growing list of wonderful AM and FM affiliates.
[00:00:27.445 --> 00:00:28.626]  Simulcasting at nforwars.com and net.
[00:00:28.626 --> 00:00:32.690]  And via global shortwave during the day from 11 to 2 central at 12.172 and 9320 global shortwave.
[00:00:32.690 --> 00:00:33.911]  Midnight, 9 to midnight at 5.085 and 6890.
[00:00:33.911 --> 00:00:35.071]  I'm Alex Jones, your host.
[00:00:35.071 --> 00:00:36.893]  Thank you for joining us here in the second hour.
[00:00:50.300 --> 00:01:06.913]  Torture, chemical weapons to be used in Iraq, re-education centers for women and children, women and children to be killed if they try to flee MSNBC, and the sickening brainwashed population is being turned into what their masters are.
[00:01:06.913 --> 00:01:09.896]  A mirror image of demonic creatures.
[00:01:11.149 --> 00:01:18.411]  This is the warping of society, turning evil into good, and good into evil, black into white, white into black.
[00:01:18.411 --> 00:01:20.992]  This is the mass mind control.
[00:01:20.992 --> 00:01:32.516]  But there is an awakening taking place globally, across political lines, across national lines, to the New World Order, and just how evil these people are.
[00:01:32.516 --> 00:01:35.337]  They are the masters of engineering societies.
[00:01:36.897 --> 00:01:40.239]  Well, the next two hours we're joined by David Icke.
[00:01:40.239 --> 00:01:48.224]  He is a best-selling author, former BBC reporter, famous soccer player.
[00:01:49.379 --> 00:01:54.720]  And about 98% of what he has to say is totally documented, up one side and down the other.
[00:01:54.720 --> 00:02:06.263]  2% I have a problem with, but we're honored to have him on the show, joining us from the United Kingdom, and this should be a very eventful broadcast.
[00:02:06.263 --> 00:02:11.344]  David, thanks for taking time out to join us on the show, sir.
[00:02:11.344 --> 00:02:16.845]  You see, which is now known as the Blair Broadcasting Corporation, because of its support for him over the years.
[00:02:18.329 --> 00:02:20.991]  Unfortunately for him, he's having a real problem here now.
