[00:00:00.069 --> 00:00:02.449]  Thank you very much.
[00:00:02.449 --> 00:00:07.891]  First, I'd like to thank the Joint Task Force for holding this public comment period, promoting the democratic process.
[00:00:07.891 --> 00:00:09.511]  I do appreciate that very much.
[00:00:09.511 --> 00:00:10.171]  Thank you all.
[00:00:10.171 --> 00:00:11.711]  Thank you all for coming here today.
[00:00:11.711 --> 00:00:15.252]  Actually, before I get into this, I'd like to thank, I believe your name is Ms.
[00:00:15.252 --> 00:00:17.192]  George, for her comments.
[00:00:17.192 --> 00:00:21.473]  I think she was right on point with what she was talking about as far as what's going on in Congress.
[00:00:21.473 --> 00:00:24.314]  Politics really does need to be put aside.
[00:00:24.314 --> 00:00:25.554]  My name is Michael Caine.
[00:00:26.164 --> 00:00:35.007]  I'm a resident of Nassau County, Long Island, and an American citizen, and that's how I appeal to you all, as an American citizen.
[00:00:35.007 --> 00:00:43.209]  Recently, I've completed a report myself about the blackout based on mainstream news reports, official recognitions, eyewitness accounts.
[00:00:43.209 --> 00:00:52.972]  I love my country very much, and I couldn't bear the thought of this critical line of investigation going unexplored, so every journalist that I contacted chose not to use me as a source.
[00:00:55.905 --> 00:01:02.769]  I've read much of the interim report produced by the Joint Task Force, which was very well done, and I appreciate the report and its findings as well.
[00:01:02.769 --> 00:01:13.894]  I'd like to draw attention, just very briefly, to the five 345 kilovolt power lines that are said to be taken down by trees, and in the report, trees are listed as a common causality.
[00:01:13.894 --> 00:01:24.180]  It seems to me, and I don't have the expertise to deny this in any way, but it seems to me that there are many potential holes in many of the tree causality scenarios in the report.
[00:01:24.688 --> 00:01:32.533]  I can't go into detail on this because I really don't have the time or the expertise either, as you have.
[00:01:32.533 --> 00:01:38.617]  But what I do have the time to detail is a series of issues the Task Force may be unaware of, which is detailed in my report.
[00:01:38.617 --> 00:01:41.638]  I do have copies here for anybody that wants it when this is done.
[00:01:41.638 --> 00:01:48.863]  The first is that there seems to have been no investigation into whether or not electromagnetic pulses played a role in causality in the blackout.
[00:01:48.863 --> 00:01:54.026]  And the only reason that I bring that up is because we know that HAARP was turned on at precisely 4 p.m.
[00:01:54.648 --> 00:02:00.012]  On August 14th, just 11 minutes before the blackout happened.
[00:02:00.012 --> 00:02:06.438]  There was other causalities and things as well earlier, but that's when it all came to head, right around that time.
[00:02:06.438 --> 00:02:13.583]  Now HARP, it's an acronym for the High-Frequency Active Auroral Research Program, and this is located in Alaska.
[00:02:13.583 --> 00:02:23.171]  HARP does have the capability of producing electromagnetic pulses at frequencies that can cause a localized blackout over long distances, whether intentionally or unintentionally.
[00:02:23.783 --> 00:02:33.351]  The fact that HAARP was turned on at precisely the time in which the blackout seemed to occur cannot be overlooked in order to ensure the credibility of the Joint Task Force finding.
[00:02:33.351 --> 00:02:46.702]  Now, HAARP is primarily sponsored by the Air Force Weather Agency, and I strongly recommend that the Air Force be contacted and ask to disclose records to the Joint Task Force to reveal what HAARP was used for on August 14, 2003 at precisely 4 p.m.
[00:02:46.702 --> 00:02:48.924]  and earlier in that day.
[00:02:48.924 --> 00:02:51.006]  In addition to this, I received a report
[00:02:51.360 --> 00:03:02.128]  From a friend that at 1pm on August 14th, just three hours before the blackout occurred, the Canadian border was militarized and everyone who crossed was fully searched in the Mohawk River Valley region.
[00:03:02.128 --> 00:03:06.291]  Now, this is odd and I don't know what this was for.
[00:03:06.291 --> 00:03:09.513]  I think that is cause for investigation as well.
[00:03:09.513 --> 00:03:21.021]  In addition to this, at 8pm on August 14th, 2003, I looked up in the sky in Nassau County, where I live, and I saw three gigantic aerosol clouds left by planes.
[00:03:21.607 --> 00:03:28.371]  Over the course of one week, I interviewed half a dozen eyewitnesses to this aerial aerosol spray operation, and was able to confirm two things.
