[00:00:00.029 --> 00:00:00.629]  It's your family.
[00:00:05.110 --> 00:00:16.234]  This is the GCN Radio Network.
[00:00:16.554 --> 00:00:17.234]  Big Brother.
[00:00:17.854 --> 00:00:18.935]  Mainstream media.
[00:00:19.635 --> 00:00:20.795]  Government cover-ups.
[00:00:20.815 --> 00:00:22.235]  You want answers?
[00:00:22.956 --> 00:00:23.736]  Well, so does he.
[00:00:24.520 --> 00:00:28.163]  He's Alex Jones on the GCN Radio Network.
[00:00:28.703 --> 00:00:32.826]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.987 --> 00:00:34.728]  Hello, my friends.
[00:00:34.748 --> 00:00:37.310]  It is the 31st day of December 2003, the last day of 2003.
[00:00:37.450 --> 00:00:40.172]  We'll see you on the other side.
[00:00:40.192 --> 00:00:40.672]  Start of 04.
[00:00:52.606 --> 00:00:54.907]  We have a bunch of guests coming up today.
[00:00:54.987 --> 00:01:00.771]  We have a scientist, a doctor, coming on to talk about mad cow disease in about 30 minutes.
[00:01:01.291 --> 00:01:09.996]  Then we have Frank Morales, an expert on the police state and the martial law control grid, going in publicly, now publicly admitted.
[00:01:10.956 --> 00:01:17.700]  Then in the third hour, we have Colonel Craig Roberts and, of course, Jack McClam joining us, because I had him on last week.
[00:01:17.720 --> 00:01:21.262]  We ran out of time and there was a lot of information we didn't have time to cover.
[00:01:22.283 --> 00:01:24.865]  That's four of our guests.
[00:01:24.885 --> 00:01:28.768]  We have another little surprise guest coming up as well.
[00:01:28.788 --> 00:01:31.309]  A strong finish for the year 2003.
[00:01:31.410 --> 00:01:40.776]  There is so much news today on top of the fact that I set up all these guests.
[00:01:40.976 --> 00:01:42.817]  I've got to cover this news.
[00:01:42.958 --> 00:01:49.202]  Richard Perl has put out a new PNAC style dossier, a book,
[00:01:51.061 --> 00:01:55.002]  His nickname is the Prince of Darkness at the Pentagon.
[00:01:56.343 --> 00:02:00.404]  And he wants to go ahead and perhaps even attack France.
[00:02:02.284 --> 00:02:04.865]  And he has a battle plan for total war.
[00:02:04.885 --> 00:02:07.786]  The National Draft, all of it.
[00:02:07.806 --> 00:02:10.107]  I have an article on this.
[00:02:10.767 --> 00:02:15.568]  Also, we have a Mr. Sapphire coming out.
[00:02:15.608 --> 00:02:18.329]  William Sapphire in the New York Times with his predictions
[00:02:19.156 --> 00:02:21.518]  And there are 16 of them.
[00:02:23.060 --> 00:02:27.924]  Just one of them, 13, has four predictions.
[00:02:28.084 --> 00:02:40.536]  One of them, the capture of Bin Laden in Yemen, the daring escape of Saddam, a major terror attack in the U.S., finding a buried bag of anthrax in Tikrit.
