[00:00:00.029 --> 00:00:00.950]  Here's the progression.
[00:00:02.491 --> 00:00:03.892]  Bondage to spiritual faith.
[00:00:04.172 --> 00:00:05.734]  Spiritual faith to great courage.
[00:00:06.194 --> 00:00:07.195]  Courage to liberty.
[00:00:07.275 --> 00:00:08.316]  Liberty to abundance.
[00:00:08.816 --> 00:00:13.460]  Abundance to selfishness, where you just start collecting things for you and you stop giving it away.
[00:00:14.341 --> 00:00:16.022]  And then selfishness to apathy.
[00:00:16.542 --> 00:00:22.467]  Once your wallets get really thick and fat and you're just kind of smooth sailing through life, you get apathetic.
[00:00:22.507 --> 00:00:23.968]  What happens when you get apathetic?
[00:00:24.008 --> 00:00:24.929]  You stop caring.
[00:00:25.309 --> 00:00:26.470]  You stop voting.
[00:00:26.550 --> 00:00:29.313]  You stop listening to the things that are important because
[00:00:29.833 --> 00:00:31.234]  Your wallets are fat.
[00:00:31.375 --> 00:00:32.255]  You're stagnant.
[00:00:32.315 --> 00:00:33.176]  You're stagnant.
[00:00:33.637 --> 00:00:43.206]  And then that apathy, though, when a period of apathy, you go back into dependence because you stopped caring and people got voted in that shouldn't have been voted in.
[00:00:43.626 --> 00:00:46.789]  And then that dependence leads back into bondage.
[00:00:47.230 --> 00:00:51.594]  And so in this cycle, where would you say that America is?
[00:00:51.714 --> 00:00:52.855]  I mean, going into bondage.
[00:00:53.315 --> 00:00:55.198]  We're in dependence back into bondage.
[00:00:55.238 --> 00:00:56.940]  We're at the last stage.
[00:00:57.440 --> 00:00:58.902]  So we go back into bondage.
[00:00:59.162 --> 00:01:03.507]  I think central bank digital currency is the financial form of bondage.
[00:01:04.448 --> 00:01:06.110]  You're going to have political bondage.
[00:01:06.130 --> 00:01:08.633]  You're going to have all of these things that you can't do this.
[00:01:08.693 --> 00:01:09.534]  You can't travel.
[00:01:09.894 --> 00:01:12.397]  We already saw the test of that with with COVID.
[00:01:13.038 --> 00:01:29.463]  You know, and everything that Dr. Judy was talking about before me on the show, and it's like... Oh, Davos admits, and they were at Davos WF last week saying, we use COVID as training wheels for the COVID lockdowns and total control, and Germany's going to ban cars on the weekend this summer.
[00:01:29.863 --> 00:01:30.163]  Now?
[00:01:30.543 --> 00:01:30.683]  Yeah.
[00:01:30.843 --> 00:01:32.783]  I mean, it's all going down, folks.
[00:01:35.704 --> 00:01:41.426]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
