[00:00:00.229 --> 00:00:05.656]  Robert F. Kennedy gave one of the most powerful and historic speeches I've ever seen.
[00:00:06.777 --> 00:00:10.722]  This was truly history-making.
[00:00:11.623 --> 00:00:13.486]  Everything he laid out was absolutely true.
[00:00:13.566 --> 00:00:16.549]  It was sincere, and he did it without a teleprompter.
[00:00:17.495 --> 00:00:23.658]  I told you back on Tuesday and broke the news that he would announce that he was endorsing President Trump this Friday.
[00:00:23.978 --> 00:00:26.419]  And Friday came, and sure enough, he did that.
[00:00:26.459 --> 00:00:33.203]  So the campaign was nice enough to give me a first look, and I appreciate the insider who gave me the information, because that gave us a chance to
[00:00:34.144 --> 00:00:36.045]  That's why I launched my campaign to unify America.
[00:00:36.065 --> 00:00:36.766]  My dad and my uncle made
[00:01:01.983 --> 00:01:22.107]  Such an enduring mark on the character of our nation, not so much because of any particular policies that they promoted, but because they were able to inspire profound love for our country and to fortify our sense of ourselves as a national community held together by ideals.
[00:01:22.807 --> 00:01:27.588]  They were able to put their love into the intentions and hearts of ordinary Americans.
[00:01:28.228 --> 00:01:30.889]  That's the spirit on which I ran my campaign.
[00:01:31.583 --> 00:01:34.464]  And that I intend to bring into the campaign of President Trump.
[00:01:35.299 --> 00:01:40.703]  And if you compare Kennedy's speech to Kamala Harris, how she was reading off a teleprompter, it was totally fake.
[00:01:40.723 --> 00:01:41.584]  It was totally canned.
[00:01:41.944 --> 00:01:47.368]  It was all about how much humanity she had, but none of her actions would actually empower humanity.
[00:01:48.088 --> 00:01:58.496]  He talked about the fact, and I can finish the sentences because the statistics are all public, that we had one in 1,500 children in the nineties with autism.
[00:01:59.157 --> 00:02:00.998]  And now we have one in 33 nationwide, one in 22 in California.
[00:02:04.230 --> 00:02:06.032]  The cancer rates for children in the U.S.
[00:02:06.092 --> 00:02:13.800]  are the highest in the world by an order of magnitude, that fatty livers are in massive numbers for our children, that our children are dying.
[00:02:14.781 --> 00:02:27.794]  I was just looking at a photo album from my grandmother that my dad had going through storage, going back to photos in the 1920s of her mother and her grandmother, and then right through until I was born in the
[00:02:29.178 --> 00:02:40.168]  The photo book ended when I was about six, and I just looked at how John Wayne-esque, but even more manly the men looked, and how beautiful and focused and clear-eyed the women were.
[00:02:40.949 --> 00:02:48.596]  And then I decided to dig out some of my old photo albums when I was growing up, and people looked so much more healthy, whether they're black, white, it didn't matter.
[00:02:49.016 --> 00:02:50.537]  There was so much more light in their eyes.
[00:02:51.378 --> 00:02:54.120]  The GMO, the big pharma,
[00:02:54.892 --> 00:02:55.853]  The cigarette makers.
[00:02:55.953 --> 00:02:57.254]  It's all the chemical companies.
[00:02:57.434 --> 00:02:58.495]  It's all mad scientists.
[00:02:58.555 --> 00:03:01.457]  It's all one big conglomerate, BlackRock.
[00:03:01.497 --> 00:03:02.417]  They're all interconnected.
[00:03:02.978 --> 00:03:09.943]  And they are literally poisoning us to death, addicting us while they take over the planet for their in-game population.
[00:03:10.543 --> 00:03:13.685]  A frontal military assault would have failed against America.
[00:03:14.046 --> 00:03:21.151]  But starting in 1945, they started putting deadly rat poison, insect poison, sodium fluoride in the water.
[00:03:21.791 --> 00:03:24.293]  And later they started adding hydrofluorosilicic acid that is the
[00:03:26.394 --> 00:03:36.563]  And that just broke yesterday.
[00:03:37.103 --> 00:03:39.945]  Of course, I talked about it 30 years ago when I first got on air.
[00:03:40.426 --> 00:03:45.430]  Back in 45, when they first started doing it, scientists, doctors went public and said, this is insane.
[00:03:45.970 --> 00:03:46.951]  This will give you cancer.
[00:03:46.971 --> 00:03:47.952]  This will give you infertility.
[00:03:47.972 --> 00:03:48.772]  This will lower IQ.
[00:03:49.693 --> 00:03:50.614]  They already knew that.
[00:03:50.634 --> 00:03:54.459]  They already knew that iodine was the good halogen, the opposite of fluoride.
[00:03:54.699 --> 00:04:00.226]  And if you added iodine to salt, people's IQs went up 15 points on average when they were growing up.
[00:04:00.607 --> 00:04:03.130]  But if you didn't have iodine, you would have mental midgets.
[00:04:03.210 --> 00:04:06.094]  So again, this was all known science then.
[00:04:07.672 --> 00:04:15.696]  And that was just one small area that he was covering today.
[00:04:16.117 --> 00:04:17.497]  The poison shots, all of it.
[00:04:17.537 --> 00:04:18.658]  Our fertility is plunging.
[00:04:19.018 --> 00:04:20.119]  Sperm counts are plunging.
[00:04:20.479 --> 00:04:21.379]  Cancer is exploding.
[00:04:21.399 --> 00:04:22.240]  We don't live as long.
[00:04:22.560 --> 00:04:25.621]  World population is dropping for the first time since the Black Plague.
[00:04:27.657 --> 00:04:30.659]  You can't fake that type of sincerity and you can't fake how hard he's working.
[00:04:30.679 --> 00:04:36.323]  You can't fake the fact that he pledged when he first started running a few years ago that if it looked like he would be just a spoiler,
[00:04:48.030 --> 00:04:51.933]  Many months ago, I promised the American people that I would withdraw from the race if I became a spoiler.
[00:04:51.953 --> 00:04:56.296]  A spoiler is someone who altered the outcome of the election but had no chance of winning.
[00:05:15.578 --> 00:05:26.101]  In my heart, I no longer believe that I have a realistic path to electoral victory in the face of this relentless systematic censorship and media control.
[00:05:27.342 --> 00:05:40.426]  So I cannot in good conscience ask my staff and volunteers to keep working their long hours or ask my donors to keep giving when I cannot honestly tell them that I have a real path to the White House.
[00:05:41.346 --> 00:05:43.707]  Furthermore, our polling consistently showed
[00:05:45.009 --> 00:05:57.514]  If I was staying on the ballot in the battleground states, I would likely hand the election over to the Democrats, with whom I disagree on the most existential issues.
[00:05:58.315 --> 00:06:01.516]  Censorship, war, and chronic disease.
[00:06:02.436 --> 00:06:09.059]  In about 10 battleground states, where my presence would be a spoiler, I'm going to remove my name.
[00:06:09.079 --> 00:06:13.141]  And I've already started that process and urge voters not to vote for me.
[00:06:14.268 --> 00:06:15.762]  It's with a sense of victory.
[00:06:17.006 --> 00:06:20.909]  And not defeat that I'm suspending my campaign activities.
[00:06:21.189 --> 00:06:22.650]  But now he doesn't get revenge.
[00:06:22.710 --> 00:06:27.814]  He gets justice to come back and deliver conservatively 6 to 10 points to Trump.
[00:06:28.594 --> 00:06:33.478]  He's going to stay on the ballot in blue states to pull Democrat votes, flipping some states red.
[00:06:34.258 --> 00:06:37.801]  And in red states, he is going to be not on the ballot as well.
[00:06:38.481 --> 00:06:39.842]  Or he told people not to vote for him.
[00:06:40.022 --> 00:06:43.225]  But in battleground states, he's pulled himself off the ballot.
[00:06:43.245 --> 00:06:44.285]  He's in the process right now.
[00:06:44.566 --> 00:06:46.067]  Pennsylvania, Georgia,
[00:06:47.153 --> 00:06:50.317]  Michigan, Arizona.
[00:06:50.877 --> 00:06:52.239]  So I talked to Roger Stone.
[00:06:52.259 --> 00:06:57.845]  He says it's a genius move to maximize the effect against the Democrats and all their fraud.
[00:06:58.126 --> 00:07:01.830]  They've got about a 10% margin of dead people and folks out of district to vote.
[00:07:02.290 --> 00:07:04.012]  That's about the ammunition they've got.
[00:07:04.873 --> 00:07:10.114]  Trump's already 10, 15 points ahead, 20 in some polls, about 6, 7, 8, 9, 10 in battlegrounds.
[00:07:10.534 --> 00:07:13.135]  This RFK is a bellwether.
[00:07:13.195 --> 00:07:14.615]  So is Tulsi Gabbard's joining.
[00:07:15.215 --> 00:07:16.556]  Trump is well on the campaign trail.
[00:07:16.816 --> 00:07:20.536]  He said he's going to join Trump on the campaign trail and try to unify America.
[00:07:21.177 --> 00:07:25.578]  And he said, because he hopes we love our children more than we love hating each other.
[00:07:26.358 --> 00:07:31.859]  Ultimately, the only thing that will save our country and our children
[00:07:34.827 --> 00:07:41.069]  The Democratic Party is the party of hurting the children.
[00:07:41.489 --> 00:07:45.691]  It's the party of sterilizing the children, and aborting the children, and toxifying the children.
[00:07:46.611 --> 00:07:48.832]  They are the party of the corporations in war and death.
[00:07:49.172 --> 00:07:50.493]  And I already liked RFK Jr.
[00:07:50.553 --> 00:07:53.514]  and had a good feeling about him, and told folks that I believed he was for real.
[00:07:53.994 --> 00:08:00.597]  He might have had some bad folks around him, but even his VP is now anti-communist, anti-globalist, anti-new world order.
[00:08:01.445 --> 00:08:03.627]  You've got Elon Musk joining in as well.
[00:08:04.628 --> 00:08:05.388]  And so much more.
[00:08:06.069 --> 00:08:10.873]  So now he'll make the rounds on all the top shows in the world from Tucker Carlson to Joe Rogan to you name it.
[00:08:11.153 --> 00:08:13.496]  Now he'll be on all the big campaign sites.
[00:08:14.520 --> 00:08:15.400]  This is going to be huge.
[00:08:15.500 --> 00:08:23.142]  And you look at the wonderful folks supporting Trump and all the authentic mavericks, male and female, old and young, black and white, Hispanic, you name it.
[00:08:23.482 --> 00:08:33.784]  On the other side, you see the Democrats, the party of division and hate and lies and fraud and fake job numbers and open borders and human trafficking and World War III.
[00:08:34.444 --> 00:08:38.885]  So it's to save the children from poison, Big Pharma, Big Agra, Big Food, it's all the same group.
[00:08:39.545 --> 00:08:44.270]  It's to stop World War III and it's to unify this nation.
[00:08:44.390 --> 00:08:49.515]  A beautiful, powerful message that makes me so proud of Robert F. Kennedy Jr.
[00:08:49.795 --> 00:08:50.736]  We should support him.
[00:08:51.017 --> 00:08:52.378]  We should support President Trump.
[00:08:52.518 --> 00:08:57.984]  And I had already gone home today because we've been up here the last four nights covering the DNC until midnight almost every night.
[00:08:58.504 --> 00:08:59.845]  I'd left early at about four o'clock.
[00:09:00.746 --> 00:09:09.354]  And I got home, was with my family, and I looked at my seven-year-old daughter who wanted to play board games with me and play in the backyard and go swimming.
[00:09:09.775 --> 00:09:11.897]  And I said, baby, for you, I got a turnaround.
[00:09:12.197 --> 00:09:15.900]  And I drove back up here to cut this because it is about the children.
[00:09:15.960 --> 00:09:17.061]  It's all of our choices.
[00:09:17.522 --> 00:09:19.384]  It's what we do, not supporting these companies.
[00:09:19.864 --> 00:09:21.585]  But they're trying to force feed it through the system.
[00:09:21.605 --> 00:09:26.049]  They're trying to shut down organic farms all over the world, not just here, saying they're bad.
[00:09:26.069 --> 00:09:28.891]  And they're trying to feed you frankenfood, Bill Gates.
[00:09:29.331 --> 00:09:41.421]  But if we get a regulator like him in at the FDA or at the EPA, because we can call this food toxic waste as well, or he gets to be the director of the CIA or the attorney general, this is going to be so powerful.
[00:09:41.441 --> 00:09:42.001]  But I got to tell you,
[00:09:42.882 --> 00:09:51.928]  Trump and Kennedy have got to be really careful now because if the Deep State tried to kill Trump before and killed RFK's father and uncle, they are really going to try to kill them now because they're desperate.
[00:09:51.968 --> 00:09:56.470]  This isn't the 1960s when the corporate media had total dominance and air superiority.
[00:09:56.731 --> 00:10:00.753]  The corporate media is a discredited fraud and they will not get away with it this time.
[00:10:01.153 --> 00:10:02.834]  So I salute RFK Jr.
[00:10:02.934 --> 00:10:03.675]  I salute Trump.
[00:10:04.015 --> 00:10:11.200]  This is a big deal and Trump needs to put him front and center and he needs to follow through what Kennedy said he's told him personally.
[00:10:12.228 --> 00:10:18.213]  And what his family's told Kennedy that they agree that the food and the water and the shots are poison.
[00:10:18.233 --> 00:10:20.294]  You even heard that clip that leaked to Trump admitting it.
[00:10:20.654 --> 00:10:23.616]  He's just too big an ego to admit he got conned.
[00:10:23.637 --> 00:10:28.500]  And he has agreed to work with Kennedy to do this and that he wants to make it his legacy.
[00:10:28.860 --> 00:10:32.623]  Trump wants to make it his legacy to take on this system.
[00:10:32.783 --> 00:10:34.565]  And Kennedy said, I believe him.
[00:10:35.433 --> 00:10:38.676]  So, we are about to see spectacular things happen.
