[00:00:00.000 --> 00:00:04.339]  As predicted, the Democrats are bringing back mask mandates.
[00:00:04.599 --> 00:00:07.179]  We're about to break down what's coming next, straight ahead.
[00:00:07.379 --> 00:00:11.000]  Mask mandates are coming back to several Bay Area counties.
[00:00:11.179 --> 00:00:19.620]  Health officials have issued orders requiring face masks to be worn in hospitals, skilled nursing facilities, and other healthcare facilities.
[00:00:19.820 --> 00:00:25.160]  This order goes into effect starting November 1, Until either the end of March or April 2025.
[00:00:25.739 --> 00:00:33.520]  Now the counties requiring masks right now are Alameda, Contra Costa, Santa Clara, San Mateo, and Napa County.
[00:00:40.460 --> 00:00:53.520]  As I told you, my sources inside the Border Patrol and the TSA told me, and then months later the documents came out, that the Biden-Harris administration has been planning to try to bring back mask mandates.
[00:00:53.640 --> 00:00:58.799]  Now, already in Europe and the UK and Australia and New Zealand, they're trying it as well.
[00:00:58.880 --> 00:01:04.400]  They're using the PCR test that they turn up 30 to 40 times what it's supposed to be set at.
[00:01:05.019 --> 00:01:10.939]  To then get a lot of false positives supposedly for COVID. They then use that number to create fear.
[00:01:11.400 --> 00:01:14.079]  Then the mask is the symbol of fear.
[00:01:14.620 --> 00:01:20.000]  It's the symbol of their party, the symbol of their submission to medical tyranny.
[00:01:20.159 --> 00:01:22.400]  Just like the Nazis had their armband.
[00:01:22.670 --> 00:01:31.489]  It's a symbol of their party, the party of Klaus Schwab and Bill Gates and the UN treaty that just failed to pass that would take over our bodies two months ago.
[00:01:31.829 --> 00:01:40.730]  But regardless, the Biden-Harris administration has been instrumental in writing the treaty that literally lets Big Pharma and the UN take over our bodies.
[00:01:40.930 --> 00:01:42.790]  So why are they bringing it back now?
[00:01:43.219 --> 00:01:44.819]  Again, it creates fear.
[00:01:45.060 --> 00:01:50.340]  They can then condition the public to take their tenth shot or their ninth booster.
[00:01:50.480 --> 00:01:52.500]  It's about profits for big pharma.
[00:01:52.739 --> 00:01:56.959]  And now we know what the FDA warned of in October of 2000 is true.
[00:01:57.099 --> 00:02:02.359]  It causes massive heart problems, myocarditis, strokes, blood clots, and by your third shot...
[00:02:02.980 --> 00:02:04.459]  Your white blood cells are turned off.
[00:02:04.640 --> 00:02:09.060]  It doesn't kill them. They just stop destroying viruses and bacteria.
[00:02:09.620 --> 00:02:17.520]  So right on time of the election, we see them rolling this out in select counties in California and other areas of New York state.
[00:02:17.900 --> 00:02:25.599]  In New York, the governor's proposed passing a law that will allow them to arrest anybody they want and quarantine you for any reason.
[00:02:25.819 --> 00:02:28.360]  The same thing is happening in Australia as well.
[00:02:28.550 --> 00:02:46.069]  That's why we have to continue to expose the crimes the last four and a half years with the COVID tyranny and bring these criminals to justice with Nuremberg too, so they don't bring this system of control back, which they admit is instrumental in a world ID for the central bank digital currency.
[00:02:46.389 --> 00:02:50.930]  At the heart of it, a social credit score enforced through the vaccine passports.
[00:02:51.300 --> 00:02:59.639]  They also want internet IDs they're trying to pass in Congress and around the world right now so they can turn off your internet access if you don't submit to them.
[00:02:59.919 --> 00:03:03.520]  The technocracy is going into place right now.
[00:03:03.740 --> 00:03:16.879]  But illegal aliens, they don't have to take the shots because they're precious migrants, because the UN even told Reuters they were worried about the liability of the migrants getting sick from the shots, but citizens are supposed to take them.
[00:03:17.050 --> 00:03:37.689]  And again, whether you're in Australia, New Zealand, Europe, the UK, Canada, the US, it's the exact same COVID policies worldwide because the UN is getting its policies from the Bill of Melinda Gates Foundation on record and the Bill of Melinda Gates Foundation has set the standards globally for the new world ID that again will enforce the social credit score.
[00:03:41.150 --> 00:03:51.330]  We're good to go.
[00:03:54.069 --> 00:04:03.409]  That's why it's important we continue to speak out and continue to expose this tyranny because together, the outrageous, ridiculous nature of their lies will not stand.
[00:04:03.669 --> 00:04:05.750]  They said it didn't come out of a lab.
[00:04:05.870 --> 00:04:11.189]  COVID did. They then said that these mRNA injections would supposedly protect us.
[00:04:11.289 --> 00:04:13.689]  They don't. They make you get COVID more often.
[00:04:13.830 --> 00:04:15.509]  They erase your immune system.
[00:04:15.710 --> 00:04:17.269]  The whole thing was a lie.
[00:04:17.490 --> 00:04:19.870]  They were the disinformation. They were the frauds.
[00:04:19.990 --> 00:04:21.370]  And we were the ones that told the truth.
[00:04:21.550 --> 00:04:22.649]  Please share this report.
[00:04:23.040 --> 00:04:33.699]  And please follow us on Exit Relox Jones and please support us at this critical time because the deep state has listed Infowars in the entire media worldwide as public enemy number one.
[00:04:33.899 --> 00:04:35.600]  They're trying to shut down right now.
[00:04:35.879 --> 00:04:37.000]  Thank you so much for your support.
[00:04:37.240 --> 00:04:38.379]  Now please share this report.
[00:04:45.680 --> 00:04:52.980]  The globalist deep state just took their war on free speech and our very identities and our very freedoms to the next level.
