[00:00:00.349 --> 00:00:03.210]  Your cell phone isn't just watching and listening to you.
[00:00:03.771 --> 00:00:08.693]  It's doing a lot more than that, and we're about to break down the secrets they hope you never learn.
[00:00:09.093 --> 00:00:22.519]  Well, we've been doing a study following our device, a Google Mobile Services phone, any Android running Google Mobile Services, which is all of them, or an iPhone, and at about 3 a.m.
[00:00:23.140 --> 00:00:25.701]  we're seeing a spike of data leaving the phone.
[00:00:27.011 --> 00:00:37.274]  But 50 megabytes, that is basically that phone dialing home to the mothership, exporting all of your goings on all your pillow talk is going to pillow talk, whatever.
[00:00:38.274 --> 00:00:43.996]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:00:45.056 --> 00:00:46.497]  InfoWars.com forward slash go.
[00:00:48.717 --> 00:00:51.538]  Eric Prince recently sat down with Tucker Carlson.
[00:00:52.543 --> 00:01:10.375]  And expose the fact that his security slash military company did an internal study of iPhones, Androids, and found that all of them, in the middle of the night, were transmitting large packets of information back to their home companies, back to the mothership.
[00:01:10.976 --> 00:01:18.021]  Now, decades ago, I showed you industry documents had whistleblowers on, that indeed, cell phones, even when they're off,
[00:01:19.071 --> 00:01:19.632]  All right.
[00:01:36.169 --> 00:01:42.293]  Prince singles out Mark Zuckerberg, who's probably the worst offender out there, but this is going on across the board.
[00:01:42.313 --> 00:01:47.555]  Look at Amazon and the Alexa that, for more than a decade, people have brought into their homes.
[00:01:48.096 --> 00:01:49.557]  But it's also your automobiles.
[00:01:49.977 --> 00:02:03.845]  And now, by law, all automobiles sold in the United States have tracker systems in them that can also trigger a kill switch in your car and are also recording audio and, in many cases, recording video.
[00:02:04.665 --> 00:02:07.847]  Now, Prince hits the key here, and so does Carlson.
[00:02:08.707 --> 00:02:24.115]  They make the point that this is a monopoly, a monopoly of a handful of big tech companies that can use this information to take control of markets and dominate and vertically integrate the economy, shutting down all of their competition.
[00:02:24.495 --> 00:02:26.156]  And that's just on the economic side.
[00:02:26.616 --> 00:02:43.159]  Think of the political power that is there to be able to gauge and manipulate the minds of the population because each man, woman, and child in the Western world who's around these, quote, smart devices that are spying on us is having giant profiles built on us and that data is being sold.
[00:02:43.679 --> 00:02:53.761]  Just a few weeks ago, big banks in the United States, like Chase, announced, hey, we're selling our customers' purchasing history to other companies.
[00:02:54.790 --> 00:02:56.151]  That's just the tip of the iceberg.
[00:02:56.552 --> 00:03:10.845]  This is a whole technological breakaway civilization that is operating completely illegally and interfaced with private intelligence agencies to manipulate, censor, and steal elections.
[00:03:11.366 --> 00:03:13.428]  We've got to educate Congress about this.
[00:03:13.668 --> 00:03:15.830]  We've got to educate the state attorney generals about this.
[00:03:16.150 --> 00:03:17.111]  We've got to educate
[00:03:18.032 --> 00:03:24.256]  The military and the public about this, because this is a security threat to all of our civilization.
[00:03:24.716 --> 00:03:38.885]  Now, in the past, this data was crunched by computers and was used in algorithms, but now with AI that can do trillions of calculations a second, they are able to do even more with this and take full control of civilization.
[00:03:39.445 --> 00:03:47.290]  Just last week, when China did a blockade of Taiwan and flew loaded planes with bombs over them in a simulated attack,
[00:03:47.870 --> 00:03:50.672]  What did Taiwan threaten to do, the main chip maker in the world?
[00:03:51.293 --> 00:04:07.645]  They came out and announced, hey, for decades we've been putting kill switches in all the microchips that we sold to China and others, and if you keep messing with us, we'll kill the microchips in most of your military equipment, and your dams, and your highways.
[00:04:08.486 --> 00:04:16.151]  Think of what the NSA, or the Communist Chinese, or the Taiwanese, or the Russians, or hacker groups can do with this.
[00:04:17.150 --> 00:04:18.550]  This doesn't give us redundancy.
[00:04:18.591 --> 00:04:19.631]  This doesn't give us security.
[00:04:19.891 --> 00:04:28.074]  This gives us a world that's like Swiss cheese for hackers and criminal groups and governments and corporations to do whatever they want.
[00:04:28.774 --> 00:04:34.716]  When I would tell people that your phones are listening to you decades ago, people laughed at me even though I had the documents.
[00:04:35.236 --> 00:04:38.157]  Then they roll out all these home assistants and people say, oh, so what?
[00:04:38.277 --> 00:04:38.797]  I trust them.
[00:04:39.217 --> 00:04:43.319]  And then we now learn that the police have been listening to people over these systems.
[00:04:44.019 --> 00:04:48.184]  Ladies and gentlemen, this is going to end up bringing down civilization.
[00:04:48.764 --> 00:05:03.141]  We have to educate the public, and we have to bring in controls now, and we have to realize that technology itself is not evil, but it has all been Trojan-horsed by corrupt governments and corporations to make it evil, and the infrastructure that we live in today
[00:05:03.701 --> 00:05:08.062]  Is the opposite of what Google said in their founding documents 25 years ago, don't be evil.
[00:05:08.442 --> 00:05:12.804]  Because from day one they had been evil and were set up by In-Q-Tel and the CIA.
[00:05:13.164 --> 00:05:22.787]  And more documents just came out two days ago that indeed the CIA has been in a process of taking over all the social media and targeting the American people.
[00:05:23.527 --> 00:05:36.436]  We have rogue corporations and governments teamed up, playing God, waging war on the economy, cutting off energy, cutting off fertilizer, cutting off food to create a global meltdown so they can offer their solution.
[00:05:37.117 --> 00:05:48.765]  The public rollout of this cashless society, social credit score, enforced not by drones in the sky or army tanks on the ground, but by the devices that run and control our lives.
[00:05:49.125 --> 00:05:52.086]  Here's Eric Prince with the great Tucker Carlson.
[00:05:52.427 --> 00:05:59.230]  I hope you share this video and I hope you educate yourself and others around you because this is the most important thing happening in our world today.
