[00:00:07.271 --> 00:00:08.313]  Mainstream media.
[00:00:09.054 --> 00:00:10.156]  Government cover-ups.
[00:00:10.817 --> 00:00:11.618]  You want answers?
[00:00:12.399 --> 00:00:13.180]  Well, so does he.
[00:00:13.943 --> 00:00:17.926]  He's Alex Jones on the GCN Radio Network.
[00:00:18.126 --> 00:00:22.210]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.012 --> 00:00:44.232]  Welcome, ladies and gentlemen.
[00:00:44.272 --> 00:00:50.554]  Thank you for joining us on this live Thursday edition, the 27th day of July 2006.
[00:00:52.494 --> 00:00:54.515]  Jim Mars will be joining us.
[00:00:54.555 --> 00:01:00.056]  He's one of the major screenwriters, and the book he wrote is what JFK the movie was based on.
[00:01:01.117 --> 00:01:09.899]  And we've now passed the 43rd anniversary of the murder of John Fitzgerald Kennedy in Dealey Plaza, Dallas, Texas.
[00:01:12.052 --> 00:01:14.293]  We're not just going to get into JFK, though.
[00:01:14.753 --> 00:01:23.497]  We're going to also talk about 9-11 to JFK and the similarities, the connections, even with some of the same players, to the two events.
[00:01:24.238 --> 00:01:29.700]  And that is coming up in the next hour.
[00:01:30.561 --> 00:01:33.562]  Second and third hour, two hours with Jim Mars.
[00:01:36.033 --> 00:01:37.694]  Well, it's being reported by the U.S.
[00:01:37.734 --> 00:01:41.316]  press, the British press, and even the Israeli press that the dead are much higher.
[00:01:41.356 --> 00:01:46.319]  The numbers of dead Lebanese, of course, is much higher than what they've been trying to report for the last few weeks.
[00:01:46.559 --> 00:01:47.499]  They've been saying it's around 400.
[00:01:47.579 --> 00:01:54.843]  They've been saying 400 now for about a week, and the number could be in the thousands the press is now reporting.
[00:01:56.264 --> 00:01:57.325]  Well, that's common sense.
[00:01:57.365 --> 00:02:05.209]  If you've got littered cars smoking with dead families splattered all over the road for as far as the eye can see,
[00:02:06.132 --> 00:02:09.514]  Family homes being leveled and bridges being blown out from under people.
[00:02:10.674 --> 00:02:11.875]  What do you expect?
[00:02:13.576 --> 00:02:21.840]  And the really disgusting, dastardly, devilish propaganda from Israel, the United States, and Fox News.
[00:02:22.300 --> 00:02:26.162]  Hezbollah, Hamas, Al Qaeda is in the U.S.
[00:02:26.722 --> 00:02:28.003]  They're probably going to hit us.
[00:02:28.063 --> 00:02:29.604]  And Fox News went further.
[00:02:30.791 --> 00:02:35.417]  Fox News says Hezbollah is certain to nuke major U.S.
[00:02:35.637 --> 00:02:35.977]  city.
[00:02:36.077 --> 00:02:41.103]  Channel is terror group's biggest cheerleader as Americans hit with a sum of all fear-mongering.
[00:02:41.504 --> 00:02:50.054]  Paul Watson has written a detailed report about this and we also have the audio clip that we'll be analyzing coming up here in the next segment.
[00:02:53.433 --> 00:02:58.554]  It's just unbelievable propaganda that, oh my gosh, the terrorists are going to hit us.
[00:02:58.574 --> 00:03:00.635]  We've got to go ahead and attack Iran and Syria.
[00:03:00.655 --> 00:03:02.095]  We've got to support this war.
[00:03:02.716 --> 00:03:04.756]  The terrorists are going to hit us with A-bombs.
[00:03:05.536 --> 00:03:08.557]  Now, our own government admits that Iran doesn't have an A-bomb.
[00:03:08.857 --> 00:03:10.478]  They're years away from having an A-bomb.
[00:03:10.518 --> 00:03:13.819]  Even the neocons say years away from having an A-bomb.
[00:03:13.839 --> 00:03:17.640]  The CIA says nine years away from having an A-bomb.
[00:03:17.680 --> 00:03:18.500]  Nine plus years.
[00:03:20.405 --> 00:03:32.408]  But it doesn't matter, because all over talk radio, all over television, we're hearing that they've got A-bombs, and they're going to blow up Chicago, or Dallas, or New York, or Los Angeles, or Miami.
[00:03:35.169 --> 00:03:49.633]  And if a nuke does go off, low-yield, high-yield, it doesn't matter, the first place our attention should go is towards the New World Order crime syndicate that has the motive to carry this out and to be behind it.
[00:03:51.730 --> 00:03:59.352]  Israel, some good news, at least for now, we don't know if this is really their true intentions, decides not to expand offensive past the areas they've already entered in Lebanon.
[00:03:59.972 --> 00:04:07.694]  Israel's government decided Thursday against expanding its offensive against Hezbollah, but called up at least 30,000 troops to begin training for duty in Lebanon.
[00:04:07.774 --> 00:04:13.596]  Also, Palestinian President Mahmoud Abbas said the release of an Israeli soldier abducted in Gaza could be imminent.
[00:04:14.416 --> 00:04:15.736]  So maybe a deal was made.
[00:04:15.856 --> 00:04:18.377]  The New World Order was sending up a trial balloon with all of this.
[00:04:19.870 --> 00:04:23.491]  To see what response they would get in the polls, what response they would get in the world.
[00:04:25.271 --> 00:04:26.611]  And they're not getting a good response.
[00:04:27.651 --> 00:04:31.332]  The people of the planet are seeing through this attempt to escalate this into World War III.
[00:04:31.372 --> 00:04:35.273]  Remember Bush wanted to go into Iran or Syria by early August.
[00:04:35.313 --> 00:04:36.693]  He'd been announcing the ultimatum.
[00:04:37.533 --> 00:04:39.734]  And all of this was basically saber-rattling to do that.
[00:04:40.374 --> 00:04:44.375]  But again, you can't believe Israel for a minute because, well, we'll tell you why when we get back.
[00:04:44.835 --> 00:04:46.515]  This whole thing could still be on.
[00:04:47.409 --> 00:04:48.632]  We'll break it down on the other side.
[00:04:49.133 --> 00:04:53.725]  Websites are PrisonPlanet.tv, InfoWars.com, InfoWars.net.
[00:04:54.527 --> 00:04:55.649]  I'm Alex Jones, your host.
[00:04:56.291 --> 00:04:56.752]  Stay with us.
[00:05:04.657 --> 00:05:07.838]  It's here, after a year in production and traveling to distant lands.
[00:05:08.198 --> 00:05:10.099]  My new film, Terror Storm, is complete.
[00:05:10.499 --> 00:05:18.161]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:18.842 --> 00:05:25.884]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:05:26.284 --> 00:05:33.146]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying,
[00:05:33.672 --> 00:05:37.714]  Secret police torture, the latest 9-11 information, and much, much more.
