[00:00:17.825 --> 00:00:20.006]  What would you be going on in your mind if you were there?
[00:00:20.766 --> 00:00:21.566]  How would you react?
[00:00:22.106 --> 00:00:24.627]  What feelings would you have inside of you?
[00:00:24.667 --> 00:00:25.867]  Probably fear.
[00:00:26.627 --> 00:00:29.868]  Fear that someone is on the rampage and that you may be this next target.
[00:00:30.708 --> 00:00:33.448]  Fear that you may or may not escape in time.
[00:00:34.028 --> 00:00:36.969]  Fear that your friends may not be okay even if you made it out.
[00:00:37.709 --> 00:00:38.389]  Fear for your life.
[00:00:39.352 --> 00:00:39.998]  Here we go.
[00:00:40.885 --> 00:00:46.267]  Yet here at public universities in Texas, we are taught to fear a completely different category of people.
[00:00:46.867 --> 00:00:51.069]  People who have gone through extensive paperwork, process, and background checks.
[00:00:51.529 --> 00:00:54.830]  People without any felony or recent quasi-misdemeanor convictions.
[00:00:55.550 --> 00:01:01.893]  People who, according to the Texas Department of Public Safety, are much less likely to commit a crime than the general population.
[00:01:02.613 --> 00:01:06.094]  People who would never ever dream of committing an atrocity such as mass murder.
[00:01:06.795 --> 00:01:10.776]  You would be more likely to die in a fire than be killed by these people.
[00:01:11.670 --> 00:01:20.796]  We are taught to fear the class of law-abiding citizens who peacefully carry a concealed handgun at almost every other unsecured location in Texas.
[00:01:22.137 --> 00:01:30.083]  We fear these people just like we feared them over 10 years ago, when shell issue concealed carry permits was hotly debated in the state legislature.
[00:01:30.824 --> 00:01:39.710]  People feared that these people would cause gunfights over minor traffic incidents or snap and go on a rampage without a moment's notice.
[00:01:41.769 --> 00:01:54.354]  We realize that all the arguments against concealed carry, all the fear about the violence and the surge of violence if we let law-abiding people carry concealed, were ridiculous.
[00:01:55.574 --> 00:02:03.317]  Those who support gun control will argue that the availability of guns and carry permits is a reason for violence and murder in this country.
[00:02:04.397 --> 00:02:08.519]  To quote Jon Stewart, their solution is, quote, then we must get rid of guns.
[00:02:09.359 --> 00:02:11.160]  Guns must go because that is the problem.
[00:02:11.701 --> 00:02:12.841]  Well, that is not the problem.
[00:02:12.861 --> 00:02:14.502]  You know what's the problem?
[00:02:14.762 --> 00:02:16.622]  Crazy is the problem.
[00:02:16.782 --> 00:02:18.502]  And you can't legislate crazy.
[00:02:19.523 --> 00:02:23.683]  Please welcome Dr. John Watts.
[00:02:23.923 --> 00:02:24.564]  Well, thanks.
[00:02:24.584 --> 00:02:28.124]  I appreciate being invited here.
[00:02:28.144 --> 00:02:30.465]  I wish it was under different circumstances.
[00:02:31.205 --> 00:02:35.226]  But it's the basic issue that I was invited to talk about here.
[00:02:36.186 --> 00:02:41.387]  And before I kind of get into the main part of this talk, I just thought I'd mention
[00:02:41.992 --> 00:02:45.915]  For the last 15 years I've been doing a lot of work on multiple victim public shootings.
[00:02:46.655 --> 00:02:54.160]  And I've probably talked to more than 100 people at least who have been at these types of events, actually been present when the attacks have started.
[00:02:55.140 --> 00:03:05.207]  And the one feeling that you always get through overwhelmingly when you talk to people who have actually been there in that circumstance is kind of the feeling of utter helplessness that they feel.
[00:03:05.964 --> 00:03:12.870]  And it's quite understandable when there's no way for them to go and protect themselves when this rampage is occurring.
[00:03:13.350 --> 00:03:28.003]  You know, some people go and try to throw books or pillows or chairs or whatever that they have that's available to them, but obviously those types of things turn out to be... All right.
[00:03:28.764 --> 00:03:29.304]  Sure.
[00:03:29.544 --> 00:03:32.026]  Apologize.
[00:03:34.676 --> 00:03:40.197]  But obviously those things aren't equal to the harm that can be done from the guns.
[00:03:40.877 --> 00:03:47.258]  You know, guns make it easier for bad things to happen, but they also make it easier for people to protect themselves and prevent bad things from happening.
[00:03:48.618 --> 00:03:56.540]  So, kind of before we get into the basic question here about campuses, I thought I would talk generally about gun-free zones.
[00:03:57.120 --> 00:04:03.221]  Because in many ways, this has been a major discussion in the United States over the last few years,
[00:04:03.956 --> 00:04:14.506]  Two big Supreme Court decisions that have come through, overturning the DC handgun ban as well as the Chicago handgun ban.
[00:04:15.387 --> 00:04:26.638]  And what my research, not only in the new third edition of More Guns Less Crime has shown, but in my earlier books, is that I can't find a place in the world
[00:04:27.182 --> 00:04:37.790]  Where we've had a gun ban, and we have crime data both before and after this ban, that we don't see at least some increase in murder rates.
[00:04:38.230 --> 00:04:42.913]  In fact, what we find is, many times, very large increases.
[00:04:43.314 --> 00:04:50.539]  But there's not a single case that you can find, that I believe you can point to, where there's been a significant drop in murder rates.
[00:04:50.981 --> 00:04:57.427]  And you would think, with all the places that have tried gun bans, at least they could point to one example where it's been successful.
[00:04:57.967 --> 00:05:05.875]  But, you know, it's a question I kind of want you to think about generally, is about, you know, can you name one place where we've had a ban?
[00:05:05.915 --> 00:05:13.742]  Because, you know, bans on college campuses is really just a microcosm, one type of example of the types of bans that we have here.
[00:05:14.454 --> 00:05:18.155]  As I say, there's lots of experience with gun bans, gun-free zones.
[00:05:18.175 --> 00:05:23.557]  It's been the center part of Supreme Court decisions of recent years.
[00:05:25.277 --> 00:05:27.018]  I think in the D.C.
[00:05:27.178 --> 00:05:36.121]  and Chicago gun ban cases, Americans generally understand what happened to murder rates after the bans went into effect, that they went up.
