[00:00:00.569 --> 00:00:05.652]  We had a chance to talk to Dr. Russell Blaylock, MD, a retired neurosurgeon and author.
[00:00:05.992 --> 00:00:16.777]  His trailblazing research has tirelessly documented the fact that there is an epidemic of neurological disorders in the Western world directly tied to toxins in our environment.
[00:00:17.017 --> 00:00:23.480]  And the story behind the story concerning the larger global eugenics program behind population reduction.
[00:00:25.322 --> 00:00:26.623]  I'm Dr. Russell Blaylock.
[00:00:27.283 --> 00:00:29.165]  I'm a board certified neurosurgeon.
[00:00:29.185 --> 00:00:31.566]  I've retired from active practice.
[00:00:32.227 --> 00:00:44.676]  Now I do primarily theoretical research in neurosciences and spend most of my time writing research articles, review articles on neuroscience projects.
[00:00:45.529 --> 00:00:46.050]  I don't think so.
[00:01:00.908 --> 00:01:08.352]  And looking back into the history of it, and I came accidentally upon a book by Dr. Lily Kay.
[00:01:09.472 --> 00:01:15.575]  She was doing a research project looking at the origins of molecular biology in the United States.
[00:01:16.135 --> 00:01:21.078]  And that was primarily my interest, was just reviewing the history of molecular biology.
[00:01:21.118 --> 00:01:29.422]  But to my surprise, much of the book describes what was called the Science of Man Project by the Rockefeller Foundation.
[00:01:30.518 --> 00:01:42.790]  And primarily, and this is in the period about 1910, primarily what he was interested in and his foundation board was doing social engineering.
[00:01:43.091 --> 00:01:49.657]  They were concerned that society was made of a lot of people they considered undesirables.
[00:01:50.838 --> 00:02:07.750]  Their definition of undesirables was people that had lower IQ, people that had physical defects, people who had diseases, people who did not behave in a way that the group of elitists thought people should behave in a society.
[00:02:08.291 --> 00:02:17.978]  So their idea was to use eugenics, which was the primary science at the time, to redevelop man, to create a new type of person.
[00:02:19.038 --> 00:02:21.579]  And they coined the term social engineering.
[00:02:22.660 --> 00:02:27.402]  Now, of course, at that time we didn't have DNA as a concept.
[00:02:28.423 --> 00:02:32.645]  So they were using rather crude genetics to bring this about.
[00:02:34.050 --> 00:02:34.911]  In the very beginning.
[00:02:35.592 --> 00:02:40.815]  So what she shows is the Rockefeller Foundation was really putting a lot of money in this.
[00:02:41.496 --> 00:02:46.520]  And in order to do that, he thought, what I'll do is I will fund major universities.
[00:02:46.600 --> 00:02:50.282]  And he picked Caltech as one of those universities.
[00:02:50.343 --> 00:02:54.646]  And then some in the east, like Harvard and Johns Hopkins and Columbia.
[00:02:55.646 --> 00:03:12.494]  University of Chicago as the primary centers where this type of study would be carried out and how to re-engineer human beings to be in the form that they thought humans should be.
[00:03:14.175 --> 00:03:23.359]  And gradually as science began to become more sophisticated and eugenics began to get a really bad name as the period of Adolf Hitler occurred,
[00:03:24.191 --> 00:03:37.994]  And you realize that the Rockefeller eugenicists, before Hitler became well-known in power, they were traveling to Germany and exchanging information on these eugenic programs.
[00:03:38.434 --> 00:03:42.194]  So a fair amount of this information came from the Rockefeller Foundation.
[00:03:42.634 --> 00:03:51.316]  Of course, after World War II, when the world found out a lot of what was going on in eugenics and the horror of eugenics,
[00:03:53.100 --> 00:04:01.363]  Most of these programs were abandoned and the Rockefeller Foundation very quickly said to all their members, let's never use the name eugenics anymore.
[00:04:02.183 --> 00:04:09.466]  What we'll talk about is social engineering, the new science of man, behavioralism.
