[00:00:00.630 --> 00:00:03.292]  Here is part one of our interview with Alan Watt.
[00:00:03.552 --> 00:00:10.898]  Alan is an author, radio host, and deep researcher into the New World Order's long-term strategy of eugenics and more.
[00:00:11.198 --> 00:00:17.544]  I'm Alan Watt, and I've been following politics and geopolitics for a good part of my life.
[00:00:19.305 --> 00:00:25.010]  I didn't start off deliberately going out to find out everything that was possibly going on.
[00:00:25.030 --> 00:00:33.517]  In fact, I had no idea, to be honest with you, how vast the scale of an agenda, political agenda, is when you're bringing in a global society.
[00:00:33.957 --> 00:00:35.618]  Wars have many different purposes.
[00:00:37.400 --> 00:00:45.866]  Economics is only simply one big part of it, but culture of change and the building of empire through the defeated nations joining in leagues.
[00:00:46.787 --> 00:00:52.897]  Every country was basically signing the same laws and had been in my whole life at the same time.
[00:00:53.919 --> 00:00:55.340]  that affected their societies.
[00:00:55.860 --> 00:01:05.605]  Laws were introduced and bills were introduced unbeknownst to the people in those countries that it was being introduced in their neighboring countries or even across the water somewhere at the same time.
[00:01:06.105 --> 00:01:15.750]  I realized there was already a governmental control obviously that coordinated all of this and it led me into the United Nations.
[00:01:16.050 --> 00:01:17.511]  For every single department
[00:01:18.490 --> 00:01:23.714]  of government you have on a federal, local, county, state, provincial level.
[00:01:24.635 --> 00:01:27.758]  The United Nations had an equivalent department to deal with everything.
[00:01:29.099 --> 00:01:32.862]  It was already set up, in fact, to be global government.
[00:01:34.352 --> 00:01:43.297]  HG Wells said at the League of Nations, which was the embryo for the United Nations, he said, this is the nucleus of the world's governments.
[00:01:43.998 --> 00:01:55.545]  When eventually all laws will come from there, be passed and signed into law by treaty of all the membering countries, eventually we won't even have to go through the farce, and that's what it is.
[00:01:56.465 --> 00:02:20.175]  of voting in parties or candidates because in the latter part of the 20th century and now into the 21st century, we're being trained, rather obviously, to simply accept rule by experts, rule by scientists, rule by professionals, and that's what they mean when they call government governance.
[00:02:20.695 --> 00:02:21.596]  That's the term used.
[00:02:23.096 --> 00:02:24.637]  How do you get a domesticated herd
[00:02:25.578 --> 00:02:39.743]  To move from a field, a system in which it's been grazing for 20, 50 years, this kind of system, to this field over here, this new field, because we're reluctant, we have reluctance to change.
[00:02:40.143 --> 00:02:43.024]  We like familiarity, we like routine.
[00:02:44.104 --> 00:02:44.405]  You see?
[00:02:45.885 --> 00:02:48.906]  You do it by various techniques, one of which is revolution.
[00:02:49.206 --> 00:02:51.227]  Most revolutions are bloodless.
[00:02:53.581 --> 00:03:00.665]  You have cultural revolutions, sexual revolutions, along with that comes the music revolutions, etc.
[00:03:00.885 --> 00:03:09.650]  These literally are designed to alter and direct culture, knowing what kind of culture they'll have at the very end of it too.
[00:03:10.050 --> 00:03:13.452]  They know exactly what kind of culture they want to come out of it.
[00:03:15.632 --> 00:03:17.773]  You also can do it through crisis creation.
[00:03:18.153 --> 00:03:23.836]  Crisis after crisis has been hit on the people of the world since 9-11 happened.
[00:03:25.517 --> 00:03:31.560]  And we must understand that the techniques that are used abroad are also used at home in warfare.
[00:03:32.240 --> 00:03:34.261]  And we heard the term shock and awe.
[00:03:34.581 --> 00:03:38.583]  Shock and awe on the hard, the hard force level, as they call it,
