[00:00:02.349 --> 00:00:03.490]  This perfect storm.
[00:00:04.010 --> 00:00:06.572]  The debate is over around climate change.
[00:00:07.152 --> 00:00:09.533]  Just come to the state of California.
[00:00:10.114 --> 00:00:11.655]  Observe it with your own eyes.
[00:00:11.735 --> 00:00:12.996]  It's not an intellectual debate.
[00:00:13.016 --> 00:00:14.877]  It's not even debatable.
[00:00:15.217 --> 00:00:18.279]  The debate is over around climate change.
[00:00:19.359 --> 00:00:24.703]  California's rogue governor says the fires are due to climate change.
[00:00:25.443 --> 00:00:30.806]  But anyone with a modicum of awareness knows that this is an outrageous lie.
[00:00:32.057 --> 00:00:35.459]  We know exactly what causes the California wildfire.
[00:00:36.059 --> 00:00:40.421]  It is the result of two factors, dry seasons and people.
[00:00:41.261 --> 00:00:49.705]  Official state records have only been kept since the 1950s, and 2020 has been the most destructive season on record.
[00:00:50.545 --> 00:00:56.968]  But this isn't a new phenomenon, and the fires of the past were more destructive than the modern era.
[00:00:58.128 --> 00:01:12.461]  Through studies of tree rings and other natural evidence, researchers have documented multiple droughts in California during the past thousand years, including one that began in the year 850, which lasted two and a half centuries.
[00:01:13.562 --> 00:01:23.832]  Before European settlers arrived in California, indigenous peoples used controlled burns to manage the dry season and to increase and improve their harvest.
[00:01:24.572 --> 00:01:29.374]  It is estimated they would burn 4.4 million acres of forest each year.
[00:01:30.274 --> 00:01:31.694]  And that is twice as much as 2020.
[00:01:33.355 --> 00:01:38.657]  Studies have shown that 97% of all forest fires are caused by humans.
[00:01:39.337 --> 00:01:43.819]  Smoking, campfires, and other accidents have always been a problem.
[00:01:44.519 --> 00:01:50.401]  Experts blame the recent wildfires on fire suppression and an overabundance of wood fuel.
[00:01:51.221 --> 00:01:56.391]  One of the reasons why the indigenous people burned so much forest was to keep this under control.
[00:01:57.859 --> 00:02:01.321]  Aside from human accidents, there is also arson.
[00:02:02.041 --> 00:02:04.422]  And we have seen plenty of arson in 2020.
[00:02:05.963 --> 00:02:07.183]  It's been sort of the theme.
[00:02:07.504 --> 00:02:13.687]  If this country doesn't give us what we want, then we will burn down this system and replace it.
[00:02:14.347 --> 00:02:18.529]  Several people have been arrested for starting fires along the entire West Coast.
[00:02:19.629 --> 00:02:22.251]  Homeowners are catching arsonists on their property.
[00:02:23.391 --> 00:02:28.714]  There are reports of people throwing Molotov cocktails out of moving vehicles on the freeway.
[00:02:36.909 --> 00:02:40.754]  And there are videos of arsonists setting people's homes on fire.
[00:02:41.996 --> 00:02:49.225]  We know for certain that at least one of the arrested arsonists is directly involved with the BLM Antifa movement.
[00:02:50.467 --> 00:02:53.631]  And the rest certainly seem to fit the bill.
[00:02:56.585 --> 00:02:58.225]  Local news is reporting on it.
[00:02:58.245 --> 00:03:01.526]  A man has been arrested accused of starting this fire.
[00:03:01.666 --> 00:03:06.208]  One of two men accused of intentionally setting fire to fields along freeways.
[00:03:06.428 --> 00:03:10.129]  But the FBI and the mainstream media are in full denial.
[00:03:11.409 --> 00:03:19.431]  A Clackamas County Sheriff's deputy was placed on administrative leave after warning locals about coordinated arson attacks.
[00:03:19.631 --> 00:03:22.973]  What I'm worried about is that there's people stashing stuff, right?
[00:03:23.013 --> 00:03:23.253]  Right.
[00:03:23.494 --> 00:03:26.316]  It means that they're going to go in preparation, right?
[00:03:26.336 --> 00:03:30.859]  And I don't want to sound like some doomsdayer, but it's getting serious.
[00:03:31.479 --> 00:03:35.342]  And the Democrat Party is telling you it is all climate change.
[00:03:35.522 --> 00:03:37.283]  Mother Earth is angry.
[00:03:37.303 --> 00:03:47.630]  She's telling us, whether she's telling us with hurricanes on the Gulf Coast, fires in the West, whatever it is, that the climate crisis is real and has an impact.
[00:03:48.030 --> 00:03:54.371]  And telling you that the fires will soon come to your town if you don't vote for climate change.
[00:03:54.791 --> 00:04:03.713]  What we're experiencing right here is coming to a community all across the United States of America unless we get our act together on climate change.
[00:04:03.973 --> 00:04:13.215]  Which is a pretty nasty threat considering how many cities across America have burned by the hands of radical leftists over the summer.
[00:04:14.791 --> 00:04:30.493]  The 2006 film Apocalypto beautifully illustrated how the ancient Mayans' advanced knowledge of astronomy could have been used to frighten the superstitious masses into offering their own to be sacrificed on the altar of false idols.
[00:04:31.754 --> 00:04:34.556]  Who had the power to blacken out the sun.
[00:04:35.897 --> 00:04:38.038]  And there is nothing new under the sun.
[00:04:38.699 --> 00:04:44.643]  People today will throw away their children's birthright because of ignorance, faith in false idols,
[00:04:47.253 --> 00:04:50.594]  Ladies and gentlemen, it is Sunday, September 13th, the year is 2020.
[00:04:51.494 --> 00:04:55.455]  I'm your host, Alex Jones, coming to you live on this Sunday show.
[00:04:55.475 --> 00:05:04.297]  We're going to be here live for the next two hours, then Owen Schroyer comes in with the new Sunday show live, called Sunday Live, 6 to 8 p.m.
[00:05:04.737 --> 00:05:05.917]  Central Standard Time.
[00:05:06.277 --> 00:05:09.438]  Roger Stone is out in Reno, Nevada, where President Trump is.
[00:05:09.938 --> 00:05:22.161]  And while Trump's speaking, Roger Stone is going to be joining us via video Skype from very nearby, getting into the big national headlines that Roger Stone's calling for martial law and a military coup.
[00:05:23.542 --> 00:05:34.725]  No, Roger Stone on this show last Wednesday said if they're calling for a coup against the president and against the election and the people, Trump has to take action against them.
[00:05:34.985 --> 00:05:35.645]  But that's how they
[00:05:36.658 --> 00:05:37.578]  Reverse reality.
[00:05:37.839 --> 00:05:41.260]  Former head of the Treasury, Dr. Paul Craig Roberts, has the headline from Zero Hedge.
[00:05:41.320 --> 00:05:42.721]  It's up on Infowars.com.
[00:05:43.221 --> 00:05:44.602]  Paul Craig Roberts, the U.S.
[00:05:44.782 --> 00:05:47.043]  and its Constitution have two months left.
[00:05:47.383 --> 00:05:51.265]  The deep state is trying to remove President Trump.
[00:05:53.706 --> 00:05:58.208]  Continuing, ladies and gentlemen, here's the false headlines out of Forbes.
[00:05:58.628 --> 00:06:03.811]  Roger Stone calls on Trump to seize total power and assert martial law.
[00:06:04.911 --> 00:06:05.432]  But could he?
[00:06:06.223 --> 00:06:07.164]  Here's the London Independent.
[00:06:07.524 --> 00:06:11.386]  Roger Stone tells Trump to bring martial law if he loses election.
[00:06:11.847 --> 00:06:12.587]  Did not say that.
[00:06:12.627 --> 00:06:13.408]  There is no quote.
[00:06:13.468 --> 00:06:13.988]  It's made up.
[00:06:14.608 --> 00:06:16.570]  Roger Stone calls on Trump to seize total power.
[00:06:17.290 --> 00:06:18.351]  It's in the London Guardian.
[00:06:18.391 --> 00:06:19.412]  It's in the New York Times.
[00:06:19.912 --> 00:06:21.013]  It's in the Washington Post.
[00:06:21.153 --> 00:06:22.053]  It's everywhere.
[00:06:23.514 --> 00:06:30.259]  And it's our response to the headlines of General Mattis' plotted secret coup against Trump that was all over the news this week.
[00:06:31.127 --> 00:06:45.357]  So he comes on air and responds to that, responds to Democrats, Joe Biden, Nancy Pelosi, Hillary Clinton, Bill Clinton, all calling for the military, including the former Attorney General Eric Holder, to remove Trump.
[00:06:46.178 --> 00:06:47.359]  We say, man, that's illegal.
[00:06:47.399 --> 00:06:50.001]  If you try a military coup, we'll have to have you arrested.
[00:06:50.501 --> 00:06:54.544]  The chairman of the Joint Chiefs of Staff, General Milley, comes out and says it's illegal what Democrats want.
[00:06:55.184 --> 00:06:59.508]  And just like that, they distort reality yet again.
[00:07:00.774 --> 00:07:03.277]  One more time for everybody.
[00:07:04.098 --> 00:07:07.381]  And they tell you that Roger Stone wants martial law.
[00:07:09.403 --> 00:07:16.431]  That's how they operate over and over and over and over again.
[00:07:17.051 --> 00:07:21.296]  And now we're 50 days out from the historic election.
[00:07:22.489 --> 00:07:25.070]  And the Democrats are planning their next move.
[00:07:25.450 --> 00:07:31.531]  If you go to InfoWars.com, you'll see the live show feed headline tonight.
[00:07:32.511 --> 00:07:34.132]  And it's quite the headline.
[00:07:37.673 --> 00:07:51.096]  It's quite the headline when you go up to InfoWars.com and you see the name of the show this evening, confirmed deep state arsonist behind record-breaking West Coast wildfires
[00:07:52.605 --> 00:08:00.529]  Plus new coup plot against Trump goes mainstream.
[00:08:04.271 --> 00:08:16.818]  And if you look at what the Environmental Protection Agency did, but particularly what the Democrats did out in particularly the West Coast, but all over the country in the 70s and 80s, they got laws and regulations passed.
[00:08:17.639 --> 00:08:21.921]  California has the most draconian of any state where you cannot cut fire breaks
[00:08:24.640 --> 00:08:27.641]  into wilderness and you can't clean out the underbrush.
[00:08:28.121 --> 00:08:34.204]  And everywhere the left's in control, like here in Austin, millions of trees have tags on them, even little trees.
[00:08:35.384 --> 00:08:39.086]  And if you get caught cutting them down or doing something, they throw you in jail.
[00:08:40.286 --> 00:08:41.187]  Now there's many photos.
[00:08:41.207 --> 00:08:42.527]  You can just type it into a search engine.
[00:08:43.147 --> 00:08:45.168]  Examples of fire breaks stopping fires.
[00:08:45.208 --> 00:08:46.289]  I'll do that for you next segment.
[00:08:47.249 --> 00:08:52.311]  And you can see famous cases of where a road will stop
[00:08:53.539 --> 00:08:55.079]  A major fire.
[00:08:56.360 --> 00:08:58.060]  This is all just basic science.
[00:08:58.180 --> 00:09:00.981]  It's what humans have done for thousands of years.
[00:09:01.741 --> 00:09:06.462]  But since the 70s, California has not allowed any brush to be cut, any kindling to be removed.
[00:09:06.502 --> 00:09:16.044]  So it's giant piles of debris that when there's a lightning strike or arson or high winds, all hell breaks loose.
[00:09:16.064 --> 00:09:17.904]  We'll be covering all of that.
[00:09:18.953 --> 00:09:26.400]  Coming up next segment when I can show you some photos of just the amazing information of what happens with firebreaks.
[00:09:26.420 --> 00:09:36.230]  There's all these famous photos of you'll see a big long road and where a fire burned right up to the road and then stops because the road acts as a natural firebreak.
[00:09:36.270 --> 00:09:38.412]  It's amazing to see what happens.
[00:09:38.492 --> 00:09:41.215]  And the Democrats know full well what they're doing.
[00:09:41.835 --> 00:09:43.036]  China builds firebreaks.
[00:09:44.155 --> 00:09:45.436]  North Korea builds firebreaks.
[00:09:45.856 --> 00:09:49.398]  We're not allowed to because it's all part of the sabotage default.
[00:09:49.718 --> 00:09:51.299]  Just like they want the dams blown up.
[00:09:51.859 --> 00:09:54.300]  And they want men not to be men and women not to be women.
[00:09:54.340 --> 00:09:56.722]  And they want fuzzy math to be taught.
[00:09:56.802 --> 00:09:58.903]  Common Core 2 plus 2 equals 5.
[00:09:59.343 --> 00:10:00.344]  People thought that was a joke.
[00:10:00.384 --> 00:10:01.084]  That's real.
