[00:00:00.552 --> 00:00:28.032]  We beseech the governor to think about his family and their future, and all of our family's futures, and to do the right thing, and to do what the Republican legislature already says they want, and call that new emergency session, and so we can expose the total fraud that we've already been discovering, and stop our birthright being stolen by the Communist Chinese agent Joe Biden and the Democratic Party!
[00:00:29.414 --> 00:00:29.834]  Special Session!
[00:00:29.854 --> 00:00:30.415]  Special Session!
[00:00:30.435 --> 00:00:30.735]  Special Session!
[00:00:30.755 --> 00:00:31.075]  Special Session!
[00:00:31.095 --> 00:00:31.535]  Special Session!
[00:00:31.555 --> 00:00:31.896]  Special Session!
[00:00:31.916 --> 00:00:32.516]  Special Session!
[00:00:32.556 --> 00:00:32.896]  Special Session!
[00:00:32.916 --> 00:00:33.357]  Special Session!
[00:00:33.397 --> 00:00:33.797]  Special Session!
[00:00:33.817 --> 00:00:34.177]  Special Session!
[00:00:34.197 --> 00:00:34.978]  Special Session!
[00:00:35.038 --> 00:00:35.418]  Special Session!
[00:00:35.438 --> 00:00:35.758]  Special Session!
[00:00:35.778 --> 00:00:36.238]  Special Session!
[00:00:36.599 --> 00:00:36.999]  Special Session!
[00:00:37.019 --> 00:00:37.359]  Special Session!
[00:00:37.379 --> 00:00:37.819]  Special Session!
[00:00:38.200 --> 00:00:38.560]  Special Session!
[00:00:38.580 --> 00:00:38.900]  Special Session!
[00:00:38.940 --> 00:00:39.380]  Special Session!
[00:00:39.761 --> 00:00:40.141]  Special Session!
[00:00:40.161 --> 00:00:40.481]  Special Session!
[00:00:40.501 --> 00:00:41.021]  Special Session!
[00:00:41.322 --> 00:00:41.722]  Special Session!
[00:00:41.742 --> 00:00:42.042]  Special Session!
[00:00:42.062 --> 00:00:42.542]  Special Session!
[00:00:42.863 --> 00:00:43.263]  Special Session!
[00:00:43.283 --> 00:00:43.603]  Special Session!
[00:00:43.643 --> 00:00:44.043]  Special Session!
[00:00:44.364 --> 00:00:44.764]  Special Session!
[00:00:44.784 --> 00:00:45.284]  Special Session!
[00:00:45.304 --> 00:00:47.506]  Special Session!
[00:00:47.526 --> 00:00:47.906]  Special Session!
[00:00:47.926 --> 00:00:48.326]  Special Session!
[00:00:48.346 --> 00:00:48.826]  Special Session!
[00:00:48.846 --> 00:00:49.427]  Special Session!
[00:00:49.447 --> 00:00:49.767]  Special Session!
[00:00:49.787 --> 00:00:50.267]  Special Session!
[00:00:50.287 --> 00:00:50.868]  Special Session!
[00:00:50.888 --> 00:00:51.408]  Special Session!
[00:00:51.428 --> 00:00:52.189]  Special Session!
[00:00:52.209 --> 00:00:52.529]  Special Session!
[00:00:52.549 --> 00:00:53.009]  Special Session!
[00:00:53.029 --> 00:00:53.469]  Special Session!
[00:00:53.489 --> 00:00:53.950]  Special Session!
[00:00:53.970 --> 00:00:54.290]  Special Session!
[00:00:54.310 --> 00:00:55.010]  Special Session!
[00:00:55.030 --> 00:00:55.371]  Special Session!
[00:00:55.391 --> 00:00:55.711]  Special Session!
[00:00:55.731 --> 00:00:56.071]  Special Session!
[00:00:56.091 --> 00:00:57.092]  Special Session!
[00:00:57.112 --> 00:00:57.492]  Special Session!
[00:00:57.512 --> 00:00:57.872]  Special Session!
[00:00:57.892 --> 00:00:58.613]  Special Session!
[00:00:58.633 --> 00:00:58.993]  Special Session!
[00:00:59.417 --> 00:01:00.578]  Communist China!
[00:01:01.098 --> 00:01:03.819]  Communist China is trying to overthrow our country!
[00:01:04.379 --> 00:01:08.261]  And I salute you, the first folks to show up over the next four days!
[00:01:09.922 --> 00:01:10.462]  Yes!
[00:01:11.102 --> 00:01:12.623]  We love you, Georgia!
[00:01:13.063 --> 00:01:14.344]  We love Georgia!
[00:01:15.244 --> 00:01:18.145]  We're not going to let them steal this great state!
[00:01:18.165 --> 00:01:20.086]  We're going to drive around twice and come back.
[00:01:20.106 --> 00:01:23.288]  All I want to say is UFO warriors are awesome!
[00:01:24.068 --> 00:01:28.250]  And we call on people from all over the South and all over the country to come here
[00:01:29.028 --> 00:01:32.010]  Culminating on Saturday with another huge rally like we had in D.C.
[00:01:32.431 --> 00:01:36.534]  But you guys are, the Paul Revere's, the first to be here and you're awesome.
[00:01:36.694 --> 00:01:38.335]  I'm going to be with you here in a few minutes.
[00:01:38.535 --> 00:01:39.876]  Thank you!
[00:01:39.897 --> 00:01:46.422]  The governor must follow the Constitution and must declare an emergency session.
[00:01:47.122 --> 00:01:56.810]  The governor must have the legislature take control and oversight as massive fraud is being found all over, all over.
[00:01:58.307 --> 00:02:00.534]  All over this state!
[00:02:00.615 --> 00:02:02.842]  Massive fraud is being found everywhere!
[00:02:03.965 --> 00:02:07.587]  And we're here to tell them they're not stealing our republic from us!
[00:02:07.768 --> 00:02:07.948]  USA!
[00:02:07.968 --> 00:02:08.028]  USA!
[00:02:08.048 --> 00:02:08.148]  USA!
[00:02:08.368 --> 00:02:08.428]  USA!
[00:02:08.448 --> 00:02:08.548]  USA!
[00:02:09.108 --> 00:02:09.268]  USA!
[00:02:09.429 --> 00:02:09.549]  USA!
[00:02:09.569 --> 00:02:09.629]  USA!
[00:02:09.649 --> 00:02:09.769]  USA!
[00:02:09.809 --> 00:02:09.869]  USA!
[00:02:09.909 --> 00:02:10.029]  USA!
[00:02:10.449 --> 00:02:10.629]  USA!
[00:02:10.789 --> 00:02:10.890]  USA!
[00:02:10.910 --> 00:02:10.970]  USA!
[00:02:10.990 --> 00:02:11.230]  USA!
[00:02:11.250 --> 00:02:11.370]  USA!
[00:02:11.390 --> 00:02:11.790]  USA!
[00:02:11.810 --> 00:02:11.930]  USA!
[00:02:12.090 --> 00:02:12.190]  USA!
[00:02:12.210 --> 00:02:12.270]  USA!
[00:02:12.290 --> 00:02:12.411]  USA!
[00:02:12.451 --> 00:02:12.531]  USA!
[00:02:12.571 --> 00:02:12.691]  USA!
[00:02:13.111 --> 00:02:13.211]  USA!
[00:02:13.371 --> 00:02:13.471]  USA!
[00:02:13.491 --> 00:02:13.551]  USA!
[00:02:13.571 --> 00:02:13.811]  USA!
[00:02:13.831 --> 00:02:13.952]  USA!
[00:02:13.972 --> 00:02:14.352]  USA!
[00:02:14.372 --> 00:02:14.492]  USA!
[00:02:14.652 --> 00:02:14.752]  USA!
[00:02:14.772 --> 00:02:14.832]  USA!
[00:02:14.852 --> 00:02:14.992]  USA!
[00:02:15.032 --> 00:02:15.112]  USA!
[00:02:15.132 --> 00:02:15.252]  USA!
[00:02:15.653 --> 00:02:15.793]  USA!
[00:02:15.953 --> 00:02:16.033]  USA!
[00:02:16.053 --> 00:02:16.113]  USA!
[00:02:16.133 --> 00:02:16.273]  USA!
[00:02:16.293 --> 00:02:16.373]  USA!
[00:02:16.393 --> 00:02:16.493]  USA!
[00:02:16.513 --> 00:02:16.913]  USA!
[00:02:16.933 --> 00:02:17.033]  USA!
[00:02:17.214 --> 00:02:17.354]  USA!
[00:02:17.374 --> 00:02:17.494]  USA!
[00:02:17.534 --> 00:02:17.614]  USA!
[00:02:17.654 --> 00:02:17.774]  USA!
[00:02:18.214 --> 00:02:18.314]  USA!
[00:02:18.534 --> 00:02:18.895]  USA!
[00:02:19.015 --> 00:02:19.115]  USA!
[00:02:19.135 --> 00:02:19.355]  USA!
[00:02:19.375 --> 00:02:19.515]  USA!
[00:02:19.535 --> 00:02:19.735]  USA!
[00:02:19.755 --> 00:02:19.915]  USA!
[00:02:19.935 --> 00:02:20.035]  USA!
[00:02:20.536 --> 00:02:20.636]  USA!
[00:02:20.696 --> 00:02:20.776]  USA!
[00:02:20.876 --> 00:02:20.936]  USA!
[00:02:20.956 --> 00:02:21.036]  USA!
[00:02:21.056 --> 00:02:21.356]  USA!
[00:02:21.396 --> 00:02:21.496]  USA!
[00:02:21.596 --> 00:02:21.717]  USA!
[00:02:21.737 --> 00:02:21.837]  USA!
[00:02:21.857 --> 00:02:22.017]  USA!
[00:02:22.037 --> 00:02:22.257]  USA!
[00:02:22.277 --> 00:02:22.397]  USA!
[00:02:22.437 --> 00:02:22.557]  USA!
[00:02:23.097 --> 00:02:23.197]  USA!
[00:02:23.217 --> 00:02:23.458]  USA!
[00:02:23.478 --> 00:02:23.638]  USA!
[00:02:23.658 --> 00:02:23.778]  USA!
[00:02:23.798 --> 00:02:23.858]  USA!
[00:02:23.878 --> 00:02:23.978]  USA!
