[00:00:00.109 --> 00:00:00.930]  But here's the goal.
[00:00:00.970 --> 00:00:07.994]  The goal is to continue to push for slow opening, delaying it and delaying until people cry out.
[00:00:08.797 --> 00:00:09.397]  Or relief.
[00:00:09.497 --> 00:00:12.779]  And then they're going to have a relief ready, which is going to be this vaccine.
[00:00:13.140 --> 00:00:15.321]  You get the vaccine and we're going to give you your freedom.
[00:00:15.341 --> 00:00:22.625]  Of course, along with this vaccine comes the new vaccine patch with its ink coating in there, which you can be scannable and readable.
[00:00:23.105 --> 00:00:26.587]  I mean, if there's anything getting close to the mark of the beast, you know, this is it.
[00:00:26.607 --> 00:00:27.548]  You can't be free.
[00:00:27.608 --> 00:00:30.490]  You can't go back into business unless you have the mark.
[00:00:31.271 --> 00:00:33.893]  This is Mark of the Beast training wheels.
[00:00:34.273 --> 00:00:36.695]  This just shows Trump has to take out the Deep Stater.
[00:00:36.715 --> 00:00:37.316]  We're screwed.
[00:00:38.216 --> 00:00:40.418]  And I just don't think he can do it because he's so surrounded.
[00:00:42.140 --> 00:00:42.680]  Well, that's right.
[00:00:42.740 --> 00:00:45.022]  It's proven by the way that he's handling this.
[00:00:45.082 --> 00:00:49.105]  He continues to resist, but they overload him with these expert opinions.
[00:00:49.165 --> 00:00:49.886]  And what can he do?
[00:00:50.326 --> 00:00:53.649]  He just doesn't have the background to be able to counter them with specifics.
[00:00:53.709 --> 00:00:56.611]  And there's nobody around him who has the background that can do that.
[00:00:56.631 --> 00:00:57.892]  But it's out there on the Internet.
[00:00:58.630 --> 00:01:07.782]  And we're just going to have to flood the world with truth and with these resistance movements within the legislature themselves to put a halt to these emergency orders.
[00:01:07.802 --> 00:01:11.908]  Because I'll tell you what comes next is another pandemic, another pandemic.
[00:01:11.948 --> 00:01:12.909]  They'll keep doing this.
[00:01:13.369 --> 00:01:16.554]  They know that nobody has the ability so far.
[00:01:16.854 --> 00:01:18.095]  Well, I said this 10 weeks ago.
[00:01:18.175 --> 00:01:20.196]  It'll be like weather reports the new virus.
[00:01:20.456 --> 00:01:21.277]  Now they've said that.
[00:01:21.377 --> 00:01:22.838]  CNN, New York Times.
[00:01:22.918 --> 00:01:24.098]  It'll be like weather reports.
[00:01:24.318 --> 00:01:25.119]  Here's the UN.
[00:01:25.759 --> 00:01:28.121]  Says life will never go back to normal.
[00:01:28.221 --> 00:01:30.962]  A new way of living under UN control.
[00:01:31.463 --> 00:01:36.285]  From the front lines of the information war, it's Alex Jones.
[00:01:40.688 --> 00:01:45.251]  Well, well, Facebook admits to coordinating with state governments.
[00:01:46.806 --> 00:02:00.813]  To shut down anti-lockdown protest, and to shut down 5G protest, and to shut down forced inoculation protest.
[00:02:00.973 --> 00:02:01.294]  Wow!
[00:02:01.734 --> 00:02:08.577]  The very definition of fascism, the government coordinating with corporations to silence and suppress the people.
[00:02:08.617 --> 00:02:13.460]  But it's okay, because Mark Zuckerberg is
[00:02:16.339 --> 00:02:24.904]  And helps works with authoritarian states to shut down their people just like all the rest of big tech that are the real enemies of America and humanity today.
[00:02:25.684 --> 00:02:29.926]  Like the virus, an invisible spying, controlling, manipulating enemy.
[00:02:29.966 --> 00:02:40.332]  And of course the view is out there at the same time saying anybody protesting, anybody out there why you're terrorists, you're all suspect.
[00:02:40.352 --> 00:02:41.633]  The UN's come out and said
[00:02:42.722 --> 00:02:44.844]  That you'll never go back to the way it was.
[00:02:44.924 --> 00:02:49.527]  It's a new way of living directed by the World Health Organization.
[00:02:49.627 --> 00:02:49.927]  Who?
[00:02:50.788 --> 00:02:51.488]  Who runs it?
[00:02:51.889 --> 00:02:53.970]  Unelected group called The Who!
[00:02:56.612 --> 00:02:57.713]  Isn't that interesting?
[00:02:57.773 --> 00:02:59.114]  Here's Joy Behard.
[00:03:00.244 --> 00:03:04.868]  These people are being egged on by right-wing media and people like Alex Jones and Rush Limbaugh.
[00:03:05.308 --> 00:03:07.450]  And why are you bringing guns to a rally?
[00:03:08.431 --> 00:03:09.992]  You want to call yourself protesters?
[00:03:10.353 --> 00:03:11.133]  Leave your guns home.
[00:03:11.173 --> 00:03:14.876]  Those are terrorists who bring guns to things, to rallies.
[00:03:15.096 --> 00:03:16.297]  I don't trust that at all.
[00:03:16.598 --> 00:03:17.999]  And don't listen to these people.
[00:03:18.139 --> 00:03:18.659]  Yeah, sorry.
[00:03:18.879 --> 00:03:19.200]  Go ahead.
[00:03:20.321 --> 00:03:22.242]  What did Thomas Jefferson say?
[00:03:25.405 --> 00:03:27.126]  And it was paraphrased in Viva Vendetta.
[00:03:28.127 --> 00:03:28.968]  When the government
[00:03:29.878 --> 00:03:31.338]  Here's the people, there is liberty.
[00:03:31.398 --> 00:03:33.059]  When the people fear the government, there is tyranny.
[00:03:33.899 --> 00:03:53.622]  We have corporate, globalist government, and blue city government, and blue state government, allied with the World Health Organization, unelected authoritarians, directed by the Chi-Coms, openly taking action against free humanity right now.
[00:03:56.523 --> 00:03:57.183]  And saying,
[00:03:58.518 --> 00:04:00.736]  Oh, it's not just Alex Jones that's censored now.
[00:04:03.777 --> 00:04:07.800]  No, it's people that want to exercise their First Amendment in the streets.
[00:04:08.680 --> 00:04:12.323]  And Zuckerberg has said those that demonstrate will be deleted off Facebook.
[00:04:13.063 --> 00:04:21.829]  All the money time you spent promoting and all the connections you made, all the spying they did on you, all the illegal selling of your data, they're going to keep all that but not even let you communicate with people.
[00:04:22.189 --> 00:04:29.514]  And now they're seizing control of regular telecommunications and they're announcing people that call friends and family and talk bad about the New World Order.
[00:04:29.955 --> 00:04:32.156]  AI is now listening to your phone calls.
[00:04:32.676 --> 00:04:33.317]  This is in the news.
[00:04:34.558 --> 00:04:36.399]  And they're going to suspend your phone service.
[00:04:38.041 --> 00:04:39.101]  They're already in the apps.
[00:04:39.161 --> 00:04:48.989]  I told you a year ago, soon they'll be in the apps of the text messages saying, oh, we're not going to let you send things like, Corona came out of a Chinese lab.
[00:04:49.270 --> 00:04:51.011]  That is verboten.
[00:04:52.212 --> 00:04:52.652]  Forbidden.
[00:04:52.692 --> 00:04:55.635]  Doesn't matter if the Nobel Prize winner that discovered HIV says it.
[00:04:57.031 --> 00:05:00.734]  Does it matter if the major Indian institutes say it?
[00:05:00.774 --> 00:05:02.115]  Does it matter if it's a fact?
[00:05:02.415 --> 00:05:04.196]  Does it matter if it comes out in documents?
[00:05:06.058 --> 00:05:18.107]  Zuckerberg, Sugar Mountain, says, you keep your damn mouth shut, the Harvard Mafia runs your life.
[00:05:19.394 --> 00:05:25.576]  Of course, he tried to take thousands of acres of tribal ceremonial land, the best part of Kauai, and the natives told him to go to hell.
[00:05:25.616 --> 00:05:26.517]  He was unable to steal it.
[00:05:26.877 --> 00:05:42.663]  So if we just act like the natives, and have a little fight in us politically, and say no, he'll roll over like a big, fat, dead fish in the ocean, metaphysically, politically, and bloat out, rot out, and sink.
[00:05:43.904 --> 00:05:46.505]  You think that little bug-eyed demon can defeat us?
[00:05:46.585 --> 00:05:47.845]  Not if we're aware of his evil.
[00:05:48.366 --> 00:05:49.046]  Who's he work for?
[00:05:49.881 --> 00:05:51.841]  That's right, he works for Bill Gates on record.
[00:05:52.221 --> 00:05:56.702]  He's another globalist, deep state front man, carrying out eugenics against you and your family.
[00:05:58.543 --> 00:06:03.143]  David Icke was on yesterday, one of the most powerful interviews he's ever done with us, if not the most powerful.
[00:06:04.044 --> 00:06:17.746]  He described it perfectly, he said, yeah, we've all known about Bill Gates involved in world government, implantable microchips to buy and sell, forced inoculation, depopulation, eugenics, Club of Rome, Georgia Guidestones, Bilderberg Group,
[00:06:19.261 --> 00:06:21.542]  But now suddenly the door closes and click!
[00:06:22.203 --> 00:06:24.804]  We're locked in the room with him and he is in command.
[00:06:26.305 --> 00:06:29.307]  And I'll lay that out next segment how he is in command.
[00:06:30.148 --> 00:06:34.710]  But the full David Icke interview is on NewsWars.com, InfoWars.com and Band.Video.
[00:06:35.851 --> 00:06:37.212]  David Icke Emergency Broadcast.
[00:06:40.354 --> 00:06:41.535]  Humanity at the crossroads.
[00:06:43.135 --> 00:06:43.616]  We the people.
[00:06:49.526 --> 00:06:54.109]  I came into the office a few hours ago, and I was talking to Rob Doob.
[00:06:54.129 --> 00:07:01.674]  I was putting a piece together, one of my compadres, and he said, man, look at this.
[00:07:01.754 --> 00:07:06.937]  This is from that show V five years ago, the reboot, about an alien invasion.
[00:07:06.977 --> 00:07:08.138]  They pose like they're humans.
[00:07:08.678 --> 00:07:13.502]  And in a vaccine, they put a digital ink in you that tracks your location.
[00:07:16.844 --> 00:07:18.044]  Bill Gates patented that.
[00:07:19.244 --> 00:07:21.446]  Three months ago with patent number 2020-06-06-06.
[00:07:21.646 --> 00:07:31.173]  And then it ties to another patent with 666 at the end of it.
[00:07:31.294 --> 00:07:42.262]  And it's just... Why do gangs, low-level white supremacist gangs, Hispanic gangs, black gangs, why do they tag things with their symbols?
[00:07:42.442 --> 00:07:43.543]  MS-13, you name it.
[00:07:44.384 --> 00:07:45.525]  Well, that's because they're tagging them.
[00:07:47.065 --> 00:07:49.066]  Gangs always leave a card.
[00:07:49.586 --> 00:07:55.108]  Why would Special Operations would kill and assassinate people they knew were Viet Cong or thought were in Vietnam?
[00:07:55.548 --> 00:07:58.349]  Why would they leave the Ace of Spades in their mouth?
[00:08:01.410 --> 00:08:02.450]  Well, it's a calling card.
[00:08:04.631 --> 00:08:08.653]  And so, not just on this patent, on a bunch of them, it's 666.
[00:08:11.789 --> 00:08:17.854]  And then it's a world government with a digital liquid chip in you so you can't get it out of your body.
[00:08:21.477 --> 00:08:23.158]  And you've got to have it to buy and sell.
[00:08:23.198 --> 00:08:27.642]  But the first level is, oh, you've got to have it to prove you're safe from COVID-19.
[00:08:27.662 --> 00:08:28.503]  You have the antibodies.
[00:08:30.044 --> 00:08:31.145]  You've had the inoculation.
[00:08:35.305 --> 00:08:38.768]  And then, oh, by the way, it's a perfect system to buy and sell now.
